id,storeName,category,url,source
1,코노지,이자카야,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1908504121?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&n_ad_group_type=10&n_query=%EB%B6%80%EC%82%B0%EB%8C%80%EB%A7%9B%EC%A7%91&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
2,홍보석 숯불구이,돼지고기구이,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/11666897?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&n_ad_group_type=10&n_query=%EB%B6%80%EC%82%B0%EB%8C%80%EB%A7%9B%EC%A7%91&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
3,거창맷돌 본점,한식,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/16902373?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
4,부산대 포맨티코 본점,베트남음식,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1420568443?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
5,효원우곱,"곱창,막창,양","https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1841098695?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
6,만서리 이가네 막국수 본점,막국수,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/21710765?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
7,부막숯불닭갈비 부산대점,닭갈비,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1003637302?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
8,효원주가,한식,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1630393521?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
9,서빙고본점,"카페,디저트","https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/34665985?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
10,이흥용과자점 부산대직영점,이흥용과자점,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1584126913?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
11,보노베리 본점,"카페,디저트","https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/722313262?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
12,샤브20 부산금정점,샤브샤브,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1774935884?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
13,모모후,"카페,디저트","https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1862526886?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&n_ad_group_type=10&n_query=%EB%B6%80%EC%82%B0%EB%8C%80%EB%A7%9B%EC%A7%91&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
14,빼어날수연어 부산대점,생선회,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1618726793?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&n_ad_group_type=10&n_query=%EB%B6%80%EC%82%B0%EB%8C%80%EB%A7%9B%EC%A7%91&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
15,포포포 부산대본점,베트남음식,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1257247244?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
16,맛나감자탕 부산대점,감자탕,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/33217532?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
17,분잉,종합분식,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1237092833?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
18,톤쇼우,돈가스,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1539507827?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311559&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
19,스시심타카이,"초밥,롤","https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1814706604?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311600&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
20,교토밥상,일식당,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/946038637?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311600&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
21,수림식당 부산대점,중식당,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1487029633?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311600&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
22,어가 가이텐스시,"초밥,롤","https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1816500678?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311600&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
23,그집짬뽕0927 부산대점,중식당,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1572637966?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311600&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
24,지대루참숯왕소금구이,"육류,고기요리","https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/16889047?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311600&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
25,부막숯불닭갈비 부산대점,닭갈비,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1003637302?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&n_ad_group_type=10&n_query=%EB%B6%80%EC%82%B0%EB%8C%80%EB%A7%9B%EC%A7%91&from=map&fromPanelNum=2&timestamp=202508311600&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
26,키노,양식,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1525283898?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&n_ad_group_type=10&n_query=%EB%B6%80%EC%82%B0%EB%8C%80%EB%A7%9B%EC%A7%91&from=map&fromPanelNum=2&timestamp=202508311600&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
27,스나쿠 부산대,일식당,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1573494989?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311600&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
28,유로드밀,"카페,디저트","https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1802088866?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311600&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
29,애슐리퀸즈 NC 부산대점,패밀리레스토랑,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/21273878?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311600&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
30,코타츠 부산대본점,일식당,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1809050602?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311600&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
31,라이크댓커피,카페,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1082971610?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311600&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
32,유수베이커리 본점,베이커리,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1128627027?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311600&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
33,Etalee,"카페,디저트","https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1477126367?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311600&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",crawl
