text,source
저번에 에그타르트 하나만 먹고 온게 너무 아쉬워 재방문 했어요 🤭 갓구운 에그타르트 맛없없 .. 🥨 계란찜처럼 몽골몽골한 필링 좀 보세요오오 !!! 아이스라떼도 너무 맛있어요 ! 에그타르트 땡길 땐 에타리 💖,crawl
맛⭐️⭐️⭐️ 다른 리뷰 호평만큼 맛있진 않고(무난 2~3점) 친절은 모름 외부음료 들고 있어서 야외에서 기다리라길래 기다린건 괜찮은데 다됐는지 안됐는지 불러주고 그런 거 없는지 땡볕에 계속 기다리다 직접 가서 여쭸더니 대충 아~ 여깄섐ㄷ~... 따라하기도 힘든데 소심한 분 아니고 입모양 보니까 진짜 그냥 건성건성 바빠서 급하게 '여씀다!!😄' 하는거랑 뉘앙스 정반대라 내가 기억 못하는 과거 원수인가 싶었음 표면상 친절은 한데 묘하게 거슬린게 내가 예민한 줄 알았는데 리뷰 보니 저만 그런 게 아니네요 바쁜거 이해 하고 기다린 것도 괜찮고 별거 아닌 일이지만 굳이 멀리까지 가서 건성대시는 걸 난 왜 겪었는지 모름... 일하기 힘드신갑다... 저도 힘듭니다... 맛도 다른 에타맛집에 비해 호들갑 떨 정도는...,crawl
지인선물로 인기가 최고좋아요~ㅎ 설명도 착하게 잘해주고 종류많아서 항상고민이네요^ 야외가 멋져요 주말에 앉아서먹고가면좋겠어요,crawl
에그타르트와 커피가 맛있는 에타리 🤭 에그타르트가 나온지 얼마 안됐는지 따끈해서 타르트지는 바삭하고 에그필링은 부드럽고 너무 맛있게 먹었어요 ! 오픈한지 얼마 안됐는데 손님이 가득가득 ❤️ 왜 인기 많은지 알겠더라구요 ! 아이스 아메리카노도 에그타르트랑 잘 어울려서 맛있게 먹었습니다 ! 리뷰 쓰는 지금도 에그타르트 또 먹고싶네요 😋,crawl
역시나 소문대로 인기가 정말 많은거 같아요! 다행히 종류가 다양할 시간에가서 너무 좋았어요~! 역시 소문대로 너무 맛있네요! 다른 집 에그타르트보다 더 맛있는거 같아요!! 직원분들 응대도 친절하게 잘 해주셔서 기분 좋게 먹고 갑니다 ! (사실 재방문 또 한건 안 비밀~),crawl
에그타르트가 너무너무 맛있어요......!!!!! 사람많은만큼 맛있음,crawl
에그타르트 너무 맛있어요~ 2층까지 넓어진 공간!! 오늘처럼 날 좋은날 야외 테라스에서 커피와 타르트를 즐기면 너무 행복합니다~,crawl
"일요일 오후2시 시간대인데도 기본에타빼고 모든 물량다빠지고ㅠ 다시 만들진 않으신다는.. 아쉽네요 멀리서왔는데,",crawl
초코에그타르트 먹고 싶었는데 다 판매되고ㅜㅜ 줄 선거 아까워서 그냥 에그타르트 1통을 샀어요ㅎㅎ 6개 둘이서 하루만에 순삭😂 사람 너무 많아서 야외테이블까지 만석! 주말에는 항상 줄 서는거 같아요ㅜㅜ 다음엔 꼭 초코에그타르트 먹어봐야겠어요💕,crawl
에그타르트에 별 감흥 없었던 제가 원망스러울 정도로 .... 충격적인 존맛 이였습니다 🥧🪽 특히나 레몬 머랭 타르트는 제 인생 디저트 되부렀서요 ㅜ_ㅜ 첫 방문이라 직원분께 이것저것 여쭤봤는데 너무 친절히 자세히 알려주셔서 감사했습니다 🖤,crawl
아메리카노 5.0 에그타르트 3.0 오랜만에 에타리 에그타르트가 먹고싶어서 방문했어요평일 낮인데 사람 엄청 많은 이유가 있어요🫶 끊임없이 손님이 들어옴 방금 나온거 먹었는데 여전히 개존맛 ㅠ 두개 시킬걸 후회했어요,crawl
사장님 리뷰 좀 보고 관리 좀 하셔요 ^^ 직영운영이라 큰소리 치지만 마시공 말만 직영이지 ㅋㅋ 방금 포장 주문했는데 사장님이실까요 직원분이실까요 뭐가 그리 화가나신건지 손님이 감정쓰레기통인가요 ㅜㅜ 주문하자마자 말을 너무 쏘아 붙이셔서 무슨 말을 못하겠네요 본인이 주문 도와드리겠다 해놓고 뭘 도와주겠단건지 서비스 마인드가 안되어있는데용 손님 다 잡아먹겠다 ㅜㅜ 이 분은 서비스업 하면 안되실 듯 ptsd때매 부산대점 에타리는 안가야징 장사 잘된다고 방심하지마시고 기본적인 것 부터 관리하시길 파이팅하세용용 리뷰수 늘려주기도 아깝다 진짱 ><,crawl
에그타르트 커피 너무 맛있습니다!! 직원들도 친절하시고 손님이 진짜 많네요😀,crawl
부산대 가면 항상 생각나서 들려요 손님이 정말 많고 에그타르트도 계속 나가서 새로 금방금방 나와요 따땃하고 부드럽구.. 진짜 행복합니당,crawl
부산 에그타르트계를 평정한 맛집 에타리 이 날은 기본 에그타르트부터 레몬이랑 콘크림까지 먹고도 아쉬워서 포장까지 해왔다 다른것도 맛있었지만 역시 기본이 최고 포장손님도 너무 많고 드시고가시는 분들도 많아서 오픈한지 10분 정도 지나서 방문했는데도 우리 다음부터는 대기였다 드시고가실분은 오픈시간에 맞춰가시길,crawl
에그타르트 맛집,crawl
에그타르트 3.0 아아 5.0 디카페인 5.5 톤쇼우갔다가 에그타르트먹으러 들른 곳 칼로 잘라먹는 것보단 손으로 들고 베어먹는게 더 맛있다고 해서 시키는대로 먹었는데 페스트리 바삭한 타르트지보다는 겉이 좀 더 딱딱하고 안은 푸딩같지만 밀도 높고 촉촉하고 버터리한 에그타르트에요 조금씩 베어먹으며 아메리카노와 함께 하기 너무 잘 어울리는데 돈까스먹고나서인지 인당 한개가 딱 적당했어요,crawl
에그타르트 맛집...👍 누구에게 추천해도 늘 성공적이고 저도 여기 에그타르트만 먹어요🫶 특히 피칸타르트는 정말 과하다싶을 정도로 견과류가 가득 들어가 있어서 맛있어요~재료를 안 아껴야 맛있는 디저트라고 생각합니다🥰,crawl
타르트 맛집 👍,crawl
직원분들이라하기에도 아까울정도로 알바생(앞머리무쌍여자분) 싸가지가 바갈스라 기분매우 별로입니다. 리뷰 잘안남기는데 진짜 열받네요 교육좀시키세요,crawl
"오랜만에 부산대앞 나들이갔는데 너무 썰~ 렁한 일요일오후 학교앞에 당황하며 이럴리가 없어... 방황하다 찾은 조용한 주택가에 주택개조한 카페골목 발견 학교앞 번화가 다죽고 상권이 옮겨간듯.. 구옥 개조하여 따뜻함과 쿨함이 공존하는 분위기 에그타르트 달콤한 냄새가 골목 가득 퍼지고 살짝 떨리는 날씨 젤 붐비는 카페 길가에 자리잡고 앉아 잼있는 추억하나 적립 가족, 연인, 여행객, 동네주민 등 다양한 방문객들 줄서먹는 타르트 동네맛집 인정 커피 맛나고 금방나온 뜨거운 타르트는 근처간다면 꼭하나 먹고올듯하다😍😍",crawl
분위기도 좋고 타르트도 맛있네요. 다음엔 다른 타르트 먹으러 또 오려구요,crawl
"저 이 집 에타 정말 사랑합미댜,, 조르맛탱 ㅠㅠ 에타는 이 집만 가요오,, 너모 맛있어서 포장도 해왔어용 한 입 뚝땩,, 부대가면 또 재방문 예정입미댜 🥨",crawl
에그타르트로 유명한 집! 빨리 가야 먹을 수 있어요,crawl
"에타리 에그타르트가 최고,,",crawl
커피에 타르트 최고네요.,crawl
늦은시간이라 그런가 에그타르트 몇개 없어서 아쉽네요. 다른것도 멋보고싶었는데~ 전 좋아하지 않지만 ㅋ 가족중 에그타르트 좋아하는 분이 계셔서.. 찾아서 포장했어요. 다들 맛있다네요^^ 다음엔 다른것도 맛보고싶어요.,crawl
부산 최고 에그타르트👍🏻🩵,crawl
하 너무 맛있어요 행복하다,crawl
타르트 맛집,crawl
유튜브통해서 에타리를 알게되었는데 그 뒤로 너무 궁금하더라고요ㅜㅜ 광안점만 생각하고 있는데 밥 먹고 걷다가 부산점 발견해서 얼마나 기뻤는지!! 무튼 맛보니 퐁신하니 살살 녹아요! 한 번쯤 먹어봐도 좋을 것 같아요^^,crawl
"에그타르트 먹으러 포르투갈 다녀온 사람입니다. 에타리 딱 정리해드립니다. >>> >> > 미쳤다 < << <<< 포르투갈식은 페스츄리지에 필링이 상대적으로 적지만 홍콩식은 필링이 많은데 ,, 에타리는 두 방식의 장점만 뽑아온 느낌🥹🩷 12시간 실온보관 후 전자레인지에 20초돌리고 먹어서 바삭함은 전혀 기대 안 했는데 세상에 엄청 바삭해요... 딱 페스츄리지 바삭함 그대로였어요 필링도 계란냄새 전혀 없이 엄청 깔끔하고 한가득 들어가있어요🩷🩷 감성은 포르투갈 에타가 최고지만 맛만큼은 에타리가 이겼습니다. 은근 필링은 덜 달고, 페스츄리가 조금 더 달달한 느낌이라 물리지 않아요..🩷 덕분에 아침으로 에타리 냠냠하면서 행복하게 출근했습니다🩷🩷🩷",crawl
1인1음료 커피🥤 계란 비린내 없고 너무 달지 않고 맛있으면서 아주 부드러워요 🥧 빵과 조화도 잘돼요 👍 바깥 나무와 테이블 의자 인테리어가 예뻐요,crawl
에그타르트 존맛ㅠ,crawl
에그타르트 성지로 유명한 곳답게 타 에그타르트와 다르게 담백하고 고소하고 겉바속촉합니다. 딱 상상 속 에그타르트 맛이에요 좌석도 실내외 할 거 없이 아늑하고 좋아요,crawl
에그타르트 JMT 너무 파삭하고 몽글해요 품절되기 전에 얼른 가세요,crawl
갓나온 에그타르트가 이렇게 맛있었나 싶습니다.동네도 가게도 힙한 분위기..,crawl
에그타르트 맛집이에요💛,crawl
에타맛집,crawl
에타리 에그타르트는 누굴 데리고 가도 맛있대서 내심 뿌듯해요~ 부산대 놀러오는 친구있으면 늘 데리고 가는 카페!,crawl
피칸이 맛난줄 모르고 그냥 주문해봤는데 오아아아아 !! 진짜 맛있어요:))))) 담부턴 이렇게 더 골고루 먹어야겠네요!!!,crawl
만족합니다,crawl
친절해요,crawl
부산대점 처음인데 여기 카페 골목이네요! 테라스도 작지만 멋지고 좋아요,crawl
포르투갈식 에타 ㅠㅠ 페스츄리 바삭바삭하니 넘 맛있어용 ㅠㅠ❤️ ❤️ 에그타르트 맛집임 👍 👍,crawl
에그타르타 맛집으로 유명한 에타르 ㅜㅜ 에그타르트는 못 먹어서 재방문 예정 ! 커피는 너무 맛있었어영,crawl
에그타르트 맛집이에요!! 너무 맛있에요! 음료도 맛있어요!!!,crawl
"진짜 레알루 에그타르트 대 존맛탱입니다... 아주 인생 에그타르트 입니당.. 이런 에그타르트는 처음 먹어봅니당.. 맛은 달달고소, 고소해뿔라, 식감은 구름같아여.. 에그타르트에 반해버리고야 말았습니당.. 에그타르트가 너무 독보적이라 음료가 평범해진다는 단점이 있읍니다~~ 여긴 가봐야 합니당 에그타르트 먹으러.. 두번가야 합니당!! 야옹!! 재방문의사 이만프로 삼만프로다옹!!",crawl
여길 이제야 와보다니 타르트 너무너무 맛있어용🧡,crawl
