text,source
억수로친절합니다,crawl
가거도 횟집 다녀왔습니다. 종친회 모임 장소 적당하고 좋아요. 방이 여러 군데 있어서 단체 모임을 하기 좋아요. 사장님 친절하시고 이것저것 꼼꼼하게 잘 챙겨주시고 좋아요. 기념으로 단체 사진도 찍고 즐겁고 행복한 시간을 종친회 모임을 잘하고 왔습니다.,crawl
전어가 있다길래 섞어서 모듬회 소.(엄마랑 둘이서) 별다른 데코없이 막썰어 스탈. 엄청 빨리 나옴 세꼬시로 요청드렸는데 뼈가 제법 굵고 단단해서 깜놀. 엄마는 뼈있는거 싫어해서 혼자 다 해치움. 운전 때매 소주한잔 곁들이지 못해서인지 회맛이 그닥.,crawl
사장님이 자녀분한떼 넘겼는데 지금사장님( 예전사장님의며느리) 엄청친절합니다 대박나시길 바랍니다,crawl
회를 정신없이 먹어서 매운탕 사진만 찍었네요 가격대가 좀 있지만 맛있어요,crawl
특별하진않고 평범해요,crawl
ㅇ,crawl
가족끼리 맛있게 잘 먹었습니다,crawl
굿,crawl
좋았어요~^^,crawl
굿,crawl
좋아요,crawl
회가맛있어요!,crawl
맛있게 먹고 왔어요,crawl
오래전부터 자주 갔지만 여전히 맛있는 금정구 최고 횟집이죠 ㅎㅎ 이번에도 맛있게 먹고 왔네요~,crawl
그냥 보통!! 가격대비 살짝 아쉽네요,crawl
"우리 가족 최애 횟집이에요. 두툼하고 칼 맛 살아있는, 맛있는 모둠회를 즐길 수 있어요. 무엇보다 너어어무 친절하셔요. 갈때마다 기분 좋아지는 맛과 서비스, 합리적인 가격이 있는 식당이에요🥰",crawl
굿,crawl
제일 맛있어요 3인 모둠 6만원 먹었어요,crawl
음식 맛있었던것 같아요,crawl
다른것보다 회가 정말 맛있는곳이에요. 모둠 3인 양인데 방어가 들어가서 양은 많다는 기분은 안들었어요ㅎㅎ 방어철에는 방어만 따로 추가도 가능했어요!,crawl
친절해요,crawl
굿,crawl
굿,crawl
집앞이라 자주 들러서 포장을 하는곳이에요~ 오랫동안 애용하는 집이구요~ 부모님이 이곳의 회를 좋아하셔서 가족모임도 자주 하는편이고 모듬회 포장도 달에 두번은 하는것 같아요 신선하고 맛있는 집이라 너무 만족합니다,crawl
뱃살이 두툼하니 많아서 좋아요,crawl
굿,crawl
굿,crawl
굿,crawl
친철해요,crawl
굿,crawl
장전동에서 정말 오래 장사하셨고 모르는 사람이 없는 맛집이죠 ㅠ ♡ 정말회맛 최고에요! 가거도에서 회먹다가 딴집가면 물컹해서 못먹겠어요 ㅠ,crawl
역시 재료가 신선해서인지 주방장님 칼솜씨가 좋으셔서인지 너무나 맛있었습니다! 장전동 맛집 ㅇㅈ,crawl
맛있어요,crawl
굿,crawl
굿,crawl
굿,crawl
굿,crawl
회가 두께감이 있어서 씹는 맛이 좋아요!,crawl
맛있어요ㅎㅎㅎ,crawl
물회 꿀맛,crawl
자연산회 추천입니다!,crawl
옛날보다 가격이 많이 올랐네요,crawl
회 덮밥 처음먹었는데 맛있네요~ 회도싱싱 밑반찬 매운도 굿,crawl
우리동네 최애 횟집이에요~~,crawl
굿,crawl
좋아요,crawl
Good,crawl
회먹기 좋아요,crawl
굿,crawl
굿,crawl
좋아요!,crawl
굿,crawl
굿,crawl
좋아요,crawl
굿굿 맛집입니다,crawl
맛나요,crawl
매운탕이 맛있어요,crawl
회가 맛있어요,crawl
여기 우리 가족 최애 식당이예요. 매운탕이 진짜 맛있어요. 애들도 매운데 잘 먹고요. 특히 아이들 손님에게 친절하세요. 어쩔땐 밑반찬으로 나오는 가자미구이도 하나 더 주시고. 좋아요,crawl
"예전엔 반찬도 많았는데 이젠 거의없구요, 대신 멍게 등 해산물이 나오는데 신선하지 않아요.. 모듬 소 사이즈로 시켰는데 회 종류가 두가지..만 나왔구요.. 광어도 지느러미 없이 퍼석한 부위만 나왔어요..ㅎ 미리 설명도 안해주셔서 나오곤 양이 너~무 작아서 놀라 여쭤보니 뭐 하나가 다 떨어져서 두개만 나왔다고 당당히 말씀하시더라구요; 그럼 미리 설명해주셔야하는거 아니냐니까 웃으며 대충 미안하다고만.. 그러고 억지로 먹고있는데 옆테이블에서 모듬회를 시키는데 뭐뭐있는지 설명해주시고 전어도 있다네요? 그래서 전어도 있었네 하면서 우리끼리 말하니 조금 준다고 말씀하시더라구요; 기분도 나쁘고 반찬도 별로고 회도 그저그렇고.. 집근처라 가족끼리도 자주 갔었는데 오랜만에 갔더니 너무 변해서 이제 안가질것같아요",crawl
굿,crawl
ㅎ,crawl
ㅎ,crawl
별루인것같아요ㅠ 죄송해요,crawl
사장님 친절하시고 예전부터 먹었지만 역시 맛나요~^^,crawl
자주가요,crawl
ㅎ,crawl
ㅎ,crawl
비추요,crawl
그닥이예요,crawl
맛있어요!!!!!!!,crawl
최고의 맛집ᆢ강추,crawl
좋습니다,crawl
맛있어요,crawl
.,crawl
쫄깃,crawl
맛남,crawl
좋아요,crawl
