text,source
"오랜만에 부산대 데이트 하고 고깃집이 생각나서 재방문 했어요!! 항상 쫄면 오겹살세트 먹다가 새로운 도전 양념돼지갈비를 먹었는데 여기는 숯, 석쇠에 갈비를 구워서 엄청 맛있어요. 주문도 섞어서 가능해서 돼지고기랑 갈비 섞어서 도전해볼게요!!",crawl
가성비 좋고 고기도 맛있는 거북이동네 ! 셀프바에 야채랑 반찬도 다양해서 좋았어요 ㅎㅎ 쫄면이랑 오겹세트 시켰는데 메뉴구성이 좋아서 배부르고 저렴하게 잘 먹고왔습니다 😊 가족외식장소로 추천하는데 앞으로 자주올것같아요!!!,crawl
"집가까워 깨끗히 씻고, 땀흘리기 싫어서 가까운 고깃집 갔는데..에어콘 온도 29도 ... 고기굽다가 육수 좔좔흘림.... 덥다고 말씀드렷는데 에어컨 다틀었다고 하셧는데도 이렇게 더운 고깃집은 처음이네요.. 괜히 가족들보고 가자고한 내가 미안한 마음뿐 ㅠㅠㅠㅜ 더워서 고기 더 먹기도 싫고 .. 피크타임에 안가서 에어컨을 그렇게 틀으신건지.. 계산할때 너무 더워서 못먹겟다 말씀드렷는데 아무말씀도 없으시고.. 다신 안갈랍니다. 밖에나와서 바람맞는게 오히려 더 시원했네요..",crawl
"고기 질이 너무 좋아요 ! 💗 완저니 고기맛집을 찾은 것 같아서 기분이 좋습니다 ㅎㅎㅎㅎ 된찌 말해뭐해 !!! 근데 이집 쌀이,,,, 아니 밥이 고급진 느낌 넘 신기했어요💗💗",crawl
고기가 아주 맛있네요 잘 먹었어요,crawl
부산대쪽 고기집중 가장 좋아하는곳입니다!!! 오늘도 잘 먹었습니다👍,crawl
오늘도 사랑하는 남자친구랑 부산을 떠돌다 맛집을 발견했어요❤️ 내부도 깔끔하고 저희는 커플세트 먹었는데 양도 많고 가격대에 비해 고기질도 좋고 양도 넉넉해서 너무 맛잇게 잘 먹었답니다 또와야해요 무조건!!!💯🥰 아 사장님 잘생기셧는대다 직원들 다 친절했어요!!,crawl
잘 먹었습니다👍,crawl
체인점이 많아 기대했는데 샤브+삼겹세트 구성이 좋네요 ㅎㅎ 셀프바도 종류가 많고 직원분도 친절해서 다시 갈것 같아요~ 번창하세요^^,crawl
친절한 직원들 덕분에 기분좋은 친목회 시간을 가졌습니다 고기도 맛있구요!,crawl
정신없이 먹다보니 다 먹고 없음 ㅎㅎ,crawl
