text,source
"부산대 양 많은 우동집 ""겐로쿠우동"" 김이 모락모락 나는 간장베이스의 육수에 우동이 나옵니다. 따뜻한 국물에 간장의 풍미가 진했고 면이 끊기지 않고 쫄깃한 상태라서 만족스러웠습니다. 하지만 조금 먹다보니 후추의 칼칼함이 너무 강해서 목이 살짝 따끔거릴정도라 개인적인 취향은 아니었습니다. 향신료에 예민하시다면 주문할 때 미리 말씀드리는게 좋아보입니다. 식사를 주문하면 유부초밥 하나씩을 챙겨주는데 이건 평범한 맛이었습니다. 두곱빼기, 세곱빼기 모두 무료로 제공된다는 점이 인상적이었습니다. 덕분에 배고플 때 양껏 먹을 수 있다는 장점이 있네요. 점포가 크지않음에도 점심시간에 음식이 늦게나온다는 점은 아쉬웠습니다. 30분 정도 기다려서 음식을 먹을 수 있었네요.",crawl
국물이 깔끔하고 자가제면인 소바랑 우동의 퀄리티가 높아요.,crawl
양도 많고 가격도 좋음.,crawl
잘 먹었습니다👍,crawl
넘 맛있어요 ㅎㅎ,crawl
맛있다는 후기 보고 부산 여행 중에 들렀는데 진짜 맛있었습니다. 지도리 우동 너무 맛있어요. 기름진 닭고기에서 어쩜 이렇게 고소하고 담백한 맛이 나는지! 국물이 정말 진하고 깊은 맛이 났습니다. 여행 중에 맛있는 음식 만나서 행복했습니다 ^^,crawl
덮밥도 맛있는데 저는 우동이 더 맛있어요,crawl
오랜만에왔는데 여전한 국물맛과 양 맛있게잘먹었습니두,crawl
맛있어요 양 많이줘요,crawl
"이번엔 지도리 트리플에 ‘소바’ 도전했습니다. 역시 맛있게 뚝딱했는데, 소바는 더블이 적당할 거 같아요. 우동은 트리플도 물리지 않았는데 소바는 막판에 조금 물리더라고요. 다음엔 지도리 트리플 우동 먹으러 갈게요.",crawl
맛나요,crawl
양이 많아서 참 좋아요. 그러나 많은 만큼 더 줘야한다는 모순적인 개념이 생겨요. 국물이 맛있지만 많은 만큼 느끼해서 중국산김치라도 좋으니 김치가 필요한거 같아요. 단무지로는 해결이 안되네요. 가라아게도 같이 나오는 소스가 있음 좋겠어요. 그 외엔 너무나 훌륭했어요. 국물 면 들어간 파와 고기 이 네 가지의 구성이 번잡하지 않고 좋았어요,crawl
"부산대 순환버스 안에서 우연히 간판을 보고 오늘 다녀왔습니다. 생소한 닭고기 우동을 비롯 여러 종류가 있었고 메밀 소바로 변경해서 먹을 수도 있습니다. 저는 닭고기 우동인 지도리 우동을 먹었는데, 먹는 양에 따라 곱배기 곱곱배기로 주문이 가능하고 1회에 한해 리필도 해줍니다. 가격은 사이즈 무관하게 같아서 진짜 만족스러웠습니다. 간은 다소 센 편이고 아주 진한 맛인데 먹으면서 질리는 것 없이 아주 잘 먹었습니다.",crawl
"두 번째 방문입니다. 더블 성공에 힘입어 트리플 도전, 완뚝.. 은 아니고 국물이 조금 남았네요. 이번엔 니꾸 우동을 먹었습니다. 지도리와 베이스는 같네요. 든든하니 졸음이 쏟아질까 걱정입니다.",crawl
굿,crawl
또 왔어요 부산대오면 꼭 먹고싶은 장소입니다.,crawl
굿,crawl
GOAT,crawl
사장님~ 저희 기억나세요? 볼펜이요! ㅎㅎ 저희도 넘 즐거웠어요😊 거기다 사랑의 서비스까지♥️ 감사히 잘 먹었어요~ 우동 먹고싶으면 또 올게요! 건강하세요😊,crawl
자주가는 나만의 맛집리스트 중 한 곳...^^ 계속 운영해 주셔요.,crawl
역시 넘 맛있는 겐로쿠,crawl
맛있어요,crawl
넘 맛있아요!!,crawl
후추 매운맛 우동!! 너무 맛나용,crawl
맛있어요,crawl
세 곱빼기 까지 무료로 업그레이드 하주는 걸로 이미 유명한 겐로쿠 우동 🍲 전부터 가보고 싶었는데 드디어 방문 - ! 세곱빼기 주문했는데 그릇 크기가 .. 정말 어마무시 하더라구요 ..? 세숫대야만한 그릇이 나와요 🙌🏻 고기까지 알차게 들고 후추향이 진하게 나는 국물이 정말 맛있어서 국자같은 숟가락에 면 + 국물 + 고기 함께 먹어야 진짜 겐로쿠 우동의 맛을 느낄 수 있더라구요 - !❤️ 자루 우동은 자루소바면을 우동으로 바꾼 음식인데 간이 잘 안 베일까 걱정했는데 간도 잘 베고 넘 맛있음 ..✨ 돈까스도 바삭하고 유부초밥도 하나 주시는데 유부초밥이 맛있어서 웃음이 나.. 유부초밥 1등 . 양도 많고 사장님도 친절해서 좋았던 겐로쿠우동 🙌🏻 학교 앞 가성비 맛집으로 추천 ! 재방문 의사 60% ⭐️,crawl
우동 맛있어요!,crawl
스파이시한 우동. 가끔 생각날 듯하다.,crawl
국물 짭짤한편 나는 싱겁게는 안먹는편이라 경성대부경대점보다는 부산대점이 더 국물이 맛있었음. 딴건몰라도 파추가는 할것 파존맛!! ///but런참고및불편사항: 오픈 10시 30분. 런치가 11시 30분부터라 오픈부터 11시 30분까지 런치서비스 안나오니 꼭 참고바람. 일본식 매운고추가루는 경성대부경대점은 있으나 이 지점은 없음 매장 요기저기 둘러봐도 없어 따로 물어보지도 않았음.,crawl
일단 곱배기 두곱배기 세곱배기 추가금액을 안받으시니 대식가분들 너무 만족도 좋으실것같습니다. 맛도 너무좋아요!,crawl
친구들과 다녀옴,crawl
"우동으로 먹을랬는데 좀 가볍게 소바로 시켰는데 탁월한 선택 국물이 진하고 맛있는데다, 일식 특유의 달고 짠 걸 카바할 수있는 후추 맛이 긱가 막힘 프랜차이즌지 몰랐는데 프랜차이즈라서 안 들어가려다 걍 먹었는데 생각 보다 맛있었음",crawl
첫 국물 맛이 짜서 놀랬지만 먹다보면 그 이유를 알겠는~~ 우동면에 잘 베여서 아주 맛있어유~~,crawl
"싱글, 트리플 먹었는데 조금 잘 드시는 분이면 트리플 도전 해보세요!🤩 면도 쫄깃하고 국물이 정말 맛있습니다!",crawl
"일반적으로 생각하는 깔끔담백한 일본식 우동이 아닌 독특한 향이 들어간 진한 국물의 우동이에요 자루우동의 쯔유도 평범하지않고 새콤짭짤한, 다른곳에서 먹어보기 어려울 것 같은 맛이구요 면도 칼국수면처럼 납작하고 쫄깃하고 전체적으로 신기하고 독특한 맛! 입니다 사장님과 직원들 정말 친절해요 :)",crawl
굿,crawl
부산대 겐로쿠우동 맛집에 때 늦은 점심 먹고 왔어요~편식 심한 아들 우동은 잘 먹네요~^^,crawl
소바 먹으러 갔는데 면 양을 싱글 더블로 고를 수 있어서 넘 좋았어요!!,crawl
양 마음껏 맛도 맛있는 곳 ㅎㅎ,crawl
와 양이 진짜 많고 양에 비해 가격이 저렴해서 가성비가 진짜 좋은거같아요 개인적인 입맛으로는 후추맛이 강해서 너무 취향에 맞는거까지는 아니었지만 그래도 맛있었어요 ! 사장님이 너무너무 친절하셔서 기분좋게 식사했습니다 번창하세요 !!,crawl
"맛있어요! 대전에서 처음먹어봤고, 군산에도 생겨서 달려갔는데 역시 면발은 쫄깃쫄깃. 토핑도 맛있고ㅎ 닭고기가 들어간 우동은 정말 담백하고 소고기는 조금 더 맛이 강해요. 근데 대전보다 맛은 군산이 더 간이 쎈것같아요.",crawl
아 이거 이름 뭐더라 아무튼 존맛 ㅜㅜ 후추 가득이라 목 넘길 때 너무 시원해버리는 맛. 국물 진짜 찐하고 우동 면도 찐이에요 ㅜㅜ 갈 때마다 웨이팅 있는 집,crawl
궂!,crawl
겐로쿠 우동 너무 맛있었어요~ 전 닭우동? 친구는 소고기우동을 먹었는데 추운 겨울에 따뜻한 맑은 국물의 우동을 먹으니 너무 맛있었습니다. 또 가고 싶어요! 부산대 앞에 위치해서 부산대 놀러오신 분들께 추천합니다~,crawl
맛+친절함+양 빠짐없이 만족스러웠네요 국물맛이 깔끔한데 진해요.,crawl
소바보다 우동이 더 맛있어요!,crawl
굿,crawl
"저번에 재료 소진으로 실패했어서 걱정했는데 이번에는 성공했습니다 :D 저녁시간에 갔을때 웨이팅은 따로 없었어요! 국물이 굉장히 맛있어요!!! 같은 가격으로 두 곱배기 세 곱배기할 수 있다는 점이 굉장히 가성비가 좋은 것 같아요. 또, 먹을 수 있을까 고민할 필요없이 나중에 부족하면 면 추가를 해주신다고 적혀있어서 굉장히 좋다고 생각했습니다! 점심 때 와서 든든하게 먹고 가면 좋을 것 같아요 XD",crawl
"기본 양이 많은데도 우동 사리 리필이 된다는 점도 좋은데, 맛도 진짜 최고에요. 국물도 진하고 파, 닭고기, 면의 조합이 불향과 함께 입 안에서 폭팔하네요. 특히 겨울에 먹으니 몸도 따끈따끈하니 좋았어요~^^ 아 참 런치 타임에는 서비스로 유부초밥도 나오는데 얘도 우동이랑 잘 어울립니다👍",crawl
지도리가 젤 맛있고 유부초밥도 별미에요,crawl
친구가 맛있대서 평소에 오고 싶었는데 드디어 와봤어요! 우동이 쫄깃하고 국물이 진짜 맛있어요. 영양밥 안시켰으면 큰일날뻔 했어요. 여름되면 소바도 먹으러 오려구요 메뉴가 다 맛있어서 유뷰초밥도 시키려다 배불러서 참았네요 ㅎㅎ,crawl
우동 완전 맛있어요. 후추로 맛을 낸 우동,crawl
제 인생 우동집입니다 .. 제가 이때까지 먹은 우동은 우동이 아니였습니다.. 불맛도 나도 칼칼해서 끝없이 먹게되네요! 사장님도 너무 친절하셔서 기분 좋게 먹고왔습니다 ! 번창하세요 또 오겠습니다!!!,crawl
닭고기가 들어간 우동은 살짝 매콤했는데 그래서 더 맛있었던 것 같아요! :D 웨이팅은 따로 없었고 책상도 깔끔했습니다. 이번에도 국물 마시고 무릎을 탁 치고 갑니다 ~,crawl
우동맛있어요 국물은 남김없이 먹을만큼,crawl
너무맛있어요 저번에한번오고또왔어요 국물도시원하고면발도엄청탱탱해요,crawl
두곱빼기 양 많아서 싱글로 먹다 면 추가하는 걸 추천드려용,crawl
학교다닐때 늘 경대에서 먹던 겐로쿠 부대에서도 먹을 수 있게되어 너무 좋아요♡♡♡ 지도리(닭) 두 곱배기 니꾸(소고기) 일반 사이즈가 달라도 가격은 같구 무엇보다 일반 우동보다 짙은 국물..👍 파도 겉면을 살짝 익히고 불향을 입혀 달큰한게... 세상에♡♡ 면도 쫄깃탱탱한게 정말😭이렇게 맛나도 되나용?? 날이 점점 추워지는데.. 자꾸 생각날거같은 겐로쿠...!!!,crawl
우동국물이 진하고 맛있어요!,crawl
맛있어요,crawl
굿,crawl
오픈시간맞춰갔는데 런치는 11시반부터라 유부초밥은 무료제공이 아니더라는....ㅜㅜ 그래도 우동은 넘 맛있었어요~,crawl
니꾸우동 맛있어요 부산대 앞에서 우동 제일 맛있는 집,crawl
두 번째 방문입니다 지도리 우동 너무 맛있어요 다음에 또 오고 싶네요평일에는 자리가 정말 없는데 그나마 주말이여서 여유롭게 먹었습니다 참고하세요,crawl
겐로쿠 우동 매장이 많이 없어져서 아쉬워했는데 부산대에서 오래 장사해주셔서 종종 갑니다! 후추의 칼칼한 맛이 나는 지도리 우동이 달큰한 맛의 니꾸우동보다 개인적으로 더 좋아요. 토핑은 모찌가 맛있어요,crawl
같은 매장이라도 지점마다 맛이 다르다는 걸 알게 되었습니다. 제 입맛에는 평소 가던 다른 지점이 더 맛있었던 것 같네요. 또 밥 먹다가 계란 껍데기 씹어서 입맛만 배렸네요. 그냥 다른 지점처럼 계란을 주시는 게 좋을듯한데. 또 방문할 것 같진 않습니다.,crawl
진짜 숨겨진(?) 우동 맛집(제가 이제야 알았어요 죄송해요) ㅎㅎㅎ 지루소바 첨 먹어봤는데 시원하구 쫄깃하구 넘 좋았어요 !!!!ㅠ 소바 면이 따뜻한 것도 완전 신기했는데 ㅎㅎㅎㅎ 국물이 진짜 진국이었어요 ..bb 다음엔 다른 메뉴 먹으러 또 갈거예용 !!!!,crawl
국물이 끝내줘요,crawl
맛있어요 ㅎㅎ,crawl
지도리우동은 후추때문인지 꽤 매콤해요. 일반 우동과 달리 색다른맛이 좋았어요:-),crawl
맛있어요,crawl
보통,crawl
여기 우동국물은 전세계에 수출해서 70억 지구촌 인구가 모두 먹어봐야합니다,crawl
진짜 맛있는 우동이었습니다 불에 그슬린 파에서 나오는 달콤한 불향 아이와 먹기 정말 좋았습니다,crawl
국물맛이 좋아요,crawl
어린이메뉴가 있어서 좋았어요 유아 아기의자가 있어요,crawl
매콤하고 파가 들어가서 더맛나네요 매우 잘먹었습니다^^,crawl
우동 원없이 먹으 실 분은 꼭 추천~!,crawl
국물이 끝내줍니다 타지에 있을때부터 오랜단골 음식점입니당,crawl
우동을 원없이 먹을 수 있어요,crawl
까먹고 사진이 없네요;; 사이즈가 세 개씩 있어서 딱 양에 맞게 먹을 수 있어서 좋네요. 타코야끼도 문어도 낭낭한 게 간이 딱 맞습니다!,crawl
양 많고 맛있어요 우동 맛집,crawl
넘 맛있어요~,crawl
제 스타일은 아닌걸로...,crawl
굳,crawl
후추와 파의 매운맛이 넘 맛나요!,crawl
너무 맛있는 자루소바 집입니다. 곱배기 추가해도 가격은 같아요.😀😀,crawl
보통,crawl
좋아요,crawl
맛나요,crawl
우동 넘 맛있어요!,crawl
점심시간이라 붐벼서 음식이 나오기까지 오래 걸렸어요 . . 그치만 친절하시고 맛있네요 ~ 점심특선 부타동세트 9000원 추천해요 !,crawl
좋아요,crawl
굿,crawl
"기본적으로 구운 파, 후추 향이 매력적이네요! 니꾸우동은 고기도 많구요 곱빼기가 무료라서 양 많은 분들한텐 정말 좋을 것 같아요 직원분도 친절하시고 분위기도 좋네요 맛있게 먹었습니다:)",crawl
굿,crawl
맛있어요~,crawl
맛있어요!,crawl
"우동전문점? 멀리가지말고 여기 오세요.. 술안먹어도 해장쌉가능. 속이 다풀림. 여기 웬만하면 모르는사람없을텐데 1인분,2인분,3인분 조절 가능하니까 양에 맞데 골라서 시켜서 꼭 드세요 . 국물과 파, 고기 조합이 개 사기입니다. 여기 망하면 저 진짜 갈곳없어요.. 우동은 여기 미만잡입니니다. 진짜 딱 하나 아쉬운점은 나온지 18분만에 국물이 식어서 보온이 좀 많이 아쉽다는점이에요.....ㅜㅜㅜㅜ 그래서 따뜻하게 먹으려고 좀 급하게 먹었습니다. 지금도 충분히 맛집이지만 ,진짜 개선되면 완벽한 맛집입니다. 잘먹었습니다 또 갈게요:) 더보기",crawl
맛은 있는데 안이 좀 더워요,crawl
