text,source
우선 가격 대비 양이 너무 좋았습니다! 직원분들도 너무 친절하셔서 밥 먿을 때 편한 마음으로 먹었던 거 같습니다! 여러분들도 많이 와보세요~~ 맛도 맛있어서 호불호 없이 먹을 수 있었답니다! 저 뿐만 아니라 모두가 좋아했었습니다~~~,crawl
"부산대오면 항상 방문하는 교토밥상이예요!! 벌써 n번째 방문이라 규카츠랑 사케동, 모밀, 튀김까지 다 먹어봤는데 전부 다 맛있어요 ~ 이번엔 아이랑 왔는데 아이들도 잘 먹네요 :) ❣️❣️ 다음에 또 올게요~",crawl
"친구랑 오랜만에 규카츠 먹으러 왔는데, 대학생 때부터 맛집으로 유명한 곳인만큼 정말 맛있더라구요 ㅎㅎㅎ 다음에 또 방문 예정입니다. 입에서 살살 녹았어요!!",crawl
친구들 모임으로 왔어요~ 부산대맛집 검색해가꼬~ 규카츠 먹어보고 싶었는데 잘왔네요 깔끔하게 세팅되서 나오니 더좋구요~ 맛있게 잘먹었습니다~^^,crawl
"대기 없이 바로 들어갈 수 있었고 매장이 넓어서 이용하기 편했어요~ 규카츠는 예상한 대로 당연히 맛있었고 의외로 연어 아보카도가 정말 좋았어요! 도쿄밥상이 대체적으로 연어, 소바 등의 간이 딱 정당하게 좋아서 맛집으로 유명한 이유를 알겠더라구요~ 한 끼 맛있게 먹고 갑니다!",crawl
건강식 먹으러왔다가 구성너무좋아서 놀랐네요 ! 아보카도 연어덮밥 너무 맛있고 덮밥에 마요와사비소스인가 킥인것 같네요 👍🏼,crawl
비주얼도 너무 좋고 맛있엉용 ㅎㅎㅎㅎㅎ 데이트 장소로도 좋고 지인들 데리고 와도 좋을 것 같아요~~규카츠랑 연어덮밥 시켰는데 규카츠가 더 맛있는 것 같애요 개인적으로!! 아무해도 규카츠 집이니까…? 연어도 기름져서 맛있습니다ㅎㅎㅎ,crawl
리뷰써비스로 에이드 자몽 청포도 중 자몽 받앗어여ㅎㅎ 맛나야ㅎㅎ 규카츠랑 소바 다 맛있습니당!! 분위기도 넘 조하여 근데 주차지원 안됨ㅠ,crawl
연어덮밥을 정말 좋아하는데 교토밥상의 사케동은 이때까지 먹은 사케동 중에서 젤 맛있어요ㅠㅠ!!! 솔직히 연어 맛집을 가도 다 거기서 거기란 느낌에 교토밥상도 똑같은 연어덮밥 맛이 날거라 생각했었거든요 그러나 한입 먹자마자!! 사진의 연노란색의 튀밥같은 게 바삭 고소 짭짤한게 식감이 확 다르게 다가오니까 다른 맛집들이랑 비교도 안 될만큼 특색있고 더 맛있었어요ㅠㅠ 그 맛을 못 잊고 고기 먹자는 말에도 불구하고 재방문 했습니다 ㅠㅠ… 연어덮밥 좋아하시는 분들 여기에요!!!!!!,crawl
오후 5시 맞춰서 방문해서 바로 들어왔고 평일이라 그런지 저희만 있어서 조용히 식사할수 있었어요 처음 방문하는 곳이라 기대하고 왔는데 비주얼이 맘에 들구 맛도 있고 서비스로 주신 고로케도 맛나요 ㅎㅎ,crawl
아이 기숙사 입사날이라 같이왔다 처음 와본곳인데 특별한 메뉴에 맛도 좋았어요~~,crawl
규카츠맛집 교토밥상!!! 역시 너무맛있어요 메밀소바도 맛있구 규카츠 대박맛있어요 부드럽구 양도많고 짱!!! 너무잘먹었습니다♡,crawl
규카츠 최고 최애맛집!!! 교토밥상만큼 맛있는집 못찾았어요 사케동도 짱 맛있네요 최고!!!! ♡,crawl
일본에서 먹은 규카츠랑 비슷해요~ 아이가 직접 구워서 먹는 재미가 있어요^^ 가까운 곳에 있어서 접근성도 좋아요 😀 직원분들도 친절하시고 손님 많은데 대기시간 없어서 좋았어요.,crawl
맛있고 플래팅도 이쁘고 넘맘에 들어요^^ 잘먹고 갑니다 또 재방문의사있어요^^,crawl
맛있어서 또 왔어요 규카츠 맛집,crawl
오랜만에 밖에서 외식했는데 이 집 참 잘해요! 먹어본 사케돈 중에 제일 최고네요👍,crawl
매장이 깔끔하고 메뉴가 특별해서 좋아요 💗 또 오고 싶어용 ‼️‼️,crawl
맛집이라고 소문듣고 왔어요.소문대로 맛있어요ㅎ또 방문할께요~,crawl
"정갈하고 깔끔한 한 끼! 일본 가정식 느낌 물씬 나는 구성에 하나하나 정성이 담겨 있었어요. 특히 된장국이 정말 진하고 맛있었고, 밥도 윤기 좔좔! 분위기도 아늑해서 조용히 식사하기 딱 좋아요. 다음에 또 가고 싶어요 :)",crawl
역시 오늘도 맛있어요~^^,crawl
카레는 좀매워요..규카츠 구워먹는 재미에~부드러워요~ 살몬아보동 맛있게 먹어요^^,crawl
딸이 부산대학생인데 맛있다고해서 첫방문했는데 양도 넉넉하고 진짜 맛있어요!,crawl
배고팠는데 메뉴도 금방금방 나오고 고기도 신선하니 맛있고 양도 많았어요!! 사장님도 친절하시고 인테리어도 깔끔하도 일식집 느낌 풍만해서 밥 먹는 내내 기분 좋았아요! 다음에도 방문할 것 같습니다☺️,crawl
규카츠 먹고싶어서 방문했어요! 웨이팅할까봐 걱정했는데 다행히 바로 들어왔어요ㅎㅎ 소바도 곁들여 먹었는데 시원하고 맛있었어요😋 다음에 또 올게용~~,crawl
"부산여행 오는 겸 점심 먹을려고 들렀는데 너무 맛있어요,, 규카츠 구워먹는 재미도 있고 굽는 불판도 예뻐요 ㅎㅎ 가성비도 너무 좋구요 담번에 또 방문할게요👍🔥",crawl
처음방문했는데 깔끔하고 맛있네요. 고기도 엄청부드러워서 먹기좋았습니다. 또방문할께요^^,crawl
검색해서 오게됬는데 너무 맛있게 잘먹었습니다 ㅎㅎ 규카츠. 연어덮밥 둘다 맛있어요 !!!,crawl
"오랜만에 스테키동 먹으러 왔어욤 ㅎㅎ 맛도 괜찮고 가성비도 14,000원 정도면 괜찮은 것 같아요~ 영수증 서비스 에이드 잘먹을게요 고마워요🫳🫳",crawl
깔끔하고 맛있으며 아이와 함께오기도 너무 좋아요^^,crawl
고기 질기지 않고 연해서 맛있어요 직원분들 호출벨이 따로 없는 점은 조금 불편했지만 응대는 너무너무 친절하셨습니다! 재방문의사 있어용💖,crawl
믿고먹는 교토밥상 냠냠냠 부산대주위에서 규카츠맛집!!,crawl
구워먹는 카츠가 먹고싶어서 들렀어요~ 고기가 부드럽고 맛도있고 구워먹는 재미도 있어서 좋아요,crawl
맛잇어용~~♡ 바삭바삭 맛잇게 먹겟슴당 ^♡^,crawl
첫방문이었는데 양도 많고 맛있었어요!ㅎㅎ 다음에 또 방문할게요☺️,crawl
집근처에 규카츠 맛집이 있어서 좋아요 너무 맛있어요😊,crawl
처음 방문인데 비쥬얼 맛집이네요 음식이 넘 이쁘지 않나요 이쁜데 맛도 꿀맛이네요 알바분이 넘나 친절하세요 또 올게요,crawl
규카츠랑 스테키동 먹었는데 양도 많고 음식 질이 좋았습니다 육향 잘느껴지고 최근 먹은 규카츠 중에 제일 맛있었습니다~,crawl
가족들과 맛있게 잘먹었어요~^^,crawl
친구가 부산대에 여기 맛있다해서 와봤는데 양이랑 가격도 괜찮고 맛도 있어서 만족하고 갑니다!,crawl
분위기도좋고 음식도 맛있었어요 좋은시간 되었네요,crawl
저 규카츠는 여기서만 먹어요 !! 늘 올때마다 배부르게 만족하고 갑니다 ㅎㅎ 가격도 적당하고 고기질도 너무 좋아요 속이 자주 안 좋은데 요거 먹곤 속이 편안해요 🥹 맛있게 먹고 갑니당,crawl
직원분들이 친절하고 세트메뉴 구성이 잘 되어있어요! 맛도 완전 굿 특히 연어가 존맛탱입니다,crawl
역시 믿고 먹는 교토밥상!!,crawl
아이가 규카츠를 좋아해서 자주 오는 곳~~ 셤기간이니 먹고 힘내렴~~,crawl
재방문인데 언제 먹어도 맛있네요^^,crawl
친구 추천으로 방문했는데 분위기도 좋고 매장도 넓고 맛있게 잘 먹었습니다!!,crawl
부대에서 오기 너무 좋은 일식집이에요 지금 친구랑 세번째 옴 개강하면 또 올라고요,crawl
규카츠 맛있네요 매장도 넓고 데이트하기 좋아요,crawl
규카츠 너무 맛있어요… 자주 올게요,crawl
학교 근처라 자주 오는데 항상 맛있게 먹고 있어요😆,crawl
규카츠 처음 먹어봤는데 입에서 살살 녹고 맛있어요..!!! 소바도 추천합니다,crawl
항상 맛있게 잘 먹고 갑니다 너무 맛있아요🥺❤️,crawl
스테이크 덮밥이랑 연어덮밥 너무 맛있어용,crawl
겉은 바삭하고 속은 부드러운 규카츠의 식감이 정말 인상적이었어요. 고기의 육즙이 살아 있어서 씹을수록 고소한 맛이 퍼졌습니다. 개인적으로는 와사비 간장이랑 먹을 때 가장 맛있었어요. 돌판에 살짝 구워 먹는 재미도 있어서 더 특별했어요. 반찬 구성도 깔끔하고 부족함 없이 잘 나왔습니다. 다음에도 규카츠 생각나면 꼭 다시 방문하고 싶어요!,crawl
