text,source
연잎빱도 너무 맛있어요 고등어정식도 고기가 푸짐해요,crawl
연잎밥도 아주 맛나요,crawl
생선모듬구이 양도 많고 알차게주고 가격까지 착해서 맛좋은 생선구이한정식집으로 추천드리고 싶은 가게입니다 부산대역 가까이 4층에 있어요,crawl
"* 밑반찬들 다양하구, 하나하나 다 맛있어요!_!",crawl
네이버 후기보고 기대하고 방문했는데 두루치기랑 잡채 등 기본적으로 음식이 좀 다네요ㅠ..저랑은 좀 안맞는것 같습니다.,crawl
반찬 하나하나가 맛나서 좋았어요,crawl
생선구이 모듬은 가격도 착한데 양도 많고 맛도 엄청 좋아요 부산대 지하철역 가까이 있어서 가기도 좋아요,crawl
"좋은시간 보내고 갑니다. 부산대역앞에서 아이랑 식사할곳을 찾다가 들렸는데, 찬들도 깔끔하고 정갈하게 나와서 오랜만에 맛있는 식사를 했어요. 아이를 보시고 반찬까지 챙겨주셔서 감동했어요. 주차도 편하고 제육볶음,고등어구이 모두 맛있게 식사잘하고 갑니다.",crawl
사장님 친절하시구용 반찬이 깔끔하고 정갈합니당 생선구이도 잘 구어졌고 제육볶음도 불맛나면서 맛있어용 가격도 저렴해서 점심식사하기 좋을 거 같아용 추천합니당!!!,crawl
집밥 스타일 한식류가 땡겼는데 딱 만족스러웠던 부산대역한식집!!! 현재는 쌈 종류는 깻잎밖에 없어서 아쉽긴했지만 그외에 반찬이 다양하고 맛나서 잘먹었습니다 ㅎㅎ 불향가득 제육이 넘넘 맛났어요 ㅎㅎㅎ,crawl
생선먹고 싶을때 반찬먹고싶을 때 갑니다 어른들과 같이 가기도 좋아요,crawl
맛있어요,crawl
반찬들이 하나같이 맛있어요^^ 간도 적당하고 엄마랑 연신 맛있다하며 먹었어요. 특히 겉절이가 너무 맛나서 또 먹고 싶은 생각이 나네요 ㅎㅎ 서빙하시는 직원분과 사장님도 친절했어요. 그리고 제육볶음이 안맵고 불향이 나서 딱 저의 취향이었답니다! 재방문의사 200%에요~~~~~❤️❤️👍🏻,crawl
생선이 맛있어요 친절하시고 좋아요,crawl
오늘은 제육볶음이 깃한 느낌이 아니고 좀 딱딱하고 탄 느낌이 있었으나…😆맛있게 먹고 가요!! 다른 반찬들도 다 맛있고 친절합니다~다음번엔 연잎밥 정식 먹으러 올게요ㅎㅎ,crawl
