text,source
돼지국밥 집이지만 콩국수도 맛있네요. 양 진짜 많고 고소하고 진합니다.,crawl
순대 맛있고 국물 진합니다. 전라도식 김치 맛있어요. 직원분들 친절하시고 혼밥하기 좋아요,crawl
가족들과 자주 방문하는 곳입니다. 돼지국밥 맛있어요. 처음 오픈하고 얼마 안되서 갔을 때는 김치가 정~말 맛있었는데 재오픈하고 김치가 일반적이어져서 아쉬웠습니다. 김치덕에 돼지국밥을 더 맛있게 느끼던 1인으로서 그 특별함이 좀 아쉽지만 그래도 돼지국밥 맛있습니다.,crawl
인스타보고 먹어보고싶어서 동래에서 버스타고와서 먹었어요! 모듬국밥 시켰는데 주문실수때문에 돼지국밥 나왔지만 맛있게 먹었습니다ㅎㅎ 사장님이 너무 죄송하다고 순대 서비스로 주셨는데 너무 감사하더라고요ㅠㅠ 돼지국밥으로 먹어도 상관없었는데ㅠㅠ 김치는 젓갈맛 좋아하는 분들이면 환장하실거같아요ㅎㅎ 저는 맛있었습니드ㅎㅎ 셀프반찬코너도 깔끔해서 좋았어요ㅎㅎ 돼지국밥 기대 많이 안 했는데 맛있어서 완뚝 했습니다! 순대도 딱 제가 제일 좋아하는 스타일이라 안에 고기도 가득차있고 피도 쫀득쫀득해서 맛있었어요! 다 먹고나니 또 와야겠다 생각들더라구요ㅎㅎ 이런 집은 왜 우리집 앞엔 없는건지ㅠㅠ 다음엔 항정수육이나 못먹어봤던 모듬국밥 먹어보려구요!ㅎㅎ 맛있어요!ㅎㅎ 추천드립니다ㅎㅎ,crawl
항정백반. 순대국밥. 돼지국밥 주문 항정백반 강추! 진짜 촉촉하게 부드럽고 고소한 게 맛도리 국밥 별로 안 좋아하시는 분도 이건 잘 드셨어요ㅎㅎ 순대국밥도 수제순대가 들어있어서 맛있어요 잡내 없이 국물 깔끔하고 부산대에 국밥 맛집을 알게 되어 좋았어요 입가심 요구르트까지ㅎㅎ,crawl
"매장이 넓고 쾌적합니다. 기본반찬이 정갈하고 깔끔하네요. 다만 김치는 조금 짠 부분이있었고 깍뚜기는 간이 적절했습니다. 모듬국밥과 돼지국밥을 먹었는데 감칠맛이 확실하고 육수가 너무시원하고 좋습니다. 개인적으로는 다양한 부위를 먹을수있는 모듬국밥이 더 선호합니다.. 순대는 시판용인것같긴한데, 구수하고 맛있네요. 재방문 의사있습니다.",crawl
인테리어도 좋고 좌석간 간격이 넓고 확트여있어서 분위기가 좋아요 돼지국밥도 깔끔하고 양념 후추는 따로 넣어먹으면 됩니다 친절때문이라도 다시 방문해야 할 맛집입니다! 건승하세요 ^^,crawl
돼지국밥 을 선호하진 않는데 여기 진짜 맛있어요… 찐맛집입니다 ❤️❤️❤️ 사장님도 너무 친절하시고 인테리어도 이쁘고 너무 좋아요 동네맛집 완전 추천입니다 !! 👍🏻,crawl
"가오픈때 처음 오고 2번째 방문. 어머니와 나의 인생 첫 돼지국밥. 걱정이 좀 됐는데 살코기만으로도 주셔서 너무 맛있게 완뚝하고 옴. 아기의자+식기 있음. 밥 모자르지 않냐고 물어봐주시고, 사장님도 직원분도 너무 친절하게 신경 써 주심. 만족👍",crawl
"해장에 짱이구요... 고기 많고 진한국물 좋아하는데 국물 너무 맛있어요 김치 , 깍두기도 진짜 맛있어요 !! 김치맛집=국밥맛집 👍",crawl
"돼지국밥 너무 깔끔하고 맛있습니다. 김치도 국밥과 넘 잘 어울리게 잘 익어서 맛있었다니다.. 부추도 고추, 양파, 마늘 다 신선합니다. 번창하세요^^",crawl
새로생겨서 반신반의했는데 정말 괜찮아요. 어린이국밥도 있는데 가격대비 고기도 많이 넣어주시고 아이도 맛있다고 잘먹어요. 국밥은 진짜 맛있는데 김치가 약간 아쉽네요 ㅠ 간이 넘 쎘음 ㅠ 그럼에도 또 갈예정 ㅎ 친절하시구 매장도 청결하고 국밥도 진짜 맛있음 👍,crawl
국밥먹고 맛있어서 순대도 시켰습니다. 너무 맛있었음,crawl
최근 먹었던 국밥 중에 제일 맛있었음👍 (참고로 주3회 이상 먹는 국밥충임) 사장님 친절하시고 매장도 깔끔하고 (주방도 깨끗한것으로 보임⭐️) 우리 동네에 이런 맛있는 국밥집이 생기다니 너무 좋다 ㅋㅋㅋㅋ 음하하하,crawl
"평범한 국밥집이지만 ... 부산에서는 국밥집 하면 다 기본 정도는 하니... 밥 양이 조금 작으면 국수 사리 줄만도 한데... 국수 사리 없는집, 정구지도 양념없이 주는 자극적인 맛을 추구 하지 않는집 그런다고 건강하게만 먹을 내가 아니기에 양념장 듬뿍 풀어 먹으니 얼큰하니 좋은집 이집에 배추김치가 약간 익은듯 하여 국밥에 같이 말아 먹어 보니 금상첨화 ㅎㅎ 이집 국밥 먹을때 양념장 조금만 넣고 배추김치도 넣어 먹어 보세요 특별한 국밥 맛을 느낄겁니다",crawl
먹어봤던 돼지국밥 중에서 진짜 최고에요!! 순대도 마치 고기만두처럼 넘 맛있고 가게 내부는 넘 깨끗해서 좋았어요~~ 아이와 함께 자주 방문 하고 싶은 곳입니다 ❤️,crawl
좋아요,crawl
맛있고 느낌있어요!!,crawl
ㆍ,crawl
