text,source
좋아요,crawl
"진짜 향어 존맛탱, 양념장어에 밥 먹고 소금구이에 밥먹고 일주일에 한번옴ㅜ 밑반찬 부실하다는데 오히려 먹을거 딱있고 상추 깻잎 생생해서 좋았음",crawl
맛나요,crawl
굿,crawl
"장어가 맛은 있는데,조금 비싼편이고 서비스가 조금 아쉬워요",crawl
맛잇어요,crawl
장어는 맛있지만 기본찬이 예전만 못 해가는 것 같아 아쉬워요.,crawl
좋아요,crawl
맛있어요,crawl
밑반찬이나 가격이 예전만 못 하지만 장어가 실해서 좋아요. 장어만 보면 이 일대에서는 여기가 제일 괜찮아요.,crawl
장전역에내려 2번출구로나오면 금곡민물장어집이바로보여요~~ 친절하고 매장도넓어서 아주좋앗어요 양념구이로 배부러게먹고나왓어요~~^^,crawl
완전 놀랬어요.? .민물장어집 많이 다녔는데 맛집 인정^^,crawl
좋아요,crawl
좋아요,crawl
장어 맛있게 잘먹었습니다,crawl
ㅇㅇ,crawl
깔끔한 맛에 갑니다만 상차림이 예전만 못 한 건 조금 아쉬워요.,crawl
자주가요,crawl
장어가 맛나요,crawl
양념은 탱탱 소금구이랑 향어는 그닥 근데 여긴 안구워주네요. 계산도 잘못되서 되돌아가 정정.,crawl
굿,crawl
너무 맛있어서 폭식했네요~ 자주 방문할게요!,crawl
굿,crawl
굿,crawl
좋아요,crawl
너무 맛있네요!!,crawl
점심특선 괜찮아요,crawl
주차장도 있고 양념구이 소금구이 다 맛있었어요,crawl
굿,crawl
굿,crawl
단백하니 맛나요,crawl
굳,crawl
굿,crawl
맛나요,crawl
궁,crawl
굿,crawl
굿,crawl
좋아요,crawl
소금구이 장어 실하고 맛있어요,crawl
굿,crawl
친절해요,crawl
단골인데 넘 맛있는 맛집입니당,crawl
맛나요,crawl
굿,crawl
친절해요,crawl
좋아요,crawl
맛있어요,crawl
맛있어요,crawl
좋아요,crawl
맛있어요,crawl
"날씨 좋은 주말이라 가까운데 검색 해서 기분좋게 들어갓는데..완전실망..자리 안내서부터 좁은데로 가라고,,ㅠ 가격대비 장어는 양적고,완전 불친절,주차로7500윈ㅠ. 차라리 멀어도 아는데갈걸 후회막심ㅠ",crawl
별하나도 아깝습니다. 다른손님이 한입 깨물은 총각김치를 반찬으로 주십니다. 재사용으로 신고할뻔ㅜㅜ 불친철은 어의가 없네요. 왜 이런곳에서 내돈내고 거서 밥 먹었는지 후회됩니다. 완전 비추입니다,crawl
소금구이 넘넘 맛있어요~~,crawl
가격을 올린건 아니지만 한판반이 없어져서 가격 부담이 커져 자주 못가겠음,crawl
맛나요,crawl
굿,crawl
좋아요,crawl
소금구이가 맛있어요,crawl
밑반찬도 그렇고 친절도가 별로였어요,crawl
느끼하지 않고 맛있어요.써빙 이모님 친절해요~,crawl
맛있어요,crawl
맛나요,crawl
Ttt,crawl
아버님이 좋아하는집입니다,crawl
어르신들이 드시기에 좋아요,crawl
