text,source
여긴 말이 필요없죠~~~ㅎㅎ 완벽한 마름모~~!! 가성비 가심비 다 갖춘 맛집!! 뒷고기도 맛있지만 껍데기는 여기가 최고인거 같아요~~ 그리고 항상 직원분들이 집적 다 구워줘서 맛있게 구워지는 거 같아요~,crawl
여기 껍데기 진짜 맛있어요 잘꾸워주시고!! 껍데기때문이라도 또가고싶어요!,crawl
"뒷고기 특유의 꼬독 쫀득한 식감때문에 돼지고기 무든 분위 중에 유난하게 좋아하는데, 남편이 대학시절 자주 가던 집이 있다해서 설에 시간 내어 저녁 먹으러왔어요 🤍 고기 상태가 일단 너무 좋았고 신선해서 잡내 없이 아주 쫀득한게 다음에 여긴 무조건 또 와야겠다 싶었어요 ㅋㅋㅋ 껍데기도 두툼한데 아주 쫀득해서 일품입니다 …… 직접 구워주시는 점도 좋았네요. 또 올게요 !",crawl
"여기는 뭐 말이 필요하나요 돌아서면 생각나는, 너무너무 맛있는, 가성비도 짱짱짱 !!!! 뒷고기도 뒷고기지만 돼지껍데기를 먹지못했던 제가 중독이 된걸요. 첨에는 쫀쫀하게 나중에는 빠삭하게 두가지 씩감을 즐길수 있답니다. 오늘도 출근전에 와서 30분만에 순삭하고 갑니당~~~ㅋㅋㅋ 정말정말 잘 먹었습니다.",crawl
질 좋은 고기를 잘 구워주십니다👍 저녁시간 뭘 먹지 고민했는데 너무 맛있게 먹고 갑니다 특히 껍데기가 최고였어요!,crawl
부산대근처에서 여기 뒷고기 안먹어본 사람있나요??? 고기한테 체면걸리고 왔네요,crawl
말모... 대박집 맛있음 뒷고는 김해원조뒷고기 빨간간판...!,crawl
깔끔하고 너무 맛있어요 👍,crawl
뒷고기,crawl
"부산대 고기 맛집.. 가성비 짱! 고기,김치,콩나물 맛납니다^^",crawl
세번째 방문입니다. 여기 알게된 이후로 부산대에서 고기는 거의 여기서만 먹은거 같아요. 진짜 맛있고 진짜 친절하십니다. 가격에 비해서 고기 질이 진짜 좋아요,crawl
지인이 추억의 장소라고 해서 방문했는데 맛있고 가성비 좋고 최고였어요!,crawl
뒷고기는 늘 여기서 먹어요! 고기먹고 라면 마무리까지 든든하고 맛있어요🥰👍,crawl
뒷고기 생각날 땐 여기로 오게 되네요😙 가성비 좋고 든든하게 잘 먹고 갑니다😋,crawl
맛있어요 이집 뒷고기집~~ 손님도 많고 맛도 좋아요~~,crawl
"두번째 방문입니다. 직원분들 모두가 엄청 친절하시고, 기가막히게 잘구워주십니다. 고기는 말할것도 없이 강추합니다. 같이간 지인은 부산대 오는 사람들 마다 고기먹을때 데려간다고 하더라구요. 부산대 고깃집 원탑입니다 강추합니다",crawl
"뒷고기가 맛있고 콩나물,김치랑 같이 먹으면 더 좋아요👍😁👍",crawl
껍데기 존맛탱,crawl
가성비 좋고 무엇보다 고기가 맛나요~~!!😋,crawl
완전 가성비 맛집 돼지고기 한판 짱.. 술을 부르고..부산대 학생들의 회식 맛집 가족모임 맛집이랍니다.. 부산대 맛집추췬 #부산대 맛집 #부산대고깃집 #부산대회식맛집 #부산대맛집 #부산대고기집,crawl
역시 맛있네요,crawl
또또또또또!! 갈 집!!,crawl
돼지껍데기는 여기가 최고!!! 살얼음소주주는 센스!!!,crawl
부산대학교후문에 위치한 유명뒷고기맛집입니다. 싼가격에 맛있는 돼지고기먹을수있고 직접맛있게 구워주셔서 오랫동안 사랑받고있는 고기집입니다. 내부가 넓어서 단체모임이나 가족외식으로 좋구요. 주차장이 없어서 근처 유료주차장 이용하셔야합니다. 껍데기 꼭 드셔보셔야하구요. 식사로 된장찌개 맛있어요.,crawl
넘넘 맛있게 잘먹었습니다 다만 좀만 더 청결하면 좋겠어요ㅠㅠ 특히 화장실이 아쉬웠지만.. 그래도 고기도 구워주시규 가성비 맛집이에용,crawl
가성비 최고 짱짱 맛있어요 !!,crawl
더운거 빼고 최고에요!!,crawl
