text,source
부산대에 꼭지네 생겼어요~ 동래가면 맨날가던곳인데 부대쪽에도 생겨서 여기를 더많이 갈꺼같아요ㅎㅎ가까워졌엉ㅎ 역시나 안주 가격도 저렴하고 전부 다 맛있어요ㅎ 포장마차 분위기에 취하구 존맛!! 자주방문할게용!!~~서비스도 챙겨주신건 안비밀~,crawl
"꼭지네 부산대점 2번째 방문쓰... 이번엔 오징어숙회물회 먹었습니다.. 걱정 했던 것보다 비린내 하나 없이 깔끔해서 좋았습니다.. 국물은 시원하고 새콤달콤한 맛이 입맛 확 살려주고, 얼음 동동 띄워져 있어서 여름에 딱인 것 같습니다.. 채소랑 면 사리까지 같이 먹으니까 포만감도 좋습니다.. 첫 방문 때도 좋았지만 이번에도 꽤나 만족합니다. 늦게 까지 하니까 조칼 질릴땐 좋은 선택지 입니다... ㅎ",crawl
"지나가다 오늘 오픈했다길래 궁금해서 들어가봤습니다. 직원분들 진짜 친절하고 응대도 빠릅니다. 돼김찌 시켜 먹었는데 간간하니 맛있고, 양념 돼갈이 진짜 개개개개맛있어요!! 가격도 나쁘지 않아서 가성비 굿이라고 생각합니다 :). 첫날이라 걱정했는데 맛도 좋고 서비스도 만족! 재방문 의사 있습니답.",crawl
분위기며 음식퀄까지 너무 완벽한곳이네여ㅠㅠ 부산대쪽에 이런곳이 생기다니....개인적으로 이만한 술집 없다고 봐여 1차든2차든 여기여서 시작과 마무리하는걸로 ㅎㅎ 👍 사장님도 너무 친절하고 형같은느낌? 직원들도 너무 친절해ㅠㅠㅠ 아무튼 인정하고 갑니다용,crawl
"꼭지네포차! 부산대술집! 안주로 김치전 시켰는뎅, 바삭하이 맛있네요ㅎㅎ 다양하게 안주종류도 많고 가성비 있어서 좋은거 같아유ㅋㅋ",crawl
와.. 타임머신타고 과거로돌아온듯! 부산대 20년살면서 레트로 술집 정착1번확정에 안주가격 미쳤고 맛도 미쳤고 친절도 미쳤고 진짜 사장님이 미치신건지ㅎㅎ 일하는 직원들 외모도 미쳤다 꺄~~~>< 부산대 졸업생인건 안비밀이지만 자주자주올께요 사장님! 추억의 거리 & 상권 꼭 No.1되시고 오래오래장사해주세요!! 서비스너무많이주셔서 진심으로 감사드리고 너무떠들어서 죄송합니다ㅋ,crawl
순두부찌개랑 골뱅이 무침먹엇는데 순두부찌개는 간은 슴슴하고 매콤해서 술안주로 좋앗구 골뱅이무침은 팔도 비빔묜 양념 생각해주시면되규 저희는 자리를 잘못잡앗는디 덥더라구요 ㅠㅠ 담에는 시원한자리로 가여겟어용 ㅎㅎㅎ!! 그래도 즐겁게 잘놀다왓습니당!!,crawl
이번에 새로 생겼다해서 가봤는데 안주가 너무 맛있어요 그리고 특히 여기 노래 맛집이에요 진짜..,crawl
가게 인테리어가 너무 이뻐요 !!! 포차를 실내에 통째로 옮겨놓은듯한 !!! 음식도 너무 맛있고 엄청 빨리 나와서 너무 좋았습니당 ㅎㅎ 가성비도 짱 좋아요 😀 직원분들도 다들 너무 친절하셔요 ♡ 앞으로 부산대 올 일 있으면 꼭지네만 갈거 같습니당 >_< !!!,crawl
안주가 너무 알차고 너무 맛있어요!!!! 식혜도 완전 추천합니다!!,crawl
스껄 사랑해요 맛있어요 꼭지네 개맛있어요 꼭지네 ㄹㅇㄹㅇㄹㅇ 맛있다 부산대 1티어 꼭지네!! 꼭 지나쳐야하는 곳 !!! 여기 오쎄여!!!,crawl
새로 생겨서 왔는데 분위기가 더 좋아진 것 같아용 너무 시끄럽지 않아서 친구랑 얘기하기도 좋아요,crawl
