text,source
오랜만에 방문했는데 방학 중이라 그런지 웨이팅없이 바로 앉았어요. 차슈랑 카라아게 강추드립니다!,crawl
양도 많고 맛있어요! 가족끼리도 연인끼리도 오기 좋은 곳인 것 같습니다!!,crawl
제가 제일 좋아하는 밥집이에요!,crawl
언제 가도 만족스러운 나오리쇼쿠♡,crawl
맛있어용👍🏻,crawl
항상 여기 자주 오는데 반찬들도 맛있고 다 먹도 난뒤에 보리차 말아먹는거 꿀맛이예요😃😃👊👊,crawl
한 달에 두 번은 오는 것 같아요. 돈 낸만큼 구성 알차고 음식이 깔끔합니다.,crawl
너무 맛있어요!!🤍🤍 차슈랑 가라아게도 맛있고 같이 나오는 고로케도 짱맛이에용,crawl
방학이라 오늘은 대기가 많지 않았습니다. 한끼 깔끔하게 맛있게 먹을 수 있어서 좋습니다.,crawl
맛있어서 자주 방문하고 있습니다 ㅎㅎ,crawl
음식이 너무 맛있고 너무 신선하고 좋아요!! 너무너무 맛있어요!,crawl
"오차즈케 정말 맛있었어요! 점심시간 딱 맞춰 갔는데 웨이팅 1팀 있었구, 생각보다 금방 들어갔어요. 번호표 받고 기다리면서 주문해서 그런지 메뉴는 앉은 뒤 얼마 지나지 않아 나왔습니다! 맛은 기대한 만큼 맛있었어요. 후식으로 주신 젤리가 너무 귀여웠어요. 이 근처 또 온다면 또 방문할게요 :)",crawl
잘 먹었습니다.,crawl
오랜만에 왔는데 더 맛있어진듯요. 명란도 더 커지고 마요네즈양이 더많아져서 너무좋았어요!! 💓🤓🥒 가격이 조금올라서 그런건가 암튼 존맛~ 오차즈케를 나오리쇼쿠에서 첨먹어봐서 메뉴자체가 맛있는 메뉴구나했는데 다른곳들에서 먹고 맛집은 맛집이구나 알게됬슴당✨👍🏻,crawl
너무 맛있어요 ;),crawl
맛있어서 자주 오게 되는 집이에요. 어제 자다가 꿈에 나와서 먹으러 왔습니다. 번창하세요!,crawl
맛있어요! 정갈하고 매장도 깨끗해요,crawl
