text,source
연어는 간이 안되어 있음. 간장을 곁들여 먹어야 함. 고등어는 간 되어있음! 둘다 맛있음 !! 웨이팅 조금 있었지만 금방 들어가서 먹었네용^^ 대기번호 받을때 미리 주문해서 그런가 앉은지 얼마 안되어서 바로 밥 나와서 좋았어요.,crawl
차슈랑 가라아게 정식 먹었어용 👍 밥 반쯤 먹고 차 부어서 오차즈케 해먹는게 뭔가 숭늉 같아서 담백하고 깔끔하게 마무리 할수 있음! 11시쯤 갔을땐 자리 많았는데 먹고 나올때쯤엔(12시) 웨이팅 생김,crawl
삼고초려 끝에 방문한 곳! 그럴만한 맛이냐라고 물어보면 그렇다고 대답은 못하겠지만 깔끔해서 좋았어요. 차슈에 오돌뼈가 꼭 하나씩 있어서 조금 불편했습니다. 그렇지만 전반적으로 나쁘지 않았어요. 점심시간 맞춰가면 웨이팅이 길어서 조금 일찍가는걸 추천해요.,crawl
"평일이나 주말이나 대기가 많네요. 대기줄 많은거 뻔히 보이는데, 음식 다 드시고도 대놓고 오래 앉아계신 분들 종종 보여서 화가 났지만, 음식이 맛있어서 용서되는 곳입니다. 연어덮밥 맛있었고, 같이 시킨 차슈,연어구이도 맛있었어요.",crawl
"부산대 최애 맛집 ,,, 갈때마다 맛있음 밥은 꼭 보리차에 그리고 멜론 소다 추천해요 >.<",crawl
부산대 나오리쇼쿠에 다녀왔어요 4시40분까지 브레이크타임이라 앞에서 조금 기다리고 들어갔고 부산대 NC백화점쪽 칠칠켄터키쪽 골목으로 들어가면 있었어요 차슈 오차즈케와 가라아게를 시켰고 사이드로 감자고로케도 함께 시켰어요 인테리어가 아기자기하고 이뻤고 일본가정식을 먹는 느낌이라 깔끔하고 좋았어요 전체적으로 음식은 깔끔하고 차슈도 간이 되어 있어서 밥하고 먹기 어려움이 없었어요 구성에 맞게 밑반찬도 다르게 나와서 맛있게 먹었어요 그리고 디저트로 오렌지와 젤리까지 줘서 더 좋았어요 밥을 반쯤먹고 보리차에 말아먹으니 그것도 새로웠어요 잘먹었어요!,crawl
음식이 정갈하고 깔끔하게 나와요 맛도 특색있어서 좋아요,crawl
금욜 5시35분쯤 입장 좌석 여유있었고 6시부터 대기 시작됐었어요. 저흰 첫방문이라 베스트메뉴 3가지 주문해서 나눠 먹었는데 짜지도 달지도 않아 모두 맛있었어요. 카라아게는 7시쯤 나올때 sold out 였으니 참고하세요^^,crawl
너무 맛있어용~!,crawl
분위기가 편안하고 음식이 정갈하게 잘 나와서 종종 잘와용 ◡̈,crawl
오차즈케와 차슈가 맛있는! 일본식이 아닌 퓨전 한식!! 고등어 구이도 뼈없이 나와서 먹기 편하고 좋았습니다! 입맛 없을 때 오면 좋을 것 같아요! 점심시간에는 웨이팅이 있으니 주의하시길!,crawl
이제 명란구이는 사라져서 메뉴없어요!! 양 작아요! 맛은 있어요!,crawl
