text,source
(장문 주의) 부산에 친구가 놀러와서 저녁으로 밀면 먹이고 전부터 근처에 있는 나이트폴 가고싶었던 여성.. (크리스마스 날에 제가 예약 못했기에 이용 불가 하다고 하셔서 다른 곳 갔어요🥹) 밀면 먹은 후라(만두도 먹었어요) 엄청 배부른 상태였지만 그럼에도 와인이랑 샌드위치 시켰는데 진짜 “싹싹” 긁어 먹었습니다 🎉너무 맛있어요…….. 🎉 사장님 흑백요리사 왜 안 나가셨나요?!?!?!? ++ 남칭구 데리고 데이트 아주 자알 했습니다 남칭구도 스테이크랑 뇨끼의 소스가 진짜 대박이라구 했어요 역시 설거지 하실 필요 없이 싹싹 긁어 먹었어요😉 또 올게요!!!! 사장님 넘 바빠 보이셔서..😢 제가 홀알바 하고싶어요 사장님께서 혼자 하셔서 좀 기다려야 하실 수도 있어용.. 그치만 모든 게 용서되는 맛이에요😭,crawl
추천받아 갔는데 너무 맛있었어요! 후기잘안쓰는데 진짜 최고!! 뇨끼 다들 드셔보세요~,crawl
"캐치테이블로 미리 예약하고 가면 좋아요 1인 쉐프라 손님이 몰리면 음식나오는데 시간이 좀 걸리는 편이에요 그래도 분위기, 맛 다 잡은 장전동 맛집!!",crawl
분위기 좋은 와인바 데이트코스 찾는다면 나이트폴 추천이요❤️ 오픈키친 감성 너무좋고 음식이 진짜 맛있어요 소개팅이나 친구모임하기 좋아요👍,crawl
맛있어요🙂 엔쵸비파스타 뇨끼 그리고 사진에 없는 바질치킨도 시켰어요! 둘이서 워낙 잘먹기도 하고 양넉넉하니 좋아요 뇨끼랑 바삭한 식감의 고기 견과류 잘어울리는것 같아요 맛있게 잘먹었었어요 사장님혼자서 뚝딱뚝딱 금방 하시더라고요👍,crawl
친절하시고 맛있고 좋아요,crawl
"분위기도 좋고 카페로 왔다가 저녁 먹으러 왔는데, 사장님 완전 금손이심!!! 혼자서 어떻게 뚝딱뚝딱 맛나게 만드시는지 궁금합니다!!!! 뇨끼 완전 감자맛 듬뿍 나고 맛나고 엔쵸비 파스타도 약간 매콤하니 맛나요👍🏼",crawl
뇨끼 먹으러 갔는데 안된다고 해서 아쉬웠어요. 맛은 괜찮았어요~ 대학생들 상대로는 가격대가 있는 편인거 같아요~,crawl
뇨끼 쫀득하고 크림소스 맛있어요 ! 바질치킨은 부드럽고 둘이먹기엔 생각보다 양이 많네요,crawl
"이때까지 먹어본 양식들에 비해 훠너어얼씬 고급지고 퀄리티 미친 맛,, 뇨끼 여기서 처음 먹어보ㅓㅆ믄데 대 존맛입니다,, 황당,, 분위기도 좋아요ㅠㅠㅠ 또 갈게요",crawl
맛있어요 친절하고 분위기 좋아서 즐거운 시간 보냈어요,crawl
파스타도 뇨끼도 맛있어요 다른 메뉴 먹으러 또 가야겠어요 !,crawl
음식 너무 맛있어요 초고수 사장님이 요리하는 게 보이는데 무심한듯 팍팍 요리하시는데 음식이 정말 수준급으로 맛있어요 흔한 재료로 신선하고 맛있는 요리를 만들어요 ㅜㅜ 보기에도 예뻐서 사진도 잘 나오는데 맛 풍미 식감 전문성 재료 다 완벽해요 젊은 커플들 데이트하기 좋을 것 같아요 분위기있고 음악도 좋구요 음식 가격대는 있지만 장전역 최고 맛집이에요 요리도 다양한데 너무 독특하고 도장깨기하고싶어요,crawl
뇨끼 너무 맛있었고 시킨 메뉴 두개가 잘 어울려서 좋았어요~ 낼 또 갈꺼에요,crawl
뇨끼랑 바질치킨이 베스트 메뉴에요 어디서든 맛 본적없는 맛있는 맛!! 바질치킨이랑 감자튀김이 오버쿡된 건 좀 아쉬웠어요,crawl
재료가 신선하고 맛있어요!!,crawl
좋아요,crawl
북뮨에서 가기 좋은 식당,crawl
정말 맛있는 집 별 백 개,crawl
장전동 최고의 맛집.. 가장 인기 많은 뇨끼랑 바질치킨 먹었어요. 다른 양식집 뇨끼보다 크기도 크고 너무 맛있어요ㅠㅠ 바질치킨도 양과 맛에 비해 착한 가격 …. 분위기도 너무 좋아서 특별한 날 또 오고싶네요! 와인종류도 많아서 와인러버들에게도 강추!⭐️,crawl
파스타 소스가 독특하고 간이 쎈편이지만 맛있어요,crawl
간 날에 뇨끼와 바질치킨이 안되서 계획에 없던 깔라마리를 시켰는데... 세상에나... 시켰던 음식 중에 제일 맛있었어요 다들 깔라마리 꼭 한 번 먹어봤으면 좋겠네요 적당한 삶기와 풍부한 맛! 담에 오직 깔라마리만을 위해 또 가야할 듯!!,crawl
분위기 진짜 좋고 메뉴 다 맛있어요ㅎㅎㅎ막 친절한건 아니지만 분위기 내고 싶은날 가면 좋을거 같아요❤️,crawl
작년 연말에 갔었는데 분위기도 맛도 좋았어요 사장님 혼자서 하셔서 조금 기다려야하지만 빠르게 잘 만들어주십니다ㅎㅎ,crawl
가게 분위기 넘 좋구 음식도 다 맛있어요 🫶 사장님도 친절하셔서 잘 먹구 가용,crawl
"토요일 저녁시간에 방문했는데, 적당히 사람도 있었고 역시나^^ 맛있게 먹었어요. 웨이팅 싫으신 분들은 ⭐️사전예약해서 방문하면 좋을듯 하네요!",crawl
맛있어요,crawl
굳,crawl
인테리어도 너무 이쁘고 음식도 맛있어요!!,crawl
가지 라자냐는 가지“라는 단어를 빼는게.. 나을 것 같아요 가지 라자냐 라고 되어 있어서 기대 했다가 실망 했습니다 양이 많아서 든든하게 한끼 먹고 갑니다 사장님 혼자 일하시는데 매우 바빠 보였어요 홀이 작은 것도 아니니 서빙 테이블 청소 하는 분이 한 분 더 있어도 좋을 것 같아요 음식이 제 때 나오길 바라고 급하게 나오는 건 원치 않습니다.. 독촉하고 싶지 않은데 그렇게 되네요 눈치 보면서 식사하는 것도 싫어요,crawl
바질크림 맛있어요,crawl
친구생일겸 방문했는데 또가고싶은맛이에요 ㅎㅎ,crawl
어제시킨 메뉴들 하나같이 만족스러웠어요. 다른 메뉴들도 부수러 방문하겠습니다!!,crawl
음식이 전반적으로 독특하면서도 맛있어요! 뇨끼는 안된다고 하시던데 다음에는 뇨끼 먹으러 재방문할게요👐🏻,crawl
바질치킨이랑 새우오일 시켰는데 진짜 너무 맛있어요!!! 치킨이 어떻게 이렇게 촉촉 할 수 있죠!!??? 최고 입니당,crawl
맛있어요!,crawl
부산대 저만알고싶은 최애맛집입니다. 음식 맛은 물론이고 다양하고 좋은 와인을 마실수있어서 좋아요!,crawl
가게가 너무 예뻐요 ! 오늘은 낮에왔는데 저녁에도 분위기 좋을 것 같아요 ㅎㅎ 부산대의 보물을 발견한 기분 💕,crawl
처음갔는데 넘 맛있고 매장 깨끗하고 센스있는 가게였음 친구랑 또 가기로 결정~~~~ 애견 동반 가능인지 밥먹는데 개 데리고온 손님 있었는데 털 날리면 어떡해요.... ?,crawl
뇨끼맛있어요,crawl
생각이상으로 요리들이 맛있어요. 리뷰에서도 봤는데 부산대에 오 이런곳이? 할느낌 ㅎ 트랜디한데 요리가가볍지않아요. 와인과 곁들이기 좋아요,crawl
뇨끼 한 입 먹고 너무 맛있어서 놀랐습니다. 뇨끼뿐만 아니라 다른 것들도 당연 맛있구요 부채살도 너무 맛있었습니다. 또 방문해서 못 먹어 본 거 먹어보려 합니다. 빵이 있나 주문하려 했는데 없어서 사장님이 서비스로 주셨어요. 감사합니다 맛있는 음식.,crawl
음식은 말할것두 없구요 핸드워시 핸드크림향도 좋아요.매장 곳곳에 사장님의 취향이 녹아든 나이트폴이예요.특별한 날 가기도 좋을것 같아요.,crawl
"뇨끼 식감 맛있었어요. 약간 간이 있는 편이라 심심하게 먹는 제겐 조금 짜게 느껴졌습니다. 스테이크에 버섯도 듬뿍 구워져 나와 좋았구요, 와인도 맛있었어요. 중간 이상으로 괜찮았어요. 가격대가 있으나 분위기 좋아서 조용하고 괜찮은 것 같습니다.",crawl
라자냐 맛있어요,crawl
ㅠㅠ 너무 맛있어요 식감 대박… zzang,crawl
좀 좁지만 맛있어요 비쌈,crawl
가게가 예쁘고 분위기도 좋고 음식도 맛있어요,crawl
좋아요,crawl
점심에는 파스타 저녁에는 와인바 넘 좋아여 뇨끼 추천~,crawl
예쁘고 맛있었어요 부산대에서 젤 좋은들,crawl
"감자뇨끼 진짜 너무 맛있어요,, 사실 다른 음식들도 다 맛있어요 짱 !!!",crawl
부산대 유일의 파스타 맛집 메뉴 변동성이 잦은 것은 아쉬웠다,crawl
특별한 날 오기 좋아용,crawl
"점심 간단 파스타 먹기 좋아요!! 1인 쉐프 이시고 항상 바쁘신데도 제대로 된 음식을 준비해 주셔요!! 재료는 항상 신선하고 오픈 주방이라 살짝 보고 있으면 위생, 재료 관리에 엄격함이 느껴져서 믿고 먹을 수 있어요!! 낮술 가능♡♡",crawl
두번째 방문인데 항상 갈때마다 분위기가 좋은 것 같아요~ 음악도 좋고 저녁되면 은은한 조명도 분위기에 한 몫하더라구요! 한번은 커피마시고 한번은 술마셨는데 둘 다 좋은 기억이었네요! 글라스 와인은 병이 넘 커서 양이 작아보여요ㅠㅋㅋ 위스키는 완전 제 취향이었습니다!,crawl
"장전동에서 이런 커피를 먹을 수 있는건 행운이에요. 낮에는 카페, 밤에는 다이닝 바로 운영되서 분위기도 좋고 커피, 디저트 모두 맛 좋았어요 :)",crawl
"분위기도 너무 좋고 와인, 안주도 너무 맛있었어요 :) 또 가고 싶은 집이에용",crawl
굿,crawl
음식은 그냥저냥 먹을만 해요. 근데 먹고 나서도 먹은것 같지 않아서 또 밥 먹으러 갔어요ㅋㅋ 병음료 너무 맛이 없어요ㅠ,crawl
맛도 좋고 분위기도 좋아요,crawl
ㄱ,crawl
"주차할 곳이 없다는 점, 혼자 운영하시다보니 주문이 조금 밀릴 수 있다는 점, 자리가 부족하다는 점이 있지만 그 외 모든 게 좋습니다!",crawl
처음 가봤어요,crawl
:),crawl
:),crawl
good,crawl
분위기도 좋구 한번쯤 가서 먹을만해요~^^ 음식 다 맛 괜찮아요,crawl
콜드브루 맛있었어요! 밤에 와서 와인도 먹어보고싶네요 ㅎㅎ,crawl
"부산대쪽에도 이런 와인바가 생겨서 너무 좋네요 , 음식도 대부분 빨리나오고 가격대비 좋은 퀄리티의 음식을 먹은거같아 좋아요",crawl
장전동에 와인바가 생겼다는 말 듣고 바로 친구들과 가봤습니다. 알고보니 허클베리 사장님께서 운영하시더라구요. 맛은 말할것도 없고 고객을 위한 서비스와 인테리어에 감동받았어요😊 쉽게 접할 수 없던 네츄럴와인도 디스펜서를 통해 쉽고 저렴하게 이용할 수 있어서 너무 좋았어요. 다음에 또 올게요🙌,crawl
나이트폴의 저녁시간은 분위기가 깡패입니다!!파스타가 특이한 맛이나요 근데 맛있어요 왜그런거죠?? ㅋㅋㅋ 와인 한 병은 자칫 부담스러울 수도있는데 한 잔씩 셀프와인바 형식으로 되어있어서 부담 없이 즐길 수 있어서 너무 좋았어요 사장님... 다음번엔 친구말고 남자친구 만들어서 올게요...,crawl
음식 간이 조금 쎄긴했지만 다른것들은 다 만족스러웠어요~ 재방문의사 있습니다!,crawl
와인 양에비해서ㅠ 가격대가 있는거같아요! ㅠㅠㅠ 분위기나 음식맛은 만족합니다,crawl
진짜 황홀한 맛... 올리브소스 닭다리구이 짱맛,crawl
분위기 좋아요 와인 한잔 8천원에 90ml 나오는거 알구 가세용 ㅜㅠ 생각보다 양이 쪼금나옴...,crawl
셰프님 허프때도 자주 갔었는데 더 좋은 공간에서 멋진 요리를 !! 라비올리 짱짱,crawl
분위기도 좋고 음료맛도 좋습니다.,crawl
글라스로 파는 내추럴와인 좋아요.,crawl
커피는 괜찮은데 요거트는 별로였어요,crawl
만족해요,crawl
조아요,crawl
좋아요,crawl
좋아요,crawl
와인 라인업이 좋아요,crawl
분위기 좋고 맛도 좋아요,crawl
장전동에 음식점이 새로 생겼다 해서 다녀와봤습니다. 치킨라구와 프렌치 토스트 시켜먹었는데요 너무 맛있네요. 재방문 200프로 입니다!!,crawl
오픈했길레 와 봤는데 가게 분위기가 너무 좋아요 ! 와인도 디스펜서가 있어서 신기하고 음식맛도 좋아요 :),crawl
음식이 맛있고 분위기도 너무 좋네요 특히 사장님이 친절하셔서 기분좋게 먹고 갑니다^^ 다음에도 또 올게요~,crawl
😊,crawl
좋아요,crawl
좋아요.,crawl
죠아요,crawl
