text,source
"양고기 먹고싶을 때 갑니다. 또띠야는 셋트 메뉴 시키면 1인당 1개씩 만들어줍니다. 쌀국수와 비빔쌀국수도 맛있습니다. 비빔쌀국수는 고기와 같이 먹으면 더 맛있습니다. 방아된장도 맛있습니다. 사장님 친절하시고, 직원분들 친철하시고, 미남이십니다. 번창하세요!.",crawl
너무 맛있어욤 다 구워주셔서 편하고 식사도 맛있어요 대만족👍,crawl
대기했었습니다 구워주셔서 편했습니다,crawl
굿,crawl
"양고기 넘 맛있어요 다 구워주셔서 너어어무 편리하구요 2인세트 4만3천원 양 괜춘하고 적당! 항상 웨이팅 있는 걸로 아는데, 예약하면 되고, 월욜 오픈시간에 맞춰서 바로 가니 예약 안하고 창가에 앉았어요. 또띠아가 진짜 맛있어요 ㅎㅎ 3번째 방문이었는데 갈때마다 감덩",crawl
예약해서 가서 편하게 먹을수있어 좋았어요.부산대 양고기집 추천해요,crawl
"전화로 예약하고 방문했는데, 웨이팅이 좀 있어서 20분 정도 기다려서 들어갔어요. 창문이 열려 있어서 좀 더웠어요ㅠ.. 그래도 고기 질이 너무 좋고 구워주셔서 먹기 편했어요. 부모님 모시고 간거였는데 만족스러운 식사였습니다! 부모님도 마음에 드셨는지 따로 또 방문하셨다고 하더라고요. 추천합니다",crawl
"사랑니 때문에 아픈 상태로 고기를 먹을 수 있을까 걱정을 하고 갔지만 고기가 너무 부드러워서 진짜 하나도 안 아프게 먹었어용!!!! 직접 구워주시며 걱정도 해주신 사장님 쏘스윗,,,🤭 고기에서 냄새도 안 나고 부드러워서 소고기 먹는 줄.. 리뷰는 처음이지만 자주 가는 식당이라 갈 때마다 항상 맛있게 먹고 만족하면서 갑니당 낙양 체고👍🏻🫶🏻👍🏻서비스도 너무 좋아서 누군가 대접하고 싶을 때도 가기 좋은 식당👍🏻👍🏻",crawl
"매번 웨이팅이 있는 낙양,, 드디어 와 봄 ㅎㅎ 직원분들이 고기 다 구워 주시는데 나오기전까지 토마토바질마리네이드를 먹는데 맛이 진짜 미쳤어,, 넘 맛있오 ㅠ 리필 두 번 한 듯ㅎ 프리미엄세트로 주문했고 양은 많진 않았다 ㅎ 비리지 않고 맛있게 먹었음,, 세트라 또띠아도 만들어주심 한입컷 순삭ㅋ 마무리로 열무국수도 먹었는데, 소면이면 더 좋았을 것 같은 아쉬움이,, 육수랑 열무는 맛있었는데 면이 넘 굵었다 ㅠ 공간이 좀 협소해서 웨이팅이 긴 것 같기도,,ㅎㅎ 특별한 날 오기엔 좋을 것 같다",crawl
예약 못해서 못갔었던 드디어 가본 직접 구워주는 맛있는 양고기 집♥︎ https://m.blog.naver.com/e_dreamy/223720689265 내돈내산 솔직후기 포스팅><,crawl
