text,source
너무 바사삭하니 맛나요!! 최고!!!,crawl
똥집 후라이드도 치킨도 늠늠 신선하고 바사삭 맛나용~~~!!!,crawl
치킨이 너무 맛있고 사장님도 너무 친절하십니다! 서울에서 놀러와서 먹는데 너무 맛있습니다 감사합니다!,crawl
"들어오자마자 에어컨이 빵빵하게 가동되서 시원했어요! 순살3종 치킨 시켰는데 따끈하게 금방 나왔구, 개인적으로 슈프림치킨이랑 크리스피 완전 추천이에요! 바삭 그 잡채ㅎㅎ 사장님도 친절하시고 서비스 굿 맛있게 잘 먹었습니다:)",crawl
사진으로 담지 못했습니다.. 너무 맛있어요!!,crawl
메뉴들이 양도 많고 사장님이 엄청 친절하세요 :),crawl
정말 맛있게 잘먹었습니다!! 양도 많고 사장님도 친절하셔서 너무 좋았습니다ㅎㅎ 다음에 또 올게욥,crawl
각자 먹고 싶은 치킨을 반반으로 주문할 수 있어서 너무 좋았어요! 크리스피치킨이랑 치즈뿌링치킨을 먹어봤는데 둘다 바삭하고 너무너무 맛있었어요🥹🩷,crawl
치킨 진짜 부드럽고 바삭하고 다 해요! 넘 맛있어요 특히 어니언 치킨 존맛이예요ㅠㅠ 사장님 넘 친절하셔서 먹는 내내 기분 좋게 먹었습니당 부대에서 치맥하고 싶은 날엔 썬치킨 적극 추천 드립니다ㅎㅎ 생맥도 쓴맛 하나 없이 청량하고 넘 맛있어요❤️ 맛있게 잘 먹었습니당!,crawl
닭도 신선하고 사장님도 친절하셔요~ 서비스 치즈볼❤️ 더운날 시원 생맥과 같이 먹기 너무좋아요~,crawl
사이드로나오는 감튀마저도 이렇게나 맛있으면 어째요 ㅜ 단골예약합니다 👍👍,crawl
남썬치킨. 오늘 하루 고단히 끝내고 생맥과 함께 맛있게 먹고 갑니다! 잘먹었습니다!!!,crawl
매번 오지만 늘 친절하고 넘 맛있어욥ㅎㅅㅎ,crawl
