text,source
"직원분들 모두 친절하신데다 찜닭도 너무 맛있어서 만족스러워요! 치즈랑 만두, 당면, 치즈떡 등 토핑이 기본으로 들어있는데 따로 추가도 가능해서 취향껏 먹을 수 있어서 좋았어요! 샐러드에 씨리얼이 들어있었는데 특색있고 맛있었습니다! 재방문 의사 있습니다:)",crawl
사장님 정말 너무 친절하셔요! 대학교 앞이라 자주 방문하는데 제 최애 찜닭집 👍🏻👍🏻 만두 추가 해 먹으면 더 맛있삼,crawl
치즈토핑 추가해서 먹으니 더 맛있네요!,crawl
찜닭 생각나면 종종 방문하는 곳이에요! 기본 토핑들도 푸짐하고 매운맛 조절 가능해서 취향 따라 즐기기 좋아요~~ 부산대 찜닭 맛집으로 추천드립니다:),crawl
찜닭도 너무 맛있고 친절해 좋아요~,crawl
친절하고 찜닭이 너무 맛있었어요,crawl
치즈순살 찜닭 양도 많고 맛나요,crawl
줌마에서 보고 왔어요 순살안동찜닭 맛있어요ㅎㅎ,crawl
오랜만에 찜닭 먹으니 엄청 맛있었습니다!,crawl
사람들이 많네요 뼈있는닭 순살 골라 먹고 맵기 조절이 되서 좋네요,crawl
맛있어요,crawl
굿,crawl
움냠냐,crawl
순살안동치즈찜닭 굿👍🏻,crawl
맛집이어요,crawl
추가사리도 다양하고 낮술하기도 좋아요,crawl
맛있어요 ^^,crawl
"흑흑 이 날 먹은 내찜닭은 실패였어요,,🫠 닭 비린내인지 닭 냄새가 엄청 났습니다;;; 🤮 이미 먹은터라 그냥 먹었지만 ㅎㅎ 앞으로 재방문의사는 없을 것 같아요 ㅠㅠ 부산대 찜닭 하면 내찜닭이라고 떵떵거렸는데 이제는 아닌 것 같네예 ㅠㅠ 닭 비린내 제대로 잡아주셔야 할 것 같슴다..",crawl
맛있어요 찜닭을 오랫만에 먹어서 더 맛있어요 밥까지 비벼먹고 싶어요,crawl
남편이 내가찜한닭을 많이 좋아해요 :),crawl
맛있네요~ 또 먹고 싶은 맛이에요!!!,crawl
"믿고 먹는 부산대 맛집 내찜닭♥️♥️ 진짜 수도 없이 방문하는 찐 맛집,,♥️ 찜닭 나오기 전에 나오는 샐러드랑 무도 맛있어요🥹 간장 찜닭 고추장 찜닭 둘 다 존맛이에요 ㅎㅎ 취향 따라 먹는 거 추천쓰~~ 치즈 좋아하면 치즈 토핑 추가 꼭 하세요 !! 양도 많고 친절하시고 쏘 굿 ><",crawl
굿,crawl
"부산대 찜닭 맛집 내찜닭♥️♥️ 매장 넓고 찜닭 맛있어요!!! 간장 찜닭, 고추장 찜닭 둘 다 맛있으니 강추~~👍🏻 치즈 좋아하면 치즈 추가 꼭 하세요💛 진짜 존맛탱입니됴!",crawl
