text,source
부산대 노랑통닭 자주시켜먹어요,crawl
노랑통닭 가성비가좋아요,crawl
역시노랑통닭,crawl
노랑통닭은 뼈보단 순살이 더 맛있는듯!,crawl
맛있어요,crawl
순살 3종세트 먹었습니다 깐풍이 맛있고 후라이드랑 양념은 전형적인 맛입니다 기본으로 주는 새우칩에서 기름쩐내가 납니다,crawl
굿,crawl
맛나요,crawl
"양, 가성비, 맛 다 좋아요",crawl
쿠폰이 생겨 혼자 먹으러 갔는데 역시 노랑통닭의 마늘치킨은 너무 바삭하고 맛있었어요! 아쉽게 다 먹진 못했지만 포장해서 다음날 또 먹었답니다 ㅎㅎ,crawl
치킨 먹고 싶을 때마다 가는 부대 노랑통닭💛 부대에 있는 아웃닭이랑 칠켄이랑은 또 다르게 맛있어서 좋아요!! 특히 사이드 메뉴가 다양해서 넘 좋습니더~~♥️ 여기는 순살도 맛있고 뼈도 맛있어요 ㅎㅎ 양도 많고 기본으로 나오는 새우칩도 존맛탱! 사이드 감자튀김 시켜봤는데 여러가지 감자가 들어 있어서 좋았어요 ^_^ 추천! 직원분들도 친절하시고 쏘 굿~~! 재방문의사 항상 있습니다🫶🏻,crawl
직원분들이 친절해여,crawl
오랜만에 치킨먹으러 돌아다니다가 친구들끼리 노랑통닭갈까? 해서 들어왔는데 기대했던거 이상으로 맛있었어요! 다음에 또 한잔할때 방문할게요,crawl
오랫만에 먹은 노랑통닭 3총사 맛있었어요~~~!!👍,crawl
매우 친절하시고 치킨도 엄청 빨리나와 포장을 금~방 하고 나왔습니다~~ ^^,crawl
맛있게 잘 먹었습니다😋,crawl
아주좋아요,crawl
순살 치킨 양념이 맛나네요~^^*,crawl
엄청큰후라이드가 그냥 후라이드가 됐어요 ㅋㅋ,crawl
good,crawl
굳,crawl
굿,crawl
양념이 맛있어요,crawl
약 40명정도 단체모임하기에도 좋고 양도 적당해서 좋아요,crawl
마늘치킨이 맛있어요~,crawl
"너무 비위생적 . 매장에서 음식 먹는데 바퀴벌레 3마리나 보입니다. 바닥, 계산대, 테이블 밑으로 기어 들어가서 너무 더러워서 먹다가 나왔어요. 모르고 배달 시키는 분들은... 담부터 안갑니다. 배달도 사절. 속이 미식거리네요. 욱~~!!",crawl
위치가 좋은 노랑통닭! 맛있었어요,crawl
굿,crawl
좋아요,crawl
맛잇어요,crawl
맛있었어요,crawl
굳,crawl
굿~~~~~~~~~,crawl
알싸한 마늘 통닭 굿,crawl
굿,crawl
굿,crawl
좋아요,crawl
치킨에 떡볶이 국물 찍어먹으니 더 맛있어요!!!,crawl
굿,crawl
좋아요,crawl
좋아요,crawl
노랑통닭중 제일 튀김옷이좋아요,crawl
치킨은 참맛난집,crawl
부산대 노랑통닭 한번씩오는데 맛있어요 매장 넓고 좋아요,crawl
맛있어요,crawl
알ㅆㅏ한마늘치킨 존맛이에요,crawl
👍,crawl
맛있어요~,crawl
굿굿,crawl
굿굿,crawl
마싯네요,crawl
좋아요,crawl
맛잇어요,crawl
👍🏻,crawl
맛있어요!!,crawl
배달이 좀 느린거빼고 양 많고 맛있어요. 단골입니다.,crawl
😋,crawl
굿,crawl
맛있어요,crawl
😀,crawl
맛있어용,crawl
굿,crawl
튀김이 딱딱해요 감튀는 맛나요,crawl
맛있어용ㅁㅁㅇㅎㅎㅎ,crawl
맛있어요,crawl
후라이드순살 맛남,crawl
맛나게 먹엇어요,crawl
굿,crawl
좋아요,crawl
울아덜 최애메뉴 알싸한 마늘치킨 짱,crawl
마늘치킨 맛있어요!!,crawl
식어도 맛잇는집,crawl
바삭하고 맛있어요,crawl
알싸한마늘치킨 맛나요,crawl
노랑ㅌ통닭역시,crawl
"일단 뼈닭으로 먹었구요. 후라이드깐풍반반먹었는데 노랑통닭은 역시 뼈말고 순살로먹어야하는가봐요. 뼈로먹으니 붙어있는살이 거의없는 발라먹기가넘 어려웠구요, 깐풍은 조금 더매웠으면덜 느끼할것 같아요.그리고문제는 배달이많아서 그런지 홀에서먹는데 음식나오는데30분넘게걸렸습니다.그럴거면걍시켜먹는게나을듯여",crawl
알싸한 마늘치킨 맛나요,crawl
와 객관적으로 진짜 너무 기름에 쩔은 상태로 왔습니다ᆢ 반도 못 먹었어요ㅠ,crawl
지난번 마늘치킨먹구 오늘 베스트라는 순살3종 먹어봤는데 조금 느끼했어요ㅜㅜ 다음에는 마늘 먹을래욥,crawl
맛있어요,crawl
좋아요,crawl
마늘통닭 맛있어요 #장전동 #노랑통닭 #맛있다,crawl
맛나요~,crawl
맛있어요@,crawl
노통 존맛입니다 잘먹고갑니다,crawl
역시 정말입니다 ㅎㅎ,crawl
알싸마늘통닭 혀가 맵네요.,crawl
맛잇는,crawl
