text,source
A세트 먹었어요~ 맛있어요! 항상 감사합니다 ~,crawl
"미리 테이블링 하시는걸 추천드리고, 가게 옆에 2대정도 주차가능했습니다. 무료주차장에 자리 없다면 참고하세용. 치킨은 작은 조각이라 먹기 편한 반면, 작은 뼛조각들이 계속 씹혀서 불편했어요. 제가 운이 안좋았던건지 전체적으로 치킨이 퍽퍽했어요. 직원들 친절하시고, 살얼음맥주 강력 추천드립니다. 재방문 의사 없음.",crawl
감자가 특히 맛있어요 후라이드랑 양념 다 괜찮아요 매운양념은 많이 매워요,crawl
학창시절부터 함께한 치킨 맛집입니다. 참고로 숯불은 없어요.,crawl
후라이드는 반죽에 카레가루가 들어갔고 양념은 매운맛으로 주문했는데 많이 달달하지않고 좋았어요 전체적으로 튀김옷은 얇고 바삭거리는 느낌은 아니여서 호불호 갈릴것같아용 개인적으로는 쏘쏘했어요,crawl
간만에 치킨 땡기는 날. 가니 생맥주가 더 마시고 싶어 한잔 션~~ 하게. 얼음컵에 나와 굿!!!,crawl
항상 만족하며 가는곳입니다 오늘도 역시나 대만족 같이 갔던 지인들도 칭찬하더라구요 겉바속촉의 정석!!,crawl
여전히 인기많은 뉴숯불. 오랜만에 와도 역시 맛있어요😁,crawl
얼음 생맥주가 정말시원해요 목구멍을 탁 때리는게 시원하네요 후라이드도 맛있지만 양념이 개인적으로 더 맛있어요 물론 제가 전문가는 아닙니다 하지만 저는 일주일에 3~4번 닭 먹는 일반인 입니다 웨이팅 하는식당에서 처음으로 방문해서 먹어보게되어서 기대반 설렘반 이었는데 맛있네요 다음번에도 퇴근후에 조금일찍 방문하게 되어서 재방문할거 같아요,crawl
양념치킨맛있어요.,crawl
흔한 치킨 맛은 아니다 후라이드는 롯데 ㅇ ㅇ 에 파는 지파이맛과 비슷한듯하다 조금더 부드럽고 씹는 맛이 좋은듯하다 같이 나오는 감튀가 일품 포슬함과 바삭함 굿~~~ 그렇지만 빨리 드심을 추천 양념은 보통인데 맵다(신라면수준이 아니다 내기준) 자꾸만 손이 가는데 땀도 한바가지다 ㅋ ㅋ ㅋ 양념맛은 이집만에 맛이있다 그래서 좋다 근처에 계신다면 한번 드셔보심을 추천한다,crawl
테이블링으로 미리 예약해놓고 가니깐 좋았어요 추억의 옛날 스타일 치킨 양도 많고 맛있어요:),crawl
역시후라이드 맛집입니다,crawl
포장해도 맛있어요,crawl
1988년부터 있던 뉴숯불통닭입니다. 후라이드 한마리 양념 한마리 뚝딱 먹었습니다. 비가 내려도 밖에 기다리시는 분이 많습니다.,crawl
"토요일에 오픈 시간 조금 지나서 갔는데, 조금만 늦었으면 엄청 웨이팅할뻔 했네요.ㅠㅠ 뉴숯불은 매운양념이 참 맛있어요. 그리고 유수풀은 뼈가 맛있는데 남편이 순살파라서 순살로 먹었는데 맛있어요 조아요.. 하지만 공기밥은 없다는 점ㅜㅜ 하지만 사와서 먹어도 된다고 해서 바로 옆 편의점에서 햇반사와서 치밥 냠냠쩝쩝했습니당. 살얼음 맥주도 마셔야하는데 배불러서 차마 못먹엇네요ㅠㅠ",crawl
"치토스마냥 빠작한 튀김옷, 베어물면 은은한 한방재의 향기. 어디서도 먹어볼 수 없는 여기만 있는 통닭이에요❤️✨🫶",crawl
맛있어요 후라이드 굳굳,crawl
맛있어요~,crawl
학창시절부터 함께해온 통닭,crawl
다 먹었뿐네;; 맛있어서,crawl
맛있게 잘 먹었어요~ 만족도가 높습니다,crawl
