text,source
일전에 가보고 만족스러워 2번째 간 집입니다. 회도 맛있고 떡볶이도 센스있고 튀김도 바로 튀겨나와서 넘 바삭 촉촉하니 맛도리랍니다~ 적극 추천🫶🏻,crawl
부대 횟집 맛집~~~신선하고 두툼~~!!!친절해서 더 더 맛있어지는곳입니다~~오픈5시~~~빨리 서두르셔야해요~^^,crawl
가격도 좋고 맛도 좋아았습니다. 광어랑 밀치 연어 다 맛 좋고 신선했어요. 한치튀김이랑 호박튀김도 바로 튀겨나오니 맛 도리💛 사람많은 이유가 있네요~,crawl
모듬회 소짜 둘이 먹기에 넉넉하고 맛잇어요,crawl
연어도 먹을수 있어서 조아요,crawl
어버이날 부모님과 가족들 모임~아들이 횟집 일등이라고 추천해줘서 가보게 되었네요~~역시~~맛있습니다~ 가성비~신선도~서비스~~~모두모두 만족스러웠습니다^^,crawl
언제와도 대박횟집은 꿀맛! 회가 저렇게 두툼하다니.. 너무 좋아요ㅠㅠㅠ 존맛입니당,crawl
"회를 좋아하지 않지만, 연어에 튀김에 초밥에 떡복이, 매운탕까지 함께 즐길거리가 있어서 좋았습니다",crawl
오? 내부 공사한줄 몰랐어요 깔끔해지구 찌깨다시 넘 많구~ 맛나게 먹었습니다,crawl
몇년만에 방문했는데 넓어졌어요 ㅎㅎ 여전히 양은 많고 두툼하고 맛있는 회 넘 맛있게 잘 먹었어요👍🏻👍🏻,crawl
방어철이라 또 찾은 대박횟집! 저번에는 연어+활어회먹었는데 이번에는 방어 먹으러갔습니당 대기없이 들어갔는데 들어가자마자 자리 다차네요 ㄷㄷ 역시 대방어 두툼하니 너무 고소하고 맛도리였어요 ㅠㅠ 보통 대방어 느끼해서 많이는 못먹었는데 진짜 싹싹 다먹고 메뉴판보니 품절뜨더라고요 .. 역시 맛집 👍 연어지느러미구이는 이번에도 못먹었어욤 .. 다음엔 오픈런해서 바로 시켜볼게요..!,crawl
자주가는 횟집이에요,crawl
부산대 최애횟집중 한곳이에요! 회 정말 좋아하는만큼 횟집맘에드는 곳이 잘 없는데 여긴 회 두께도 너무 좋고 저 멀리서봐도 신선합니다 기본찬들도 버릴거 없이 딱 잘 먹을것들로만 구성해서 주시는데 떡볶이가 너무 맛있어서 추가해먹었어요ㅎㅎ,crawl
"부산대학생이라면 다안다는 대박횟집! 날씨가 쌀쌀해져서 회가땡겨서 가봤습니다 일곱시쯤 안되서 도착했는데 대기3번째였고 그냥 앞에 앉아서 기다렸어용 한 삼십분쯤 기다리고 입장했어요 연어모듬회 소자랑 매운탕 시켰고 밑반찬이 다양하게 잘나왔어용 콘치즈 , 튀김, 떡볶이 등 회나오기전에 술안주가 많이나와서 한잔하기 좋았어요 회는 가격이 저렴한데 두께도 두툼하고 씹는맛이 있는게 맛있었어요 왜 대박횟집 대박횟집 하는지 알겠네요 ㅎㅎ 재방문의사 100%입니다 회생각날때 또 갈게용~",crawl
대박횟집은 제가 정말 대학교 다닐때부터 꾸준히 가고 배달도 자주 시켜먹었던 애정하는 곳입니다🥰🥰 밑반찬도 훌륭하고 회도 진짜 맛있어요 특별한날에 가시고 싶다면 추천입니다 리모델링 후 더 깨끗하고 좋네요 또 가고싶다… 매운탕도 맛있어요!!,crawl
방어철인데 방어가 지름지고 맛있어요 그리고 가성비가 좋아요 ㅎ,crawl
맛있어서 친구랑 소주 다섯병 마셧어요 ㅎㅎ,crawl
처음 와봤는데 진짜 맛있네요... 가성비보다는 진짜 맛있어서 다시 올 거 같타요 같이 주신 가자미도 맛잇고 매운탕은 바닥거덜냈어요 ㅎ,crawl
너무 맛있게 잘 먹고 갑니다아 😍,crawl
잘먹었습니다,crawl
굿굿,crawl
연어모듬회 맛있어요🥰 친구랑 자주 가는 곳 미역국도 맛있습니다 ㅎㅎㅎ,crawl
거의 오픈하자마자 가서 주말인데 웨이팅은 안했어요! 맛있고 매운탕도 미쳤어요~ 밑반찬도 잘나와요,crawl
부산대 올 때마다 먹어요!!! 밑반찬도 알차고 회도 맛나요ㅠㅠㅠ!!!! 그리고 너무 친절하셔요><,crawl
