text,source
코스 구성이 알차고 너무 맛있어요!!! 회도 탱글하고 적당히 두툼해서 식감 최고~~~ 광어 미역국도 완전 시원하고 하나도 안 비리고 맛있네요. 포장해가고 싶더라구요ㅋㅋㅋ 단체모임하기에도 좋아요. 담에 손님 모시고 와야겠어요 잘먹고갑니다.,crawl
가족이랑 같이 왔는데 너무 맛있고 든든하게 먹고 갑니다. 매장도 넓고 직원분들도 친절해서 좋아요😊❤️😁,crawl
"회가 너무 신선하고 맛있어요!! 너무 맛있어서 밥 먹느라 사진을 회밖에 못찍었는데 튀김,생선 요리 등등 다 너무 맛있었어요ㅜㅜㅜ 코스 요리 너무 배부르게 맛있게 먹었어요 진짜 최고입니다👍😊",crawl
점심특선 5만원. 가격별 차이가 궁금한데 자세한 설명이나 리뷰가 없어서 재방문시 특선 3만원 먹어볼 예정. 룸에서 편하게 식사해서 만족. 가족/단체 좋을듯. 음식 맛있고 매장은 청결. 직원분의 친절도는 조금 아쉬움.,crawl
no comments.,crawl
가성비 좋고 개별룸이 있어 가족 모임 하기 좋아요!,crawl
옛날감성느끼고 갑니다.,crawl
맛있어요,crawl
좋아요,crawl
굿,crawl
집안 행사로 예약잡아서 또 방문했습니다~ 여긴 언제와도 일단 무조건 맛은 보장되네용 코스요리로 먹었는데 구성도 알차고 하나하나 다 맛있어서 다 먹다보니 뒤에는 배가 부를 정도에요ㅋㅋㅋ 컨디션 조절하면서 드세용 식전으로 주시는 음식부터 회까지 하나도 남길게 없더라구용 특히 회는 야들야들하니 부드러운데 싱싱하구요!!! (집안 행사로 간거라서 사진은 못찍었어요ㅠ) 그냥 식사하러 오기도 괜찮을거 같고 모임이나 행사는 더 좋을거 같습당😆 넘 만죡!!!!!!,crawl
음식이 맛있어요,crawl
"친구모임으로 방문했는데요, 무엇보다 신선도가 제일 좋았습니다. 사시미와 초밥을 먹었는데 생선이 신선했고, 두께도 두꺼워 식감이 매우 좋았습니다. 4살배기 어린아이도 데리고갔는데, 따로 유부초밥도 주시고, 그외 따로 챙겨주셔서 마음편안하게 먹을수 있었습니다. 2층은 개별방으로 구성되어있어 모임 분위기도 무척 편안히 가져갈수있었습니다. 다음 모임에도 재방문의사 있습니다.",crawl
지나다니며 보기만 하다가 지인이 데리고 가준 일식집니다. 관광객들로 혼잡한 온천장일대는 살짝 벗어나는 위치. 룸이 있어서 어수선하지 않고 이야기 나누면서 맛있는 음식들을 먹을 수 있습니다. 오래된 집에는 흔들리지 않는 역사가 있다는 것을 체험하고 나왔습니다,crawl
작년에 먹었던 회 생각이 나서 일년만에 다시 방문했습니다~~! 여전히 맛있어용^*^ 룸으로 되있어서 모임장소로 편하고 좋아용! 다음에 또 방문할게요 맛있게 잘먹었습니다~,crawl
프라이빗한 장소입니다. 음식맛도 예전 방문했을때랑 똑같고 맛있게 먹었어요 👍 👍 👍 👍 👍,crawl
친구들과 모임장소로 갔는데 사장님이랑 직원분들이 정말 친절하셨습니다. 가게도 청결하구요. 무엇보다도 음식도 정말 신선하고 맛있었습니다. 😀👍,crawl
굿,crawl
굿,crawl
부산 일식집 중 최고입니다.,crawl
여전히 소문대로 맛있네요,crawl
👍,crawl
음식이 전보다 아쉬웠어요.. 자리는 편하고 프라이빗하고 좋아요.,crawl
좋아요,crawl
굿,crawl
ㅇ,crawl
여기 얼마전에 어버이날 맞이해서 부모님모시고 갔는데 맛있어요! 나오는 모든 메뉴들이 적당한 양으로 나오구 맛도 크게 자극적이지 않고 정말 맛있었습니다 무엇보다 회가 진짜 싱싱해용 입에서 녹았어요 회별로 안좋아하는뎅 여기서는 많이 먹었네요 대부분 각방으로 되어있어서 조용히 단란하게 식사하기에도 좋았습니당😆 다들 오셔서 후회 안하실거 같아여!!!,crawl
숙성회가 맛있다구 추천 받아서 방문했어요~~! 부모님이랑 저녁 코스로 주문했는데 양이 푸짐해서 좀 남겼네요 ㅠㅜ 튀김도 바삭바삭 맛있고 회도 신선하고 맛있었어요~~! 다음에 회 먹고싶을때 또 방문할게요 ^*^,crawl
엄마아빠 결혼기념일로 갔는데 개별룸이라 코로나 걱정없이 가족모임하기 너무 좋았어요. 두꺼운회 안좋아하는데 여기는 숙성이 잘됐는지 부드러워서 너무 맛있었어요. 어른들 모시기 좋고 서비스도 좋네요. 코스로 쉴새없이 음식나오는데 양이 많아서 간만에 배두드리며 나왔어요. 조만간 또 가려구요,crawl
"*한줄요약: 개창렬 가성비최악 식당전세내고 싶으면 가세요* 티비 지역광고에 자주 나오고 전통있는 곳이라길래 가보았습니다(10년전쯤에 방문한 적 있음) 6만원짜리 코스 3인분 시켰는데,,, 초밥이 1인당3피스 나오더군요,,, 그것도 광어,아보카도,유부초밥 일단 인당 6만원짜리 코스에 유부가 끼여있다는것에 의심을 했지만 코스니까 더 나오겠지하고 먹었습니다. 하지만 처밥은 3pc가 끝,,, 충-격 빠르면 3개월안 아니면 1년안에 없어지지않을까 예상해봅니다. 저희 먹는동안 손님 아무도 없어서 전세낸 기분은 들었네요~^^(사장님이 친절은 하시네요)",crawl
맛있어요,crawl
맛있네요!!!,crawl
굿,crawl
잘먹었습니다.,crawl
점심특선 회가 약간 양은 적었어요 점심보다 저녁장사 하는 느낌...,crawl
회 맛이 좋아졋어요~,crawl
선전보고 갔는데 음식 나오는 순서도 음식도 일식집 이라고 하기에는 로비다야끼 수준이네요 1인 10만원 코스 먹었는데 다른 일식집 5만원 보다 못했구요 리뷰 쓰는 이유도 제 같은 사람이 없었으면 해서 입니다,crawl
음식은 맛있지만 서비스가 엉망이네요. 예약을 안하고 가서 그런지 처음 응대도 없었고 저희가 먼저 안녕하세요 멘트를 한 후 2층으로 안내받았습니다. 2층 안내 후 룸으로 들어가 음식이 나왔는데 그 이후 음식이 나올 때 처음부터 끝까지 노크 및 실례합니다라는 멘트 전혀 없었고 맛있게 드세요 멘트도 없었습니다. 일반 맥주집에서도 기본 서빙 후 맛있게 드시라고 하는데 이건 좀 아니지 않나요? 코스요리치고 서빙 속도도 너무 빠른 것 같았고 전반적으로 불편한 자리라 음식들은 맛있었지만 불편했습니다.,crawl
정갈한 코스요리가 푸짐하게 나옵니다,crawl
굿,crawl
굿,crawl
집 아래에 있는데 회초밥 맛있음,crawl
좋아요,crawl
맛있어요,crawl
맛있고 푸짐한 식사였습니다ㅎㅎ 아늑한 분위기에서 좋은시간 보냈습니당!!,crawl
부모님 모시고 다녀왔는데 두분 다 만족하시네요 ㅎㅎ 룸으로 되어 있어서 가족모임하기 좋았고 맛있게 잘먹었습니다.!!,crawl
