text,source
할인행사로구매했는데실망입니다..토핑이이렇게적을거라고는생각못했네요..,crawl
"너무너무 맛있게 잘 먹었어요..!!!!! 페퍼로니+포테이토 반반에 치즈토핑,고구마엣지 추가해서 먹었는데 조합이 최고에요.....특히 페퍼는 부산에 모 유명한 피자집에서 먹는 느낌이었어요ㅠㅠㅠ 요새 몸이 안 좋아서 하루 한끼도 잘 못 먹었는데 오랜만에 넘 만족스러운 식사였어요 부산대점 강추입니다! 다음에 또 방문할게요:)",crawl
만족해요 너무 맛나고 좋아요,crawl
토핑 추가 치즈 요청에 어마어마한 치즈 넘 좋아요,crawl
맛있게 잘 먹었습니다 다음기회에 재주문하겠습니다,crawl
빠르고 친절하고 좋습니다,crawl
ㆍ친절 ㆍ맛있음 ㆍ종이컵 달라고하면 줌,crawl
맛나요,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
"포장해와서 먹었어요. 피자는 언제 먹어도 맛있네요. 슈퍼 슈프림 L KT 달달 50% 14,150원",crawl
일요일엔 도미노피자 집에 가져오니 스파게티는 좀 퍼졌고 윙은 맛있네요,crawl
친정하고 치즈도 많이 주고 좋습니다.,crawl
맛있어요 피자도 금방 나오고 깨끗하고 좋아요,crawl
닭날개가 정말 부드럽고 맛있네요 포장해서 들고 집에 오니 좀 식었는데 맛있게 데워서 먹어야겠어요,crawl
맛있어요~~,crawl
포장40%할인됩니다,crawl
맛있네요,crawl
시간 잘 지켜주고 좋네요,crawl
매장도 넓고 분위기도 좋아요,crawl
맛있어요! 👍,crawl
치즈더 많이 주면 좋겠다.,crawl
맛이 있네요,crawl
믿먹 도미노 역시 맛있어요,crawl
굿,crawl
도미노피자 맛있어요 ㅎㅎ,crawl
피자 생각나저 배달주문해서 먹었어요 반반피자 두가지맛 다~~맛있네요^^,crawl
굳,crawl
화요일 40%할인 보고 충동적으로 길 가다가 들어왔어요. 사장님 친절하시구 피자도 당연 맛있었어요!,crawl
맛있었습니다,crawl
도미노피자 포장주문은 정말 갓성비인것 같습니다. 미디엄사이즈 고구마피자와 콜라 함께해서 17570원에 맛있게 잘 먹었네요. ^^,crawl
굳,crawl
항상 도미노에서 시켜먹는데 맛있어요!,crawl
도미노짱,crawl
좋아요,crawl
ㅇㅇ,crawl
너무 맛있어요,crawl
피자 맛있어요,crawl
기대보다 별로였어요 존맛을 생각했었는데...,crawl
맛있고 친절해요,crawl
생일날 받은 쿠폰으로 ~~~,crawl
닭가슴살을 깜빡해서 마지막에 뿌린건가용?? 마감이라 정신이 없었던 건가요?! 마르게리따는 진짜 맛있었는데 이건 정말 비추입니다. 도우가 잘 익은 건진도 모르겠어요,crawl
ㅎㅎ,crawl
굿,crawl
오랫만 🍕 피자 먹었어요,crawl
맛있어요 ㅎㅎ,crawl
저렴한행상자주부탁드려요,crawl
맛있어요,crawl
굿,crawl
너무 느끼하지않고 도우도 쫄깃쫄깃 맛있어서 늘 도미노만 시켜먹어요 !,crawl
믿고 먹는 도미노 😋😋,crawl
굿,crawl
포장하니 힐인되서 조아요,crawl
피자는 도미노👍,crawl
도미노 굳굳,crawl
도미노 피자 🍕 좋아합니다^^,crawl
이제 배달비 받으심...ㅜㅡ,crawl
맛있어용 여기서만 주문해 먹습니당,crawl
^^,crawl
제가 좋아하는 불고기와 페파로니 반반 피자 목요일에 포장주문하니까 40%할인되어서 저렴한 가격에 너무 맛있게 먹었습니다. 👍👍👍👍,crawl
굿,crawl
배달빠르고 꼼꼼해요^^ 굳 쿠폰르로 잘 먹었습니다,crawl
신메뉴 나폴리도우로 주문했는데 적당한 두께라 먹기좋네요~~씬은 너무 얇아서 피자가 없어보여서 이번엔 나폴리로ㅋㅋ,crawl
굿,crawl
포테이토피자 나폴리도우 마요네즈 두번추가 꼭 먹어보세요..존맛,crawl
맛나네요^^,crawl
sk 할인해서 저렴하게 잘 먹었습니다,crawl
치즈크러스트로 먹으면 빵이 너무 맛있ㅠㅠ,crawl
티데이라 할인받고 구매했어요~~ 씬으로 주문해서 뭔가 없어보이지만 맛있게 먹었어요ㅋ,crawl
도미노피자 언제 먹어도 맛있어요,crawl
굿,crawl
맛있어요,crawl
친절하고 맛나요,crawl
굿,crawl
역시 도미노,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
맛나게 먹었어요~~~,crawl
친절하고 빠르고 와와웨는 ㅠㅠㅠ개인적으로 너무 짰음 기존 메뉴들이 더 👍 인듯,crawl
맛있어요,crawl
굳,crawl
피자 맛있어요-! 포장할인 자주 활용합니다,crawl
할인많이 받았어요,crawl
좋아요,crawl
좋아요,crawl
도미노 예전엔 참 맛있었는데.. 안타깝네요,crawl
굿,crawl
제일좋아하는 피자!,crawl
맛있어요,crawl
피자 맛있어요,crawl
피자 너무 맛있어요,crawl
늘 도미노가 정답이죠~~^^,crawl
좋아요,crawl
정말맛있어요ㅠ,crawl
4가지맛 을 모두 즐길수있어서 좋았어요,crawl
피자가 맛있었어요~,crawl
굿굿,crawl
피자가 맛잇어서 좋아요ㅎ,crawl
친절해요,crawl
좋아요좋아요좋아요좋아요,crawl
굿,crawl
친절하시고 피자도 맛있어요,crawl
굿,crawl
가끔 도미노피자를먹는데요. 너무맛있습니다.,crawl
맛있어요!,crawl
굿,crawl
