text,source
"비도 오공~비오는날엔 삼겹살이라~ 무조건 부산대삼겹살 돼딸로 고고~🤭 근데,뭔가 바뀌었나했더니, 사장님말씀이 불판의 변화가~🫢 그래서 오늘의 메뉴는 커플셋트 1번에 새추천 메뉴 고추장 갈비까지~찌개는 오늘두 역시 김찌냐된찌냐 고민했지만 오늘픽은 방아넣은 된찌~ㅎㅎ 오 숯불에 고기굽는 소리가 틀려졌어요~ 거기에 생갈비는 불향과 쫄깃함,육즙까지~굿굿👍 전 소스로만 먹는걸좋아하는데,특히,청어알소스;) 이번에 새로 주신 백김치와 콩나물파무침! 정말 신선한 야채로 맛있는 청어알소스와 숯불향 갈비로 쌈조합의 차원다른 맛을 알게되었습니당~♡ 진짜 한번 꼭드셔보세요~~👌👌👌 오랫만에 왔다고,활기차구 예쁘신 직원분이 또 아는척 인사해주셔서,더욱기분좋았던~오늘~ 새로운 맛과 분위기까지 엄지 척입니다~♥️",crawl
잘 구워주고 맛있다.,crawl
부산대 앞 돼지고기집 원티어,crawl
잘 구워주시고 친절하고 맛나고 가성비 좋고. 유일한 흠은 주차장 아저씨 ㅎ,crawl
오랜만에 갔는데 리모델링하셨는지 인테리어가 싹 바꼈더라구요😆 원래 가스불이었는데 숯으로 바꾸시고👍 기본찬도 너무 깔끔하고 여러가지 소스가 나오는데 하나도 빠짐없이 너무 맛있네요🫶🫶 특히 젓갈은 집에 포장해가고싶을 정도🥲🥲🥲 다음에 또 올게요👋,crawl
직접 구워주시고 참숯으로 고기 구워주셔서 숯향도 나고 엄청 맛있어요!!!! 보니까 단체예약도 많더라구요!!!! 재방문 꼭 할거 같아요 ㅎㅎㅎ,crawl
오늘 친구들이랑 회식한다고 예약했는데 예약안했으면 큰일날뻔!! 왜 손님 많은지 알겠네요ㅋㅋㄲㅋㅋ 배부르게 먹고갑니닼ㅋㅋㅋㄲㅋㅋ,crawl
돼지고기는 돼지집딸이죠^^ 넘 맛있네요,crawl
세트메뉴 구성이 좋아요 고기 싼데 가성비 가심비 다 잡았네요~ 가게 인테리어 바뀌고 더 맛있어진거 같습니다 번창하세요~😃,crawl
오랜만에 방문했습니다. 예전과는 많이 달라져서 안타까웠습니다. 고기 질이 많이 안좋더라구요 직원은 숙성되서 그렇다고 하는데 제가 아는 숙성고기랑은 다르게 고기 색이 처음 나왔을때부터 보관한지 오래되서 갈색으로 나왔고 수분감도 없어 보였는데 역시나 굽고 먹어보니 너무 퍽퍽하고 지방부분도 쫀득하지 않고 너무 별로 였습니다. 제가 같이.가자고 한 와이프한테도 미안했습니다. 다 못먹고 나왔습니다. 직원분은 친절하게 잘 구워주시고 밑반찬은 맛있었습니다. 예전과 많이 달라진 고기 퀄리티에 많이 아쉽네요. 근처에 그나마 방문할 수 있었던 가게였는데 이제 근처에는 갈만한 고기집이 없네요,crawl
