text,source
대기없이 바로 입장했고 내 기호에 따라 만들어 먹을 수 있어서 만족합니다! 슬러시 아이스크림도 있어서 아이들이 좋아하네요!,crawl
"고딩 때 자주 왔었는데 오랜만에 밥 먹으러 왔는데 변한 게 하나도 없었고, 더 맛있고 신기한 메뉴들만 늘었어요 … 🫢🩵 여전히 맛있습니다 :) !!",crawl
맛있어요👍🏻🫶🏻,crawl
유명한 두끼를 처음 가봤습니다. 어떻게 먹는지 몰라 낯설었지만 맛있는 음식 많아서 배부르게 먹고 나왔습니다.,crawl
오랜만에 두끼왔는데 더 맛있는거 같아요! 튀김은 여전히 맛있고 투움바 소스에 해먹으니 맛도리에요,crawl
줄서서 입장한 두끼! ㅋㅋ 점심시간이 지난 시간임에도 사람이 너무 많아 계단 밑에서부터 기다려서 입장했어요. 시간제한이 있지만 그래도 그 전에 배터져서 나오는 실속 아주 넘치는 맛집이예요. 튀김도 떡도 채소도 다 신선하고 맛이 좋았는데 모두모두 양껏 먹을 수 있다니♡ 붐비는것만 괜찮다면 적극 추천합니다.,crawl
이번에는 마라떡볶이를 해먹어보았어요 청경채와 숙주 양배추 듬뿍 넣으니 맛있습니다 어묵도 적당하게 불어있어서 좋았어요 손님이 적은 시각에 이용했는데도 직원분이 부지런하게 다니시면서 정리정돈하고 청결에 애쓰시는 모습이 인상 깊었습니다 늘 잘 애용하고 있어요 잘먹었습니다,crawl
부산대 두끼 떡볶이 저녁 먹으러 왔는데 떡뽁이 좋아하는 학생들이 가득하네요~가성비 좋은 두끼떡볶이 배부르게 먹었어요~^^,crawl
점심시간 지나 여유있게 갔더니 붐비지 않고 잘 먹고 왔어요. 언제나 맛있네요.,crawl
좋아요,crawl
맛있게 잘먹었어요,crawl
간만에 방문 새로운 소스가 또 추가 여전히 가성비 좋고 맛도 굿,crawl
시원한곳에서 맛있게 잘 먹었어요.,crawl
"가성비 좋고, 재료도 좋고",crawl
ㅎ,crawl
잘 먹었습니다😄,crawl
오랜만에 다녀왔어요 이번에는 마라떡볶이를 먹어보았습니다 적혀있는 소스 레시피로 만드니 엄청 맛있어요! 튀김류도 따듯해서 맛있었고요 저렴한 금액에 맛있는 식사 했어요 고맙습니다!,crawl
맛있어요~,crawl
가성비 굿. 골라서 만들어먹는 재미가 있어요.,crawl
"떡볶이는 물론, 튀김이 넘 맛있어 더 좋아요",crawl
좋아요,crawl
맛있어요,crawl
맛있고 재료도 다양하고 다 좋았는데 저녁이라 그런가 사람이 너무 많아서 조금 정신 없었어요 ㅋㅋ 그거말고는 좋았습니다 ! 😋😋😋,crawl
오랜만에가도 가성비 굳👍 떡볶이 많이 먹고싶을때 너무 좋아요,crawl
너무 푸짐하고 맛있고 음식도 바로바로 채워지고 마라탕으로 한번 더 먹을 수 있어서 좋아요,crawl
주말에 사람이 진짜 많네요 애들이 좋아해요 저랑 남편은 떡볶이라 많이 못먹고 끝났지만 애들은 이렇게 저렇게 레시피 해서 잘먹네요 애들끼리 가기는 완전 좋을듯,crawl
"음식도 빨리 채워주시고, 과자서비스까지 좋아요",crawl
"초코츄러스 짱 맛있고, 치킨튀김도 맛있어요! 떡볶이 짱",crawl
사람이 많다보니 정신은 없지만 가성 비 굿입니다,crawl
👍🏻👍🏻,crawl
아이들과 외식하기엔 굿,crawl
귣,crawl
봉류가 다양해요.,crawl
