text,source
키토김밥 가성비 너무 좋아요 ㅋㅋ 떡볶이도 쫀득 매콤하니 맛있어서 혼밥하러 자주 갑니다❤️,crawl
혼밥하러 자주 가요 사장님 두분은 친절인듯 까칠인듯 ㅎㅎㅎ 키토김밥 맛있어요,crawl
"혼밥하러 종종가는데 키토김밥이 가능해서 좋아요 ㅋ 가격도 착한편! 떡볶이는 달고 짜고 쫠깃한 맛이에요 또 생각나는 맛,,",crawl
떡볶이 튀김 김밥까지 다 맛있어요!,crawl
메뉴도 다양하고 가격도 저렴합니다,crawl
굿,crawl
김밥이 깔끔하고 맛있어요. 근데 여름인데 식당 실내에 에어컨이 없는지 좀 더웠어요. 😢,crawl
"김밥, 튀김은 맛있고 떡볶이는 평타",crawl
저렴하고 맛있어요,crawl
친절해요,crawl
튀김이 맛있어요,crawl
음식이 신선하고 아주 맛있고 좋아요,crawl
김밥집?,crawl
떡볶이 먹으러 가서 고추튀김도 먹고 왔어요. 부산대 구정문앞에 위치하고 있어요,crawl
이모님 좋으시고 김밥도 맛있어요.,crawl
가성비좋고 맛있어요!,crawl
가성비 짱 입니다.,crawl
가격도 저렴하고 양도 많고 맛있어요 자주 이용하고 있어요,crawl
"평소에 분식이나 김밥을 좋아해서 많이 먹는데, 이 집 김밥은 밥보다 안의 속재료가 많고 먹으면 영양가있고 든든한 느낌이라서 종종 방문합니다. 여러 사람들에게 자신있게 추천할만한 가게예요!",crawl
밥은 얇고 재료가 풍성해요 묵은지참치김밥 맛있어요!,crawl
키토김밥이 맛있고 떡볶이도 괜찮다.,crawl
부산대근처 갔다가 갑자기 김밥이 먹고싶어 검색해서 갔는데 대만족이예요 밥양은 적고 속이 꽉차서 한줄 먹어도 부담스럽지않고 맛있어요 진미채가 베스트이긴 한데 기본맛도 좋아요 근처 살면 매일매일 먹고싶은맛입니다.,crawl
친절하고 음식이 맛있어요.,crawl
제 입맛에 딱 맞는 분식집을 드디어 찾았네요ㅜㅜ 지인소개로 방문했는데 너무 맛있습니다^^,crawl
좋아요,crawl
참치김밥이 정말 알차요. 여태 먹어본 참치김밥 중에선 참치가 가장 많이 들어있는 거 같네요. 다만 참치가 소스 같은 거에 버무려진 게 아니라서 먹을 때 좀 뻑뻑했어요. 떡볶이는 평범한 시장 떡볶이였어요.,crawl
굿,crawl
"한강라면이랑 김밥, 튀김 전부 맛있네요. 가격도 저렴하고 자주와야겠어요. ^^",crawl
묵은지 참치김밥 맛있어요,crawl
혼밥하기 좋은 분식집입니다!,crawl
차가운 김밥 주면서 조금전에 만든거라고 우기는 가게임,crawl
처음 가봤는데 김밥 진짜 맛있어요ㅜㅜㅜ,crawl
너무 짜지않고 김밥 하나만 먹어도 든든하게 배불러요~~가성비짱~~,crawl
김밥이 맛있고 양이 많아요.,crawl
매장도 깨끗하고 메뉴도 다양해서 좋아요,crawl
가성비 짱 입니다.,crawl
키토김밥 너무 맛있네요 ㅎㅎ 자주 사먹을 것 같아요,crawl
집 앞이라 자주 이용하는데 너무 맛있어요.,crawl
건강한 맛,crawl
키토김밥 맛있어요,crawl
"부산대근처 점심 간단히 점심먹을것이 별로없다 돈가스나 정식 대부분 8,000~10,000원 인데 한줄 3,000원인데도 든든하다 그래서 든든김밥인가? 묵은지 참치 김밥도 맛나고 일미채가 들어간것도 난 좋더라~",crawl
늘 맛있게먹었는데..오늘은 밥이 좀.덜익었네요ㅠㅠ,crawl
혼밥 포장하기 좋아요.,crawl
키토김밥 맛있어요 ㅎㅎ,crawl
부산대앞에 키토김밥 판매하는곳이 있었네요! 일반김밥에서 천원 추가하면 키토김밥으로 변경할 수 있어요저는 포장해서 먹었고요 원랜 우엉조림과 맛살도 들어가는데 빼달라고 했습니다 딴말 필요없이 맛있어요!! 재방문 의사 많습니다,crawl
너무맛있어요👍,crawl
김밥 속이 완전 꽉 차 있어서 좋았어요👍 잘 먹었습니다!,crawl
집앞이라 자주 이용해요.,crawl
굿,crawl
김밥 넘 맛있어요!,crawl
김밥 한줄만 먹어도 가게이름처럼 진짜 든든해요 저는 입이 작아서 꼬다리 먹을 때 욱여넣어야 할 정도에요 근처갈 때마다 먹을거에용,crawl
우와.. 이 쯤 김밥집이 하나 있으면 좋겠다. 생각하고 걷는데 김바집이 땋!! 고봉민 김밥집도 없어지고 시장에 있는 명품김밥은 멀고 여기 김밥 사서 먹고 넘 맛있엇ㅣ 그 다음 날 또 갔다는..ㅋㅋ 떡볶이랑 튀김등도 있어 부산대학생들도 많네요.,crawl
굿,crawl
아니 김밥이 이리 맛날줄은 몰랐어요. 떡볶이도 맛나고.. 분식메뉴 좋아요,crawl
맛있어요,crawl
"김밥 하나가 누락되는 실수는 있었지만, 김밥 맛있었어요. 키토는 처음 먹어봤는데 앞으로 종종 사 먹을 것 같아요. 떡볶이는 좀 달고, 튀김 맛있어요! 오뎅도 굿.",crawl
김밥 맛있어요.,crawl
정말 맛있게 잘 먹었습니다. 강추예요!,crawl
친절하시고 맛또한 너무 좋아요~^^ 감사합니다,crawl
"맛있고 양도 많아요! 인원수 2배 시켰는데, 인원*1.5인분 정도면 배불리 먹을거 같아요!",crawl
찢어진 어묵도 괜찮다고 그냥 넣어달랬는데 아니 순대에 내장 많이 달라고 했더니 곱창을 빼고 주시면 너무 섭섭 하지만 묵은지참치김밥은 존맛탱,crawl
맛있어요.,crawl
맛있어서 자주 시켜먹어요!!,crawl
묵은지참치김밥이랑 떡볶이 맛나요,crawl
푸짐하고 맛있어요,crawl
굿,crawl
김밥 떡볶이 튀김 등등 다 먹어봤는데 다 맛있고 친절하세요!! 특히 오징어 튀김이 진짜 짱!!! 번창하세요❤️❤️,crawl
"시장떡볶이 진짜 좋아하는데 집 근처에 생겨서 너무 좋아요!!!!!!!!!!!! 튀김,김밥,어묵도 존맛탱👍 단골 예약입니동 🤩",crawl
굿,crawl
추울땐 든든 오뎅이쥬 물떡도 맛나네용~🫢 든든김밥은 매장도 넘 청결하고 직원 분들도 친절하시고 좋아용,crawl
참치김밥 포장해서 먹었는데 밥은 적게 재료는 꽉꽉! 정말 맛있게 먹었습니다^^,crawl
맛나요,crawl
괜찮아요,crawl
다 맛있고 가성비 좋아요,crawl
맛있어여 ㅎㅎ,crawl
맛잇내영,crawl
갠찬아요 ㅎ,crawl
