text,source
우연찮은 기회에 부산대부근에 왔다가 마침 점심시간이라 주위를 둘러보다가 마침 눈에 띄는 간판이 있어서 들어왔어요. 역시 나의 선택은 탁월했어요. 소고기는 소고기가 칼국수는 칼국수가 볶음밥은 볶음밥이 거기에 어우러진 국물이 끝판왕이네요. 최고는 친절이네요. 다른분들도 다 친절한데 여자분이 너무 친절해요. 음식맛이 맛있어서 한번 직원이 친절해서 또한번더 오고 싶네요. 마니파시고 대박나세요,crawl
밥집 고르다 똭..@@눈에 들어옴..@@ 울 동네에선 그닥여서 부산대점 같은맛일줄 알고 왔더니..@@ 이게 머선일...!!!!!!! 넘 맛있잖앙~~~!!!!!~♡ 정말 잘 픽한 우리가족에게 칭찬해~~!!!!~♡ 선남선녀가 아주 친절하게 맞이해주고 접대해주심에 맛이 두배이상됨~~^^ 앞으로 우린 이집 단골한드앙~~!!!~♡♡ 넘 맛났닷~~!!!!아주 쪼앙~~~!!!!!!~♡♡,crawl
샤브샤브 땡갸서 오램맘에 왔는데 정말 너무 맛있습니다 직원분들도 정말 친절하시구 다음에 무조건 재방문 하겠습니다 잘먹었습니다,crawl
"칼국수,볶음밥까지 알차고 다 맛있어요!! 야채도 많아서 좋음😍 그리구 여기 볶음밥 미슐랭쉐프 계신거같아요 미친 존맛입니다",crawl
"벌써 두 번째 방문이에요! 지난번엔 겨울에 왔었는데, 올 때마다 맛에 깜짝 놀라요. 면은 진짜 쫄깃하고, 김치는 여태 먹어본 것 중 단연 최고! 볶음밥까지 클리어할 때쯤엔 배가 풍선처럼 빵빵해져서 더 못 먹을 줄 알았는데… 또 먹게 되더라고요ㅎㅎ 강력 추천",crawl
칼국수가 너무 맛있어요 ♥️♥️♥️ 구성도 알차고 든든하게 식사하기 너무 좋았습니다아 ㅎㅎㅎㅎ 다음에도 재방문 할게요!! 😎🩷🩷,crawl
오랜만에 등촌샤브 칼국수 먹으러 왔는데 국물 너무 끝내줘용!ㅎㅎ 한번씩 먹으러 오기 좋은거같아요 ㅎㅎ 샤브샤브 먹고 칼국수에 볶음밥까지 깔끔하게 마무리하기 좋은곳이에요 ㅎㅎ,crawl
등촌은 항상 맛있죠잉👍 김치랑 먹으면 존맛탱~ 고기주는 쿠폰 4-6시까지밖에 안한다니까 쓰실거면 일찍 오셔유. 전 못먹음,crawl
"얼큰버섯칼국수는 먹는 내내 국물을 떠먹게 만드는 중독성 있는 맛이었어요. 땀을 살짝 흘리면서도 계속 손이 가는 국물은 해장에도, 스트레스 해소에도 좋을거 같아요~ 면은 쫄깃하면서도 국물이 잘 스며들어 있어 식감이 아주 만족스러웠습니다. 특히 버섯과 면을 함께 먹으면 식감의 조화가 환상적이에요. 그리고 볶음밥은 고슬고슬했고 버섯과 고기 육수의 깊은 맛이 밥에 배어있었어요. 잘게 다진 미나리와 계란이 어우러져 고소한 맛이 일품이었어요. 아무리 배불러도 볶음밥은 꼭 드셔보세요~!!",crawl
"믿고 먹는 등촌이죠~⭐️ 미나리, 버섯, 김치, 고기 다 너무 신선하네요 국물도 얼큰하고 깔끔한게 참 맛있고요 마무리로 볶음밥까지 저렴한 가격에 야무지게 잘 먹었습니다~",crawl
