text,source
저번에는 망고빙수 먹으러 왔었는데 오늘은 복숭아빙수를 먹으러 왔습니다!! 복숭아는 제가 좋아하는 물복이었고 안에는 생크림이 채워져 있었어요! 우유빙수 가에는 얼음빙수같은데 시럽이 뿌려진건지 달달하고 맛있었어요! 살얼음 씹히는 식감도 너무 좋았고 혼자서 빙수 하나를 다 먹었답니다••• 또 먹으러 와야겠어요!!,crawl
"디프런트 데이즈,, 나만 알고 싶지만 이미 너무 유명해서 슬퍼요 😇 왜 유명한지 알만한 분위기와 맛 ☺️ 데이트 장소로도 좋지만 친목하기에도 좋아요 (+사장님과 직원 분이 너무 친절하십니다.) 자주 방문하고 싶어요 🥰",crawl
"망고빙수 먹고 싶어서 부산대 망고빙수 검색해서 첫 방문했는데, 역시 망빙 최고였습니다 ㆅ 망고가 진짜 잘 익어서 달달하고 우유 얼음 사이에 새콤한 망고가 섞여있어서 망고가 진짜 많아서 좋았어요 💕커피는 드립커피도 아메리카노도 둘다 맛있어요 ! 산미 있는거 좋아하시면 드립 케냐 추천합니다👍 개인적으로 빵 많은 티라미수 좋아하는데 크림도 맛있고 초코시트도 맛있었어요 ☺️ 다음에 또 방문하려구요 !",crawl
수제 바닐라 아이스크림 라떼가 정말 맛있어요 ! ✨ 부드럽고 고소한맛이 너무 좋았어요 ! 매장도 예뻐서 구경하기도 좋았어요 😆,crawl
부산대 카페 디디에 망고빙수에 이은 복숭아 빙수가 신메뉴로 나왔다고 해서 방문해 보았습니다😆 역시 복숭아빙수도 복숭아가 통채로 들어가 있었는데 엄청 신선하고 얼음도 우유 빙수 인지 너무 맛있었습니다🍑 그리고 커피는 바닐라 라떼를 시켰는데 역시나 디디는 커피 맛집이였네요😙😙😙,crawl
"디프런트데이즈 메뉴를 꽤나 좋아하는 편입니다. 프렌치 토스트도 정말 맛있었고, 이번에 빙수를 판매하시길래 뛰어왔습니다!! 역시나 너무 맛있어요! 망고는 이른 품절이고! 복숭아 빙수도 정말 맛있었습니다! 그치만 여긴 커피집임을 잊지 않게 하는 필터커피! 빙수 먼저 먹고 커피 마셨어요! 산뜻하고 클린하고 더운 여름밤 진짜 최고의 한 잔 이였습니다! 최고!!!",crawl
일단 디저트가 비주얼 정말 예뻐서 사진부터 찍었습니다 ㅎ 파블로바는 망고 토핑에 배를 가르면 망고 소스가 또나오는 진한 맛이예요 ㅎ 그리고 커피는 디디라는 말이 있듯이 원래 맛있는건 알고 있었고 제가 오늘 시킨 캐모마일 티는 깔끔하면서 향긋한 맛이라 힐링 하고 왔습니다💛,crawl
복숭아 통째로 올라간 빙수는 처음 봤어요🍑 속에 크림까지 들어 있어서 한입 한입 즐거웠습니다. 상큼한 복숭아 맛이 시원한 빙수랑 정말 잘 어울려요. 카페 분위기도 예쁘고 조용해서 편하게 쉬다 왔습니다. 빙수 디저트 좋아하신다면 꼭 들러보세요!,crawl
드립커피도 너무 맛있고 빙수도 맛있어요!!! 분위기 좋아서 집만 가까우면 매일 오고 싶어요😊👍🏻,crawl
커피 맛집인 줄 알았는데 빙수도 존맛탱이예요 🥹 비주얼은 물론 맛도 최곱니다.. 냉동 망고 빙수만 먹어봤었는데 생망고빙수는 달라도 확실히 달라요 그나저나 요즘 망고값이 엄청 비싸다던데 사장님 남는게 있으신가요..? 안 먹어본 사람은 있어도 한 번만 먹은 사람은 없을거 같은 망빙.. 또 먹으러 가겠습니다!!! 🥭😋,crawl
망고빙수를 맛있게 먹었던 기억에 재방문했습니당 🤩 파블로바도 너무 맛있네요..! 망빙처럼 생망고 잔뜩 얹어주시고 머랭 안에도 망고가 있었어요 또 먹으러 오겠습니당~!,crawl
"여기 진짜 자주 오는데 리뷰는 처음 써보네요…🥹 도쿄토스트에 반해서 계속 오다보니 티라미수, 파블로바, 망고빙수까지 먹어봤어요!! 오늘 먹은건 망고빙수인데 망고가 생망고여서 그런지 신 맛 안나고 엄청 달았어요! 우유빙수자체가 달콤하고 맛있었구 망고도 하나가 통째로 올라가는 빙수여서 넘 맛있게 잘 먹었어요🤤 커피도 너무 맛있고 디톡스음료도 넘 맛있었어요!! 이번 여름 빙수는 디디입니다!!",crawl
너무 만족스러운 프렌치 토스트 맛이네요! 식감이 정말 일반 토스트랑은 다르게 겉은 바삭하고 속은 촉촉해서 너무 좋았어요~ 도쿄식이라 그런지 달달함도 적당해서 질리지 않게 먹을 수 있어요,crawl
너무 만족하는 경험이었어요~ 인테리어가 감각적이라 눈이 즐거웠답니다 도쿄식 프렌치 토스트의 촉촉한 식감이 정말 특별했던 것 같아요,crawl
너무 만족스러운 프렌치 토스트였어요 담백하면서도 촉촉하게 입안에서 퍼지는 맛이 일품이었어요 분위기도 정말 좋아서 커피와 함께 여유롭게 즐기기에 딱 좋았어요,crawl
굿굿 너무너무 맛있고 분위기 편안해서 이야기 나누기 너무 좋습니다 실내는 시원하게 딱 좋습니다,crawl
망고빙수가 너무맛있어서 재방문했는데 소문났는지 사람이 엄청많네요~ 애플망고로 바뀌고 애플망고 특유의 식감과 달달함덕에 더 맛있게먹고왔어요!!,crawl
