text,source
오늘은 원두사러 부산대 라이크댓커피 방문! 벡스코 행사장에서 블렌드 커피가 전부 다 맛있어서 싱글 안파냐고 했더니 매장에 스페셜티커피가 있다고 해서 방문했습니다. 핸드드립 한잔하고 바로 원두 결제!! 진짜.. 너무 맛있쟈나..! 너무 무겁지도 않고 적당히 단맛과 향의 표현이 너무 좋은 커피! 원두 사러도 자주 올 것 같아요😍,crawl
내가 어떤맛의 커피를 좋아하는지 알고싶으면 꼭 가보길 추천합니다 ~ 추구하는 맛의 늬앙스가 확실해서 너무 좋아요 ~! 부산 카페쇼도 참여하는 곳이라 믿음이갑니다 🔥,crawl
오랜만에 부산대 데이트💕 블루리본 카페라고 해서 기대하고 왔는데 음악도 좋구 분위기가 아늑해요~ 무엇보다 커피가 정말 맛있어요🍒☕️,crawl
라이크댓커피에 드립백 사러 왔어요! 총 6가지 블렌드를 드립백으로 맛볼 수 있는데 질소장되있고 디자인.. 넘 갬성적이잖아🥹 내취향😍 그리고 네이버리뷰하면 드립백 1개 준다는 사실🔥,crawl
"부산대 근처, 블루리본을 받은 카페라 해서 ‘라이크댓커피’에 다녀왔어요. 이미 가득 찬 좌석 덕분에 카운터에 앉아 주문했는데, 라떼에 크림 추가하고 추천해주신 선셋 블렌드 아메리카노를 마셨습니다. 라떼는 단백하고 고소하면서 달달함까지 완벽하게 조화를 이뤘고, 크리미한 질감이 정말 인상적이었어요. 선셋 블렌드는 아메리카노라기보다 상큼한 오렌지 주스를 마시는 듯한 깔끔함! 서비스로 주신 아메리카노도 훌륭했습니다. 역시 블루리본은 괜히 주는 게 아니네요. 제가 방문한 카페 중 손꼽힐 곳이에요.",crawl
커피맛이 고급지네요 오늘은 비가와서 그런지 조용하고 커피맛 느끼기에 너무 좋아요 커피는 집에서 매일 직접 드립해서 마시는데 요즘 에티오피아 빈에 푹 빠졌거든요 ㅎ 역시 전문가가 드립해주는 커피가 다르네요 조온습 완벽한듯 담에 또 들를께요 잘 마셨습니다~,crawl
"부산대 북문 쪽에 개인카페를 찾다가 우연히 들어오게 되었어요. 드립커피를 좋아해서 베스트 메뉴인 라이크댓 블렌드를 주문했는데 지금까지 마셔본 적 없는 커피였어요..(positive) 신비로운 커피 맛에 취하는 느낌..? 분위기, 음악 모두 따뜻하고 유연한 느낌이라 여유롭게 책을 읽거나 사람들과 대화하기 좋은 곳이라고 느꼈습니다🧡",crawl
"커피가 맛있고 분위기도 좋아서 또 왔어요🤎 ☕️아메리카노: 트로피칼 원두 추천 ☕️크림라떼: 아몬드밀크 변경 +크림추가+ 선셋원두 예쁜 식물도 많고, 플랜테리어와 원목 인테리어가 조화를 이루는 따스한 공간 이에요🪴 직원분도 정말 친절하십니다🤎",crawl
부산 커피쇼 방문했더니 저의 최애 카페 라이크댓커피가 있었어요 🐻‍❄️ 드립백부터 원두까지 다양하게 파는데 역시.. 커피 찐 맛집🐻‍❄️,crawl
"친구 덕에 힐링하고온 카페인데 크림커피맛도 좋고 원하는 블렌딩도 선택가능하고 분위기도 아늑하고 좋더라구요 ,,, 그래서 별도로판매하는 커피를 지르고 왔답니다! ☕️🍂",crawl
