text,source
부산대 마라탕 거의 다 먹어봤는데 여기가 가장 진하고 국물도 제일 맛있는 것 같아요…🥺 부산대역이랑도 가까워서 이동도 편합니다 💕,crawl
"가보았던곳 중 가장 맛있고,손님도 많고,국물도 적당히 시원하고.맵기는 선택 가능하고 맛있게 먹었어용! 꿔바로우도 쫀득쫀득😋 맛나요~ 잘먹었어욤! 재방문의사 있음~",crawl
푸짐하게 잘먹었어요 칼칼하고 매운거 잘먹으면 중간맛보다 더 높은 단계주문 추천드립니다,crawl
마라맛이 많이 안나요!,crawl
많이 맵지 않아서 아이랑 맛있게 먹고 왔어요!,crawl
"쫀득하니 맛잇엇구요.소스가 근데 좀,,마니 묽었어용! 가본곳중 젤 깨끗했고.깔끔하고,청소도 잘 되어있었구요~!직원들이 한국분이 아니셔서 그런지 대화는 조금힘들구요~그거 외엔 다 괜찮았어용😋",crawl
지하철역 바로 앞에 있어서 간편하게 먹기 좋아요. 맵기 2단계 해도 전혀 안 매워서 저같은 맵찔이들이 먹기 좋을 거 같아요. 가격은 딱히 저렴하진 않아요 ㅎㅎ,crawl
ㅎ,crawl
굿,crawl
가격도 저렴하고 아이들이 좋아해요,crawl
아이가 좋아해서 들렀는데 재료가 신선하고 깨끗한데 넘 짜네요,crawl
ㅎㅎ 마라탕 맛나요^^,crawl
"1.5단계 시켰는데 다른 매장들보다 비교적 매웠어요, 마라샹궈 시키고 밥 나오냐 물어보고 나온다는거 확인했고 시켰습니다, 밥이 하나만 나와서 물어봤더니 밥이 더 없다고 하셨는데 그럼 주문 하기받기 전에 미리 밥이 다 떨어져 밥 하나만 드릴 수 있는데 괜찮으신가요? 하고 묻는게 먼저입니다. 성인 둘이 먹는데 밥 하나 주시고 밥이 다 떨어졌어요 하시고 사과도 안하시고 할 거 하러 가시는 모습이 보기 안좋습니다..사진에 고구마떡 같이 잘 뭉개지는 재료들은 많이 부서져서 요리 하실 때 주의 해주셨으면 좋겠습니다..그리고 밥에 털도 나왔어요 ….",crawl
라화공방 첨 먹어보는데 여기 넘 맛있네요 ㅠㅠ....찐이에요 종류도 많구요~ 후기에 위생관련이 있어서 걱정? 했는데 개선이 된건디 식자재들도 깨끗하고 매장도 깨끗해서 전혀 신경쓰이지 않았어요! 아 꿔바로우도 맛있습니다 ㅎㅎㅎ,crawl
맛있어용><,crawl
순삭,crawl
처음 먹어본 마라탕!!! 매장가서 직접 사와서 먹었어요!! 정말 맛있네요^^,crawl
맛있어요 ㅠ 근데 재료에 벌레가... ㅠ,crawl
^^,crawl
굳,crawl
맛나요~,crawl
굿,crawl
맛있어요,crawl
다른 곳 보다 많이 담은 것 같은데 금액은 더 싼거 같아요ㅋㅋㅋㅋ 맛있구요~ 맵기가 약한 것 같아요~ 맵찔인데두 2단계 잘 먹었어요,crawl
"마라샹궈인지 마라탕인지 못 들었으면 제대로 묻든가, 메뉴가 잘못 나왔으면 사과를 하든가, 둘 중 하나는 해야죠? 분명히 마라샹궈 시켰는데 탕 나와서 샹궈 시켰다고 하니 하는 말. 샹궈라 했으면 주방까지 다 들렸겠죠~ 잘못 시키신 거에요. 뭐, 마라탕에 있는 재료들 다 빼서 그걸로 볶아드려요? 네네. 그렇겠죠, 주문할 때부터 인상 쓴 얼굴로 주문하시던데 저희가 잘못한 걸로~! 지금까지 방문한 가게 중 서비스는 젤 별로였습니다. 제발 장사하고 싶으면, 굳이 친절합시다! 제발ㅎ",crawl
디저트가 맛이 있었어요,crawl
땅콩소스맛이 강해 고소한 베이스가 있네요.,crawl
진짜 겁나 별로예요 야채 다 담고 소시지 넣을려고 했는데 옥수수면 위에 장구벌레?같은 게 살아있었어요 위생최악입니다,crawl
굿,crawl
오늘도 맛나게 잘먹었어요.,crawl
아이가 좋아해서 한번씩 오게됩니다~ 집에서도 만들어주지만 밖에서 먹는 맛은 또 다른듯ㅎ 땅콩소스에 꼭 찍어서 드세요~~,crawl
여러사람들이 퍼서 그런지 야채공간에 칸막이 같은거 했음 좋겠어요 머리카락이 나와서 화가났어요 벌써 두번째ㅡㅡㅡ 내돈 내고 머리카락 나오는 음식 먹으로 가는건 아닌듯합니다 이제 먹고 싶지않아요 포장도 자주하고 혼밥하기 좋은곳이라 자주 갔는데 관리못하시니 제가 안가는게 맞겠죠 직원분인지 모르겠지만 숙주가 그릇있는 공간 밑에 흘렸는데 손으로 잡아서 넣는데 숙수그릇에 넣는거 봤는데 ㅡㅡ손으로 하는것도 화가나는데 그걸 숙주통에 다시 넣다니요 ㅡㅡㅡ 너무 화가나네요,crawl
딜리셔스,crawl
맛있어요 ㅎㅎ 공깃밥을 판매 안해서 아쉬웠아요!,crawl
굿,crawl
맛이 어떨까 궁금해서 와본곳~~~ 성공입니다 국물 굿~ 야채랑 다른 재료들도 좋아요 샤오롱보까지 다~ 먹을수 있을줄 알았는데 저희는 위대한 사람들이 아니었네요 결국 샤오롱보 포장 했습니다~ 다음에도 또 올께용~~,crawl
마라탕 맛있네요~~,crawl
가끔 생각나서 와서 혼밥도 해요 ㅋ 다른 마라탕 먹어봤는데 여기가 제일 맛있어요 ㅋㅋ 직원분들도 친절하고 좋아하는 매장입니다^^,crawl
마라탕에 맛들이 딸 덕분에 또 방문했네요. 재료 신선하고 매장이 깔끔해서 아이와 오기 좋아요. 맛도 좋아서 아이 취향 어른 취향 모두 맞출 수 있어요.,crawl
주중에 자주 방문하던 라이옥 오늘은 주말메뉴인 반세오도 먹었는데 바삭~~고소~~ 그리고 가성비도 완전 좋인요~~ 분팃사오도 완전 맛있어요 고기도 바삭하고 첨 먹어보는 남편도 엄청 좋아하네요,crawl
아이들과 함께 방문한 라화공방! 아이들이 너무 좋아하네요. 재료도 신선하고 청결해서 더 좋은것 같아요!,crawl
깔큼하고 환한 매장에서 맛있는 마라탕 먹었어요. 아이가 너무 좋아해요. 일주일에 한 번 이상은 오는거 같애요.,crawl
항상 오는 곳이예요 매장도 깔끔하고 맛도 좋아요^^ 마라탕은 여기가 최고예요♡,crawl
새빨간 마라탕과 핑크 인테리어의 언발란스함이 재밌네요. 손님북적대고 배달도 많은듯한데 친절함은 솔직히 보통입니다. 신라면맵기가 2단계이구요 마라향 강하지않아서 먹을만합니다~,crawl
처음 와봤는데 마라탕도 너무 맛있고 꿔바로우도 바삭했어요😋,crawl
너무 맛있어요 재료들도 다양하고 많고 굿굿입니당 지하철역 바로 앞에 있어서 자주 방문 할 것 같아요!! 일단 너무 맛있네요 제입맛에 딱!입니다,crawl
"아이들과 두번째 방문. 초등 아이들은 1단계 순한 맛, 엄마는 2단계 중간맛으로 각자 맛있게 즐길 수 있어 좋아요 😀",crawl
너무 맛있어요! 저희동네에도 마라탕집 있는데 여기 와서 먹어요🩷🩷,crawl
첨 먹는 마라탕입니다. 맛은 1단계 애기랑 먹기에는 딱좋네요 골고루 담아서 먹는게 좋네요 꿔바로우 잘먹네요,crawl
너무맛잇어요🥴,crawl
딸이 다녀오고는 맛있다며 함께왔어요 재료넣는볼에 먹고싶은 재료 각자 양조절해서 선택해서 먹을수있어요~ 처음와봤는데 괜찮네요^^,crawl
넘 맛있어요옹 직원도 친절하고 좋습니당 !,crawl
재방문입니다. 2단계 신라면정도의 맵기 좋아요^^,crawl
마라탕 처음 먹어보는데 매운걸 잘못먹어서 순한맛 먹었는데요~땅콩소스맛이라 맵지도 않고 넘 맛나네요 마라탕 신세계네요 추천ㅈ꾹~!!!!,crawl
"깔끔, 시원한 맛♡ 친절하고 깨끗하고 맛있어서 좋아용~~^ 강추합니당~~♡",crawl
마라탕집은 위생이 신경쓰이는데 깨끗해서 마음에들어요,crawl
부산대역 바로 앞이라 가기 편해요! 양도 많고 맛있구요ㅎㅎ 시설도 깔끔하고 좋아요!,crawl
굳굳!! 맛나용~ 친절하셔서 좋아용~!!,crawl
진열대에 깔끔하게 재료가 있어 좋아요. 딸이 맛있다고 추천해서 가족 식사 왔어요.,crawl
맛있어요! 자주 방문합니당ㅎㅎ,crawl
처음 왔는데 손님이 많고 음식도 맛나요. 다음에 또 올께요,crawl
배트남친구가 추천했으니 여기 왔어요~~너무 맛있어요~~,crawl
라화공방은 항상 실망시키지 않습니다,crawl
너무 맛있어서 또 왔어요~ 저 진짜 매운거 못먹는 사람인데 여긴 1단계도 은근히 맵고 국물맛이 진하고 고소해서 정말 맛나요~ 저 알바도 아니고 진짜 찐고객입니다 여기 마라탕 맛집 찐인정입니다,crawl
야채가 신선하고 재료가 다양해서 좋아요. 아이들이 좋아해서 자주와요~맛있고 음식도 바로 나오고 좋아요,crawl
맛있어요,crawl
마라탕 혼밥 가능해서 좋아요 내가 먹고싶은거 먹을수 있고 좋아요 땅콩 소스 달라고 할 때 눈치보여요 ㅜㅜ,crawl
재방문해요 소세디맛잇음,crawl
저희동네에도 마라탕집 있지만 요까지 왔어요! 여기가 젤 맛있더라구요ㅜ🩷 존맛탱임댜 꼭 먹어보세오!!,crawl
