text,source
"피자 하나 + 파스타 하나 = 22800원.. 엄청난 혜자 가성비라서 솔직히 맛을 기대하지 않았는데요.. 개인적으로 지금까지 먹어본 피자 중 가장 마음에 드는 맛입니다. 솔직히 피자맛 비슷비슷하게 다 짜고 자극적이고 그런맛에 먹는거라 생각했거든요. 그런데 이곳은 피자반죽이나 치즈의 재료가 되게 신선하고 고소하게 느껴져요. 물론 화덕이니까 더 고소한거도 있겠지만요, 무엇인가 근본적으로 반죽자체부터 훌륭한 맛이네요... 사장님께서도 정말 친절하시고 2층의 가게 내 분위기도 앤티크하게 나무질감으로 잘 꾸며놓으셨더라구요. 다음번엔 소고기 스튜 메뉴 먹으러 오겠습니다. 감사합니다! 잘 먹고 갑니다~ 🎶",crawl
친절한 사장님 부부 2분이서 운영하시는 부산대역 맛집 전통 이탈리아 레스토랑 리멘시타! 꾸덕한 로제파스타와 따끈한 피자가 맛있어요! 같이 시킨 감바스도 새우가 통통하고 오일에도 간간히 간이되어있어 빵이랑 먹으니 최고였어요!,crawl
"15년 넘게 부산대 앞을 지켜온 데에는 다 이유가 있네요! 맛, 분위기, 사장님의 친절함까지 모두 갖춘 곳이라 앞으로도 꾸준히 찾을 것 같습니다! 피자 치즈가 ㅇㅈㅁ피자마냥 쭉쭉 늘어나고 맛도 거의 비슷해서 깜짝 놀랐어요. 피자 강추합니당",crawl
피자 파스타 감바스 2-3인스페셜세트 주문해서 아주 맛있게 먹었어요 ^^ 화덕피자라 더 맛있네요! 토마토소스도 듬뿍들어있어서 파스타도 아주 맛있게 먹었어용🥰 사장님도 친절하시고 잘먹었습니당,crawl
"부산대 근처에서 분위기 좋고 맛있는 파스타집 찾다가 리멘시타 방문함 로제 쉬림프 파스타는 소스가 진하고 새우도 통통해서 너무 맛있었고, 감바스도 오일 향 가득해서 빵이랑 찰떡!!! 콤비네이션 피자인 카프리쵸사도 도우가 쫀득해서 한 조각도 남기기 아까워서 포장해옴 ㅎㅎ 무엇보다 부부 사장님들이 정말 친절하셔서 기분 좋게 식사하고 나왔어요.또 올게용!!ㅎㅎ",crawl
화덕피자 스파게티 감바스 주문해서 먹었어요 2010년부터 영업하셨다는데 그 이유를 알겠더라구요~ 도우가 바삭 고소한 화덕피자에 꾸덕꾸덕 까르보나라스파게티 감칠맛 최고인감바스에 진짜 너무 맛있게먹고왔어요~ 재방문각입니다^^,crawl
내부분위기도 너무 좋고 사장님 두분도 너무 친절하시네요💕 부산대 앞에서 15년간 자리를 지킨만큼 맛있고 양도 많아요!!!👍,crawl
부산대 양식 화덕피자 맛집 리멘시타 너무 맛있었어요 ㅎㅎ 종종가는집이지만 너무 맛있어서 먹을때마다 감탄하는곳🩶,crawl
부산대 앞 맛집~^^ 디아블라 피자 화덕피자라 그런지 진짜 기대 이상이었어요~ 풍미가 입안 가득 퍼지는데도 부담스럽지 않고 계속 손이 가는 맛~ 까르보나라 파스타는 꾸덕꾸덕한 소스에 진한 풍미가 그대로 살아 있어서 제 입맛에 딱 맞았어요~ 감바스도 새우가 정말 통통하고 신선해서 먹는 내내 만족스러웠어요. 전체적으로 메뉴 하나하나가 정성스럽고 맛의 밸런스가 좋아서 다음에도 꼭 다시 오고 싶은 곳입니다~^^,crawl
왜리뷰가 좋은지 모르겠어요 일단 금액이 달라요 3인세트금액3만원대로나와있어서 너무저렴해서 긴가민가했지만 리뷰가 좋아서갔는대 3인세트57800원이였어요 2만원이나 금액차이나고 뭐그래도 적당한 금액이라서 먹었눈데 피자는 화덕이 아니에요 오븐에 구웠고…화덕특유의 쫄깃함 1도없어요 감바스 지금까지 먹은거중에 제일 맛없고 굴라쉬랑 호밀빵도 맛없는데 로제파스타는 집에서 폰타나 한것보다 별로였어요ㅜㅜ 맛있다고 적으신분들 맛있는데 안가보신건지 ㅠ 진짜별로에요~~ 사장님 리뷰보시면 가격부터 수정하셔야할것같아요~~ 2만원정도차이나는건 진짜 심합니다,crawl
맛있고 친절하셨어요 부산대 주변 양식집으로 추천합니다!,crawl
부산대 양식 맛집 리멘시타 다녀왔어요 화덕피자가 맛있습니다!,crawl
화덕피자라 그런지 피자가 넘 맛있었어요~ 고르곤졸라 피자 완전 추천드립니당 ^^,crawl
"음식도 맛있고 양도 푸짐하니 맛있었어요>< 특히 피자 도우가 쫄깃쫄깃,, 대박적,, 잘 먹었습니다👍🤤🤍",crawl
부산대 리멘시타 부산대 레스토랑은 푸짐 하고 고급스런 인터리어와 감칠맛 가득한 풍미와 고급진 수제화덕피자 파스타맛집 화덕피자 파스타가 너무 맛나요. 유럽풍 인테리어에서 부산대 데이트맛집 가족외식하기 너무 좋았어요.,crawl
맛있고 친절하고 내부 인테리어도 좋았습니다. 화장실도 예쁘더라고요. 잘 먹고 갑니다. ^^,crawl
