text,source
너무 맛있어요! 가격도 착한데 치킨까스 양도 많고 버섯이랑 감튀주는거 너무 좋아요... 밥양도 많아서 정말최고 매운 치킨가스 소스도 매콤하고 진짜 맛있어요! 사진에는 없지만 까르보나라도 먹었는데 재료도 정말 많이 들어있고 맛있었어요! 할머니 할아버지가 정성스럽게 해준듯한 맛이였어요 사장님 두분도 정말 친절하셔서 부산대 올때마다 먹고싶어요,crawl
너무 맛있어요. 매운치킨크림파스타와 생돈까스 일주일에 2번은 가는것같아요,crawl
명절 쇠러 부산 왔다가 식당 검색 중 발견한 곳이다. 르꼬르동블루 출신 주방장이라고 해서 맛을 보고 싶었다. 우리는 돈까스와 알리오 올리오 파스타를 주문했다. 양도 많고 맛있었다. 감튀와 큼직한 버섯도 좋았다. 부산에 산다면 다시 방문하고 싶다,crawl
여기 매운 치즈 돈까스를 다들 너무 추천하길래 먹어봤는데 존맛탱 인정 생각보다 매웠는데 그래서 안 질리게 먹을 수 잇엇어요!,crawl
나의 추억의 가게 리틀프랑💕 여기 참 자주 왔었는데 오늘은 정말 오랜만에 왔어요 결혼하고 나니 여기 안와져서 흡 이 맛있는집엘 얼마만에 온건지 !!! 여전히 그 때 그 맛 그대로고 정말 맛있어요😉 역시 맛집이라 여전히 장사하고 계셔주셔서 너무 반가웠습니다 너무 잘 먹고 갑니다😊 돈까스 맛집 파스타 맛집👍🏻💕,crawl
20년 만에 방문한 추억의 가게 오래 전 기억했던 메뉴는 아닌 것 같지만 여전히 맛있고 가성비 좋게 느껴지네요.,crawl
너무 맛있었어요!!! 돈까스 먹어본 것중에 젤 부드러웠고 직원 분들도 친절 하셨어요!!,crawl
금액 착하고 맛도 좋고 양도 엄청 많아요!👏 부산 오면 꼭 먹어봐야지했는데 맛있게 먹고가요,crawl
부산대 오래된 가게들이 많이 없어져서 뭔가 아쉽고 씁쓸했는데 리틀프랑이 있어서 넘 좋았고 추억에 젖어 맛있고 따숩게 즐겼어요 오래오래 있어주세요~♡♡♡♡♡,crawl
돈까스 고기가 두툼하고 버섯을 가니쉬로 올린 게 특이하다. 치즈도 풍성하고 정말 맛있다,crawl
오래된 부산대 파스타집이예요 가격도 착해서 가끔씩 가는 맛집입니다 크림파스타 넘 꾸덕하구 맛나요 치킨까스도 바삭바삭 겉바속촉 입안에 넣으면 행복해져요 기본으로 주는 샐러드도 입을 상큼하게 하기 딱 좋아요 추천합니다,crawl
돈가스 곱배기랑 리조또 먹었는데 잘 어울려요 오픈주방이고 알바도 친절해요 대학교때 자주 가던 곳인데 계속 오래 영업해주시면 좋겠네요,crawl
"돈까스 별로 안 좋아하는데 생각보다 넘 부드럽고 겉바속촉이라 맛있었음 ㅎ 버섯도 통으로 구워주셔서 굿 알리오올리오는 소스가 좀 더 낭낭했음 좋았을 것 같은,, 마늘 와장창 주셔서 좋았다 ㅎㅎ",crawl
굿,crawl
깔끔해여,crawl
"옛날부터 있던 곳이라 궁금했는데 이번에 가보게되었네요! 가성비 좋구 그렇다고 맛이 없는것두 아니구..! 로제파스타도 맛있구 다른 파스타도 맛있어보여요😋 돈가스도 맛난데 치즈돈가스라서 치즈가 들어있는게 아니라 뿌려서 나오는(?) 돈가스입니다! 근데 맛있움👍🏻 서빙, 주방 너무너무 친절하시구❤️ 담에는 다른메뉴들 도장깨기로 갈거에욥!!",crawl
"가격도 저렴한데,너무 맛있어요>< 직원분도 친절하시고 음식도 빨리 나오는 편입니다 또 방문하고 싶습니다",crawl
지이이이이이인짜 맛있어요 경양식은 여기만 갈거에요,crawl
"종류도 다양해서 먹고픈것두 많아서ㅎㅎ 이번에는 직원분의 추천으로 오븐스파게티를 먹었습니다~ 토마토소스 많이 좋아하지않았는데, 직원분의 의견을 믿공~먹었는데~와~~굿~♡ 소스하나 안남기고 다먹었어용~ 늦은 식사시간이였는데,계속해서 손님들이 들어오셨어용~ 다음에 종류별 맛보렴 저두 계속와야할것같아용ㅎㅎ 부산대 오래된 찐맛집~늘 줄서는 맛집!! 이유가있는것같습니다~맛있게 잘먹었습니다~😊",crawl
좋아요,crawl
까르보나라 맛나요,crawl
역시 너무 맛났던 어제,crawl
맛있게 잘 먹었습니다! 🌸 치즈 돈까스 소스가 부어져서 나와요. 조금 느끼해서 먹다보면 물립니다. 치즈 좋아하시면 좋아할 것 같은데 매운치즈돈까스가 궁금하네요. :) 🌸 생돈까스💕💕💕 소스를 찍어먹는 일본식이에요 바삭하니 맛있게 잘 먹었습니다. 두 돈까스 모두 커다란 새송이버섯 3-4조각이 있는데 신기하고 너무 맛있네요. 잘먹었습니다🥰,crawl
가성비가 좋았던거 같아요~ 맛도 있구요~,crawl
파스타랑 매운 돈까스 다 맛있었어요!!!,crawl
맛있어요 ㅋㅋㅋㅋㅋ 짱 ㅎㅎ,crawl
20년 넘게 다니는 곳. 착한 가격에 맛 또한 따봉^^ 돈까스를 먹었는데 맛있었어요. 다른 손님들은 치킨까스를 드시던데.. 다음에는 치킨까스 도전 맛있게 잘 먹고 왔습니다.,crawl
부산 3대 돈가스 맛집!!,crawl
치킨크림파스타 매운맛은 괜찮았습니다 토마토스파게티는 약간 불은듯한 비쥬얼 ㅋ 토마토는 비추 돈까스많이드시던데 크림이랑 돈까스 추천드려요 가격이 착한 식당입니다!,crawl
가성비맛집👍👍,crawl
항상 맛있는 곳,crawl
추억의 맛 오래오래 해주세요,crawl
오래된맛집ᆢ스파게티 최고네요,crawl
돈까스가 맛있어요~,crawl
너무 맛있게 잘 먹었습니다 😀,crawl
옛날부터 내 인생맛집!! 가격도 너무 착하고 너무너무 맛있어요~~!!!!,crawl
스파게티 돈까스 다 너무 맛있어요. 오랜맛집!!!!,crawl
친구따라 가 봤는데 맛있어요!! 요새(2023.11.16)는 7시 30분까지 영업하신다고 하니 참고하세요!!,crawl
파스타 맛있어요,crawl
부산대 숨은 맛집이네요!!! 매운 돈까스랑 크림치즈파스타 둘 다 너무 맛있게 먹었어요~~ 사장님이 르꼬르동블루 나오셨던데 음식에서 내공이 느껴집니다~~ 다른 메뉴 먹으러 또 갈꺼에요^^,crawl
양 많고 맛있고 저렴하기까지^^,crawl
맛있어서 죽을수도 있으니 유서쓰고 가세요!!,crawl
돈가스 아주 맛있습니다. 특히 처음에 돈가스랑 같이나오는 버섯구이도 맛있구요. 꼭 처음 주문하실때부터 버섯 많이달라고 말씀하시고 주문하시는걸 추천드려요~^^,crawl
맛있어요,crawl
돈가스가 맛있어서 자주 오게되네요. 돈가스 주문시 버섯구시 많이 주문은 필수입니다. ^^,crawl
친절하시고 맛있어요:),crawl
굳,crawl
좋아요,crawl
양도 푸짐하고 한끼 식사하기 좋습니다!,crawl
굿굿 가성비좋아요,crawl
돈가스 맛있습니다. 특히 돈가스랑 같이 나오는 버섯구이가 기대이상이네요. 주문하실때만 버섯구이 많이 달라고하는게 가능합니다. 처음부터 버섯구이 많이 달라하세요~^^,crawl
굉장히 오래된곳인데 처음가봤어요 정작 학교 다닐때는 안가봤었는데 ㅜㅜ 이제야 가다니 ..! 정말 맛있었아요.... ㅎㅎ 매운돈까스 강추 !!💖💖💖💖,crawl
파스타 리조또의 근본 중 근본,crawl
가성비 굿,crawl
리를 프랑 모르는 흑우 없겟죠?,crawl
굿,crawl
부대생이라면 한번은 가봤을 리틀프랑!! 몇년만에 오랜만에 갔는데 치즈오븐스파게티 맛있네용ㅎㅎ,crawl
돈가스 맛있네요~~ 파스타는 시판용 소스맛입니다,crawl
점심시간도 아닌데.. 사람이 정말 많았써요.. 크림이 조금 쨘것 빼곤 완전 나한테 안사ㅓㅇ맞춤,crawl
"치즈치킨까스 치즈돈까스 먹었는데 애들도 좋아하고 맛있어요 밥,야채 리필 되는데 양이 딱 맞았어요~ 담에 또 방문해야겠어요",crawl
돈까스 넘 부드럽고 특히 매운소스랑 넘 잘 어울려서 오늘도 까르보나랑 맛있게 잘 먹고가요 애정하는 맛집❤️,crawl
5번 갔어요 사진은 토마토치즈파스타인데 여기 치킨크림파스타가 진짜!! 예술이에요 꼭가세요,crawl
귯,crawl
리틀프랑 부산대 토박이로써 한번 가본 사람은 없겟지요?,crawl
20년동안 맛 유지되는 로컬맛집이어요~ 오늘 브런치 100점 만점에 110점이네요~돈까스는 갑이네 오늘도 맛있게 잘먹었어요👍👍,crawl
부산대 주변 파스타집하면 가장 먼저 떠오르는곳이에요! 메뉴도 다양하고 인테리어도 아기자기하고 가격대도 괜찮아서 정말 맘에들었어요 간도 적당하고 양도 충분해서 자주 갈듯 합니다!,crawl
여기 진짜 너무 맛있어요👍👍그 중에서 저는 까르보나라랑 매운 돈가스 먹는데 매운 돈가스도 진짜 너무 맛있어요 주인분도 너무 친절하시고 진짜 가만히 있다가도 생각나는 맛이어서 나도모르게 가게 되는👍👍 진짜 너무 맛있어요 오래오래 해주세요 계속 단골할게요!!! 제 인생 파스타🍜,crawl
가성비 맛집입니다. 맛있고 양도 많아요. 돈가스 맛있네요.샐러드 소스도 맛이습니다.,crawl
오랜만에가서 먹었는데 가성비좋음,crawl
굿,crawl
"20년 영업하는 곳은 이유가 있습니다. 리틀프랑 정말 맛있습니다. 아이들과 함께가도 좋았어요. 친절하시고, 가성비 최고입니다.",crawl
🍝,crawl
오일파스타 맛있어요 돈까스 1조각 메뉴 좋아요,crawl
