text,source
이렇게 인기많은 집인줄 모르고 갔는데 손님 엄청 많더라구요! 어른들이 많으셨고 자극적이지 않은 맛에 메밀 자체가 맛있어서 왜 어른들이 많이 찾는지 납득이 갔습니다. 메밀싹도 신기한 식감이어서 잘 먹엇어요!,crawl
옹심이칼국수 비빔막국수 감자만두를 먹었습니다. 전반적으로 고소하고 굉장히 맛있는 편입니다. 비빔막국수는 간이너무세지않아서 좋았어요 그리고 새콤한맛이 더해져서 감자만두랑 먹으면 참 좋습니다. 옹심이칼국수는 안에들어가있는 옹심이가 킥이네요. 겨울에 호호불어가며 먹는 맛도있지만 여름에 먹어도 나쁘지않았습니다. 가격은 적절한 편인것같고 내부도 넓어서 좋습니다. 좌식도있고 테이블도 있습니다. 다만 가게앞 주차자리는 몇개없고 계약된 민영주차장인 강원주차장을 이용했는데 주차비를 천원만 지원하는것이 아쉬웠습니다. 본인부담금이 천원 추가로 있으니 참고하시기 바랍니다.,crawl
"저번에 먹었는데 너무 맛있어서 또 방문했습니다!! 근데 당황스러웠던게, 밥 먹는데 서빙하시는 아주머니 분이 갑자기 저희가 먹고 있는 식탁에 행주랑 주전자를 올리더니 다른 테이블에 있는 식초를 가져와서 닦고 채우고 뒷정리를 하시더라구요..? 밥 먹는데 옆에서 행주로 막 만지시니까 신경도 쓰이고 밥 먹는데 기분이 안 좋았습니다. 다른 테이블 치우는거를 굳이 먹고 있는 사람 식탁에서 해야하나 싶네요. 손님이 가고 난 다음에 하는게 맞지 않을까요?",crawl
옹심이 메밀 칼국수 맛집이라는 소문에 찾은 곳... 역시나 웨이팅이... 테이블링 앱으로 예약하고 옴 대기 시간을 줄일 수 있을거에요... 기다림 끝에 드뎌 이열치열 옹심이 메밀 칼국수와 시원한 동치미 막국수 그리고 감자만두까지... 건강한 맛이고 다시 생각날 맛이었어욤~^^,crawl
메밀이 몸에 좋잖아용 너무 맛있어요 굿굿,crawl
메밀싹수육 강추합니다 맛있어요,crawl
마지막 손님으로 먹었어요 직원분 너무 친절하게 해주셔가지고 맘 편히 먹었네요 너무 감사합니다,crawl
수육 최고! 막국수도 좋아요 칼국수는 soso 직원분께서 맛있게 먹는법도 설명해주십니다ㅎㅎ,crawl
메밀칼국수 옹심이 와 동치미 밀면 먹었어요. 지나다니면서 보면 늘 손님이 많은것 같아서 갔는데. 점심 지난시간인데 손님 많고. 음식이 맛있어요. 동치미 국물 완전 시원하고. 옹심이 국물은 첫맛보다. 뒤로 갈수록 더 맛나게 느껴졌어요. 다음엔 수육 먹어봐야겠어요 ^^,crawl
더위에 입맛 돌아오게되는 동치미 막국수네요 ^^ 수육은 싹 무침이 참 맛있어요 ~~ 둘이서 막국수 곱빼기에 수육 소 하니까 배불렀습니다,crawl
가격대가 좀 있는편인데 개인적 입맛으로 모든 음식에 참기름을 너무 많이 넣어서 전반적으로 느끼했어요,crawl
저녁 먹으러 갔다가 메밀막걸리 한잔 했는데 달콤하니 맛있었어요~ 비빔막국수랑 옹심이 칼국수 했는데 둘다 맛있지만 담에는 옹심이 먹어야겠어요ㅎㅎ,crawl
수육이랑 물막국수 먹었어요 ㅎㅎ,crawl
오늘은 동치미 먹방 했어요 싹추가 했구요 싹 양념 정말 굿입니다 동치미 시원하고 맛있네요~^^,crawl
더운날 시원하게 먹기 좋네요.,crawl
지나가면서 항상 웨이팅 있길래 궁금했는데 드디어 방문했어요 막국수 국물 시원하니 맛있어요 옹심이메밀국수도 고소하니 맛있네요 잘 먹었습니다,crawl
점심시간 갔는데 손님들이 엄청 많아요 대기 7번 그런데 생각보다 많이 기다리지는 않았어요 역시 맛있네요 과자도 사가꼬 갑니당 직원분들 친절하고 좋았어용 굿,crawl
"ㆍ수육, 막국수 괜찮 ㆍ웨이팅 있음 ㆍ친절 ㆍ대기번호 키오스크 입구에 있음 ㆍ깔끔 ㆍ넓은편, 테이블 간격 넓음",crawl
금강공원 근처 해양박물관 갔다가 점심먹으러 들렀는데 맛있었어요 수육 비싼감이 있지만 그래도 야들야들 쫀득하니 맛있어요 옹심이칼국수도 후루룩 먹기 좋고 비빔막국수도 수육이랑 잘 어울려요 곱배기 시켰더니 양이 어마무시함ㅋㅋㅋ 식사시간대엔 사람이 너무 많아서 테이블링 줄서기 하기 추천드려요,crawl
여름에 가장 생각나는 메뉴 중 하나~ 맛있게 잘 먹었습니다 👍,crawl
김가루 빼달라하는데 안 빼주고 바쁜데 일일이 요구 사항 못 들어준다던 직원분 식재료에 알러지가 있어 빼고 먹어야하는 손님들도 있습니다.. 계산할때 사장님한테 말씀 드리니 직원들 혼낸다하시는데 그 이후로 안가봐서 모르겠습니다 다음번에 다시 간다면 후기 남겨보겠습니다,crawl
담백하고 고소해서 다 먹었어요 김치랑 같이 먹어도 너무 맛이 좋아요 여기 수육이랑 새싹쌈도 맛있는데ㅎㅎ 두명이서 가서 그건 못 시켰지만 아주 맛있게 잘 먹고 왔어요,crawl
깔끔한 동치미 육수에 쫄깃한 면발이 아주잘어울렷어요! 한끼 시원하고 든든하게 잘먹었어요 동치미국수가 새콤달콤해서 저는개인적으로 식초안넣어도 맛있었어요,crawl
천서리때부터 좋아하던 곳입니다😄 맛있게 잘 먹었습니다~👍,crawl
동치미막국수랑 비빔막국수먹고옴,crawl
날씨가 따뜻해지면 생각나서 들리는 막국수집. 특히 수육에 곁들이는 메밀싹무침이 아주 아주 별미. 메밀막걸리도 같이 먹음 천국이에요,crawl
날이 더우니 시원하게 먹기 좋네요,crawl
당신이 막국수가 먹고싶다면 당신이 심하게맛있는 수육이 먹고 싶다면 무조건!!!!!!!!! 이집!!,crawl
