text,source
가족끼리 자주 이용하는 맛집,crawl
잘 구워줘서 편하게 잘 먹었네요.,crawl
가족모임 하고 왔어요 맛은 당연하고 다 구워주시니 먹기도 너무 편해요,crawl
멀리안가고 집앞에서 먹기 좋은 집,crawl
여러번 방문 중 오랜만에 큰 사이즈 장어 나와서 신나게 먹음 근데 외국인직원분이라 그런지 장어 자를때 줄을 안세워주심ㅎ 맛있게 잘구워주시고 친절하시긴했음 무조건 소금구이 주문 후 양념장 추가요청해서 한점씩 양념 뭍혀 구워먹어야 안타고 맛있음 평소에는 장어탕 잘안먹었는데 오늘따라 넘 맛있어서 포장까지 해옴 냉면은 너무 맛없,crawl
좋아요,crawl
1인양이 넉넉할 듯해서 대물장어 네이버 메뉴판 43000원에 포장 주문하고 갔는 데...48000원 받네요. 매장에 1인 포장 45000원 붙인건 작년 가격이라고 손님 보는 데서 바로 뜯어버리고...포장해 봤는 데 양도 딴 집보다 많은 것도 아니고 공기밥과 식사를 마쳐도 제대로 식사를 한 느낌이 없네요. 장어구이 포장해 먹은 집중 최악입니다,crawl
친절해요,crawl
장어 맛있어요 손님도 많고 주차가 아쉽네요 10분 걷기강행,crawl
왕사이즈고 부드럽고 맛잇어요,crawl
아주 굿입니다,crawl
굿,crawl
장어 안좋아하는데 남편이 감기에 걸려서 사러 갔어요. 집근처 괜찮은데가 없어서 멀지만 리뷰가 좋아서 포장했어요. 포장할인 5천원 받았고 그래도 비싸지만 너무 맛있었네요. 밥 하나 포장했는데 그냥 주셔서 감사합니다. 부모님과 자주가는 집보다 훨씬 맛있었어요👍 장어 기름이 신선하고 양념도 쎄지않고 적당하고 포장해주신 밑반찬도 모두 맛있고. 또 상추도 깨끗히 씻어 주셔서 안심하고 먹었어요. 할인 안받고 장어탕 받아올껄 하는 생각도 했었지만 또 방문할께요. 아르바이트생들 외국인인데 열심히 하시더라구요. 비싼만큼 맛있으니깐 먹으러 오세요. 저도 또 갈께요~!,crawl
아버지 생신에 언니들이랑 정말 행복햇어요,crawl
굿,crawl
좋아요,crawl
장어탕맛집,crawl
가격대는 있지만 한번씩먹을만할듯,crawl
내 인생 장어맛집 맛있어요,crawl
만석꾼민물장어 대물장어 대박👍 예쁘게 잘구버주시고 반찬도 좋고 몸보신으로 딱^^,crawl
맛있어요,crawl
세무서 갈일 있어서 전에 점심특선 본 기억에 가봤는데 장어 한마리에 장어탕 두 뚝배기 맛있네요~ 홀에 비엣남 알바분 친절하게 잘해요^^,crawl
맛있어요,crawl
맛있어요,crawl
굿,crawl
굳,crawl
장어 대박대박 몸보신 제대로 여전히 맛집👍,crawl
만석꾼풍천산삼민물장어,crawl
너무맛있어요 ㅎㅎㅎ 장어맛집!!!,crawl
맛있게 잘먹고왔어요,crawl
굳,crawl
6시 풀예약이라 5시에 가서 5시 45분까지 장어 1.5키로 맥주6 소주1 맛있게 잘먹고 왔어요,crawl
"장어맛은 좋은데, 에어컨 바람이 너무 쎄서 연기가 홀에 가득차니, 눈이 너무 매워서 참기 힘들었어요. 그리고 구워주시는 분(외국인)이 장어를 좀 태워서, 장어가 아까웠어요.",crawl
맛잇어요~,crawl
가끔 먹는데 맛있어요.,crawl
"장어탕에 장어가 한 토막도 들어있지 않다. 장어 국물에 시래기만 넣었다. 창가 쪽 자리엔, 그쪽 통로에서 장어 구워서 나르던데, 그 때 흰 재가 눈처럼 많이 날려 날려서 기겁했다.",crawl
맛나게 구워주어 먹기 좋았어요,crawl
맛있게 잘 먹고 왔습니다~~,crawl
좋아요,crawl
맛잇어요,crawl
가족모임하기 좋았어요 다 구워주셔서 편하게 맛있게 먹었어요,crawl
장어 먹으러 종종 갑니다.,crawl
깔끔하고 좋습니다! 맛있어요,crawl
"소금, 양념 반반 1kg 장어먹었는데, 먹기 좋게 잘 구워주시고 해서 덕분에 더운 여름 보양식 제대로 먹었어요~",crawl
장어,crawl
맛나요,crawl
가족 외식으로 자주 갔는데 평일 점심으로 가도 좋았어요 쓸개주와 삼산뿌리 따로 추가금 없이 먹을 수 있는 곳이라 더 좋아여♡,crawl
가격은 좀 있었지만 맛있고 반찬들도 깔끔하네요. 조금만 늦었어도 웨이팅 할뻔.아버지 생신으로 잘 먹고 갑니다.,crawl
장어는 여기서만 사먹어용 장어가 쫀득하니 맛있습니당👍,crawl
민물장어구이는 여기,crawl
장어가 하나도 안느끼하고 너무 맛있어욥👍,crawl
굳,crawl
굿,crawl
좋아요,crawl
강추,crawl
괜찮아요,crawl
맛있어요,crawl
장어가 오동통,crawl
^^,crawl
굿,crawl
점심특선으로 애들하고 맛있게 잘 먹었어요!!!!,crawl
싱싱한 장어구이 맛있엉ㅛ,crawl
맛나요 역시 장어,crawl
언제나 맛있고 엄청 친절해서 좋아요 몸보신에 체고체고👍,crawl
맛은 좋은데 조금만 더 친절하셨으면 백점이었을듯요 순간순간 무안할 정도로…,crawl
👌,crawl
좋아요,crawl
숯불에 구워주는 민물장어 맛있어요,crawl
장어 두툼하니 맛있구 다 구워줘서 편합니다,crawl
굿,crawl
친절ㆍ맛 좋아,crawl
장어가 진짜 맛있어요,crawl
굿,crawl
굿굿굿,crawl
굿,crawl
굿,crawl
좋아요,crawl
장어가 크고 맛있어요~ 직접 구워주시고 일하시는 분들도 친절하시네요~,crawl
장어 맛있어요 사장님도 너무 친절하십니다!!,crawl
굿,crawl
굿,crawl
짱,crawl
민물장어 몸보신 제대로에요 직원분 사장님 전부 친절하시고 맛도좋아요,crawl
맛나요 장어탕,crawl
좋아요,crawl
숯에 구워주시는데 정말 촉촉하고 육즙이 넘치네요. 맛있게 잘 먹고 갑니다!,crawl
굿,crawl
좋아요,crawl
가격좀하지만 민물이라 맛이써여,crawl
사장님 친절해요 남사장님 ㅎㅎ,crawl
너무 맛있게 먹었어요. 장어탕도 굿,crawl
부모님 모시고 매번가는집 대물 장어라 맛이 끝내줘요^^,crawl
"사장님, 사모님은 친절하신데, 다른 한 남성분이 너무 불친절하시네요.. 손님이 들어와도 코로나체크하라고 그냥 손짓만하고 말도 안하고, 가져다줄때도 말없이 탁탁 놓고 깡패같습니다. 사장님, 사모님이랑 아는사이여서 일하시는거 같은데, 두분 장사에 폐 안끼쳤으면 합니다.",crawl
장어도 크고 부드럽고 맛있게 잘 먹었습니다. 가게가 조금 오래돼보이는데도 화장실도 깨끗하고 좋았습니다. 처음 기본찬 나올때 장어탕(국그릇) 주시는것도 좋네요~ 생강이 조금 더 얇았으면 좋겠어요~,crawl
맛나요~,crawl
맛있어요,crawl
좋아요,crawl
장어가비린내가 나지않고 담백하구 맛있어요 사장님두 친절하십니다,crawl
좋아용,crawl
여름보양식 장어 생강은 양념에 넣어서 묵은지랑 싸먹어도 맛있어요 구워주셔서 편하고 주차하기도 편합니다 직원들도 친절했어요 원래 소금만 좋아하는데 여긴 양념도 맛있네요 느끼하지 않아서 3마리 먹었어요 더보기,crawl
ㅈᆢㅎ아요,crawl
환기가 잘 안됨ㅠㅠ,crawl
맛있어요,crawl
