text,source
꺄 너무 먹고싶었던 치킨을 드디어 먹었습니다 !!! 존맛이에요 🥺🩵 식당도 깔끔하고 좋아요 :),crawl
맛있어요,crawl
맛있어요,crawl
혼밥하기 좋아요,crawl
맘스터치 싸이버거가 제일 좋아요,crawl
맛있어요. 평소 싸이버거 먹는데 오늘은 불고기 버거로 주문해봅니다. 🍔🍟🥤,crawl
굿,crawl
친절해요,crawl
너무 맛있어요😃,crawl
야채많고 패티도 두툼하고 맛있어요!,crawl
특히 감튀가 맛있습니다,crawl
좋아요,crawl
맛있어요 다음에도 방문할게요.,crawl
맛있어요!,crawl
트리플 딥치즈 싸이버거 맛있어요~ 감튀도 바삭바삭해요~~,crawl
굿,crawl
맛있어요,crawl
굿,crawl
블루아카이브 콜라보메뉴 먹으러갔어요 직원분이 친절하세요~~,crawl
싸이 버거 맛있어요.,crawl
싸이버거👍,crawl
맛있는데 품절된게 너무 많음,crawl
싸이버거짱,crawl
가성비 좋아요~~~,crawl
좋아요,crawl
맛있어요.,crawl
맛있어요. 최고,crawl
좋어요,crawl
캐시워크 포인트로 한번씩 잘 먹고있어요,crawl
이제 부산대에 하나 남은 맘스터치,crawl
치킨관련 메뉴라면..맘스터치입니당.. 아라비따치즈버거는 매콤한 소스와 치즈패티가 어우러져 느끼하지 않네요👍🏻 맛납니당.. 싸이순살도 잼미니들이..좋아한답니당..👍🏻😄,crawl
굳,crawl
아이가 늘 주문하는 곳 일하시는 분 친절하십니다.,crawl
굿,crawl
맛있는데 초보 알바한테 교육하면서 짜증을 넘 많이 내시는 사장님 ㅠ,crawl
굿,crawl
맘스터치 맛있어요~,crawl
혼자 일하시느라 바빠보이겼오요..15분쯤은 기다릴만 합니다…딥차즈버거 좀맛탱이였고요 미리 연락하고 찾아가는고 추천드료요,crawl
아주아주맛있어여,crawl
오랜만에 싸이버거 먹어요,crawl
좋아묘,crawl
👍,crawl
맛있었어요,crawl
부산대 + 장전동 맘스터치 중 제일 편하고 좋습니다. 여기만 갑니당,crawl
맛있어용ㅎㅎ,crawl
아라비아따 행사해서왓어욧 맛없없조합이네용 버거가커서 여자는 세트다먹기가힘드네요,crawl
"바쁘다 바뻐 현대사회에서 30분이나 기다린 햄버거 세트,,, 알바생 뽑으셔야 되는거 아닌가요 ㅠㅠㅠㅠ",crawl
👍,crawl
금방튀겨 고기패티가 너무 맛있었고 야채가 신선해서 넘 좋아요,crawl
닭이 아주 맛나네요,crawl
맛있어요. 치킨패티가 정말 치킨 덩어리라 너무 좋아요,crawl
매장청결이ㅠㅠ,crawl
싸이버거에 소스많이 부탁드렸는데 정말 많이넣어주셨어요!,crawl
맛있게잘잘먹었어요,crawl
굿,crawl
좋아요,crawl
맛있어요,crawl
트리플딥치즈싸이버거세트 잘먹었어요. 티월드행사로 1 +1행사로 싸이버거세트까지 무료로 먹어서 좋아요. 행사제품인데도 친절히 대해주셔서 감사하구요. 처음에 다른매장 즉 부산대 2호점을방문했는데 오픈시간인데도 문열지도않고 전화도 안받아 열받아있는상태에 이매장을 찾았는데 오픈시간에 맞게 영업잘하고 계셔서 감사했습니다. 너무맛있었고 카운터에계시는 통통하신 여직원분 친절하고 싹싹해서 칭찬합니다,crawl
친절하고 좋아요!,crawl
굿,crawl
맛있습니다!,crawl
맛있어요,crawl
굿,crawl
굿 맛있어요,crawl
버거젤,crawl
맛있음,crawl
맘스터치 오랜만에 들렀는데 리뷰보고 여기로 갔어요. 양상추도 싱싱하고 감자튀김도 많고 적극추천입니다.,crawl
언빌버거 처음 먹어봤는데 특이했어요,crawl
굿,crawl
굿,crawl
굳,crawl
굿,crawl
너무 맛있게 잘 먹었습니다. 근데 카운터 알바생의 말투가 모든 손님에게 너무 날이 서있어서 조금 불편했슺니다.,crawl
맛있어용ㅎㅎ,crawl
굿,crawl
굿,crawl
굿,crawl
순살치킨 싸이버거 포테이토 다 너무 맛있어욧!!!!!!,crawl
굿,crawl
맛있어요,crawl
좋아요,crawl
굿,crawl
맘터는 여기가 젤 괜찮고 맛있능거같아요 감튀는 식지도않고 갓튀긴것처럼 바삭바삭 존맛탱,crawl
굿,crawl
친절하세요!,crawl
굿,crawl
맜있러요 야미,crawl
좋아요,crawl
굿,crawl
좋아요,crawl
딥치즈버거는 싸이(thigh)가 아니네유 닭가슴살이었어ㅜ 치즈를 포기하고 싸이버거 먹는게 더 낫았을걸 그랬네요,crawl
맛있게먹었어요~,crawl
넘 맛있어요!,crawl
좋아요,crawl
맛있5요,crawl
좋아요,crawl
좋아요,crawl
좋아요,crawl
좋아요,crawl
좋아요,crawl
깨끗하고 친절합니다.,crawl
맛있어요,crawl
양배추가 진ㅁ자 많아요 ㅋㅋ,crawl
햄버거 세트 2개랑 닭강정이랑 고구마치즈볼 사왔어요 음료를 다른 봉지에 따로 담아주셨단말인줄 알았더니 하나 더 주셨네요😍 사장님 맛있게 잘 먹었어요 친절하고 맛있어요😸 더보기,crawl
맛있어요👍🏻,crawl
맘스터치는 사랑입니다,crawl
와 케이준강정 커플하나 주문햇는데 40분걸림ㅋㅋㅋㅋㅋㅋ 알바생이 겁나 느릿느릿하는거보고.. 다신 여기안감,crawl
맘스터치한테 배신감 든적 처음 ㅜ 감튀에서 곱창 똥맛 같은게 나서 입배렸어요 ㅜ,crawl
