text,source
감자탕 땡길때 부산대 맛나감자탕에 자주가요~다른점보다 국물맛이 더 좋아요~늘 라면사리 추가에 볶음밥추가해서 먹는데 배부르게 맛나게 먹었어요~,crawl
감자탕. 땡길때 부산대점으로 옵니다.다른데보다 간이 딱맞아요.오늘도 가족들과 맛나게 먹고 사리에 볶음밥까지 맛있게 먹었어요.행사중이라 그런지 사람이 많네요,crawl
너무 맛있어요 가족들이랑 오기 좋고 단체로 와도 좋을 것 같아요,crawl
항상 애용하는 감자탕집 ~~ 부산대 맛집이예요 오래오래 영업 해주세용 ♡♡ 너무 맛있어요 강추,crawl
부산대 맛집 검색하고 찾아왔는데 정말 선택을 잘 한거같아요. 3명이서 소자 먹어도 배부르게 잘 먹었어요. 김치도 맛있고 우거지가 부드럽고 맛있어서 추가해서 먹었어요. 집 근처인데 다음엔 포장해가서 집에서 먹어도 될거같아요.,crawl
볼일있어 근처왔다가 비오는날엔 국물이죠~~ 역시 맛나~~~ 튀만두사이드 센스 최고 맛있게먹고가요♡,crawl
커플세트+감자우동사리+볶음밥 먹었어요!! 너무 맛있어서 주말에 늦잠자고 주로 오는 편입니다ㅎㅎ 담에는 점심특선도 먹으러 와봐야겠어요~,crawl
아 역시 감자탕은 맛나 감자탕~ 부산대에서는 감자탕 여기만 먹으러 와요,crawl
얼큰 뜨끈한 국물이 생각날때 찾게되는 맛나감자탕입니다. 평소에 우거지 해장국도 자주 먹는데 오늘은 감자탕을 먹었어요. 라면사리도 추가할수 있어 좋네요. 맛있습니다.,crawl
집근처 맛집이예요~^^ 맛있게잘먹었어요,crawl
맛집 이라서 왔어요 ㅎㅎ 넉넉함양으로 맛있게 먹고 갑니다 볶음밥은 필수^^ 👍,crawl
역시나 믿고먹는 맛나 감자탕~ 뼈찜에 아이들 주먹밥과 이번엔 소떡소떡까지 시켰는데 겉바속촉 먹을만하네요^^,crawl
아이랑 부산대놀러와서 왔는데 매장도 엄청넓고 깨끗하네요! 음식도 너무 맛잇고 놀이방도 있어서 아이랑 오기 좋습니다^^,crawl
