text,source
급하게 포장하러 갔는데 빨리 나왔습니다 !,crawl
배고파서 들렀는데 괜찮네여,crawl
짱,crawl
햄버거는 언제먹어도 맛잇음,crawl
파마산 심메뉴 맛있어요,crawl
좋아요,crawl
맛있어요,crawl
앱쿠폰최고!! 쿼터파운드치즈 맛있어요,crawl
굿,crawl
가까운곳에 있기에 가끔 런치타임을 이용해서 사먹는곳인데 나름 좋아요,crawl
맛있게 잘 먹엌ㅅ습니다,crawl
투움바상하이버거먹어봤는데 느끼하네요 일반상하이가 쵝오,crawl
2층 좌석에서 얘기하기도 좋고 가격도 저렴해요,crawl
맛있어요,crawl
맥날 과콰몰ㆍ먹었는데살짝맵싹한게맛있네요,crawl
베토디🍅 오랜만에 먹으니까 맛있다.,crawl
인테리어가 첨보는 디자인이었어요~ 모던하고 감각적인 공간이었네요~~ 맥모닝 잘 먹고 가네요🤗,crawl
아이가 좋아해요,crawl
점심 먹고 마실 후 커피 한잔,crawl
굿,crawl
새해엔 행운버거를먹어줘야하는데 품절이라 아쉬워요~,crawl
.,crawl
매장이 깨끗하고 좋아요,crawl
슈비버거 무난하다🍔🍤,crawl
맛있어요,crawl
드립커피가맛있어요,crawl
맛있어요,crawl
ㅇㅇ,crawl
"야채랑 소스 더 넣어주면 좋겠음 테이블 위에 음식물 있는 경우 많고, 남자화장실 소변기 너무 더러움 청소 필요할듯",crawl
오가며 햄버거와 디저트 먹기 좋은 곳. 갓 튀긴 감자튀김이 최고시다.,crawl
슈비버거 꿀맛 입니다 통새우 들어가 있어서 맛있어요,crawl
맛있어요,crawl
맥날이맥날했다,crawl
바로옆에 상가 주차장 이용 가능해요. 매장도 넓고 좋네요.,crawl
1955버거 맛있어요,crawl
맛있게먹었습니다,crawl
.,crawl
아이가 좋아해요,crawl
"오늘도 감자튀김과 커피, 콜라로 디저트 . 감자 튀김 항상 따뜻하게 나와서 좋은 곳. 커피는 조금 묽은 편.",crawl
친절해요,crawl
"맥날버거는 언제 먹어도 맛나요,!!",crawl
진도대파크림크로켓머핀 첨 먹어보는데 맛있어요~,crawl
아무리 바쁜건 알겠지만 주문하자마자 음료랑 아이스크림부터 만드는건 아니지않나요?? 1~2분 기다린거도 아니고 10분을 기다리는데 세트에 아이스크림을 먼저 하면 녹을거라는 생각은 안하시나요? 배달나가는거도 보니까 똑같이 햄버거 되지도 않았는데 아이스크림 먼저 해두시던데 그냥 메뉴만 나가면 그만인 식으로는 이해가 안되네요. 받았을때 이미 절반이상이 다 녹아있는건 진짜 너무하네요. 보신다면 한번 생각해보세요,crawl
진주고추머핀 매콤하니 맛있어요:),crawl
맛있어요 맥날중에 자주 애용하는 곳입니당,crawl
굿,crawl
삭사도 디저트도 다 되니 좋아요.,crawl
맛있어요,crawl
진도대파 맛있어요,crawl
감튀,crawl
매장이 넓고 혼밥하기 좋아요.,crawl
맛있어요 근본,crawl
아이스커피 라지 1500원으로 이벤트가네요. 가성비 좋아요.,crawl
맛있어요,crawl
간편하게 먹기 좋아요~,crawl
굳,crawl
매장이 2층이라 좌석은 충분해요.,crawl
붓,crawl
아늑하고 좋아요. 사람이 북적이지않아 좋아요.,crawl
먹다가 찍었네요. 대파맥모닝 맛있었요.,crawl
감튀주문이 안되니 허전하네요,crawl
감튀 맛집이죠 맥날은 ㅎㅎ,crawl
양이 많아요,crawl
-,crawl
오래전부터 자주 오던 맥도날드입니다. 여전히 조용하고 2층에 햇살이 좋네요. 맛있게 잘 먹고 갑니다. ^^,crawl
친절해요,crawl
커피 맛있어요,crawl
맛나게먹었어요 :),crawl
맛잇어용,crawl
맥도날드 오랜만에 갔어요~ 베토디만 먹는데 오랜만에 먹어도 맛있어요! 친절해요,crawl
굿,crawl
윙 먹을려규 잠깐 들렷더요,crawl
굿,crawl
맛있어요,crawl
맥도날드는 사랑이쥬,crawl
친절해요,crawl
갑자기 파운더 치즈 햄버거가 너무 먹고싶어서 사러갔는데 점심 할인메뉴도 가격이 좋더라구요. 일단 파운더 치즈 햄버거는 패티에서 고기맛도 많이나고 맛있었어요,crawl
"해피밀은 혁명이다. 어른과 아이의 니즈를 동시에 충족. 장난감은 아기가, 햄버거는 어른이. 우리 동네 참 고마운 맥도날드. 역시 맥세권 👍",crawl
평소핫케이크를 좋아하는데 빵이 핫케이크라서 맥모닝보다 더 부드럽고 취향저격이였어요,crawl
굿,crawl
좋아요,crawl
맛나요 ㅎ,crawl
맛있어용~,crawl
🍔🍔🍔🍔🍔🍔🍔 맛있어요 햄버거! 맛있어요 감자튀김! 귀여워요 키링 세트!,crawl
붓,crawl
굿,crawl
굿,crawl
맛있어요,crawl
친절해요,crawl
불고기버거 먹고 싶을때 가는 맥도날드~ 한번씩 방문하는 곳~,crawl
아이가 햄버거도 맛 있게 먹고 장난감도 좋아해요,crawl
