text,source
점심시간에 익산고구마 먹으러!!! 고구마 달콤하니 맛있습니댜👍🏻👍🏻,crawl
핫케이크2조각이 맛있어보이고 참좋습니다.,crawl
전엔 괜찮다가 최근 에어컨 바람에서 상한 냄새 같은 역한 냄새가 나요. ㅠ 좋아하는 영업점인데 시졍조치 바래요.,crawl
이런 모양으로 주시는 건 또 처음입니댴ㅋㅋㅋㅋㅋㅋ,crawl
이번 해피밀 토이 쨩,crawl
농부춘식인형팩으로 농부춘식 키링 받아왔습니다. 생각보다 한산하고 햄버거 맛있네요. 컬라보 정말 좋습니다.,crawl
위치도 좋고 가성비 있고 좋아용 ㅎㅎ,crawl
걍 혼자가서 간단히 먹기 좋아여~,crawl
맥도날드 좋아요,crawl
좋아요 😀,crawl
가성비좋아요,crawl
햄버거 빵이 위아래가 다른위치에 있어 양배추 탈출 이슈로 손으로 하나하나 다시 올려 먹었습니당 제로콜라는 시켰더니 색은 콜라고 맛은 탄산수인 찐 “제로”콜라였고… 치즈스틱은 맛있었어요 치즈 잘 늘어나고 치킨너겟은 비추천… 박스 씹는식감이어요….,crawl
24시간해서 늦은시간 포장해 먹었네요,crawl
부산대 거리에 사람들이 여기다 모여 있네요. 사람정말 많아요,crawl
저 청년 장애가 있어보이던데 매일 의자 밑까지 다 닦더라구요 청소매뉴얼대로 하는거겠지만 장애가 없는 사람이라면 요령이라도 피울텐데 항상 볼때마다 좀 안타까워요,crawl
굿굿,crawl
알바생들도 친절하구 매장도 깨끗합니다 나름...,crawl
친절해요,crawl
굿,crawl
크리스피 디럭스 세트 맛있게 잘 먹었습니다. 맥도날드! 저아요,crawl
새로 나온 고구마후라이 ! 받았을 때 생각보다 까매서 놀랐는데 ㅎㅎ 맛은 바삭 달콤 맛있었어요 -,crawl
딸기쨈만 한가득 달아서 죽을뻔 ㅡㅡ 그리고 점마다 용량이 재각각 인가봐요 타점에 비해 아이스크림 양도 현저히 작고 그걸 말하고자 다섯번이나 불러도 대답도 안하고 불친절 너무작다고 말하니 어쩌라고식 불친절 퍼먹는 숟가락도 포크를줌ㅡㅡ,crawl
24시간이라 시간 구애 받지않고 먹고싶을때 편하게 들릴 수 있어 좋아요~,crawl
맛있어요,crawl
맥도날드가 있어서 참 좋습니다.,crawl
음식이 빨리나옴 혼밥하기 좋음,crawl
부산대 매장은 저기 청소하는 청년 덕분에 무지 깨끗해요 저 분 안 계신 날과 계신 날의 차이가 엄청 나요,crawl
고구마 후라이 궁금해서 가봤어요. 생각보다 괜찮고 바삭하니 더 달달하고 맛있어요~,crawl
방학인 아이가 햄버거 먹고 싶다고 해서 왔어요. 배달로 먹으면 식어서 따뜻한 버거 먹을려고 매장까지 와서 엠오더 주문하니 테이블까지 가져다 주셨어요. 친절하게 인사도 해주시고 맥도날드 버거는 말안해도 맛있죠~,crawl
오래된 맥도날드가 잘 있네요,crawl
서비스 좋고 맛있어요 좋아요 투움바 상하이도 맛있네요 단종 안됐으면 좋겠어요,crawl
아이가 더블치즈버거가 먹고 싶다고 해서 들린 맥도날드에요. 매장이 넓어서 포장해갔지만 편하게 앉아서 기다렸다가 왔어요. 직원분도 친절했어요. 세트메뉴에 감튀대신 코울슬러 변경해서 먹었어요. 새콤달콤 코울슬러가 햄버거의 느끼한 맛을 잡아줘서 끝까지 맛있게 먹었어요.,crawl
빠르고 정확하게 잘 나왔어요.,crawl
굿,crawl
매장 바쁜데도 엄청 빠르게 진행되더라구요,crawl
10번째 먹는 고구마후라이!!! 맥도날드가 일냈네요. 정말 맛나요.,crawl
일요일엔 맥모닝입니다~ 쉬림프스낵랩이 돌아와서 좋아요,crawl
급하게 먹느라 사진을..ㅠㅠ 맥도날드 최고,crawl
처음 먹어봤는데 뭐 무난 쏘쏘하네요!,crawl
친절하세요,crawl
할인굿,crawl
신제품 맛있어요!!,crawl
👍👍👍👍👍,crawl
친절해요,crawl
맛잇어요,crawl
친절해요,crawl
공룡 때문에 또 왔습니다.,crawl
혼밥하기 좋아요,crawl
조카 데리고 와서 맛있게 먹었어요,crawl
직원분들 엄청 친절하시네요~~,crawl
올만에 먹으니 맛나네요,crawl
