text,source
비 그치고 너~~무 더운 밤에 시원한게 먹고 싶은데 부산대에 맛있는 밀면이나 냉면집이 없어서 어디가지 고민하다가 서브웨이 맞은편 2층에 면식당이 있다는게 기억나서 처음 와봤는데 왜 이제 왔나 싶은 수준이네요. 냉소바 엄청 시원하고 면이 딱 적절히 익어서 꼬들하지도 퍼지지도 않아서 너무 좋아요. 돈가스는 반반카츠시켰는데 체다 치즈 올라간 돈가스를 처음 봐서 너무 느끼하지 않을까 생각했는데 파 돈가스 밑에 불닭소스가 느끼함이 근처도 못오게 해주네요. 게다가 가장 맘에 드는 부분은 그거인거 같아요. 메뉴마다 와사비를 많이 준다는거?? 라멘집 제외하고 일식을 파는 식당에서 와사비를 안주는거?? 그거 완전 범죄라고 생각하는데 여긴 와사비를 처음부터 줘서 너무 좋아요. 자주 올거 같아요.,crawl
"냉소바가 진짜 시원하고 깔끔, 맛있어요. 아이 좋아하는 더블체다카츠는 두툼한데다가 기름지지 않고 맛도리가 따로 없네요. 치즈 좋아하시면 강추입니다. 데미등심카츠도 소스가 찐! 가성비 너무나 좋은 부산대역 인근 면식당♡ 최고에요^^",crawl
데이트로 온 곳인데 맛도 좋고 양 많이 먹는 커플들은 추천합니다! 부타동 추천으로 먹었는데 불향 가득하고 모밀도 시원하고 맛있습니다! 추천합니다!,crawl
"부산대 돈가츠 먹으러 자주 갔었는데 왜 여기를 지금 알았을까…너무 늦게 안게 후회됐어요. 일단 테이블 넓고 매장도 깨끗하고 쾌적해요. 그리고 냉소바 진짜 시원하고 맛있어요. 치즈카츠도 식어도 치즈가 안굳고 말랑말랑해서 좋은 치즈 사용하시는 듯요. 사이드 반찬도 퀄리티 좋구요, 직원분들도 친절해서 좋아요! 배불리 맛있게 잘 먹고 왔어요! 앞으로 다른데 안가고 여기만 갈려구요! 좋은 식당으로 오래 남아주세요~🩷",crawl
평소 배달로만 시켜먹었는대 가성비 좋고 맛있어요!! 면도 탱글 쫄깃하고 닭껍질 교자도 겉은 바삭쫄깃하고 속은 촉촉!! 돈까스는 체다치즈 맛이 고소하고 약간 느끼할순 있지만 같이 나오는 와사비나 대파맛으로 충분히 커버 가능해요 잘먹었습니다,crawl
돈카츠 라멘 소바 밥류 없는거빼고 다있는 면식당!! 모든메뉴 다 섭렵하려면 매일와야댕💜 시원한 곳에서 맛있는 음식과함께!!,crawl
주말에 아이들과 부산대 놀러나오면 근처 고양이카페 갔다가 밥먹으러오는 저희 가족만의 코스에요 ㅎㅎ 아이들이 맛있어해서 계속 오게되네요^^ 돈까스가 고기가 두툼하니 넘 맛있네요,crawl
돈코츠라멘이랑 매운파돈가스 먹었는데 맛있었어용 ㅎㅎㅎ 돈가스는 두툼하고 부드럽네요-! 신라면보다 조금더 매운맛인데 맛있게 매워요!,crawl
더운날씨에 급하게 찾아들어간곳인데 시원~한 에어컨 밑에서 맛있는 소바한입 라멘한입 먹으니 세상 좋네요!,crawl
타가게에 비해 조금이르게 영업해주셔서 좋았고 ㅎㅎ 양도 좋고 맛도좋은곳입니다!! 마제소바 부타동 꼭드세요~~,crawl
