text,source
저녁늦게 출출할때 생각나요 맛있어요,crawl
부산대 토스트는 명물에서!! 맛있어용,crawl
4천원에 빵 3장 다른 토스트 보다는 푸짐 맛은 평범이지만 집 앞이라면 자주 갈 듯,crawl
딸바~~!!,crawl
"일하시는 이모 항상 웃으시면서 즐겁게 토스트 만들어주시고, 딸기주스랑 스페샬토스트 조합은 찐입니다. 아주 맛있게 잘 먹었습니다. ^^",crawl
역시… 바딸 두잔드세요…,crawl
종종 먹으러 갑니당ㅋ,crawl
3곳 다 맛있어요,crawl
와플,crawl
그냥 그래요,crawl
맛있는 이름난곳이라 궁금하고해서 처음 이가게 토스트주문했는데 그닥 맛있는건 모르겠네요. 재료부실,crawl
가격이 싸요,crawl
와플맛있고 양많아요!,crawl
토스트,crawl
모짜렐라 먹어봤어요,crawl
이곳의 직원들이 친절하고 가성비가 좋고 토스트 종류가 다양하고 맛이 좋고 매장이 깔끔하고 건물의 실내와 실외 인테리어가 아름다워 정말 만족하였습니다,crawl
맛있어요,crawl
^^,crawl
굿 말해모해❣️,crawl
오랜만에 먹어도 맛남,crawl
아들이 엄청 좋아라 합니다,crawl
가면 항상 먹는 딸바와 와플🤍🤍🤍 최애입니다 15년째 먹고 있어요. 토스트도 맛있지만 오늘은 배불러서 스킵🩷 다음엔 다 먹을거예요!!,crawl
부산대 명물 토스트 맛있어요,crawl
굿,crawl
친절해요,crawl
토스트도 맛잇지만 생과일쥬스 맛잇어요!! 번창하세요~,crawl
토스트 맛있어요.,crawl
3단 토스트 맛있어요!,crawl
크… 추억의 맛이에요 오랜만에 먹는 프랜차이즈말고 그 맛있는 그맛 행복한 저녁이였어요!,crawl
너무 맛있어요,crawl
부산대앞 명물 토스트 가게네요 과일 쥬스 마셨어요,crawl
^^,crawl
3단 토스트 진짜 맛있게 먹었어용😍 사장님 너무 친절하셔서 부산대가면 꼭 재방문할게용🥰😊,crawl
부산대 정문 앞 오래된 듯한 토스트집! 무조건 맛있겠다 싶어서 기대감을 품고 사먹었는데... 그냥 평범한 맛이었숩니당 하하하 기대가 너무 컸나봐요 이삭토스트의 달달한 소스에 너무 길들여졌으려나요,crawl
오래된 토스트집,crawl
"토욜12시쯤 방문했는데 대기없이 바로 주문!! 치즈 좋아하는 1인이라 모짤치즈토스트5,000원에 햄 빼고 체다치즈 추가했는데 모짤 가득이라 좋았고 자극적이지 않아 더 좋았어 요. 부산대앞 가시면 추천드립니다~^^",crawl
부산대 명물토스트,crawl
맛있어요,crawl
부산대 토스트,crawl
오래도록 변함없는 그맛 잊지 못해서 오랫만에 부대 간 김에 들렸습니다 여전히 맛있어요 ~~~,crawl
사장님이 몇번 바뀐것 같은데도 여전히 존맛 그리고 친절합니당,crawl
양 엄청많고 맛있었어요! 그리고 다 친절하셨습니다 😆☺️,crawl
부산 부산대학교앞 유명한 토스트가게 명물토스트가게에 다녀왔습니다 축제날가서 사람이 엄청 많았지만 사장님의 빠른손으로 인해 빠르게 먹을수 있었으며 맛있게 잘 먹었습니다,crawl
여름철에 복자(복숭아&자두) 생과일 주스는 꼭 마셔야해요~ 맛나는 복자주스!,crawl
토스트 맛있어요. 빨리 받을수있는것도 굿,crawl
단골 한끼 식사로 좋아요,crawl
아들이 사랑합니다,crawl
사진찍을랬더니 다 먹었어요. 10년전에도 맛있었고 지금도 맛있었어요. 생과일주스랑 모짜토스트 강추,crawl
^^,crawl
^^,crawl
친절하시고 좋아요! 토스트 맛있어용,crawl
맛있습니다,crawl
토스트가 딱 더도말고 덜도말고 기본적인맛! 딸바쥬스도 넘 마디떠욥🍓🍌 담엔 다른조합도 먹어보고싶네요🤭,crawl
부산대 앞 제일 맛있는 토스트집입니다. 저녁에 출출할때마다 스페셜토스트랑 딸기과일주스 사갑니다. 아이들이랑 와이프 다 잘먹어요. ^^,crawl
굿,crawl
^^,crawl
맛있어요,crawl
좋아요,crawl
좋아요 ㅎㅎ 좋아요,crawl
정말. 부산의 토스트 맛집 입니다 어릴때 부터 먹던 맛이라 정말좋아요,crawl
굿,crawl
