text,source
부산대 고깃집 다른 곳도 정말 많이 가봤는데 모름지기가 최애예요! 맛은 말해모해고 배터지게 먹어도 3만원인 게 강력한 장점이에여...👍🏻 정말 10번 넘게 와봤어요 로스랑 김치말이국수 한 번 드셔보세요!!🤤,crawl
자주 오는 맛집이에요♥️ 항상 맛있게 잘 먹고 있습니당 ㅎㅎ!! 매장도 쾌적하고 직원분도 친절해서 좋아요 단체모임에도 적합합니당!! 또 올게용😍♥️,crawl
믿고가는 모름지기 가격 저렴한데 고기 퀄리티가 좋아서 자주 가요! 저렴히 많이 먹고 싶을땐 모름지기가 정답 고기는 물론 된장술밥이랑 국수도 넘 맛있어요 개운한 맛 껍데기는 세트 시키면 나오니까 아주 굳,crawl
"부산대 돼지고기는 역시 모름지기로😋 고기가 두툼하고 촉촉해서 불향도 가득하구, 씹을수록 고소하네용 비빔국수는 처음인데 매콤하니 입맛을 돋워줘서 고기랑 조합이 좋아요🤍 마무리는 짭짤 구수한 된장술밥으로 완벽한 한끼 먹구가용!",crawl
"가성비 좋은 고깃집이에요 고기도 맛있고 특히 가브리살 강추 합니다.(2번째 사진) 양산, 서면에 설야멱이란 곳이 있는데 거기 가브리살과 맞먹는 맛이에요 가격은 2.5배 차이나는데도 말이죠 친절하셔서 맛있게 잘 먹고 갑니당",crawl
고기가 100g에 4000원 밖에 안해서 축구부 친구들이랑 맛나게 먹었습니다~,crawl
자주 오는데 고기 질도 좋고 너무 맛있습니다 멜젖과 파절이가 제공되는데 특히 파절이가 너무 맛있어요! 고기 양도 많고 가성비가 조아요!,crawl
맨날 지나가면서 사람 많은 거만 보다가 오늘 처음으로 왔는데 모듬으로 시키니까 종류 다양하게 먹을 수 있고 고기 질도 다 좋네요!! 직원분들도 다 너무 친절하셨어용!,crawl
"부산대 근처에서 분위기 좋은 고기집을 찾는다면 모름지기 부산대점을 강력 추천합니다. 고기 질이 훌륭할 뿐 아니라, 직접 숙성한 듯한 풍미가 살아 있어서 한 점 한 점 먹을 때마다 만족감이 큽니다. 특히 돼지 특수부위와 한우 차돌박이가 인상적이었는데, 직원분들이 직접 구워주시기 때문에 고기 굽는 스트레스 없이 맛에만 집중할 수 있어 좋았습니다. 반찬도 정갈하고, 묵은지찜이나 냉면 같은 곁들이 메뉴도 훌륭했어요. 인테리어도 모던하면서 따뜻한 분위기로 꾸며져 있어서 데이트나 친구 모임, 가족 외식 모두 어울릴 만한 공간입니다. 가격대는 다소 있지만, 고기 퀄리티와 서비스 생각하면 충분히 납득 가능한 수준입니다.",crawl
가격이 저렴하고 맛있어요 !! 우삼겹도 맛있고 삼겹살도 맛있어요 가격이 진짜 저렴해요…😀😀 다음에 또 올게요!,crawl
진짜 가성비 최고! 너무 맛있죠 졸업 후 오랜만에 왔는데 여전하네요:) 직원분들도 친절하시고 너무 좋습니다!,crawl
모름지기는 고기가 저렴한데 맛있어서 자주 와요 저렴한데 맛있기 쉽지 않은데 부산대 지점은 특히 맛있어서 여러번 오고있네요ㅎㅎ추천합니다,crawl
믿고 먹는 모름지기! 대학가 가성비 삼겹살 모르는 사람이 없죠 최고에요,crawl
안에 사람이 많아요! 깔끔하게 나옵니다 가성비 좋아요,crawl
부산대에서 2번째 방문 맛있어요,crawl
너무너무 맛있게 잘 먹었어요!! 🤩 테이블도 깔끔히 되어 있고 음식도 비교적 빨리빨리 나오고 회전율이 좋네용 ㅎㅎ 🔥 잘 먹었습니당🤩 또 올게요!!😻,crawl
