text,source
ㅎㅎㅎㅎㅎ 오랜만에 왔는데 역시나 매장에 사람들이 많았고 ㅠㅠ 역시 맛집인 이유가 있어요 ㅎㅎㅎㅎㅎ 스시가 쫀득쫀득 두툼해가지고 너무 맛있음 이 구성에 ㅠㅠㅎㅎㅎ 이가격이라니 갓성비요 ㅠㅠ 근데 매일 먹고 싶다요 ㅠㅠㅠ,crawl
부산대 초밥 맛집이라고 해서 와봤는데 왜 유명한지 알겠어요.. 너무 맛있고 세트 구성 알차서 초밥 먹으러 오기 딱이잖아요.ᐟ.ᐟ 가격도 적당하고 같이 나오는 튀김도 바삭해서 너무 맛있게 먹고왔습니다🥹🥹 초밥 생각나면 여기로 올거같아요,crawl
스시 한상과 모듬 스시B 먹었는데 구성이 알차고 양도 정말 푸짐. 아이가 스시 좋아해서 자주 찾는 곳이에요.! 앞으로도 자주 이용할게요. 부산대 맛집 초밥 생각날 때 가 보세요. ^^,crawl
"소바세트는 메밀면이 꼬들꼬들하게 삶아져 나왔고, 소바장도 깊은 맛이 났어요. 함께 나온 스시 구성도 알차서 메인과 사이드를 고루 즐길 수 있었답니다. 샐러드 드레싱도 상큼해서 입맛 돋우기에 딱 좋았어요.",crawl
부산대역 근처에서 희소한 주차가 가능한 식당이라 왔어요 셋트메뉴에서 야끼우동으로 선택해서 차액결제했어요 초밥에 올라간 회가 도톰하고 전반적으로 양이 푸짐합니다 아이는 소고기초밥과 계란초밥을 먹었어요 직원분들 모두 친절하시고 실내 공간도 넉넉한 편입니다,crawl
지인을 데리고 대접했는데 너무 만족하고 맛있다고 합니다 초밥이 정말 신선하고 다른 회전초밥이 이런곳과 다르게 비리지도 않고 너무 맛있어요 그리고 기본으로 나오는 샐러드랑 두부샐러드 조차도 범상치 않네요 오래동안 사랑받은 이유가 있는 곳입니다 강력추천합니다,crawl
모시모시는 진짜 맛집이네요 식감도 좋고 살살 녹는맛이 꿀맛이네요 🌟 5개 드려요 스시좋아하시는 분들에게 강추합니다.,crawl
세트메뉴 구성이 알차서 부족함없이 맛있게 잘 먹었습니다. 회도 신선하고 특히 연어가 부드럽고 고소해서 인상깊었어요 ! 가게로 들어갈때부터 일본느낌 물씬나는 방이 맞아주어서 외식분위기가 살아날수 있었습니다☺️,crawl
여기 처음 와봤는데 너무 맛있어요😃👍👍 회도 쫄깃쫄깃 엄청 비린맛도 없이 싱싱했어요 튀김도 바삭바삭 맛있었구요~ 모시모시 부산대 찐 맛집이에요!! 조만간 부모님 모시고 와야겠어요!!,crawl
해산물에 특화된 까다로운 입맛인지라.. 회는 비리지 않다는 점과 그 외 메뉴들 전체적으로 무난한 맛입니다👍🏻(아마도 일식이 제 입에 무난하다면 맛있는 편일겁니다😅) 저는 새우장초밥이 입에 잘맞았어요! 아이들먹는 돈까스 단품은 저희 아이에게는 밥도 돈까스도 양이 적었습니다ㅠ 성인 한상메뉴는 양이 괜찮습니다. 간단하게 한끼 해결하기에 적당한 장소에요! 이따금 부산대 놀러오시는 커플분들 기분내서 스시드시기에는 가격도 메뉴구성도 괜찮을 듯 합니다!,crawl
재방문입니다 두부샐러드 제일 맛있구 초밥도 맛있고 차슈도 맛있고 다 좋아요!,crawl
중학생아이와 함께 점심에 방문했어요. 아이가 좋아하는 알밥과 우동이 푸짐하고 깔끔하게 나와서 좋아요^^ 저도 오랫만에 연어덮밥으로 맛있게 먹었어요~,crawl
여자친구랑 초밥 먹고싶을때 오는 곳이에요! 세트시키면 알밥에 면까지 먹을 수 있어서 배도 든든하게 채울 수 있어요. 분위기도 조용해서 데이트하기 딱 좋아요,crawl
"초밥 인생 중 1등이요 여기 단골하려고요ㅠㅠ 진짜 진짜 회 질긴부분 하나 없고, 부드러워요 밥도 달라요! 부산대 터줏대감 스시로 왜 유명한지 알겠네요",crawl
모시모시 저녁 안주 세트로 소모임 가졌어요~ 토요일 안주구성 알차서 사람들 많이 이용하네요~,crawl
초밥의 어품이 신선하고 사이즈가 엄청커서 하나만 먹어도 푸짐하니 맛있습니다 세트메뉴가 가성비 좋으면서 알차요,crawl
오랜만에 들렀는데 역시 가성비 최고입니다! 학교랑 가깝고 내부도 넓어서 빨리 먹을수도있어서 좋은것 같아요! 물론 초밥도 맛있고요! 항상 점심에 와서 초밥만 먹고가는데 회를 먹어도 괜찮겠다는 생각이듭니다~ 기회가 된다면 저녁에 회랑 생맥이랑 즐기고 싶어요!,crawl
스시 맛집이네요! 어린이메뉴도 있어서 가족 단위로 방문하기도 좋아요^^,crawl
"저녁 모시모시 안주세트로 둘이서 푸짐하게 먹고 갑니다. 싱싱한 회, 야끼우동, 나가사끼 해물짬뽕에 다양한 안주가 최고! 입니다!",crawl
가족들과 초밥 먹으러 처음 온 곳인데 주차도 가능하고 한상차림 메뉴가 잘 되어 있네요. 초밥 맛도 좋고 친절해서 좋아요~~,crawl
직원들 친절하고 맛있어요.,crawl
처음와봤는데 맛있어요. 가성비로 맛있게 잘먹었습니다. 음식이대게깔끔하게 잘 나오네요~,crawl
처음 왔는데 맛있게 먹었어요~~,crawl
"안주세트 굿굿입니다 ㅎ ㅎ 다양하게 나오고, 무엇보다 맛있습니다 ㅎ ㅎ 좋은건 다 나옵니다 ㅎ ㅎ 어디가지 싶으면 아늑하고 편안한 모시모시 추천합니다 ㅎ",crawl
"일본식 초밥집이에요. 사시미 회도 있어서 주문해봤는데, 신선하고 맛있어요. 요리가 예쁘게 나와서 너무 좋습니다. 나무 인테리어가 멋있는 넓은 공간에 냉방도 잘 되어있어서 가족회식하기 좋았습니다.",crawl
점심 먹으러 갔어요! 알밥정식 먹었는데 가성비 괜찮습니다,crawl
"다른곳에 비해 횟감이 두꺼워 탱글거리는 식감이 좋아요! 세트로 주문하니 다양한 메뉴 골고루 먹을 수 있고, 튀김도 바삭 샐러드랑 연두부샐러드인지 여튼 고소하니 너무 맛도리였네요😋",crawl
맛있게 먹었어요~~~,crawl
세트 너무 푸짐하고 맛있어요! 가성비도 짱!! 사장님도 친절하시고 가게분위기도 조용하고 아늑해서 맛있게 먹고갑니다! 🤭🤭,crawl
음식이 맛있고 가성비가 좋아요😁,crawl
딸과 데이트중 우연히 들렀는데 왠걸~ 넘 잘들어 왔어요.직원분들도 친절하시고 쉐프님 열심히 초밥 만드시는 모습도 보기 좋네요~ 스시도 허접하지않고 큼직하니 맛납니다. 부산대 근처오시면 꼭한번 드셔보세요~,crawl
음식 신선하고 맛있어요. 주문과 동시에 바로 만들어 주세요. 식전 샐러드랑 두부 진짜 맛있어요. 매장 대기없이 바로 들어왔어요. 부산대 정문에서 가깝고 주차장 있음!,crawl
자주 찾는 맛집이에요! 항상 스시먹을 땐 여기로 와요 구성도 알차고 특히 저 두부샐러드가 완전 제 취향 너무 맛있습니다bb 다음에 또 올게요!,crawl
부모님이랑 오기 좋아요! 초밥이 맛있고 분위기가 좋아용~~,crawl
맛집이라해서 왔는데 구성도 좋고 맛도 최고입니다~👍 초밥 땡길때 한번씩 올듯해요^^,crawl
