text,source
"순살고추장(21,0)에 뉴진면 추가(2,0) 했습니다. 부산대 지인에게 추천 받아 방문했는데 솔직히 실망스러웠어요. 냉동닭와 떡 데워서 주신 거라 뜨겁지도 않고, 그냥 즉석식품 먹는 느낌입니다. 금요일 저녁에 아무도 없는 게 이해가 되더라구요. 양도 너무 적어서 어이가 없다 못해 좀 웃겼습니다. 딱히 친절하지도 않아요.",crawl
로컬맛집 !🍗 허기질때 딱 🥢 잘먹고 갑니다!🍀,crawl
역시나 치밥 no1. 보통맛보다 살짝 매콤하게 부탁드려서 밥 두그릇 뚝딱했네요ㅎㅎ 부산대 들릴 때 마다 꼭 들리는데 오늘도 배 불러서 가네요 너무 맛있게 잘먹었습니다~!,crawl
어렸을때부터 자주다니는! 부산대 근처 지나면 들르는 사장님 친절해요. 맛나게 먹고가요!,crawl
오랜만에 먹엇는데 맛있었어요^^ 직원분도 친절하시고 좋았어요👍,crawl
2인 특선으로 먹으면 가성비 대박이에요 보통맛은 꽤 매콤한데 밥이랑 잘 어울려서 맛있게 먹었어요😻,crawl
오랜만에 먹었는데 맛있었어요,crawl
가성비 좋어요~ 약간 어두운 치킨집ㅋㅋ 포장 했는데 직원분 찬절하시고 맛있었어요 가끔 생각나면 포장해서 가는데 넘 맛있고 좋아요~,crawl
역시 촌닭은 촌닭입니다👍👍👍👍👍 마늘후라이드 제 최애에용😘🥰,crawl
점심특선 양도 많고 맛있어용:),crawl
오랜만에 갔는데 맛있게 먹었습니다 이른시간에 생맥이랑 익숙한 고추장촌닭맛이 기분좋게 하네요 양배추샐러드도 맘껏먹고 쾌적한 분위기에 닭똥집이랑 고추장촌닭 라면사리까지 야무지게 먹고왔습니다 로봇에게 서빙까지받고 ㅋ 계속 변치말고 있어주세요 잘먹었었습니다 최고👍,crawl
자리가 넓어요.,crawl
친절해서 좋아요 ㅎㅎ,crawl
처음 먹어보는데 한마리반 세트로 잘 선택한 것 같아요! 고추장반마리에 국수 사리 정말 맛있었어요. 후라이드도 콰삭콰삭하니 맛있게 잘 먹었습니다.,crawl
부산경낭에 있는 유명한 프렌차이즈입니다ㅎ 진짜 매콤하고요 순살이라 부드럽구요. 점심특선이라 가격도 좋아요^^,crawl
부산대 무촌은 오래됫지만 그만한이유가있는거같아요!! 혼자먹기부담없이 잘먹었습니다 ㅎㅎ 명절잘보내셔요,crawl
간단히 먹기 좋음 쌀밥이 별루....,crawl
가격대비 맛 그리고 양까지 만족하는 곳입니다,crawl
굿,crawl
굿,crawl
중고딩때부터 먹었던 무봤나촌닭! 추억 떠오르는맛이라 아주 맛나게 먹었어요! 특히나 홀에서 먹으니 갓 튀겨나온 후라이드가 바삭바삭하니 맛나더라구요 ~ 샐러드담는 통이 좀 아쉽긴해도 맛나게 잘 먹었습니다 ㅎㅎ,crawl
간만에 갔는데 좋았음!,crawl
부산대 무봤나촌닭이에요 설명절 다음날 방문해서 그런지 손님이 엄청 많았어요 홀에 한명밖에 직원이 없어서 그런지 정신없어 보이더라구요 그래서 나오는데 30분정도 걸렸지만 맛있어요! 치즈닝핫도그가 사이드메뉴로 있길래 시켰는데 조금 모자라면 함께 먹으면 좋을것같아요ㅎㅎ,crawl
친절하세요,crawl
순살양녕후라이드가 맛있고 양이 적당해요,crawl
맛있어용,crawl
상품권이 있어서 방문했는데 뭔가 예전에 먹어봄직한 양념치킨임! 다만 순살로 시키니 수입산 같이 좀 가루(?)느낌의 식감이라 별류였음 ㅜㅜ 담엔 뼈로 시킬듯,crawl
굿! 맛있어용,crawl
맵찔이라 보통맛 매워요 밥이랑 먹으니 딱 맛있어요,crawl
맛있어요,crawl
고추장바베큐 후라이드 1마리세트 가성비 너무좋고 담백하고 맛있네요 오랜만에 맛있는 식사했습니다,crawl
숯불바베큐는 먹을만했는데 후러이드 치킨 진짜 맛없어요 닭도 너무 크고 기름 줄줄 ㅠㅠ,crawl
넘 맛있어요,crawl
굿,crawl
후러이드 치킨에 기름이 줄줄 ㅠㅠ 그리고 매장이 너무 추워요,crawl
부산대 무봤나촌닭! 자주가는 곳이에요 밥하고 같이먹어도 좋고 맛있어요 순한맛만 먹다가 보통맛 먹었더니 은근 맵네요,crawl
추억의맛! 촌닭가끔 생각나는데 맛나네용! 맵찔이는 보통맛도 매워요~,crawl
맛이 있어요~^^,crawl
굿,crawl
고추장바베큐는 무조건 라면 사리죠!ㅎ 아 오랜만에 먹으니까 더 술술 들어가네여!ㅎ,crawl
대학생때 즐겨먹던 촌닭 맛있게먹었습니다 매장인테리어 한번 하면 좋을꺼같아여,crawl
맛있음,crawl
오랜만에 촌닭 매콤하니 맛있었어요,crawl
넓직하고 대화하가 좋습니다여,crawl
마늘치킨 좋아용 잘먹었습니다 :),crawl
음식도 맛있고 직원분도 친절하고,crawl
굿,crawl
부산대점 촌닭이 맛있는거 같아요 양념을 다른지점보다 많이 얹어주는 느낌입니다 잘먹었습니당!,crawl
좋아요,crawl
점심에 가면 공기밥을 무료로 줘요 잘 먹었습니다.,crawl
좋아요,crawl
점심특선 갓성비 맛도 그대로임 맛있음,crawl
