text,source
점심특선 구성중 젓갈이 좀 아쉬웠지만 그외에는 그래도 간도 잘 맞고 맛있었습니다.,crawl
야채도 많고 맛있어요,crawl
생갈비가 인기메뉴이길래 둘이서 3인분 밥+된찌시켜 쌈싸먹으니 꿀맛 고기가 고소하고 상차림 깔끔 연말이라 좀 소란하긴했지만 매장분위기 좋음 입구에 스벅커피 테이크아웃이던데 매장가서 마시는걸로~ ㅎ,crawl
"고기 질이 좋고, 버섯도 구워 먹으니 더 맛있네요. 반찬도 감칠맛나고, 명태김치가 정말 맛있어요.",crawl
"오랜만에 방문했는데 생갈비 맛있고, 찬도 정갈하니 좋네요. 맛있게 잘먹었습니다",crawl
가격이 또 올랐네요 ㅠㅠ 맛은 있어요,crawl
기본에 충실한 곳입니다. 생갈비와 양념갈비를 먹었는데 둘다 맛있네요,crawl
돼지갈비 맛있어요 ㅎㅎ,crawl
양념갈비가 맛있다고 이모가 추천해서 갔는데 생각치도 못했던 생갈비가 너무 신선하고 맛있었어요! (생갈비로 스타트하고 양념 먹다가 다시 생갈비로 되돌아갔을정도),crawl
맛있어요,crawl
제가 제일 자주 가는 고깃집 중 하나인데 고기도 맛있고 반찬도 너무 맛있어요ㅎㅎ. 특히 여기 사장님은 손님들에게 친절하시고 부산대 갈 일이 있으면 이 집 한 번 들어보세요. 제가 추천합니다 👍🏻,crawl
사장님 이 후기 사진첨부 제발보세요 외국인 남자직원이 김치가 타다 남은 불판위에 그대로 뚝배기 집게로 된장찌게 국물을 첨벙첨벙 담구며 찌게냄비를 올려 놓을때 너무 찝찝해서 먹질못하다가 숫가락 안 담궛으니 교체해주시면 안돼냐고 하니 주벙에서 그 집게를 다시 가져와서 막담구시면서 원래 그래 쓴다고 시연하셨는데 아직도 먹은게 찝찝합니다. ㅇ.ㅁ식은 괜찮은데 주방위생은 알만합니다 많이 파세요,crawl
돼지갈비 맛있긴 한데 주방까지 다 외국인알바밖에 없어서 가기가 좀 꺼려지고 위생에 문제가 있어보여서 이제 안 가려구요,crawl
8년 이상 다니는 맛집이예요ㆍㆍ양념 돼지갈비 너무 맛있어요ㆍㆍ오늘은 사장님 못뵙고 왔는데ㆍㆍ홀에 일하시는 아주머니 너무 불친절해서 글 올려요~~ 본인 전화받고 할때는 웃고 받다 정작 손님한테는 너무 인상쓰고 있어서 깜짝 놀랐네요~~~ ㅠㅠ 금요일 2시 방문,crawl
친구부부가 사준다고 진짜 맛있다고 해서 갔는데 직원분들도 사장님도 친절하고 생갈비 진짜 맛있었습니다!! 또갈집이에요😍,crawl
직원분들도 친절하고 생갈비 진짜 맛나요,crawl
공간은 협소한데 고기가 맛있어요,crawl
와 정말 김치맛이 최고네요 추천해주신 생갈비 냄새없고 맛도 좋았어요 가끔 들르는 곳인데 좋네요,crawl
굿,crawl
좋아요,crawl
맛나요,crawl
좋아요,crawl
항상 친절하게 맞이해주셔서 감사합니다!! 더욱 번창하시길 바랍니다!!!,crawl
고기는 괜찮은데 갈수록 나오는 밑반찬들은 그냥그래요 가격도 오르구…,crawl
맛이 좋아요,crawl
양념갈비 맛있어요🙂,crawl
오랜만에 잘 먹었습니다*^,crawl
좋아염,crawl
맛있어요.,crawl
딸이 돼지갈비 먹고싶다해서 갔는데 사장님케서 생갈비를 추천해주시네요 맛있어요 그리고 돼지갈비. 추가로 먹었어요 고기는 생갈비가 좋은데 돼지갈비도 맛있어요,crawl
고기 양이 적어요.. 저거 3인분 ㅎㅎ 근데 맛있긴 맛있음 반찬도 다 맛나고 된찌 냉면도 평타 이상 ㅎㅎ 매장이 깔끔해보이는 느낌은 없긴하지망 맛남,crawl
"부산대 갈비맛집이예요!! 양념갈비, 생갈비 맛있어요",crawl
조아요~~,crawl
생갈비 이렇게 맛있기 있나요??? 신나서 먹느라 사진도 한 장 못 남기고 나왔습니다... 후식된장이 미친놈이므로 반드시 시키실 수 있도록 하십시오.. 이 곳은... 된장찌개입니다....,crawl
양념갈비 맛있게 먹었고 같이나온 반찬들도 맛있었어요,crawl
오랫만에 외식했어요,crawl
점심특선 완전 좋아요~!!!,crawl
생갈비 맛나요. 양념도 맛나고 된장찌개도 깔끔해요,crawl
자주 가는 단골집입니다. 친절함이 배가 되어 늘 맛있게 먹고 옵니다.,crawl
맛있어요~~,crawl
생갈비 맛있어요! 간 살짝 되어있고 처음에는 구워주세요 특이하게 미더덕 젓갈이 있는데 저는 비려서 못먹겠더라구요 김치찌개도 살짝 신데 맛있어요 저녁 5-6시 즈음 되면 꽉 차서 웨이팅하는 맛집이라네요,crawl
양념보다 생갈비가 맛있어요. 몇몇 일하시는분들은 한국사람이 아니라 소통이 매우 답답해요 친절함과 불친절함 그 사이 애매할 때가 있고 줄서서 먹을정도는 아닌것같네요,crawl
사장님께서 지휘를 잘 해주시니 고기집치고는 회전이 잘 되는 것 같아요. 고기도 맛있고 직원분들도 왔다갔다 하시면서 잘 챙겨주시네요,crawl
생갈비로 추천받아서 먹었는데 만족해요!,crawl
백마 양녕갈비 언양에서 유명한데 부대 생겨서 방문 생갈비도 맛 났어요 다맛나요ㅎ,crawl
양념보다 생갈비가 더 맛있네요 갠적으론 영화보고 나와 출출해서인지 더 맛있게 잘먹었어요,crawl
넘의 살은 맛나 맛나 양념보단 생ㄱ갈비가 더 맛있엉 ㅎ ㅎ,crawl
생갈비가 넘 맛있어요,crawl
굿,crawl
너무 배고픈 나머지 열심 굽고 홀라당 먹었네요 생돼지갈비 먹기위해서 갔습니다 양념은 좋아하지 않기에 첫주문은 3인분부터 이더군요 그 이상 먹을정도로 맛날것이다 라는 뜻 그래서 둘이서 5인분 그리고 미더덕젓갈 맛보기 근데 딱히 소문만큼은 아닌듯 기대가 컸더가 봅니다 그래두 손님은 엄청 많았답니다,crawl
"생갈비, 돼지갈비 다 맛있는 곳이에요 고기도 구워줘서 좋은 고깃집이에요",crawl
그닥,crawl
지인에게 추천받아 갔는데 남자사장님 말투가 굉장히 기분나쁘네요! 땡초가지러 셀프바같이 생긴곳에서 가져가니 셀프 반찬대 아니라고 갖다달래라면서 인상쓰네요 그럼 셀프아니라고 써놓든지... 고기 뒤집으래서 환기통밑에 그림자때문에 고기안보여서 옆으로 잠깐 제꼈더니 또 어느새옆에와서 옆으로 제끼면 안된다고 뮈라하네요 결정적으로 1층 화장실 냄새때문에 3인분만먹고 10분만에 나왔습니다. 그리고 아무리 장갑을 꼈다지만 사장님은 밖에 있는 그렇게 큰개를 만지면서 왔다갔다하면 위생상문제는 없는건지 모르겠네요. 직원분들이랑 여자사장님은 친절하시네요.,crawl
친절하시고 맛있는집 반찬들 다 깔끔하고 맛있어용,crawl
사장님의 생갈비 추천 그만 받고싶어요. 생갈비는 너무 간이 세서 양념갈비가 제 입맛에는 더 잘 맞았습니다.,crawl
생갈비가 맛있네요,crawl
맛있어요,crawl
생갈비먹고 돼지갈비 먹으니깐 더 맛있어요 맛있게 잘 먹었습니다,crawl
굿,crawl
가격에 비해 맛은 별로,crawl
가격은 비싸지만 맛은 좋아요,crawl
진짜 맛있습니다..,crawl
굿,crawl
고기 질 괜찮아요,crawl
"고기도 맛있지만 된장찌개가 미쳤어요 ,,,, 사장님이 김치찌개도 맛있다길래 다음엔 양념갈비랑 먹으러갈려구요",crawl
집근처라 자주 가는 고기맛집 이예요 양념갈비도 맛나는데 생갈비는 더 맛나요ᆞ 부산대역 고기집 추천합니다~,crawl
