text,source
고봉밥이 제공된다길래 그런가보다 했는데 이렇게나 수북하게 쌓아올린 밥이라구요?? 2인분도 넘을 것 같은 밥입니다. 감탄이 절로 나오는 고봉밥 인심!! 양푼이 김치찌개 양도 엄청 납니다. 양념돼지갈비 맛도 좋고 부드러운데 양념이 자극적이지도 않고 딱 밥이랑 먹기 좋아요. 가성비 최고네요!,crawl
가격이 정말 저렴한데 맛도 좋아요!! 모든 메뉴가 가성비가 좋고 공기밥 양 보면 알겠지만 아낌없이 주시는게 느껴져서 더 맛있게 먹고 왔어요!!,crawl
양념 이랑 생갈비 3개씩 주문했는데 와 너무 맛있어서 깜짝놀랐어요! 냉면도 살얼음이 동동이라 고기랑 같이 먹기 딱이고 배부른데 끝까지 먹었어요 ㅎ휴 고기먹고 싶을땐 무조건 여기로 올라고요~ 잘먹고 가욥,crawl
가족끼리 외식하러 갔다가 갈비를 먹었는데 고기가 정말 부드럽고 양념 맛도 깊어서 모두 만족했어요ㅎㅎㅎ 아이들부터 어른들까지 즐길 수 있는 메뉴라 가족 모임에 딱,crawl
"백양숯불갈비에서 알차게 먹고 왔어요! 양념+생갈비 조합으로 육즙이 끝내주는 고기에 감탄하고, 추가로 시킨 항정살도 잡내 없이 고소해서 순삭했답니다.☺️ 냉면으로 마무리까지 완벽했던 식사,가성비 만족! 부산대 근처 고기집 찾는다면 한 번쯤 가볼 만해요 :)",crawl
양념과 생갈비 둘다 신선하고 씹을수록 육즙이 풍부해서 맛있어요 김치찌개도 국물이 진하니 입맛저격이에요,crawl
깔끔한 분위기에 친절한 서비스로 모임하기 좋아요 갈비도 넘 신선하고 육즙가득 너무 맛있어요,crawl
갈비가 부드럽고 맛있어서 잘먹구왔어요~ 다들 만족스러워해서 담에 또갈듯ㅎㅎ,crawl
맛있어여 부산대 근처 고깃집 중에 제일 맛있는거 같아여>< 사장님이랑 직원분들 모두 친절하세여!!,crawl
갈비 진짜 부들부들 맛나요 ㅎㅎ 양념도 맛있네요 냉면이랑 싸먹으니까 진짜 극락,crawl
고기 부드럽고 진짜 맛있어요! 심지어 가성비 최고👍 매장도 깔끔하고 맛도 깔끔하고 맛있게 잘먹었습니당><,crawl
연기때문에...먹을수가 없었어요 ㅠ,crawl
생갈비 굿~! 가격도 저렴한데 고기 퀄리티 최고,crawl
"백양숯불갈비 부산대점 다녀왔어요~생갈비는 잡내 없이 촉촉하고, 김치찌개랑 냉면까지 조화 최고였어요! 가성비도 맛도 둘 다 만족한 저녁이었습니다. 😋🔥",crawl
완전맛있게 잘먹었어요 ㅎㅎ 고기가 퀄리티가 좋네요👍👍,crawl
온가족 외식했는데 다들 잘먹네요 ㅎㅎ 사이드도 맛있고 만족스러워요,crawl
갈비 오랜만에 먹으니까 너무 맛있네용~~ 양푼이 김치찌개도 맛있구 간이 딱맞았어요ㅎㅎ 갈비 또먹으러 방문할듯👍👍,crawl
부산대 신상 고깃집이라 미루다 드디어 가봤는데 너무 맛있고 가성비 굿굿....!🍀🍀 여기 먹으러 안온다? 후회 10000개 합니다. 셀프바도 맘껏 이용가능하고 불판도 잘 갈아주셔서 편하게 이용 가능했어요 자주 먹으러 올 거 같아요! 사장님 대박나세오,crawl
사장님과 알바하시는 분들이 친절해서 좋았고 삼겹살이 부드럽고 타지않으면서 잘구워져서 맛있게 잘먹은 기역이 나네요~다시한번더 가고싶은 백양숯불고기집 입니다^^,crawl
양념갈비가 부드럽구 냉면이랑 곁들여 먹으니 환상조합이에요 담에 또 먹으러 올게요,crawl
가성비 좋고 맛잇습니당 직원분들도 너무 친절하세용!! 젓가락 떨어뜨렷는데 바로 갖다주시구 ㅎㅎ 또 머그러올게여,crawl
고기 맛도 좋았지만 반찬이 하나하나 정성껏 나와서 더 만족스러웠어요ㅎㅎㅎ,crawl
