text,source
공사 관련으로 2025년 7월 31일까지 영업을 한데요 아쉽네요 고속도로 타기러 가기전에 먹고 가거나 포장해 가기 좋았습니다,crawl
오랫만에 햄버거... 맛은 음...,crawl
쿠폰으로 한번씩 먹어요. BBQ통모짜와퍼 맛있어요,crawl
햄버거먹고 움직이기기,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
주문하면 그때 만들어줘서 버거도 튀김도 맛있습니다,crawl
드라이브 스루로 이용했어요. 주차장도 있지만 시간 없을 때 이용하긴 드라이브 스루가 편하더라구요. 직원 분 친절하셨어요.,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
2층에서 먹는데 좀 더웠음,crawl
일단 주차하기가 편해서 이쪽으로 왔는데요 매장도 깔끔하고 직원분들도 친절하시고 좋네요~ 불고기 와퍼 세트에 소스를 조금 추가해달라고 요청늘 드렸는데 너무 친절하게 오케이 해주셔서 상당히 기분이 좋았습니다~,crawl
주차장이 넓고 위치도 좋아요. 행사가격에 저렴하게 구입했어요^^,crawl
드라이브 스루 이용 잘했습니다,crawl
혼자 심심할때 오기조아요 지금 주차장은 공사중이지만 주차가능 쿠폰써서 먹어요 굿,crawl
주차도 편하고 혼밥하기좋았어요,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
주차하기 편리함,crawl
햄최몇?!! 버거킹 맛있음!!!,crawl
주차도 편하고 간편하게 들러 이용하기 좋아요!,crawl
맛있어요 친절해요,crawl
행사기간이라 저렴하게 먹었어요,crawl
좋아요좋아요,crawl
콰트로치즈 맛있어요,crawl
👍🏻,crawl
버거완전마싯😀,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
굿,crawl
앱쿠폰으로 저렴하게 먹었어요,crawl
고속도로 타기 전에 있는 드라이버 스루입니다. 주차가 편하고 공간이 넓고 인테리어도 새것이라 간단히 식사하고 운전하기 좋은 장소입니다. 조용하고 뷰도 좋고 만족스럽습니다.,crawl
버거굳,crawl
쿠폰쓰면 가성비좋아요~,crawl
맛있게 잘 먹었습니다,crawl
굿,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
치킨킹!!! 추천~~^^ 아침일찍 가서 기다렸다가 먹으니 더 신선하고 맛있음!! 버거 단골될듯!!,crawl
맛릿음,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
버거 맛있어요. 주차하기도 편해요,crawl
굿,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
버거킹 맛있어요,crawl
아이스크림에 후렌치후라이 찍어먹기.ㅎ 행복하네요~,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
주차하기 널찍해서 좋음,crawl
좋아요좋아요,crawl
치킨너겟 맛있아요,crawl
앱 쿠폰 완전 유용해요~,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
은근비싸서 꼭 앱 할인 받아서 사먹어야해요🤗 저는 바삭킹을 완전 좋아하는데 굽기 때문에 맛이 좀 다르긴하네요 ㅎㅎ,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
버거킹! 맛있어요^^,crawl
딥 트러플더블와퍼 🥰♥️😍,crawl
ㅡ,crawl
뇸뇸,crawl
굿,crawl
굿,crawl
굳,crawl
굿,crawl
솽익잉 맛있넹? 와펑 쪼아,crawl
바빠서 식사를 못 챙길 때면 드라이브스루를 이용해서 햄버거를 먹 곤 합니다. 금정구에는 맥도날드 버거킹 KFC 다 있지만 사실 햄버거는 버거킹이 가장 나은 것 같고 감자튀김은 맥도날드가 제일 맛있습니다. 물론 치킨은 KFC가 최고죠. 해당 지점 버거킹은 가끔 햄버거의 맛이 차이가 날때도 있는 것 같습니다. 오늘은 꽤 맛있었습니다. 토핑이나 소스가 부족하게 들어간 날이 있는데 오늘은 충분했습니다. 통모짜 와퍼를 처음 먹어봤는데 양이 너무 많아서 놀랐습니다. 맛도 충분히 괜찮아서 한번 드셔보시면 좋을 것 같습니다.,crawl
새로나온아이 맛나네용ㅎ 쿠폰써니 가격도 좋아용.,crawl
굿,crawl
불맛더블치즈버거 맛있음. 근본햄버거맛,crawl
주차가 편리합니다. 자주 이용하지만 가끔 감자튀김이 살짝 아쉽습니다,crawl
어플 쿠폰이 유용해요,crawl
다시 문열어서 너무 좋아요😀,crawl
굿,crawl
맛있게 잘먹었습니다,crawl
어플쿠폰이 유용해요,crawl
치즈와퍼 맛있어요~,crawl
와퍼 맛있어요,crawl
맛잇게 잘 먹고갑니다,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
주차하기 편함,crawl
147,crawl
드라이비스루 이용 주유과 식사를 동시에,crawl
앱쿠폰으로 가성비있게 한끼 먹었습니다,crawl
매우 좋아요 선데아이스크림 너무 맛있음,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
114번째 방문 완,crawl
👍,crawl
👍,crawl
친절하고 맛있음,crawl
킹오더한거 접수번호 말해줬는데 핸드폰으로 카톡 주문내역 보여달라는건 뭐죠 주문한 사람과 픽업하는 사람이 다를 수도 있잖아요 dt 이용하면서 이런적 첨이라 상당히 불쾌했어요 더보기,crawl
ㅇ,crawl
영수증 설문조사하고 세트업 고,crawl
좋아요좋아요,crawl
좋아요좋아요,crawl
