text,source
치즈케익과 핸드드립 라떼 마시고 갑니다. 리뷰 쓸 생각이 없어 사진도 안찍고 먹다가 커피도 케익도 너무 맛있어서 다 먹은 빈그릇이라도 사진찍었어요. 좌석은 높고 의자는 몇개없지만 커피 진짜 맛있고 케익은 작아서 잉했는데 한입 먹으니 기대이상 말모입니다. 로스터리 전문이라니 다시 방문해서 산미있는 깔끔한 커피 마셔봐야겠어요.,crawl
요즘 시끌벅적한 넓은 카페보단 직접 로스팅하는 - 아늑하고 조용한 로스터리카페가 좋아서 부대온김에 찾아왔어요:) 동네안이라 시끄럽지도 않고 니즈에 맞게 추천도 잘 해주셔서 기분좋게 맛있는 커피 먹고왔습니당:) 또 갈게요 예쁜사장님!,crawl
벌써 3년차 들어서는 버들 로스터리~~ 핸드드립으로 말아주시는 카페오레 정말 좋아해요^^ 이 집은 아인슈페너도 특별합니다ㅎㅎ❤️,crawl
향긋한 와인을 마시는 느낌이에요~비오는 소리도 좋고 커피도 맛있고~,crawl
약간은 지쳐있던 상태로 방문한 카페였는데 진짜 바로 힐링완료했습니다ㅠㅠ 카페 너무 아늑하고 따뜻하고 커피랑 디저트도 너모 맛있었어요🩷 아늑하고 커피 맛난곳 찾으시면 꼭 가보셔용!! 완전 대만족👍,crawl
비를 뚫고😁 버들 도착~ 사실 어제 ‘파나마 아부 게이샤 GW 1720워시드’ 따듯하게 테잌해서 도서관에서 책읽으며 먹었었는데~~ 1시간 이상 두고서 천천히 마셨는데도 향은 더 살아나고 식어서도 너무 맛있었어요👍 그 은은한 향에 반해서! 오늘은 버들에서 비소리와 버들의 귀여운 음악과 함께 커피 글라인드 소리도 들으면서 아이스로 즐깁니다. 하얀 꽃의 향기와 은은한 피치.머스캣의 향이 아주 좋습니다~~ 야외좌석에서 살짝 살짝 발목에 튀기는 빗물이 시원하게 느껴지네요~ 이 비로 여름이 지나고 시원한 가을이 오기를 ~~~~😊💚,crawl
부산대역근처 숨은 카페맛집 ~ 커피맛있는건 알고있었는데 티라미슈 맛있어서 깜놀 아아랑 같이 드셔보세요 사르르 녹네유,crawl
나만 알고 싶은 아지트같은 고스넉한 카페 장전역 커피 맛집 ~~ 드립백2box 구매 해서 드립백 부자되었어요 요즘 핫한 바스크치즈케이크 도시락 ㅡ 정말 갓성비로 꾸덕함의ㅡ끝판왕 ㅡ 꼭 드셔보세요 ㅡ ^^*,crawl
커피맛나요. 디저트랑 맛나게 먹고 왔어요,crawl
분위기가 아늑하고 좋아요. 아인슈페너 크림 밀도있어서 넘 좋아요!,crawl
