text,source
"크레페가 동글동글해서 이뻐요!! 사진 너무너무 잘나와요! 사장님, 알바분 두분다 너무 친절하시고 재밌으세요!! 크레페 기다릴때도 계속 대화해주셔서 심심할 틈이 없습니다😚 크레페가 달달하고 다른집은 항상 먹다 물렸는데 이 집 크레페는 하나도 안물리고 너무 잘먹었어요.. 다음에 무조건 또 오겠습니다!! 크레페가 멋지고 사장님이 맛있더용☺️",crawl
너무맛있어요^^ 아이들이 또먹고싶어하네요~~ 대박디저트!! 추천해요~♡,crawl
첫 방문인데 맛있네용 ! 다음에도 재방문하겠습니당~ 다른 종류 크레페도 먹고싶네용!!,crawl
푸딩크레페가 유명하대서 먹어봤어요. 푸딩이 막 흘러내릴정도로 부드러운게 아니라 적당히 탄력있게 탱글해서 너무 좋았어요. 밑에 크레페만 먹어도 정말 맛있는 그런 크레페 맛집입니다!,crawl
남포동 맛있는 크레페,crawl
맛있어요!! 엄청 뜨거우니까 조심하세요!,crawl
"집이 양산이라 올 기회가 잘 없어서, 근처 볼일 있어서 온김에 먹으러 왔어요♡♡ 아직 먹기 전이지만 완전 기대중입니다♡♡",crawl
늘 먹는 집이에요 바나나크레페가 제일 맛있는 것 같아요! 아이도 잘 먹습니당 ❤️,crawl
딸기와 바나나가 같이 있는 크레페를 먹었습니다. 생크림이 하나도 안달고 부드러워서 좋아요 거기에 처음에는 딸기가 맨 위만 있는줄 알았는데 아래쪽도 딸기 바나가 다른 시리얼 등이 가득 담겨 있습니다 크레페가 부드럽게 쫀득하고 먹는동안 터지지도 않아서 좋았어요 .. 다음에 가면 두개 먹으려구요 😆,crawl
몇번째 재방문인지모르는..🤍🤍 넘 맛있더용,crawl
금방 나오고 맛도 좋아요. 😋커스텀이 가능해서 더 좋아요!,crawl
맛있게 보여서 사먹어봤어요,crawl
망고 크레페가 아주 맛있어요,crawl
진짜맛있어요 사장님짱!!,crawl
서로 먹을려고~ 싸울려고 하는 통에..몇입..못 먹었네요~ 다음엔~ 바나나도 추가해서 먹으려구요~,crawl
친절하시고 크레페 너무 맛있어요💕☺️,crawl
맛있고 직원분도 친절하세용,crawl
바나나 그레페가 맛있어보입니다,crawl
아이가 좋아해서 자주 오는곳인데 맛있어요~~^^,crawl
정말 맛있답니다!,crawl
크레페 맛있어요 짱 입니다,crawl
느끼... 제일기본메뉴가무난함,crawl
부산대 앞 디저트 최강자 아닌가 싶어요.,crawl
지나가다가 배고프다고 했더니 유명한 곳이라고 동생이 사줌 푸딩도 맛있고 얇은 크레페에 다양한 토핑 취향대로 골라서 맛있게 먹을 수 있음,crawl
버터 레코드 드디어 방문~~,crawl
크림이 너무 많아서 느끼했어요. 푸딩은 아이가 순삭했네요.,crawl
크레페 맛집이라고 해서 찾아왔는데 굽는것도 눈앞에서 볼 수 있고 직원분들께서 친절해서 너무 좋네요 맛도 있고 친절하니 다음에 또 재방문 할 예정이에요 ㅎㅎ,crawl
가게가 힙해요!,crawl
별 생각없이 지나가다 먹었는데 너무 맛있었어요! 특히 생크림이 아이스크림인지 크림인지 헷갈리게 맛있었네요! 생크림 대박~~ 입에 들어간다고 바빠서 사진은 없지만.. 다음에 크레페만 사먹으러 올 의향도 있어요! 추천~~,crawl
크레페 맛있어요~,crawl
너무 맛있어요!,crawl
푸딩 크레페 위의 푸딩이 탱글탱글하고 생크림이랑 커스터드 크림이 진짜 맛있어요,crawl
부산에서 먹을 수 있는 크레페라서 방문했어요. 맛있어요. 바로 볼 수 있어서 더 좋네요.,crawl
현대백화점보다 부산대가 짱이지요~~!,crawl
통창으로 만드는 과정을 볼 수 있어서 흥미로워요. ☺️,crawl
너무 맛있어요♡♡포장도 먹기 쉽게 디자인되어있고 저는 딸기크레페+ 푸딩 먹었는데 디저트 러버인 저에게는 완전 만족스러웠습니다!! 다음에도 또 먹으러오고싶네요 ㅎㅎ,crawl
살짝 태운 설탕 코팅이 맛있어요. 근데 이것만 올라가니 좀 심심하고 비싼 느낌이 있네요.,crawl
딸기랑 바나나 아이들 간식으로 사줬는데 너무 맛있어요~,crawl
출장 겸 동생 통해 추천 받아 들른 버터 레코드! 크레페 종류도 넘 다양하고 사장님도 친절하세요! 딸기 크레페 주문했는데 넘 맛나요!담엔 다른 맛도 도전!,crawl
부산대가면 무조건 들리는집. 예쁘기도 하고 맛도 좋고 만드는과정 구경하는 재미도 쏠쏠.재료가 신선해서 크림이 느끼하지도 않고 크레페가 정말 쫜득짠득해요.,crawl
항상맛잇게먹어요!,crawl
예전부터 먹어보고 싶었던 크레페!! 부산대 앞쪽에 특별한 크레페 집이 있다고 해서 다녀왔는데용 남자친구도 저도 굉장히 만족했어요! 일단 크레페 빵(?)부분 자체가 쫄깃하고 맛있었구요 크림브륄레도 부드럽고 적당히 달아서 좋더라구요 생크림을 동물성 생크림을 써서 느끼하지 않고 달달한 맛!!! 과일 크레페도 먹어보고 싶어요 ㅠ^ㅠ,crawl
부산대 크레페 맛집이네요 꼭 다시 방문할 맛집 등극!!!!! 건승하세요,crawl
맛나요,crawl
#부산 #부산대역 #버터레코드 #푸딩크레페 테이크아웃전문점 푸딩 달고 탱탱해서 맛있음 단일로 먹어도 좋음 밑에 생크림 적당히 달고 조화가 좋음 맨밑에 시리얼 바삭해서 식감 좋음,crawl
"딸기 시켰는데 존맛탱일것같은 비주얼에 맛도 이름값 하네요,,, 사랑합니다 버터 레코드 제주에서 또 비행기타고 오겠습니다",crawl
생딸기나오기전에는 블루베리만 먹었는데요 드디어 생딸기가나와서 딸기먹었어요 맛나네요,crawl
맛도리,crawl
친절하게 설명해주시고 너무 맛있어요,crawl
말차 크레페는 살면서 처음 먹어봤어요 말차맛 진해용 스ㅡ트로베리크레페는 상큼해용!!,crawl
너무 친절하시고 너무 맛있어요. 이벤트도 당첨!!! 최고입니다!!!!,crawl
부산대 방문하면 무조건 들리는 버터레코드! 여자친구가 좋아해서 매번 가요 ㅎㅎ,crawl
굿,crawl
부산에서 말차 크레페는 처음보는데 최고예요🥰🥰,crawl
좋아용,crawl
이거 먹으려고 여기까지 왔는데 진짜 맛있어요!! 단 생크림이다보니까 엄청 달아요 중간중간 카스타드랑 시리얼 들어가있고요!! 딸바는 진짜 시원하니 생크림이랑 먹기 좋았오요!!,crawl
버터레코드 현대커넥트에서 처음 알게되었는데 거기에 비해서 여기는 웨이팅이 없어서 너무 좋았어요! 크림브뤨레의 달콤한맛이 크레페빵의 고소함과 조화가 아주 좋았습니다 굿굿👍🏻👍🏻👍🏻,crawl
마싯고 친절하고 좋아용 또 올게용 ㅎㅎㅎ 화이팅!!!,crawl
아들 딸과 설연휴 나들이 딸이 크레페 맛집이라고 해서~~,crawl
ㅡ,crawl
크레페 커스텀 할 수 있는게 좋았고 맛있어요!💗,crawl
주문하자마자 바로바로 만들어주시구 너무 달지않은데 맛있어요 푸딩토핑도 있어서 일반 크레페보다 색다르고 다양해서 골라먹는 재미까지 ^♡^,crawl
진짜 재방문 몇번째 엄청 맛있어요 유후~ 부산대 올때마다 방문중 다들 먹어보세요 후회안함,crawl
집 근처라 자주 방문하는 디저트 맛집입니다👍👍,crawl
맛있어요,crawl
크레페 너무 맛있고 양도 많아요! 재료도 신선하고 이때까지 먹어본 크레페 중에 제일 맛있었어요~ 부대에도 크레페 맛집이 생겨서 넘 좋네용😊 다음에 또 방문할게요~~~,crawl
땅짱,crawl
핫하다고 해서 와봤어요! 밥 먹고 후식으로 버터레코드 크레페 들고 산책하기 딱 좋은 날씨네요💕 직원분도 친절하시구 매장도 예뻐요 ㅋㅋ 양도 많아서 배도 든든하네요 부산대 명물 될 듯,crawl
알바생분들이ㅜ너무 친절하고 디저트가 맛있어요ㅜㅜ 부산대오면 꼭 가보시길,crawl
듣던대로 보기에도 이쁘고 맛있어요. 비쥬얼 너무 좋네요.,crawl
특별한 말차 크레페가 신기해용,crawl
최애 크레페에요♥︎리뷰 이벤트 했는데 바나나 크레페 당첨되서 너무 기뻤습니당 감사합니다♥︎,crawl
근처 올때마다 항상 사먹는 푸딩크레페! 비주얼도 이뿌고 넘 맛있어요~,crawl
맛있어요💖💖,crawl
이 더운 날에 발걸음을 멈추게 하는 냄새에 맛있고 먹기도 깔끔합니다! 여름철에는 냉동딸기라서 시원해요!~~,crawl
자주 가는데 맛이 늘 좋아요 😀 직원 분도 친절합니다.,crawl
맛있어용..~~~,crawl
완전 맛있어요!!😆❤️,crawl
맛있는 곳 단골될 듯 감사합니다.,crawl
신상말차 짱 맛있어요,crawl
직원분들 넘 친절하구 맛나요ㅠㅠ,crawl
유명한곳 지나가다가 보여서 들렸네요 맛있음ㅎ,crawl
맛있어요!,crawl
드디어 푸딩크레페 사먹어봅니다😋,crawl
맛있게 잘 먹었습니다😋,crawl
2번째 재방문💓 부산대 올 때마다 이거 먹고 싶어지는 것 같아요ㅠㅠㅠㅠㅠ 맛있게 먹구 또 오겟숨니당~~!!,crawl
맛있어요 크림이 진짜 존맛탱~~~~ 두번째 먹어보는데 담엔 토핑 추가해서 먹어보고싶어오,crawl
처음 먹어보는데 너무 맛있었어요! 다음에 또 올 거예요~😊,crawl
맛있어용!! 자주 사먹는 가게 입니당!!! 번창 하시길~~~><,crawl
부산대에 크레페먹으러와용 맛있어요,crawl
이 크레페 먹으려고 부산대까지 왔다 이말입니다~~,crawl
크레페 맛집이라고 해서 방문했습니다 푸딩이랑 딸기를 주문 했는데 개인적으로 푸딩이 더 맛있더라구요 !! 😋 달달하면서도 은근 먹다보면 배불러서 든든하더라구요 다만 먹기가 힘들어서 휴지는 필수.. 🤣 당충전 제대로 했습니당,crawl
저녁시간에도 사람이 많네용 오늘은 블루베리롱 굿👏👏,crawl
넘 맛있어용 희희,crawl
부산 크레페맛집!!!!,crawl
특별한 크레이프 파는 곳이래요.우리 초딩이 자주 가는곳인데 주문즉시 빵부터 다 만들어서 주는곳인데 줄 서서 먹더라구요. 빵은 부드럽고 푸딩은 탱탱.크림도 넉넉하고 씨리얼이 밑에 깔려있어 마지막까지 맛있나봐요. 더보기,crawl
여긴 항상 지나갈때마다 달달한 향이 막 나서 그냥 지나칠수가 없어요...ㅠㅠㅠ 이것저것 모든 메뉴가 다 맛있어요!!!!!! 부자되면 이것저것 다 넣어서 먹어볼거에요!!!!!!!!!!!!!! 더보기,crawl
부산대 놀러오면 항상 마지막에 후식으로 들렀다 가는 곳입니다! 놀러왔을 때 매번 식사 메뉴는 달라져도…. 후식은 버터레코드 크레페죠!!🤤👍👍,crawl
친절하시고~ 맛있는집!!,crawl
평소에도 크레페너무 좋아해서 크레페맛집은다 찾아 다니는 편이에요. 부산대 앞에 버터 레코드 수제 푸딩 크레페가 정말 맛있다고 해서 마음 먹고 여행기간 찾아 가봤는데 와 역대급 맛있었어요 생크림만 올려 주시는 게 아니라 속 안에 있던 슈크림까지 맛있네요 수제 푸딩도 너무 달지 않고 맛있어서 마지막까지 다먹었어요 더보기,crawl
지나갈때마다 먹어보고싶었는데 드디어 먹어봐요~^^ 너무친절하셔서 기분이가좋슴다😋🩷또올게요!,crawl
아이가 먹고싶어해서 왔어요~~,crawl
맛있어요~ 블루베리 맨날 일찍 품절되어서 아쉬워요 ㅠ 다음엔 꼭!!,crawl
부산대 1번 출구 앞 인스타에 핫한 크라페 카페 다양한 맛은 물론이고 제작하는 모습도 눈으로 볼 수 있어서 너무 좋습니다,crawl
