text,source
다양하고 신기한 메뉴들이 있어서 고르느라 힘들었지만 다 먹어보고 싶을 정도로 좋았습니다 ㅎㅎ 친구랑 편하게 쉬고 싶어서 간 거였는데 공간도 넓고 편해서 너무 좋았습니다,crawl
친절하십니다,crawl
"미술과 커피, 넓은 공간",crawl
👏 👏 👏 👏 👏 👏 👏 👏 👏 👏 👏 👏 👏 👏,crawl
당근케이크먹으러 오는 곳 ‼️ 느므 맛있어요 👍🏻👍🏻👍🏻‼️,crawl
분위기좋아요,crawl
"2층도 있어서 카공하기 좋습니다, 1층은 자리가 편해서 이야기하기 좋아요! 커피도 양 많고 맛있어서 자주 방문합니당",crawl
"커피는 가성비 좋고 맛있어서 다 좋은데 직원인지 사장인지 남자분 엄청 불친절하세요.. 학생들 상대로 영업하시는거같은디 너무 불친절하시네요,,,",crawl
쫀득쫀득 당근 케이크가 너무 맛있었어요👍🏻👍🏻‼️,crawl
매장이 넓어서 좋아요,crawl
계단이 좀 가파르지만 꼭 2층에서 드세요 ㅎㅎ 공간이너무좋아요😆😆 12시까지 하는곳이라 대화나누기에도 마음편하구요!!,crawl
사장님 친절하시고 커피도 맛있어요 녹차라떼 비주얼 최강이예요 아이스크림이랑 솜사탕도 얹어주심 강추합니다❤️,crawl
베트남에서 파는 메뉴들이 있어서 주문해봤는데 맛있어요. 근데 실제로 베트남을 가본적이 없어서 현지맛인지 로컬라이징 된 맛인지는 모르겠네요🤔,crawl
👏 👏 👏 👏 👏 👏 👏 쾌적합니다... 좌석사이 거리도 넓어서 복작거리는 카페싫으신분 강추입니다,crawl
오 녹차라테 가성비 갑이네요 밀크티도 맛있어요 전 미숫가루 마셨어요 ㅋㅋ,crawl
👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍,crawl
편안한 분위기여서 좋아요. 코코넛 쉐이크 맛있어요🩵,crawl
😀 👍 😀 👍 👏 👏 👏 👏 👏 👏 👏 👏 👏 👏 👏 👏,crawl
좋아요 👏 👏 👏 👏 👏 👏 👏 👏 👏 👏 👏,crawl
👏 👏 👏 👏 👏 👏 👏 👏 👏 👏 👏 굿,crawl
메뉴가 다양하고 항상 같은 퀄리티를 유지합니다.. 👏 👏 👏 👏 👏 👏 👏 👏 👏 👏 👏,crawl
녹차라떼 신기하게 생겼어요 ㅋㅋㅋ 아슈크림도 올라가고 솜사탕도 올라가더라고욤 바닐라라떼두 달달하구 다만 날씨가 더웠는데 내부가 넘 더워서 좀만 있다가 나갔네용 테라스 자리엔 시원할 것 같은데 이미 만석이였습디다 학생들 공부하기 좋을듭 ?!,crawl
👏 👏 👏 👏 👏 👍 👍 👍 👍 👍 👍 👍 👍 👍,crawl
사장님이 친절하시고 퀄리티와 맛이 꾸준히 유지되는 곳입니다..,crawl
진짜진짜 음료 종류 많고 베트남 커피 이제 다른데 잘 안파는데 여기는 꾸준히 팔아주셔서 감사해요 👏 👏 👏 👏 👏 👏 👏 👏 👏,crawl
좋아요 😀 진짜 쉬는거 같아요 휴식할수있는 공간입니다 👏 👏 👏 👏 👏 👏 👏 👏 👏,crawl
좋아요 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍,crawl
👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏 좋아용...음료도 맛있어요..특히 다른데 잘 없는 베트남st 커피 있어서넘좋아요...시끄럽지않고 편안하게 쉴수있어서좋습니다,crawl
사장님이 착하십니다 음료도 맛나요 굿,crawl
