text,source
"오늘은 보노베리에서 달콤한 시간 보내고 왔어요! 🧋 아이스 아메리카노 – 시원하고 깔끔하게, 하루 피로 싹~ 🍹 패션후르츠 에이드 – 새콤달콤 입맛 살리는 귀요미 음료! 🍰 복숭아 생크림 케이크 – 부드럽고 달콤, 케이크 한 입에 행복 터짐💛 영수증에 찍힌 메뉴 하나하나 보면서 ‘오늘도 잘 먹었구나~’ 생각하게 되는 곳이에요. 달달한 기분 챙기고 싶을 때 딱 추천하는 카페!",crawl
너무 맛있고 과일들도 다 신선해요 그리고 너무 이뻐요…😍 티라미수 타르트 진짜 미쳤어요 단단할줄 알았는데 부드럽고 너무너무 맛있어요;;; 케익만 사서 먹을때는 음~ 맛있다! 정도였는데 타르트가 진~~짜 환장하게 맛있어요 또 올게요,crawl
"1.타르트 맛집 이래서 방문, 1층만 있는줄 알고 있었는데 2층도 있엇음 2.제철 복숭아🍑 타르트 굿쵸이스 였네요 3.딱복이랑 물렁복이랑 섞여서 다양하게 즐길수 있고 4.넘 이뻐서 눈으로 한번 먹고, 입으로 2번먹음 5.타르트 맛집을 찾는다면 여기로 오세요👍",crawl
여기 타르트 좐맛ㅠㅠ 디저트 종류도 다양해서 고르는 재미도 있고 분위기도 너무 좋아서 오랜만에 또 들렀는데 역시나 맛있네요 ~ 내돈내산🩷 부산대 디저트 카페 원탑임 진짜! 오래가는 이유가 있어요 ㅎㅎ커피도 맛있고! 특히 더블치즈타르트 !! 강추드립니당~~,crawl
"타르트 종류가 다양해서 고르는데 한참 걸렸어요. 과일 올라간 거 먹었는데 생각보다 안 달고 맛있었어요. 매장도 아담하고 깔끔한 편이고, 조용해서 잠깐 쉬어가기 좋았어요. 가격은 좀 있는 편인데 그만큼 퀄리티는 괜찮은 것 같아요.",crawl
드디어 와본 부산대 보노베리!!! 제철과일 복숭아 타르트 최고에용!!다음에 또 올께요,crawl
기념일 때마다 방문하는 보노베리! 크레이프 케이크가 정말 맛있어요ㅠㅠ 타르트와 케이크 종류가 다양하고 귀여운 키티 마들렌도 생겼네요!!? 점점 발전하는 보노베리 넘 좋아요~ 오래 운영해주세요🫶,crawl
부산대근처에 약속있을 땐 언제나 오는 곳이에요 언제와도 멋진퀄에 맛에 반하고 갑니다,crawl
멜론타르트가 너무 맛있어요! 과일이 달고 싱싱해요! 생크림이 달콤해요. 가게에 물이 있어서 좋아요!,crawl
동생따라 처음와밨는데요! 아직 못먹어봣지만 동생이 매우 마싯다거해서 따라와밧어요 저히는 피스타치오랑 복숭아 시켯답니당🌝,crawl
