text,source
"부산대 맛집으로 유명한 부막숯불닭갈비 다녀왔어요 🐓🔥 저녁시간에 방문했는데 웨이팅만 3팀… 역시 소문난 맛집답더라구요 ㅎㅎ 캐치테이블 예약도 가능하지만 저희는 대기 후 입장했어요!! 저희는 직원분 추천대로 허벅갈비 소금구이, 목살 빨간양념, 무릎연골 소금구이를 주문했는데 숯불향이 가득 배어 불향이 정말 미쳤어요! 특히 허벅갈비는 육즙 가득하면서도 담백하고, 매콤한 목살 빨간양념은 술안주로 딱이에요. 밑반찬도 깔끔하게 준비돼서 닭갈비랑 조합이 최고였고요 ✨ 마무리로 주문한 닭개장까지 완벽했던 한 끼! 부산대 근처에서 숯불 닭갈비 찾는다면 꼭 방문해보세요 🤍 웨이팅이 있어도 기다릴 만한 맛집이라 적극 추천합니다 🫶",crawl
첫방문!! -> 좀만 늦었으면 대기힐뻔!!! ^^;; 초계국수는 시원하고 살짝 땡기는 맛으로 여름엔 완전 딱!! 초계비빔밥은 밥도 고슬고슬.. 아주 맛있어서 배부름에도 자꾸 땡기는맛이었음!!! 기본찬으로 묵사발이 나오는데 푸짐해서 좋았음!!! 닭구이는 직접 구워 먹어야 함에 간장양념이 맛있으나. 잘 타서 좀 불편함. 그외엔 음식이 맛있고 좋았음!!! 계란찜은 추가로 주문해야함. 포슬포슬함. 닭구이 뼈 발라먹는거 추천! 간장양념이 아주 맛있음! 셋이서 3인분에(닭구이) 초계국수/초계비빔밥/ 계란찜까지 배불렀음.!!! 밥은 많아서 남기게 되었음! 또갈집. 찜꽁!!!,crawl
"올 때 마다 너무 맛있는 부막! 처음 방문하는 친구도 너무 맛있다며 이거먹으면 살도 안찔 것 같고? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 굽네 고급버전 같다며 좋다네요🙂 잡내없고, 겉바속촉의 정석 허벅갈비 소금구이 증맬루 맛도리니까 꼭 드셔보세요! 담백하고 걍 육즙도 장난없어요 ㅎㅎ 퇴근하고 바로 넘어와서 웨이팅 없이 입장했는데 6시 넘으니 웨이팅이 많아지니 꼭 일찍이 방문하시길!",crawl
닭구이 담백하게 먹고 싶을 때마다 방문하는 맛집이에요! 숯불에 구워서 기름도 잘빠지고 불향 입혀져서 진짜 맛있습니다~ 국내산 닭만 사용해서 그런지 닭 자체가 신선해서 더 맛있는듯! 직원 분들도 친절하시고 사이드 메뉴도 맛있어요^^ 추천추천!,crawl
닭갈비가 맛있다는 소문 듣고 방문했어요! 매장도 쾌적하고 직원분들도 친절해서 좋았어요ㅎㅎ 기본찬도 알차고 맛있는 것들로만 구성되어있어요! 사라다도 특별하게 맛있고 느끼함을 잡아주는 양파장도 있어서 좋았어요 묵사발 한입먹고 깜짝 놀랐어요 육수가 짱입니다.. 여긴 찐이에요... 직접 정성스레 볶아주시는데 너무 맛있어요!! 다음에도 재방문하겠습니다,crawl
줄서서 대기해서 먹는곳이라길래 방문해봤어요 ‼️ 웨이팅 걸고나서도 한시간이상 기다렸는데 기다린만큼 너무 맛있었습니당 ㅎㅎ 오래기다리셨다고 음료수 서비스두 주시구 너므너뮤 친절하세요 🥺👍🏻 비빔밥 서비스까지 잘 먹고가요 😋🍀 (Feat. 닭갈비엔 치즈폭탄사리 🧀),crawl
"워낙 소문난 곳이라 기대 가득 안고 갔는데..역시 너무 맛있었습니다!! 다만 연기가 넘 자욱해서 좀 힘들었고, 학교앞이다보니 학생손님들이 많아서 시끄러워 부모님은 좀 짜증내셨어용ㅋㅋ 그래도 고기는 맛있다며 칭찬하셨답니다!! 양념보다는 소금구이를 완전 추천 드려요~~ 마무리로 닭갈비도 맛있게 먹었습니당!! 배가 넘 불러서 볶음밥은 패스~",crawl
항상 웨이팅 하는 부산대 맛집으로 유명한 부막숯불닭갈비 가보고 싶었는데 드디어 방문했어요 ! 비오는날 분위기 더 좋고 좋은 숯에 굽는 국내산 정육 닭갈비가 너무 맛있어요! 허벅갈비는 통통하고 부드럽고 육즙 가득하고 목살은 쫀득하고 연골은 오독씹히는 맛이 일품 ! 마지막 닭개장까지 먹으니 정말 든든하더라구요 ㅠ 소주안주로도 최고 💯 사장님께서도 너무 친절하셔서 좋았어요 ☺️ 꼭 방문해보세요~~,crawl
"지나갈때마다 항상 가게 앞에 웨이팅이 있었어서 궁금해서 와 본 <부막숯불닭갈비> ꔷꔷ⭐️ 원래도 닭구이를 좋아해서 여러 곳 가봤는데, 여긴 고기 질도 좋구 잡내도 없어서 좋았어요! ⸜❤︎⸝‍ 고기 자체도 부드럽고 껍질도 안질기구 넘 맛있었어용 양도 많고 맛도 소금/간장/양념이 있고 부위도 허벅갈비/목살/무릎연골 등 다양하게 있어서 좋았어요❥𓂃𓏧 ( 저는 허벅갈비로 소금/간장 했는데 둘 다 맛있어서 추천이요-! ૮꒰っ´༥`ς ꒱ა🩷 ) 그리구 초계비빔밥도 완전 별미니 드셔보시길💨",crawl
오픈때부터 쭉 오고있는 부산대 맛집..웨이팅은 싫지만 맛나고 친절하나 어쩔수 없죠 ㅎㅎ 사장님 센스짱이구요 닭고기질이 정말 좋아요 음식 맛나는건 두말하면 잔소리~~강추입니다,crawl
"부대근처에 맛있는 맛집 발견했네요~ 숯불닭갈비말고도 철판닭갈비 , 닭수육전골 등 다양한닭요리로 메뉴구성이 다양하고 알차요 곧 복날 다가오는데 복날에 웨이팅 엄청날것으로 예상입니다ㅋㅋ 😁 맛있어요^^ 직원분들 바쁜와중에도 친절하고 열심히 일하십니당 제가 먹은건 허벅갈비 부위(소금,간장)인데 다음에는 다른부위도 한번 먹어보고싶어요~~ 참 묵사발도 생각보다 킥입니당 약간 공장형묵사발느낌이아니라 새콤달콤한 묵사발맛이에요~ 입맛을 돋구워주는것같아요ㅎㅎ 쿠폰사용하여 먹은 초계비빔밥도 맛있습니다!!",crawl
와 아슬아슬하게 웨이팅 피했어요 오예☺️ 맛집이다보니 웨이팅할까봐 조마조마했는데 딱 세 태이블 있어서 성공💛 두 팀 들어가고 한 테이블 남았다고요.. 국내산이라 잡내가 하나도 안나고 기름기가 쫙 빠져서 계속 먹게 되더라고요ㅠㅠ 닭갈비가 너무 맛있었어요ㅠㅠ 사장님이 친절히 굽는 방법도 알려주셔서 잘 구워 먹었어요 반찬들도 다 맛있고 묵사발이 진짜 특히 굿 시원해서 여름엔 역시 이런 메뉴가 최고인 거 같아요 조금 지나니 웨이팅해서 6시 20분 쯤 오면 웨이팅 안하고 맛있게 먹을 수 있을 거 같아요🩵 부산대 오시면 완전 추천합니다🫶🫶🫶☺️,crawl
닭갈비 먹었는데 양도 많고 배불리 잘 먹었어요!! 금요일 저녁이라 웨이팅은 좀 했는데 기다려서 먹을만한 맛집이에요! 담엔 구이로 먹어볼래요,crawl
부막숯불닭갈비는 n번째 오는 맛집..! 휴일에 갔더니 1시간 웨이팅했어요..! 그래도 먹고싶은 맛집입니다. 닭도 신선하고 허벅살은 찐입니다..맥주땡기는맛이에여!,crawl
닭갈비 먹으로 가족들이랑 왔어용 웨이팅 5팀걸려서 한시간정도 기다렸다 들어왔네요 시원한 도토리묵? 냉? 맜있어요 닭갈비도 맛있었당,crawl
"중복맞이 부막숯불닭구이집을 방문했습니다. 기본찬들도 정갈하고,맛도 좋았어요. 특히 파김치 지렸어요ㅋㅋㅋ숯불화력이 좋으니..고기잘굽는사람이 집게.가위들어야해요.(명심하시길) 첫점은 무조건 소금으로 추천드립니다ㅋㅋ간이나 육즙이나 최고의 조합이에요ㅋㅋ 파김치에 싸먹는건 두번쨉니다ㅋㅋㅋ하하하. 시그니처인 허벅갈비를 먹고,추가로 닭갈비를 시켰는데 약간매콤하니..이건 밥도둑,술도둑의 느낌이네요. 맵찔이인 저도 먹을순있어요ㅋㅋㅋ 먹다보면 땀이 쫌나긴하네여ㅋㅋㅋ 여긴 재방문의사 5백만프로의 가게입니다👍👍 잘먹었습니다.",crawl
"매번 부산대역 지나갈때마다 웨이팅이 많아 궁금했던 곳이라 기대를 가지고 방문했는데도 너어무 맛있게 먹고 온 곳이예요 !! 닭구이는 좀만 덜 신선하면 잡내가 날 수 있는데 잡내가 하나도 없고 육즙 가득 신선합니다 ㅠㅠ ♥ 반찬도 너무 잘 나오고 묵사발 존맛 !! 초계국수도 너무 잘 어울리니 같이 드셔요! 매장 분위기도 좋고 깔끔합니다 환풍구 성능이 좋아 냄새도 심하지 않고, 단체모임하기에도 좋을 것 같아요 :) 다음에는 철판 닭갈비로 먹으러 오겠습니다 ♥",crawl
닭갈비 맛있다고 추천받아 방문하게 되었습니다. 시원하고 새콤달콤 묵사발에 닭갈비 같이 먹으니 맛있더라구요 사장님이 계속 세심하게 터치해주셔서 안타고 촉촉한 닭갈비였습니다! 초계국수 궁금해서 시켰는데 은은하게 닭육수에 면이 찰지고 탱글해서 더 맛있었습니다! 잘 먹었습니다 😊😊,crawl
오랜만에 정말 맛있는 식사 했습니다!! 분위기도 좋고 참숯에 구워먹는 닭이라니 메뉴가 신선하고 다음에도 또 올 것 같아요😘,crawl
사장님이 추천해주신 메뉴 정말 맛있게 먹었습니다. 직원분들 친절하고 신속하게 메뉴 가져다주셔서 굉장히 맘편하게 먹었어요. 고기상태도 신선하고 겉바속촉이라 먹어본 닭갈비중에 손에 꼽네요!!👍,crawl
밑반찬들도 구성이 좋고 맛있어요! 고기도 초벌해서 나오고 숯불에 구워 맛있어요!,crawl
여기 부대 찐맛집이라 자주 가서 메인 메뉴 다 먹어 봤었거든요 거짓말 안하고 다 맛있어요 닭수육 전골도 진짜 국물 미쳤고 닭구이도 야들야들 입에서 녹아요 어제는 닭갈비 먹으러 갔는네 친구가 춘천보다 맛있다고 인정 했어요 맥주 못참는 그런 메뉴 입니다 바로 맞은편에 북문주차장도 있어요 주차 하기도 좋아요,crawl
우선 가격 대비 양이 너무 좋았습니다! 직원분들도 너무 친절하셔서 밥 먿을 때 편한 마음으로 먹었던 거 같습니다! 여러분들도 많이 와보세요~~ 맛도 맛있어서 호불호 없이 먹을 수 있었답니다! 저 뿐만 아니라 모두가 좋아했었습니다~~~,crawl
늘 아이와함께 오늘 부막숯불갈비 부산대점 ㅎㅎㅎ올때마다웨이팅은 있지만 기다린보람있네요ㅎㅎㅎ 직윈분들도친절하고 양도푸짐 너무맛있네요 또올께요~~~~^^,crawl
야들야들 닭갈비가 넘 맛있어요 양도 많고 고기 질도 좋아 순삭해 버렸네요 시원한 초계국수는 여름철 별미입니다 항상 손님이 많던데 이유 있었네요,crawl
닭갈비 너무 맛있어요!!! 이제 닭갈비 생각나면 부산대 맛집 부막숯불닭갈비로 뛰어와야겠어요!! 사장님도 너무 친절하시구 너무너무 맛있고 행복한 식사시간이었습니다!!,crawl
"부산대역 3번 출구 근처에 웨이팅으로 늘 궁금했던 부막숯불닭갈비! 평일에도 웨이팅이길래 넘 궁금했는데 오늘다녀왔어요. 닭목살구이먹었는데 직원분이 숯불에 직접 고기를 구워줘서 먹는 내내 편하고 맛있었답니다.숯불향이랑 촉촉육즙팡팡에 야들야들 닭목살 넘맛있었어요. 기본찬도 묵사발, 파김치, 갈치속젓까지 하나하나 정갈하고 닭목살이랑 조합이 환상..! 저는 구이류먹을때 여러조합보다 기본(쌈장or소금)파인데 여긴 진심 모든반찬과 닭구이조랍 좋더라구요...! 부추,파김치,갈치속젓..! 닭개장은 얼큰하면서도 이국적인 감칠맛 가득했고 진짜 맛있더라구용..!! 전체적인 분위기, 맛뿐만아니라 사장님과 직원들도 친절해서 모두 만족스러웠던 부산대 고기맛집 인정이요!",crawl
점심먹으러 갔는데 사람이 엄청 많더라구요 !! 닭갈비 주문했는데 엄청 신선해보이고 크기도 커서 씹는맛이 너무 좋았습니다👍🏻 치즈폭탄사리는 꼭 추가하세요! 이게킥입니더✨,crawl
가족들이랑도 왔다가 여자친구랑도 벌써 3번째 왔어요! 항상 너무 맛있습니다ㅠㅠ,crawl
철판 닭갈비 먹고 왔어요 양도 엄청 많고 푸짐해서 좋아요 종업원이 알아서 조리해주니까 편하고 더 맛있게 먹을수 있었네요 치즈사리 추가해서 찍어 먹으니 고소하니 굿 다음에 방문해서 다른 요리도 먹어보고 싶어요 협찬으로 다녀왔어요,crawl
닭갈비가 먹고싶어서 처음 와봤는데 양도 많고 간도 적당하니 맛있었습니당 배부르게 먹고가융,crawl
닭갈비가 맛있어요!! 2인분 시켰는데 너무 배부르게 잘 먹었습니다! 볶음밥 까지 먹으려고 했는데 배불러서 포기하고 다음에 먹기로 했어요~! 다음에도 재방문 하겠습니다!,crawl
"부산대 맛집 추천 받아서 다녀온 부막숯불닭갈비🐔 허벅갈비는 소금 간이라 숯불향 가득~ 식감도 쫀쫀해서 너무 맛있었어요! 목살은 매콤달달한 양념이라 밥이랑 정말 잘 어울렸고, 무릎연골은 바삭+쫄깃해서 씹는 재미가 있더라구요😊 묵사발도 시원하고, 기본찬까지 정성 가득! 분위기도 깔끔해서 데이트나 모임 장소로 딱이에요✨",crawl
부산대 맛집이라고 해서 방문했는데!! 진짜 너무 맛있어요!! 다음에 또 방문할 것 같아요!!,crawl
웨이팅 있을 만하네요. 맛집 인정!,crawl
마시써용 직원분이 닭 손질도 해주시구 숯불 들어오면 첫 판은 올려주셔요 양념구이는 생각보다 연기가 나고 굽기가 어렵지만 맛있었어요 소주는 살얼음 소주라 시원해서 조았어요 주차는 안되는거같지만 근처에서 댜중교통으로 오셔서 한잔 하시는분들도 많은 것 같더라구요,crawl
직접 다 볶아주시고 맛도 넘 맛있어요 !!! 반찬도 딱 깔끔하게 음식이랑 어울리는 것만 나와서 죠아요~~ 👍🏻👍🏻 다음엔 전골로 먹어볼게요😄,crawl
항상 사람이 많아보여서 궁금했는데 와봤어요 닭이 아주 부드럽고 소금. 간장양념이 특히 맛났어요!! 초계비빔국수도 달달하니 맛있었어요,crawl
"부막숯불닭갈비 처음 방문했는데 웨이팅있어서 맛집이구나 싶었어요 매장에 손님들 가득 차 있었고 캐치테이블이 있어서 대기하기 편했어오 진짜 숯불구이 종류별로 다 시켜봤는데 전부다 부드럽고 닭오마카세보다 맛있었어요ㅠㅠ 숯향나고ㅠ최고 그리고 초계비빔밥도 최고 그리고 사장님,직원들도 너무 친절해서 또 오고싶은 가게입니다 짱❤️❤️❤️❤️",crawl
부산대에서 닭갈비 1등 하는 집이에요 ~ 🤤✨ 어느덧 웨이팅맛집이 되어버려 아쉽지만 그래도 닭갈비 생각날때마다 꼭 찾아요 🤍,crawl
너무맛나게 즐긴 점심 여기강추드립니다,crawl
"부산대 신상 맛집 부막숯불닭갈비에서 숯불구이 먹고왔어요. 허벅갈비를 먹었는데, 숯불이 너무 좋아 소금구이,간장양념 너무 맛있었어요. 직원들도 너무친절했어요. 인테리어가 깨끗하고 좋아서 연인들 데이트하기도 좋아보였어요. 부막숯불닭갈비가 숯불닭구이는 최고에요!",crawl
부막닭갈비 항상 줄을 서서 의아했는데 직접와서 먹어보니 왜그런지 납득이 되네요…숯불구이는 닭 질이 엄청 좋아서 잡내도 안나고 맛이 그냥 간안해도 맛있습니다…닭갈비도 매콤하니 2인분시켰는데 3인분양으로 배터지게 먹었네요…꼭 먹으러가세요~,crawl
항상 사람들이 많이 기다리고 있어서 궁금했는데 드디어 방문 했어요! 너무 기대해서 실망할까봐 걱정했는데 너무 맛있습니다... 개인적으로 치킨보다 이렇게 구워먹는 닭을 더 좋아해서 너무 만족스러웠어요!! 닭요리 좋아하시면 추천합니다~!,crawl
전골 먹었는데 저희 테이블말고는 다들 닭갈비 아니면 구이 드시더라고요ㅋㅋ 운좋게 웨이팅 없이 먹었어요. 스탭분들 친절하시고 설명도 잘해주세요. 닭고기가 정말 부드럽고 잡내가 없었습니다. 그대신 간이 비교적 덜되어있는편이라 닭고기만 먹으면 좀 싱거워서 짜게 드시는 분들께는 추천하지 않습니다. 물론 반찬이랑 같이 먹으면 맛나요ㅎㅎ 육수가 제일 맛있었는데 전골만으로도 너무 배불러서 마무리 닭죽을 못먹은게 진짜 아쉬워요ㅠㅠ 다 좋았는데 고춧가루 들어간 찍어먹는 장이 너무 텁텁하고 새콤한 맛이 없어서 안먹게되더라고요. 그외엔 다 만족했습니다🥰,crawl
집이 근처라서 오픈때부터 지나가다가 매번 웨이팅이 있는 걸보고 여기는 얼마나 맛있길래 웨이팅이 매번있을까 궁금했던 곳이었는데 직접 먹어보닌깐 양도 푸짐하면서 가격대도 저렴한 편이라 가성비가 완전 좋더라고요~ 왜 손님들이 많이 찾아오시는지 바로 알았어요 둘이서 닭갈비 2인분 주문해서 먹었는데 와.. 닭갈비만 먹고 배부르기는 처음이었어요. 그래도 볶음밥은 먹어줘야죠~~ 그리고 김치계란찜은 다른 곳에서는 잘 볼 수 없는 메뉴이닌깐 드셔보시는거 추천드려요~~ 다음에는 다른메뉴를 먹으러 가봐야겠어요,crawl
부산대 북문 맛집 부막숯불닭갈비 자리에서 다 볶아주셔서 먹기도 편합니다 남자 사장님 진짜 친절하셔서 재방문 의사있읍니다 토요일 저녁이리 손님들 많았는데 맛도리니깐 다 이유가 있었어요ㅎㅎㅎ 친절함 덕분에 밥 잘먹고 왔어요 !!🥹🥹,crawl
직원분들도 너무 친절하고 음식이 너무맛있어요! 허벅 갈비 강추! 허벅 갈비 드시고 닭갈비는 애교로 또 드시길요! 초계국수에 허벅갈비 한 점 올려먹으니 꿀맛이네요,crawl
완전 맛있어요😁😁 사이드도 맛있고 고기도 신선해요! 앞으로 자주올것같습니다bb,crawl
친절하시고 구워먹는 닭구이 너무 맛있어요 !! 다음에도 또 방문할 것 같아용 💙,crawl
쫀득쫀득하고 감칠맛나요 넘 맛있어요!! 관절이 안 딱딱해요!! 여기 밑반찬이 진짜 잘 나옴 부추무침? 같은거 있는데 그거 넘 맛있음 닭고기가 은근 기름져서 같이 싸먹는 청양고추 나오는데 그거랑 같이 먹으면 밸런스 아주 좋음ㅋㅋㅋ,crawl
오늘은 철판닭갈비를 시켜봤습니다. 숯불갈비와 다른 느낌 사리와함께 볶음밥까지 너무 맛있네요. 미리 캐치테이블로 예약하고 오니 편리합니다~~,crawl
항상 생각나는맛 부막닭갈비는 너무 맛있습니다,crawl
여기는 리뷰를 안 쓸 수가 없네요.. 지금까지 닭갈비는 유** 만 떠올랐는데 부막에서 먹고 나니 비교를 하면 안되는 곳이었어요 철판닭갈비가 담백할 수 있구나를 알게되었고 밑반찬들도 맛없는게 없었어요 항상 지나갈때마다 대기가 많아서 맛집이구나만 생각했는데 찐맛집인 걸 오늘에서야 알아서 슬픕니다 ㅠㅠ 자주 올게요 진심 너무 맛있게 잘 먹고갑니다.,crawl
지난번 근처 다른 식당에서 밥을 먹었는데 여기 손님도 많고 웨이팅이 있더라구요 그래서 이번에 방문했습니다 아이가 있어 맵지 않은 허벅갈비 소금맛으로 먼저시켜 먹었습니다 양도 많고 부드럽고 맛있었어요 담백한 맛!! 닭갈비도 시켰어요 맵기는 신라면보다 조금 매운 정도 초4 아이도 먹어보겠다고 해서 도전했네요 간이 자극적이지 않고 맛있었어요^^,crawl
숯불닭갈비 간장 소금구이 다 넘 맛있어요~,crawl
맛있다고 소문나서 벼르고 벼르다 왔는데 기대이상으로 너무 맛있었어요 사실 양 적을까봐 이것저것 여러가지 시켰는데 진짜 가성비 좋고 양 많네요 다음에는 철판닭갈비 먹으러 한번더 올려고 합니다!,crawl
가게 분위기도 너무 좋고 음식도 너무 마싯어요🥹 이제 알게된 게 아쉽습니다 흑흑 ㅜㅜ,crawl
부산대 학생들 사이에 맛집이라고 소문 난 곳 방문했습니다. 닭목살 양념이 진짜 맛있어요! 소금구이도 소금에 찍어먹으니까 너무 맛있습니다,crawl
닭구이가 생각나면 늘 오는 곳!! 사장님도 엄청 친절하시고 고기고 맛있어요!,crawl
