text,source
양도 괜찮고 엄청 맛있었어요! 가족들도 적당히 매콤해서 든든하게 한 끼 잘 먹었다고 좋아하더라구요~~ 알바하시는 분이 엄청 친절하셔서 더 좋은 기분으로 식사한 것도 있네요 ㅎㅎ☺️☺️☺️ 런치메뉴 주문했는데 구성이 괜찮았어요. 다음번에 재방문하면 저녁시간에도 와보려고 합니다!,crawl
"맛있어용 점심엔 런치메뉴만 돼서 저녁에 부산대 온김에 우쭈쭈 먹었습니다! 여기는 오래된 맛집인데 저녁, 점심 다 너무 맛있어요! 직화가 적힌 메뉴는 익혀서 나오고 불맛이 들어간다더라구요! 그래서 직화로 했는데 정말 맛있었어요! 피자도 꿀이 뿌려져 나오는데 완전 달달하이 맛있고 셀프바도 잘되어있어서 좋아요! 쌈장마요 완전 제 스탈 ㅜㅜ 볶음밥도 종류가 3가지고 주문하면 볶아주십니다! 앞치마도 튄다고 미리 가저다 주셨어요!! 밤 10시쯤 갔는데도 먹을 수 있었어요! 잘먹었습니당",crawl
"런치직화쭈꾸미삼겹 먹었어용 맛있고 양많고 친절하고.. 아쉬운거.. 통로쪽 좌석 불편, 화장실 너무 작음",crawl
맛이 있습니다.ㅎ,crawl
"거의 반년만에 왔는데 다른 식당과는 달리 학생들이 꽉 들어차 있어 놀랐네요..요즘 경기침체로 음식점이 참 힘든 시기인데도,, 대단한 맛집인거 같네요. 가성비가 참 좋은 밥집인거 같아요. 파스타면도 올려주구, 볶음밥도 주니까 은근히 양이 많은거 같아요. 부산대상권 활성화를 위하여~",crawl
맛나게 잘 먹었어요,crawl
매번와도 너무 좋아요👍🤍,crawl
점심시간에는 런치메뉴만 가능하더라구요! 다른 메뉴로 시키는 건 다음에 먹어도 될 정도로 알찬 메뉴입니다! (제가 그랬어욯ㅎ) 파스타를 넣어 주시는데 쭈꾸미 양념이 버무리기 전에 그냥 먹어도 맛있었어요! 볶음밥도 셀픈줄 알았는데 하려니까 직원분이 도와주셨어요! 셀프바에 반찬도 다 있어서 좋아요 깻잎이랑 쌈장마요? 이 소스 맛돌이예요! 어릴 때 동생이랑 와보고 정말 오랜만에 왔는데 긴 시간동안 이 자리에 있다는 건 정말 가성비 좋고 맛집이라서 그런 거 아닐까용ㅋㅋ,crawl
오랜만에 우쭈쭈 방문했습니다. 런치 쭈꾸미 삼겹으로 둘이서 야무지게 먹고 왔네요. 부산대 상권이 예전만 못하다지만. 우쭈쭈는 여전합니다. 배가고파서 라면사리도 추가하고 맛있게 먹었습니다. 파스타 면이 생각보다 좋네요. 맛납니다. 볶음밥까지 뚝딱 했습니다. 잘먹었습니다!,crawl
제가 너무좋아하는 쭈꾸미가게입니다 우동사리 같이 드시면 더 맛있어요! 고르곤졸라피자도 꼭 같이시켜서 드세용,crawl
굿,crawl
