text,source
我 筆者는 먼저 동파육 건더기를 맛봤다. 동파육 보다는 차슈에 가까웠지만 그렇다고 차슈 만의 가벼운 달달함 보다는 무언가 아주 살짝의 중한 달달함이 느껴졌다. 해산물과 야채 건더기는 신선했으며 육수는 지금까지 먹어본 짬뽕의 육수와 달랐다. 밀면 육수 기초로 그 위해 짬뽕의 얼큰한 맛이 잘 어울러져 있는 맛이었다. 그리고 이러한 맛은 我 筆者가 맛본 짬뽕 육수 중 처음 맛 봤고 그 맛은 맛있었다. 즉 밀면 특유의 깊은 맛에다가 짬뽕의 얼큰한 맛 두 맛을 동시에 느낄 수 있었다는 것이다.,crawl
더운여름 오랜만에 부산밀면 먹으러왔습니다. 날씨 더운데 시원하게 먹기 딱입니다. 밀면집인데 밀면은 물론이거니와 짬뽕도 맛나요..ㅎㅎㅎㅎ오늘은 비빔밀면으로 시원하고 맛나게 잘 먹었습니다. ^^,crawl
소주한잔이랑 맛있게 잘먹었습니다^,crawl
ㅎ,crawl
부드러윤 고기+ 살얼음 동동 국물에 쫄깃 쫄깃한 밀면 맛있어요,crawl
가성비최고네용,crawl
밀면 전문점이지만 중식 메뉴도 함께 먹을 수 있어서 좋아요,crawl
깔끔한 맛 ㅎㅎ 올해 첫 밀면을 맛있게 먹었네요 ~~,crawl
시원하게 후루룩~,crawl
부산대학교 짬뽕 부산대밀면,crawl
"맛이 괜찮았어요 ! 밀면은 그저그렇고 짜장면은 맛있더라구요. 소,대 있어서 선택하기 좋아요",crawl
늘 맛있어용,crawl
시원한 홍합 가득 짬뽕!,crawl
와ㅡㅡㅡㅡ밀면집에 짬뽕이 맛있다니! 여기는 찐입니다,crawl
시원한 홍합짬뽕,crawl
밀면 집인데 짬뽕도 맛있어요,crawl
얼큰하고 구수한 짬뽕~ 고소하고 부드러운 동파육~,crawl
밀면도 맛나지만 겨울엔 짬뽕~,crawl
메뉴가 엄청 다양하네요 여긴 군만두 맛집이네요 맛있게 잘 먹었습니다,crawl
"이름은 부산밀면이지만,짬뽕을 주로 먹습니다. 너무 맵지 않고 야채도 많아서 편하게 먹을 수 있어요. 백뽕도 맛있습니다.",crawl
심풀한 밀면 맛집,crawl
"둘이서 물밀면, 군만두, 탕수육 먹었어요~! 물밀면 시원하고 간이 딱 맞아 아주 맛있었고, 군만두도 잘 튀겨져 바삭바삭하니 맛있게 먹었어요😋 탕수육 소 사이즈였는데도 고기가 많아 양이 푸짐했어요! 튀김옷은 얇은데 고기가 두꺼운 근본 탕수육👍 음식도 빠르게 나오는편이고 손님도 꽤나 많은 동네맛집이네요~ 추천합니당",crawl
구수하고 좋아요,crawl
맛도 좋고 가격도 좋아요,crawl
"12시쯤 갔는데 꽉차서 방에 앉았어요. 짜장면, 물밀면, 백짬뽕, 탕수육 시켰는데 10살 울아들이 짜장면 엄청 맛있다고 잘 먹네요. 탕수육 고기가 두툼하고 맛났어요.",crawl
여기 밀면보다 짜장면이 제입에 더 입에맞아요 집에서 한 짜장맛이라 좋아요,crawl
에어컨.빵빵하게 틀어주고 양 많고 맛있어용,crawl
밀면과 탕수육을 먹었습니다. 밀면이랑 탕수육 두 개가 사실 서로 잘 어울리는 것은 아니지만 밀면도 그냥 맛있고 탕수육도 특히 튀김옷은 얇은데 고기가 안에 꽉꽉 들어찬게 진짜 후회 하나 안하는 맛입니다. 맛있어요😊 밀면은 무난하게 맛있는 맛입니다! 가성비가 참 좋습니다😄 그래서 밀면이랑 탕수육 둘 다 먹어보길 추천!,crawl
아주 맛있게 잘먹었습니다 ㅎㅎ 군만두랑 밀면 조합이 아주 끝내줘요~~,crawl
굿굿,crawl
굿굿 맛있어요,crawl
맛나게 먹었습니다.,crawl
밀면이랑 짜장면 먹었는데 가격대비 맛있더라고요 다음엔 탕수육도 같이 먹어야겠어요 주류도 있어요^^,crawl
밀면 양 많고 저렴하게 먹을 수 있어 좋아요👍🏽,crawl
굿,crawl
맛있어요,crawl
굿,crawl
굿,crawl
좋아요,crawl
ㆍ,crawl
good,crawl
진짜 너무 맛있다. 가성비 맛집 . 탕수육 + 밀면 꼭 드세요..,crawl
밀면 양도 많고 너무 맛있어요👍,crawl
좋아요,crawl
굿,crawl
맛있게 잘 먹었습니다. 가성비도 훌륭합니다.,crawl
짬뽕 밀면이 맛있어요,crawl
아주 맛있게 먹고 갑니댱,crawl
굿굿ㅎㅎ,crawl
밀면은 부산밀면이 최고인듯,crawl
굿,crawl
"저녁시간 고기짬뽕대자와 짜장대자 식당깨끗하고 여자사장님 친절하심. 둘이서 짜장, 짬뽕을 시키니 앞접시2개 주시고 홍합껍질담을 그릇 1개 주셨는데 식탁에 따로 주시면서 이건 앞접시고 이건 홍합껍질 그릇이예요 하심. 보니까 홍합껍질그릇이 앞접시용보다 사용감이 있는 그릇이었음.근데 다른 식당가면 다들 쓰는 정도 그릇임. 이그릇을 이정도로 나눌 정도면 식당 위생 상태는 말안해도 뻔한거 아님? 위생 문제가 있다는 리뷰보고 고민하다 갔는데 식당깨끗, 여사장님 친잘, 주방에서 그릇 정리할때도 우당탕탕 하는 집들많은데 여긴 조용했고, 계산하러 가면서 본 주방은 바닥도 말라있었음(위생👍) 짜장도 맛있고 짬뽕도 맛있고 다른 리뷰들 맛 극찬 그대로임. 짬뽕위 계란 내가 먹었는데 담엔 계란 추가 시키고 탕수육도먹어봐야지😍",crawl
탕수육이 맛있어요 이제 학교 물가가 아님,crawl
좋아요,crawl
밀면 짬뽕 탕수육 시켜먹었어요 밀면 맛잇네요,crawl
굿,crawl
굿,crawl
자장면은 면이 좀 불어서 아쉬웠지만 탕수육이 진짜 맛있어요 전체적으로 양도 많고 저렴해서 가성비 최고에요,crawl
맛있어요,crawl
더운 여름 시원한 물밀면과 비빕밀면을 맛있게 먹었어요~,crawl
사장님 딸인지 알바생인지는 모르겠지만... 젊은 여자분.. 너무 불친절해요.... ㅜㅜㅜ 음식집은 친절함이 생명이라 생각하는데ㅠㅠ 온육수도 넘 달아서 별로였어요ㅠㅠ,crawl
탕수육이 맛있어요,crawl
부산은 밀면이죠 :),crawl
굳,crawl
굿,crawl
맛있어요.,crawl
양이 많아요 가격 올랐지만 가성비 굿,crawl
보통이며 주차가 많이 힘들어요,crawl
굿,crawl
굿,crawl
부대 갔다가 밀면 먹고 싶어 검색해서 찾아감. 평일 낮 12시 30분경 방문. 홀 다 차있고 절반정도는 아직 음식 안나온 상태 . 주방에 아주머니 한분. 홀에 젊은 남자 한명. 남자 주황색 행주로 상닦고 돈 받고 거스름돈 내주고 주방에 들어가 맨손으로 그릇에 편육과 계란 얹고 깨소금 뿌리고 그손을 다시 상닦던 행주에 닦고 서빙. 바닥에 쓰레기 줍고 햏주로 상 닦고 또 주방 들어가 계란이랑 음식 얹고 행주에 손 닦고 서빙. 만두도 너무 퍼져서 피가 물러져 먹다가 남김. 한마디 하려다가 꾹 참고 먹음. 먹고 혹시 탈나면 따지러 갈 예정. 대학교 앞이라 학생들 많던데 한번 가고는 안갈 듯.,crawl
굳굳,crawl
굿,crawl
자주 가는 곳인데 항상 맛있습니다!,crawl
굿,crawl
굿,crawl
굿,crawl
맛나요,crawl
굿,crawl
굿굿,crawl
좋아요,crawl
맛 깔끔하니 맛있습니다 메뉴도 다양해서 좋아요,crawl
굿,crawl
맛있어요!!!,crawl
밀면이랑 중국집메뉴를 같이 팔아서 다양하게 먹기좋고 가성비좋아요,crawl
맛있어요,crawl
아주 맛나요,crawl
가성비 좋아서 학생이 먹기 좋아요,crawl
맛나요♡,crawl
좋아요,crawl
굿,crawl
ㅎㅎ,crawl
좋아요,crawl
좋아요,crawl
밀면 맛집.,crawl
굿,crawl
밀면 먹으려고 지나가다 들른 오랜 노포입니다. 백짬뽕과 비빔밀면 대자로 시켰어요.. 백짬뽕 국물은 돼지뼈로 우린 아주 진한 국물맛이였어요. 땡초 추가함. 땡초와 콩나물로 자칫 느끼할수있는 국물이 시원하면서도 진하게 맛있었어요. 고명으로 동파육과 동파란이 푸짐하게 올라가 있었어요 밀면은 면의 탱글함이 조금 아쉬웠지만 비빔양념이 깔끔하면서도 깊은 맛으로 맛있었어요. 백짬뽕은 땡초추가 없이 먹으면 느끼하다 느끼실수도 있어요. 다음엔 해물짬뽕을 먹으러 가 봐야겠네요. 해물짬뽕 드시는 분이 많았거든요. 더보기,crawl
좋아요,crawl
맛있어요,crawl
진짜진짜 너무너무 맛있어요! 사장님도 너무너무 친절하세요,crawl
밀면집은 여기가 최고,crawl
가격저렴하고 양도 많고 맛있어요,crawl
밀면 집이라 생각해서 겨울에 안갈수도 있는데 백짬뽕밥 짱 맛있어요! 국물 대박♡,crawl
인간적으로 부산대 찐맛집 이라고 생각함. 탕수육 너무 맛있음 짬뽕도 미쳤음 자주 애용할게욥! 더보기,crawl
맛나요,crawl
굿,crawl
