text,source
엄마랑 동생이랑 브런치 먹는걸 좋아해서 부산대 근처 브런치집 많이 도장깨기 하는데 여긴 접근성도 좋구 가성비도 넘 좋아요!! 친절하시궁 특히 뇨끼 있어서 넘 죻아용~,crawl
집근처에 일찍 오픈하는 브런치집이 있어서 좋아요~ 샥슈카가 맛있어서 남편에게 맛보여주려고 데려왔는데 초등아이가 매운데도 곧잘 먹네요^^ 맛있어서 자주 올께요,crawl
음식도 맛있고 브런치 시간에는 음료도 같이줘서 가성비도 좋아요! 가게 인테리어도 예뻐요ㅎㅎ,crawl
휴가로 온 부산여행에 너무 열심히 돌아다닌것 같아서 여유롭게 브런치 카페 왔습니다. 남 들 일할때 먹는 브런치 너무 행복해서 꿈같아요. 예쁘고 맛있고 가게가 너무 여유로운 느낌이라 좋습니다 ! 매장도 생각보다 넓고 좌석도 편해요! 감성과 편함 둘다 잡은 매장이라 좋았습니다. 좋은 날에 좋은 사람과 숲에서 좋은 시간 보낼 수 있어서 즐거웠습니다☺️,crawl
올때마다 설레이는 브런치카페 숲 다 맛있고 분위기 좋고 편안한 분위기에 소모임 하기에도 좋아요,crawl
너무너무 멋있어요!! 에그인헬이랑 바질뇨끼 진짜ㅜ추천해요 또오고싶어요⭐️⭐️⭐️⭐️⭐️,crawl
"실내에 2인, 4인, 최대 6인 인원수 테이블이랑 야외에도 2인, 4인테이블이 두 개 있어용 쾌적하고 분위기가 좋아용 파스타 완전 맛있어요! 맛집입니당~",crawl
음식맛있고 브런치 즐기기 딱 좋아요. 주차는 살짝 힘드네요ㅎ그럼에도 좋아하는 메뉴가 있어 종종 가네요^^,crawl
친한지인과 네이버로 찾아서 방문 주차가 힘든거 빼곤 깔끔한 매장과 적당한 가격 맘에 듬,crawl
기본 브런치랑 에그인헬 먹었는데 정말 맛있어요…,crawl
집 근처에 이렇게 맛있는 브런치집이 있다니 행복합니다. 배부르게 잘 먹고 갑니당. 샌드위치도 맛있을 것 같아요. 감바스 맛도리..👍,crawl
너무너무 맛있고 이쁜 곳이예요!!!넘 좋은곳,crawl
베스트 메뉴인 샥슈카 주문하고 감바스샐러드 파스타 주문했습니다!! 사장님 음식솜씨가 최고네요❤️ 맛집인정!!!! 다음에도 친구랑 여기서 데이트 할께요😆,crawl
너무 맛있게 먹다가 리뷰 생각나서 급히 사진 찍었어요! 너무 맛있고 좋아유❤️😆👍,crawl
동네에 이렇게 멋진 브런치가게가 있는줄 몰랐는데 분위기도 좋고 음식도 맛있어용,crawl
"공간이 감각적이고 가성비 좋으면서도 맛있는 메뉴들이 많아요:) 소스를 고를 수 있는것도, 브런치 메뉴 선택하면 음료늘 주시는것도 좋았구요! 건강하게 맛있는 맛입니당",crawl
