text,source
너무 맛있게 잘먹었어요ㅎㅎㅎ 소스통이 너무 앙증맞고 이것저것 골라서 뿌려먹으니까 더 재미있었습니다 :),crawl
한번쯤 브런치로 먹을만해요!! 지하철역이랑 가깝고 음식도 빨리 나오고 딱 보이는 그 맛이라 맛있어용 ㅎㅎ 사장님도 친절하세요!!,crawl
분위기도 좋고 사진찍기도 좋은것같아요 양도 많고 맛있어서 다시 올것같습니다 ㅎㅎ 양을 잘몰랐는데 많으실것같다고 말씀해주셔서 알맞게 먹었네요 사장님도 친절하십니다!!😁😁,crawl
"부산대 근처 브런치 카페 중에서 분위기와 맛을 모두 잡은 곳이 바로 블루그로토입니다. 내부는 깔끔하면서도 따뜻한 분위기로 꾸며져 있어 친구, 연인과 함께 오기 좋고 사진 찍기에도 좋은 공간이에요. 브런치 메뉴 구성이 알차고 플레이팅이 세련되어 나와 눈으로 보기에도 즐겁습니다. 샐러드, 파스타, 베이글, 브런치 플레이트 등 다양한 메뉴를 고를 수 있고, 양도 넉넉해 식사 대용으로 충분합니다. 디저트와 음료도 잘 갖춰져 있어서 브런치 후에 티타임까지 이어가기 좋습니다. 특히 신선한 재료와 균형 잡힌 맛이 느껴져 만족스러웠습니다. 위치는 부산대역 근처라 찾아가기 쉽고, 대중교통 접근성도 편리합니다. 다만 주말이나 점심 시간대에는 손님이 많아 미리 예약하거나 방문 시간을 조율하는 게 좋습니다. 직원분들도 친절",crawl
브런치카페 검색해서 왔는데 구성도 좋고 맛있어요 인테리어도 멋져요 아이를 위한 소소한 아이템도 준비되어있어 너무 좋아요,crawl
가족들과 브런치 먹으려고 왔어요~양도 넉넉하고 맛도 훌륭해요! 중학생 초등학생 여자아이들도 좋아하네요! 커피도 딱 내취향입니다.,crawl
저번주에 이어 이번주에도 방문했어요 ㅎㅎ 가성비 브런치 맛집은 여기만한 곳이 없네요~ 인테리어도 너무 이쁘고 아침일찍와서 커피한잔하고 브런치하며 대화나누기 너무 좋은 공간인 것 같아요 집 근처에 있어서 너무 좋아요 ㅎㅎ!!,crawl
맛있고 무엇보다 아기의자 있어서 편해요! ㅎㅎㅎ 친절하세요!!,crawl
가성비도 좋고 커피도 맛있고 좋아용🥰 잘 이야기하다 갑니다~~,crawl
주말 브런치로 팬케이크 먹었는데 정말 부드럽고 촉촉했어요🥞 자몽에이드는 상큼하고 커피는 진해서 조합이 완벽✨ 아늑한 분위기에서 여유로운 브런치 즐기기 딱이었어요😊,crawl
김치볶음밥 너무 맛있게 먹었습니다~ 후식으로 프렌치토스트도 먹었는데 가격도 괜찮고 완전 만족합니다!!👍👍,crawl
아기랑 같이와도 줄 음식이 많아서 좋아요 브런치 땡길때 종종 오는데 올때마다 만족입니다^^,crawl
부산대 근처에 이렇게 좋은 브런치집이 있는지 몰랐어요. 야채랑 빵 신선하고 맛있어요.,crawl
김치볶음밥이랑 세번째 브런치 시켰는데 엄청 배부르게 맛있게 잘 먹었어요! 아아도 정말 맛있었습니다! 재방문 각입니다 :),crawl
"채소도 너무 신선하고, 음식 다 너무 맛있어요! 차분한 분위기라 아침에 와서 차한잔 하기 좋아요!! 소스도 종류별로 나와서 취향 따라 먹기 좋네요",crawl
배달로 시켜먹다가 오랜만에 왔는데 분위기가 그대로라서 좋습니다. 늘 잘 먹고 있습니다!,crawl
대기없이 좋은 자리 안내해주셔서 감사했어요. 음식도 저렴하고 너무 맛있어요!! 그리고 친절하세요^^ 감사합니다!,crawl
오늘왔더니 왠일로 한가하네요 사장님한텐 미안하지만 한가한 이런분위기도 완전 내취향 !! 세번째 브런치 양이 많고 가게분위기와 넘 딱 맞아요~~ 여기 좋다~~,crawl
재료가 신선해서 음식이 모두 건강한 느낌이고 맛있습니다. 분위기도 아늑하구요. 브런치 먹으러 가주 오고 싶어요 !,crawl
"팬케이크가 아기궁둥이같이 폭신해요,,😘 소시지도 너무 맛있었오요 단호박샐러드 짱임",crawl
오랜만에 왔는데 역시나 너무 맛있어요~^^ 사장님도 너무 친절하구요~♡,crawl
최애 브런치에요! 팬케이크만 15장 쌓아두고 먹고 싶지만 참았습니다. 폭신폭신 보들보들하고 최곱니다 평화로운 오전 혹은 오후를 즐기고 싶다면 추천합니다!,crawl
오랜만에 브런치 먹고 싶어서 방문했어요~ 너무 맛있어요!! 분위기도 좋아요,crawl
임신때오고 아기가 분유먹을때 오구 이제는 같이 앉아서 겸상해용ㅋㅋ가성비좋고 친절하시고 맛있어용^^,crawl
분위기 좋고 가성비 최고의 브런치카페입니다♡ 또 방문하고 싶어요♡ 음식도 맛나요,crawl
푸짐하고 맛있어요,crawl
부산대에 브런치 맛난집으로 소문이 나서 오픈런해써용~~🥰 몇번 왓던곳인데 내부 공간도 이쁘고 음식도 다양해서 오늘은 이것저것 쫌 시켜써요^~ 배불러도 자꾸 손이가네요^^ 직원들도 친절하시고 브런치 먹으러 자주 방문할것같아요😎,crawl
브런치 메뉴가 다양하고~ 맛도 좋아요! 김치볶음밥이 있어서 한식파도 좋네요^^,crawl
배고파서 급하게 찾아서 들어왔는데 가격과 맛 모두 만족스럽네요^^ 내부도 아늑하고 좋아요~♡,crawl
처음 방문해 봤는데 맛있어요😍 세트로 시켰는데 가격에 비해 구성이 알차요😗,crawl
분위기도좋고 편안하고 아늑해서 자주올거같아요😋,crawl
너무 맛있어요! 최고입니다 ~~~,crawl
음식 비쥬얼이 너무 좋구 인테리어도 느낌있어용,crawl
사장님도 친절하시고 음식도 너무 맛있고 커피도 괜찮아요 ㅎㅎㅎ 오래 전 방문 했었는데 그대로네요 ! 기분 좋게 브런치 즐기고 갑니다♡,crawl
