text,source
"빅대디포장마차 부산대점은 부산대 앞에서 가볍게 한잔하기 좋은 포차예요. 메뉴가 다양하고 안주가 전반적으로 가성비가 좋아요. 특히 꼬치구이와 해물파전이 맛있고, 술 종류도 다양해서 친구들과 모임하기 딱 좋았습니다. 가게 분위기가 활기차고 직원분들도 친절해서 늦은 시간까지 편하게 놀다 왔습니다.”",crawl
새벽에 소소하게 한잔하러 가끔 옵니다 포장마차 컨셉으로 칸막이가 나뉘어져 있어서 분위기가 좋습니다 전기통닭이 가장 기본적인 요리안주인데 잘 구워져서 자르기 쉽고 고소하고 맛있어요!! 맥주와 함께 먹기 좋습니다 😍☺️,crawl
안주 다 맛있어요 .ᐟ.ᐟ.ᐟ.ᐟ 따끈한 안주부터 시원한 안주까지 입맛대로 있어서 좋습니더 ㅎㅎㅎ 밖에서 보면 시끄러울 것 같지만 8명에서 와도 분리 형식이라 얘기 잘들려서 좋아요 밖이 여름인지 까먹을만큼 엄청 시원합니다 😎,crawl
1차하고 더위에 지쳐 시원 한곳 찾다가 쓰러질쯤 지나가다가 발밑으로 스치는 냉기에 이끌려 들어왔는데 여긴 완전 가성비 좋고 맥주도 넘 시원하니 맛나요 옛날통닭 이거 기름기 없이 껍집 얄싹하니 넘 넘 맛나잖애요~ 사장님께 넘 죄송할정도 저렴하고 시원하고 많이 먹고 가야하는데 2차라서... 꼭 들려주세요~여기 분위기 음악 안주 다!!다!!!!!!!! 만족이네요~,crawl
옆테이블에 방해받지 않고 신청곡도 가능하구 가성비 미쳤어용 ㅜㅜ 치킨 꼬소하고 맛남😩😘,crawl
부산대에서 술집 찾다가 부산대 친구들한테 추천받아 빅대디로 왔습니다! 일단 안주 가성비가 말이 안 되고 맛도 최고입니다. 직원분들도 너무 친절하시고 부산대에서 재밌게 놀다 갑니다~,crawl
어딜가지하다가 오늘 처음보는 매장이 생겨있어서 뭐지싶어 봤는데 옛날 포장마차처럼 되어있고 칸이 다 있어서 너무 좋아요! 안주도 가성비 좋은데 맛까지 있어서 술마시면서 수다떨기 좋습니당 다음에 또 올 거 같아용💗,crawl
역시 여긴 또오고싶은 집이네요 그래서 또왔어요 맛있고 저렴하고 붸리굿굿,crawl
너무 맛있습니다 분위기도 포장마차 분위기라 낭만있고 조명도 잘들어와서 좋은거 같습니다 다음에는 단체로 데리고와서 더 많이 시켜먹도록 하겠습니다!! 단체술집 친구끼리 술집 너무 괜찮은거같아요!!,crawl
몇주전에 처음 와봤는데 너무 좋아서 친구들이랑 또 왔습니다!! 역시나 직원분들 친절하시고 음식도 너무 맛있습니다 ㅎㅎ 부산대 오면 또 오겠습니다,crawl
친구들이랑 재밌게 놀러오기 좋아요!! 맛있어용 ㅎㅇㅎ,crawl
분위기 진짜 포장마차 온 것같고 좋네요 맛도 음악도 굿굿!!!,crawl
분위기가 좋아보여서 들어왔는데 생각했던거보다 더 좋았어요! 안주도 다양하고 맛있어요 직원님도 친절하시구요~ 다음번에도 또 이용할께요♡,crawl
친구들과 술 한잔 하면서 이야기 하기 좋아요 포장마차 컨셉도 너무 감성 좋아요!!!☺️,crawl
1차 2차 구분없이 오기도 좋구 가격도 저렴해서 가성비가 넘 좋읍니다 🔥🔥🔥 부산대 올때 종종 들릴거같아요 엠지들이 좋아할것같은 핫한 술집!,crawl
분위기 좋은 포차에서 따끈한 오뎅을 먹으니 술맛이 배가되네요. 간단히 즐기기 딱 좋아요!,crawl
너무너뮤 맛있어용 ㅠㅠㅠㅠ 가성비 갑 시원한 포장마차 느낌👍🏻🥹🥹 직원분 친절하세옹,crawl
요새 포장마차 없어지는 추세여서 아쉬웠는데 그 아쉬움을 충분히 달래줄 가성비 술집이 있었네요! 요즘 물가에 음식은 물론 술까지 저렴해서 너무 잘 먹고 갔습니다! 저렴하다고 음식 퀄리티가 낮은것도 아니구요!! 사장님 직원분들 너무너무 친절하세요!,crawl
내 최애 술집 레트로감성 너무 좋아욘 닭죽도 진짜 최애안주ㅠㅠㅠ 너무 좋아요,crawl
지나가다 포차 분위기에 이끌려 들어왔어요! 안주도 다양하고 너무 좋아요!😘😘,crawl
넘 맛있고 포장마차 분위기가 좋아요!!!!ㅠㅠ 신청곡도 부탁드리니 흔쾌히 받아주시고 매장 분위기가 더 업되서 애들이랑 신나게 놀고 먹다 왔어요!!! 직원분들이 너무너무너무 친절하셨어요ㅠ 공간이 분리되어 있어서 데이트하기에도 좋을 거 같아요! 자주 놀러갈게요!,crawl
안주도 저렴저렴하고 맛있어요 👍👍👍 자주 찾는 이유가 있어요!!! 10명씩 와도 자리가 넓어서 불편함 없이 좋아요 😊 직원분들도 친절하셔서 좋습니다!,crawl
빅대디포장마차 부산대점 가게 인테리어도 참신하고 음식도 정말 맛있어요~!! 직원분들도 친절하시고 친구들과 오기 좋은곳 같습니다~!!,crawl
"너무 맛있고 분위기도 좋아요!!! 가족, 친구 모임 등등 누구랑와도 즐겁게 마시고 갈 수 있는 곳 이에요!",crawl
분위기도 너무 좋고 사장님도 너무 친절하셔서 기분 좋게 술 먹고 치킨도 너무 가성비 좋게 맛있게 먹고 맥주도 저렴해서 덕분에 친구들이랑 재밌게 놀다가 갑니다 다음에 재방문 무조건 할 거 같아요!!!,crawl
친구들끼리 오기에 너무 좋아요^^ 술 종류도 다양해서 좋았고 대학교 친구들끼리 오기가 너무 편하고 좋은 것 같아요. 편한 마음으로 2차 장소로 좋아욤,crawl
친구랑 둘이서 옛날 통닭 한마리씩 시켜서 먹었는데 진짜 바삭하고 속은 부드러워서 너무 맛있게 먹었습니당 500mL 잔에 나오는 소맥도 같이 시켜서 먹었는데 너무 잘 어울리네용 담에 친구랑 치맥땡기러 오세용,crawl
기본안주는 그냥 과자? 나오고 불닭이랑 치킨 먼저 시켰는데 불닭 양 되게 많구 맛있었어요!!ㅠㅠ 무엇보다 사장님이 되게 친절하세요 필요한 거 없는지 봐주시구 귀여우세욤ㅎㅎ 치킨도 이제 막 튀겨나온 것 같아서 좋았어요 I like it,crawl
"지인덕에 알게된집인데, 기대없이 갔다가 1만원도 안되는 안주들의 퀄리티가 너무 좋아서 놀랬습니다 이외에도 많은 메뉴들이 있어서 좋았고 입맛에 맞춰서 먹을수있어서 좋았습니다 부산대 앞쪽가면 꼭 또 들릴게요!",crawl
great place to have fun with your friends. totally recommend it!!!,crawl
평소에도 자주 오는 곳인데 진짜 자주 쓰지만 사장님이 너무 친절하시고 맛있어서 또 와요❤️❤️,crawl
"저 치킨 5,900원 입니다~ 직원분들 친절하세요! 실내인데 포차 분위기 좋네요 ㅎㅎㅎ 가성비 분위기 좋은 술집 추천입니다^^",crawl
두번째 방문인데 역시 맛있네요!😋 처음 왔을때 친절하셨던 직원분? 사장님? 또다시 만나서 너무 반가워써요!!!! 그리고 저를 기억해주셔서 또한번 놀라벌임 히히 기억해주는거 넘 죠아요~~~>.< 써비스도 감사합니댜 ㅎㅎㅎ 저 찐F인데 감동받아서 눙물이...❤️ 오늘두 잘 먹고 가요오🫡🧡,crawl
닭발 시켰는데 안에 떡도 들어가있고 너무 맛있네용!! 매운 거 좋아하는 맵찔인데 딱 맛있게 매워요!! 맛있어서 밥도 시켜서 먹는 중입니다 ㅌㅋ ! 학교 앞에 또 자주 찾을 술집이 생겨서 좋네요!! 다들 일루 와여!!,crawl
여기 너무 좋아요 잘놀다갑니다,crawl
분위기도 좋고 메뉴도 다 맛있어요! 단골 될게요!,crawl
계속 방문하다가 처음 리뷰 써봅니다🥰 끝내주는 가성비와 친절하신 직원분들 덕에 매번 만족하고 갑니다 근처 방문하셨다가 어디 갈지 고민 중인 분들께 무조건 추천🤍🩷🤍🩷,crawl
갬성이 좋아요 안주도 맛있고 저렴하고 옛날생각나네요~~ 다음에 또 올께요! 추천,crawl
맛있고 직원분친절하고 더말하기입아프네요 걍오시면압니더 추천 일따봉,crawl
친구들과 방문했는데 안주도 다양하고 다 맛있어서 잘 먹고 잘 놀다가요!! 다음에도 방문할게요~~👍,crawl
넘 맛있어요 😍 분위기도 특이하고 좋아요! 포장마차에서 먹는 느낌입니다😆 직원분들 친절하십니다💕,crawl
친구들이랑 왔는데 직원분들 너무 친절하시고 안주도 너무 맛있어요!! 잘 먹었습니당!,crawl
안주들이 맛있어서 먹고 나면 또 오고 싶어지는 집,crawl
안주 많이 시켰는데도 가격이 저렴해서 얼마 안나왔어요. 편하게 얘기하면서 대화하기도 좋고 포장마차 처럼 돼있어서 분위기 좋게 마실 수 있어요,crawl
