text,source
다양하게 맛 볼수 있는 최고의 안주,crawl
"음식 취향 맞는 지인과 함께 같이 방문하게 된 빼어날수연어, 소자 보다는 대자가 나을것 같아서 주문했는데 대자 시키길 잘한것 같더라고요 양도 많고 맛있고 서비스도 좋고 사이드메뉴인 탕들도 정말 싼가격으로 주문하고 다음에 또 방문하고 싶어요",crawl
"허겁지겁 먹는 바람에 사진은 못 남겼지만 진짜 너무 맛있어요. 가성비도 최고고, 다만 사장님 혼자 홀 주문에 주방도 같이 하셔서 음식이 천천히 나오는거 빼고는 다 좋아요. 그래도 사장님 손이 빠르셔서 오래 안 기다렸어요 😀",crawl
양이 푸짐하규 신선한 회로 준비해주셔서 비린내가 전혀 없었어요😀사장님께서 레몬 간장에 뿌려서 먹는게 더 좋다고 친절히 알려주셨어요ㅎㅎ 맛있게 잘 먹었습니다👍🏻,crawl
모처럼 연어가 먹고 싶어서 찾았는데 가성비 대박이에요..🤍 아니 이게 어떻게 연어 소자냐구요!! 사장님 남는게 있을지 의문스러울 정도로 아낌없이 내어 주시는 느낌이라 든든하게 잘 먹고 나왔어요. 그리고 육회김밥 꼭 주문하셨으면 좋겠어요!!! 안에 있는 재료도 그렇고 육회 간도 딱 맞아서 합이 너무 좋았습니당! 다음에 또 먹으러 갈게요🫶🏻,crawl
내돈내산!!! 연어 먹고 싶어 급 검색후 갔는데 너무 만족합니다 나가사키 짬뽕 서비스도 나오고~ 서비스라고 맛없지 않고 칼칼한 시원한 끝내주는 맛입니다~~ 강추!! 가보세요 가성비도 좋고 맛좋아요,crawl
"회,육사시미 신선하고 맛있어요.깔끔해요.사진에 없는 연어머리구이도 맛있음.",crawl
모듬사시미 너~ 무 맛있어요 연어도 맛나고 육사시미도 쫀득하고 신선하네요 육회김밥은 식사겸 먹기 좋아요 짱!!!,crawl
오랜만에 와이프랑 데이트했어요 음식이 너무 맛있어요 덕분에 잘먹고왔습니다. 감사합니다,crawl
너무 신선하고 푸짐해요! 서비스탕까지 주시다니 배가 어찌나 부르던지.. 재료를 아끼지 않으시고 친절하셔요~ 같이 간 친구도 엄청 행복해했어요^^ 번창하세요~,crawl
두종류 주문 했는데 둘다 넘 맛있어요. 다시 오고 싶은 곳~~~~^^,crawl
빼어날수 언어 집 신선하고 깔끔하고 사이드 메뉴가 저렴한 사이드 남자랑 데이트 코스 가 제일 좋은 집~~~~^^,crawl
연어 퀄리티가 너무좋아요~ 육회김밥도 필수주문!!,crawl
와 짱이에요.. 완전 제 스타일 연어!! 잘 먹었습니다!,crawl
지나가다가 우연히 들렀는데 다 맛있었어요! 기본 반찬도 맛있고 하이볼도 맛있고 특히 연어랑 육사시미가 부드럽고 고소해서 너무 맛있게 잘 먹었습니다!! 야외 테이블도 있어서 지금 날씨에 먹기 딱 좋아요!!,crawl
너무 가성비 좋고 맛나요 추천해요,crawl
빼어날수연어 부산대점에서 너무나 사랑하는 연어 사시미에 에이드 한잔 드링킹!! 식감 살아있는 두툼한 사시미는 감동이네요!! 육회김밥도 얼큰매운탕도 폭풍흡입한🤤 분위기도 너무나 내스타일!!,crawl
"부산대 앞에 갈만한 횟집이 많이 없는데 학생들도 부담없이 먹기 좋은 가성비 좋은 횟집이 생겨서 너무 좋네요~!~! 사실 횟집보다는 술집, 이자카야 느낌인데 또 신상이라 내부도 쾌적하고 아주 깔끔하게 잘 먹다 갑니당 사장님도 친절하시고 꼬막 서비스도 받았스요 >.< 나가사끼짬뽕탕 강추 !!!!!!!",crawl
회가 너무신선하고 여러가지먹을수있어서 넘좋아요 리뷰이벤트로 자몽하이볼 추천해주셨는데 너무맛있었네요.감사합니다♡,crawl
고르고싶은 키워드가 너무 많은 부산대맛집 부산대연어! 부대근처에 연어맛집이 있을줄이야ㅠ 그리 오래 살았지만 첨 알았습니다. 활어 육회 한우까지 신선함은 물론이고 입에서 사르르 . 그리고 쫄깃함까지 최고에요! 사장님도 직원도 진짜 친절하셔요♥,crawl
부산대에서 술 한 잔 하려고 방문한 이자카야! 여기 연어 육사시미 반반조합 최고예요! 신선 탱탱한 연어에 쫄깃한 육사시미ㅠㅠ 기본 안주도 다양하고 사이드로 주문한 꼬막메밀도 맛있었습니다. 그리고 자몽 하이볼과 패션후르츠 하이볼에 진짜 과육이 들어가서 좋았어요. 퀄리티 좋은 곳이라 연어 좋아하시는 분들께 방문 추천드립니다~,crawl
나오자마자 우와~육회도 맛있고 연어 좋아하는 아이들이 초밥용 밥이랑 금방 다 먹었어요 술마시기도 좋고 연어가 있어 아이들과 방문하기도 좋으네요^^,crawl
부산대 역대급 연어 맛집이에요!!! 연어 넘 맛있구 육사시미도 최고임ㅠㅠ 꼭 모듬사시미 드세요 구성도 넘 좋고 소짜인데도 양도 혜자네요ㅎㅎ 문어가라아게랑 꼬막메밀도 강추!! 부산대 연어집중에 젤 맛있는 것 같아요,crawl
셀프초밥 시켜서 얹어먹음 꿀맛입니다bb 기본으로 계란후라이랑 연두부도 회 먹기 전 워밍업 술안주로 좋아용 담에 또 와서 육회김밥이랑 나가사끼짬뽕 먹고싶네요,crawl
부산대 근처에서 이렇개 맛있는 회를 먹을수 있다니 !! 신선하기도 하고 가성비도 너뮤 좋아서 부산대쪽 방문할일 있으면 한번 더 올고 같아요 ! 부선대 핫플로 추천추천,crawl
집앞에 이런맛집이 있었다니 너무 좋아요~블로그보고 찾아왔는데 재료도 너무신선하고 맛있게 잘먹었습니다 하이볼도 맛있고 나가사끼 짬뽕은 꼭 드셔보세요~*^^* 모듬사시미 회가 너무 신선해서 회가 팔딱거리는것까지 너무 좋아요~♡,crawl
연어 활어 세트랑 나가사끼 짬뽕탕 먹었어요! 회는 신선하고 짬뽕탕은 국물이 맛있었네요👍 기념일 잘 보내고 왔습니다ㅎㅎ,crawl
연말 가족모임으로 찾아보다가 괜찮아보여서 예약하고 방문했는데 맛부터 서비스까지 모두 만족했습니당 !,crawl
부산대에서 연어와 나가사키짬뽕의 조화를 찾는다면 여기로 오세용ㅋㅋ 기본메뉴도 다양한편이며 메인메뉴도 맛있고 간도 삼삼하니 술술 들어가요~ 담번엔 육회 도전해보려 합니다 유일한 단점은 야외에 위치한 공용화장실일뿐!,crawl
연어가 너무 땡겨서 방문했는데 연어도 육사시미도 너무 신선하고 쫄깃했어요 비린내나 잡내 하나 없이 너무 맛있었습니다ㅠㅠ 패션후르츠 하이볼도 있길래 시켜봤는데 진짜 달달상큼해서 여름에 딱이었어요🥹 처음에 나오는 밑반찬도 너무 알차고 맛있었습니다💕💕,crawl
또왔는데 넘맛있어용,crawl
근처 지나가면서 꼭 한번은 가봐야지 했는데 지금에서야 온 게 후회될 정도로 너무 맛있었어요~~ 2차로 와서 한 메뉴밖에 못 먹었디만 다음엔 다른 메뉴도 먹어보고 싶네요~~^^ 사장님께서도 엄청 친절하셨답니다~~ 추천 맛집이예요~~^^,crawl
"부산대 근처에서 저녁 먹고 쇼핑하고 놀다가 술한잔할하려구 검색하다가 비줠보고 방문 했는데 모듬회 비주얼 너무 예쁘네요 모듬회 구성도 너무 좋고 회랑연어 너무 신선하고 나가사끼 세트랑 같이 시켰는데, 나가사키짬뽕 담백하고 국물이 시원하면서 면발도 쫄깃쫄깃 넘 맛있었어요 비만 오지 않았으면 야외에서 야장느낌으로 넘 좋았을 것 같아요",crawl
연어사시미 마싯서용 나가사키짬뽕 가성비가 넘 조은거가타요 기본 안주도 좋고 리뷰이벤트도 있어서 조아요,crawl
늦은 시간에 연어 파는 데 찾다가 발견해서 와봤는데 둘이서 사시미(소)에 셀프초밥 먹으니 양이 딱 맞아요! 연어는 부드럽고 육사시미는 쫄깃쫄깃 씹는 맛이 좋아서 같이 먹기 좋았어요😊 비오는 날 운치 있는 분위기에 음식도 맛있어서 행복한 하루 되었습니다🥰 기본으로 나오는 찬들도 맛있어서 전체적으로 만족스러운 시간이었어요!! 무엇보다도 사장님이 정말 정말 친절하셔서 기분 좋게 먹고 왔습니다😆 또 연어 생각나면 방문할게요! 잘먹었습니다😊😊,crawl
회 생각나서 두번째 방문이에용! 깔끔하구 연어랑 회 먹고 싶으면 무조건 와용! ㅎㅎ 매운탕도 맛있어서 무조건 시켜요! 신선한 회 먹구싶으면 요기 오고싶어용!,crawl
너무 맛나고 맛있어요 쟈방분의사 많아요!,crawl
