text,source
깔끔합니다 건강하고 간이 세지않은데 맛있습니당 또 와야겠어요,crawl
건강해지는 맛입니다아👍🏻 밥 먹다보니 머리카락도 나오네요 위생에 신경을 좀 쓰셔야 할 것 같아요 리뷰이벤트로 음료주시는거 말구요,crawl
이곳에 자주 오는 단골이예요. 올때마다 대접받는 느낌입니다.오늘도 맛있는 비빔밥 잘 먹고갑니다.,crawl
언제나 맛있게 잘 먹습니다. 간이 세지 않고 건강한 맛이라 좋아요.,crawl
너무맛있어요ㅎ 정갈하고 신선하고 한의원와서 들럿는데 진료없어도 마구마구 드를듯요 잘먹을게요,crawl
1인상으로 깔끔하고 맛도 괜찮아요,crawl
부모님과 함께 가기 좋은 것 같아요 음식도 깔끔하고 맛있게 먹었습니다,crawl
비빔밥 재료 신선하고 넓고 전문점 처럼 맛도 깔끔하고 맛있어요 육전도 맛있네요,crawl
간도 딱 맞고 맛있어요! 부모님 데리고 가기 좋아요~,crawl
"여자친구랑 한식 먹고싶어서 왔는데, 메뉴 구성도 너무 알차고 분위기도 너무 좋아서 너무 맛있게 먹었습니다~ 사장님이 친절하게 메뉴 설명도 해주셔서 더욱 맛있게 먹을 수 있었던 것 같네요 ㅎㅎ 감사드립니다!",crawl
아기랑 밥먹으러 왔어요^^ 밖에 지하철도 보여서 잘 앉아있네요! 건강식 야채도 듬뿍 맛있습니다~ 다음엔 부모님 모시구 와야겠어요^^,crawl
전복비비밥이랑 소고기비비밥 맛있게 먹었습니다 매장 깔끔하고 좋네요,crawl
친절하시고 음식도 다 정갈하고 맛있어요! 재재재재방문하고 싶은 곳,crawl
음식도 깔끔하게나오고 기본찬도 맛있네요 ㅎㅎ 마도 주시고 너무너무맛있게 잘먹었습니다,crawl
오랜만에 왔는데 변함없이 건강하고 맛있어요. 아기랑 먹기 좋아요,crawl
부산대 근처에 이런 맛집이 있다니..너무 좋아요 ㅎㅎ 반찬도 많이 나오고 음식도 맛있어요!!,crawl
이렇게나 건강하고 맛있는 비빔밥 한상이라니~~자주자주 오고싶은 곳 찾았어용!!ㅎㅎ남녀노소 다 좋아할 것 같구 부모님 모시고 오면 너무 좋을 것 같아요~참기름도 직접 짜서 쓰신다고 하시고 조미료도 안 쓰고 수돗물도 안 쓰신다던데…건강함 끝판왕이네요🩷무엇보다 반찬이 다 맛있고 먹으면서 고개 끄덕끄덕했네요!!ㅎㅎ,crawl
음식도 정갈하고 가게 분위기도 차분하고 좋아요! 오랜만에 제대로 밥 먹은 기분이에요 ㅎㅎ,crawl
깔끔하고 정갈한 맛이나서 너무 좋아요~ 건강한맛 먹고싶을때 자주이용합니다!!!,crawl
잘먹었습니다 음식이 깔끔하고 건강식이라 좋아욧,crawl
음식 신선하고 정갈 합니다 부모님과 아이들과 오기 좋아요 잘먹었습니다 -^^,crawl
삼세랑 맛집입니다. 참기름도 직접 짜서 쓰시고 조미료가 천연조미료입니다. 물은 통도사 백년약수로 음식을 만드십니다 최고입니다~~^^,crawl
깔끔하고 맛있어요 주문후 음식이 빨리 나와서 좋아요 맛있게 잘 먹었습니다,crawl
깔끔하게 나와요 식후 한방차를 마실 수 있어 좋았습니다.,crawl
부모님과 함께 오기좋고 재료와 맛 모두 좋아여!,crawl
맛나요,crawl
삼세랑 처음 방문했는데 정말 맛있어요. 아늑한 분위기에서 정갈한 비빔밥 한 상 먹으니 기분이 좋네요^-^ 요즘같은 고물가 시대에 이렇게 가성비 있고 맛있는 집은 오랫만이네요ㅎㅎ 조리할 때에 약수를 사용해서 그런가 더 건강하고 감칠 맛 있는 것 같아요. 번창하세요~ 다음에 방문의사 100%!!,crawl
비빕밥도 맛있고 해물파전도 너무너무 맛나용 잘먹었어요,crawl
저녁 먹으러 왔는데 가게 분위기도 너무 좋고 깔끔해서 친구나 가족 누구랑 와도 맛있게 먹고 갈 수 있을 것 같아요! 밥이 나오자마자 먹어버려서 사진은 없지만 뚝배기 소고기 비빔밥 뚝배기 전복 비빔밥 모두 너무 맛있었습니다☺️ 참기름도 직접 짜서 쓰시고 같이 나오는 보리차도 통도사 약숫물을 받아서 끓이신다구 해요!! 후식으로 차도 마실 수 있어서 너무 좋았습니다 사장님도 너무 친절하시구 설명도 잘해주셔서 기분 좋게 식사마치고 나왔습니다🥹🥹 다음에 또 올 것 같아요!!,crawl
너무 건강하고 맛있어요 자주자주 오고싶어요 특히 육전이 진짜 살면서 먹은 육전중에 1등입니다 무조건 재방문 각,crawl
항상 맛있게 잘 먹고 있어요~♡♡,crawl
"부산대 근처 한정식 맛집이라고 소문나서 와봤는데, 너무 만족했습니다!! 가게도 깔끔하고, 재료들이 신선하고 맛있었습니다 ☺️ 부모님 모시고 오거나 데이트하기 넘 좋을 거 같아요 잘 먹고 갑니다 🌈💗",crawl
너무 맛있어요~ 다음에는 부모님 모시고 오려구용~><,crawl
"깔끔하고 맛있었습니다. 아기 식기, 의자 모두 준비해주시고 음식맛은 더할나위 없이 좋았습니다. 부모님 모시고 와도 좋을 것 같아요.",crawl
주차는 한방병원에했어요ㅎㅎ ㅎ토요일이라 다행히 주차자리많았구 구사장님 친절하고 비빔밥.파전 다 맛있었어요😍 잘먹었습니다~!,crawl
일단 매장이 넓고 깔끔합니다. 음식도 정갈하고 건강함이 느껴지는 맛입니다. 음식할때 쓰는 물도 통도사 약수물로 쓴다고 하는데 여름에 보양으로도 좋을것같아요. 추천합니다,crawl
월욜 11시 넘어서 도착해서 6인석 안내 받았어요. 예약 없이 와서 주문후 좀 기다렸지만 따뜻한 차도 마실 수 있어서 지루하지 않았어요. 뚝배기쭈꾸미비빔밥 간이 안 강해서 잘 먹었습니다.일행 모두 맛나게 배부른 시간이었어요^^,crawl
반찬이 대체적으로 깔끔하고 맛있어요!ㅎㅎ,crawl
아기랑 방문했는데 아기의자도 친절하게 준비해주시고 음식도 맛있었어요,crawl
너무 맛있어서 밥멋는 도중에 리뷰 씁니다..간만에 레어 맛집립니다,crawl
"주말 점심, 건강 비빔밥을 먹으러 왔습니다. 인테리어도 깔끔한 2층에 위치한 비빔밥 전문점입니다. 소고기, 전복, 쭈꾸미 비빔밥이 일반 + 뚝배기로 선택할 수 있어 6종류입니다. 재료도 좋고 물도 통도사산물을 사용하신다고 자부심도 대단한 곳입니다. 비빔밥 러버로서 맛있게 잘 먹었습니다. 재방문 의사 있습니다.",crawl
김도 줍니다.,crawl
양이 엄청 많아서 배부르게 먹었습니다☺️ 반찬도 여러가지 나와서 좋아요~ 건강한 식사로 추천합니다👍,crawl
주차 병원에 하면 한시간 지원되고 음식 너무 맛있고 건강해요 물도 그냥 물 안 쓰신다고 하고 모든 재료가 건강하고 신선합니다,crawl
너무 맛있고 깔끔하네요!!,crawl
"비빔밥 먹고 싶어서 찾아왔는데, 맛있게 먹고 갑니다~",crawl
정말 건강하고 맛있습니다!! 조미료도 안썼다고 하시더라구요!! 건강하게 맛있게 먹고 갑니다! ㅎㅎ,crawl
엄마랑 왔는데 메뉴 구성도 알차고 건강한 한끼라서 만족합니당:),crawl
