text,source
"혼자 가면 메뉴를 많이 못 먹어서 아쉬운데 오늘은 마음껏!!!!! 소고기카레우동 적절한 점도와 적절한 간에, 면 다 먹으면 공깃밥 추가해서 슥슥 비벼 먹고요 대창라멘은 먹다가 후추나 매운앵념 치면 또 새로운 맛이에요 그 사이에 와사비 크림새우 하나씩 먹으면 또 입이 개운해져서 무한n차 가능합니다 맛있어요",crawl
"부산대 라면 집 중에 진짜!! 찐맛집👍🏻👍🏻 맑으면서도 칼칼한 국물이 대창의 느끼함을 잡으면서 맛있는 한우대창의 풍미가 함께 느껴요!! 대창이랑 라면도 잘 어울리고 깊은 국물이 느껴져서 너무 좋았어요! 소고기 카레우동도 카레에 소고기 풍미가 잘 느껴지고 소고기 양도 많고 칼집 낸 소시지도 고소하면서 카레와 너무 잘 어울렸어요!!(소시지 추가 강추) 카레 전문점 못지 않게 너무 맛있고 사이드 메뉴도 다 맛있었습니다!! 가지튀김 평소 먹던 흔한 스타일과 좀 다른 촉촉한 소스에 담궈먹고, 계란말이 완전 촏촉 퐁신 보드러워요. 와사비크림새우 맛보게 해주셨는데 담에 가면 또 주문할 것 같아요!! 특이하고 맛있음👍🏻 저처럼 알쓰를 위한 미니하이볼…🍺🤍 양도 딱 좋고 진!짜! 맛있어요. 사와 등 다른 술도 궁금해서 재방문각",crawl
재방문했는데 신메뉴 출시했음~ 그럼 먹어줘야지. 냉모밀과 들기름비빔모밀 그리고 와사비크림 새우튀김! ✨️역쉬 다 맛있음. 특히 들기름 모밀은 사진처럼 통들깨를 갈아서 듬뿍 올려주는데 들기름 향+소스+버섯튀김의 궁합이 끝내줍니다. 새우튀김은 이제 중식당가서 비싼 크림새우 안사먹어도 되겠다 싶을 정도로 평타 이상! 칼피스 소다는 필수. 장어덮밥 먹으러왔다가 신메뉴 잘 먹고 갑니다. 또 올께요!,crawl
역시 너무 맛있는 상생라멘입니다. 여름 메뉴인 냉소바가 너무 맛있네요. 미니마파두부덮밥은 꼭꼭 추가해야죠. 오늘도 맛있고 든든하게 잘 먹고 갑니다!,crawl
여기 장어덮밥이 <해운대 해목> 장어덮밥으로 미슐랭 받은 곳과 맛이 똑같아요. 대박입니다. 꼭 드셔보시길 추천해요. 가라아게와 가지튀김은 필수메뉴예요. 한국 치킨집 포함 여기가 1등! 대창라멘 먹으러 왔다가 벌써 4번째 방문. 대창라멘은 일본과 한국 그 사이로 일본라멘 즐기지 않은 사람도 잘 먹을수 있는 메뉴예요. 우리 딸이 벽에 포스터보고 시킨 칼피스소다는 밀키스 비슷한 맛인데 요게 딱 들어가야 뭔가 느끼는 맛을 싹 정리해줘요. 운전안해도 되면 사와로도 즐길수 있네요. 시그니처하이볼도 먹어보고 싶은데~ 여긴 모든 메뉴가 평타이상가는 찐 맛집♡ 가성비 킹왕짱!,crawl
"쇼유라멘이 대표메뉴라고 해서 주문했어요. 닭육수나 돈코츠 베이스 쇼유라멘은 아닌거 같고, 가쯔오부시 맛이 많이 나는 스프네요. 비릿한맛을 싫어하시는 분은 불호일수도 있겠다 싶어요. 면이나 차슈는 호불호 없는 맛이에요",crawl
카레우동 미쳤어요… 너무 맛있어서 리뷰써요ㅠ 적당히 매콤하고 소고기도 듬뿍 들어가있고 꾸덕한건 별로 안좋아하는데 국물도 적당하고 그냥 굿..취향저격🥲 뚝딱 비워버렸네욤 밥까지 말아먹고싶은 맛이에요 담에 또 갈게요><,crawl
"메뉴 다 맛있어요!!!! 오늘은 이열치열 대창라멘,,,, 여름메뉴도 맛나요 소바 특히 들기름 소바 제취향…",crawl
"신메뉴 카레우동 먹었습니다. 카레 소스 맛있고 우동면도 쫄깃해요.. 특히 소스 점도가 먹기에 딱 적당해서(뻑뻑하지도 너무 묽지도 않은) 좋았습니다. 소고기,반숙란 기본토핑으로 충분히 든든한데 공깃밥이나 고로케/소시지 토핑 추가해서 먹어도 맛나겠습니다.",crawl
재방문해서 이번엔 카레우동을 먹어 봄. 카레를 좋아하는 나에겐 이건 지존의 맛임. 가게도 시원해서 열심히 먹을 수 있었음. 조만간 또 와야징,crawl
"평소 귀찮아서 리뷰 안 쓰는데 쓰게 될 정도로 맛있음. (기린 생맥주 진짜진짜 부드러움) 원피스 피규어, 이랏샤이마세 같은 곳이 아니라 자연스러운 일본 가게의 느낌과 사장님의 친절도도 좋았음 갠적으로 부산대 원탑 라멘집. 유명해져라 얍",crawl
