text,source
이제 냉국수도 있는데 이거 진짜 요물이예요! 기분좋은 멸치향이 느껴지는 육수에 양념장 살짝 풀어먹으면 없던 입맛이 다 살아납니다!,crawl
국수좋아하시는 어머니 모시고 갔는데 맛나다고 하시네요^^~다 맛나네요,crawl
노포분위기 생각하고 갔는데 생각과 완전 다른 분위기네요~ 깔끔하고 널찍하고 야외좌석도 있네요 국수도 양이 엄청 많고 온국수 깔끔하니 맛나네요~ 파전도 맛있었습니다~~,crawl
오래전부터 산에서 즐기던 서문국수를 부산대에서 편하게 즐기고 있네요 시그니처인 비빔국수와 감태 마요 주먹밥의 궁합은 최고였습니다. 깔끔한 집 자주 들를 맛집으로 등록합니다,crawl
산에서 먹던 맛 그대로네요~ 여전히 비빔국수는 맵싹한 야채많은 국수구요 물국수는 찐한 멸치맛나는 구수한 맛이네요 감태주먹밥… 다음엔 1인 1개로 먹어야겠어요 ㅋㅋ 너무 맛있네요!!!,crawl
산성에서 먹던 국수 생각나서 찾아왔어요 양이 많고 육수가 뜨끈뜨끈 합니다 수육이 고기가 너무 부드럽고 맛있었고 직원분이 넘넘 쎈스있고 친절해서 식사가 더욱 즐거웠어요 화장실까지 편백나무로 세심하게 배려해주셨고 정원에서 결명자차 마실수있어 좋은시간 보냈습니다,crawl
도토리묵 덜맵게 해달라해서 먹었어요 진짜 제가 먹은 도토리묵 원탑❣️ 매장 청결하고 대기 있어도 금방 빠지고 대기석들도 많아서 편하게 다녀오기 너무 좋아요🫶🏻,crawl
토핑이 대박입니다.. 보기에 좋은 음식이 맛도 좋네요🥰 잘먹었습니다❤️❤️,crawl
친구들이랑 국수먹으러 왔어용 국수도 따뜻하고 맛있었고 파전이랑 막걸리시켜서 먹으니까 넘넘 좋았어요 올때마다 친절하게 맞아주시는 사장님이랑 직원분들 덕에 기분도 좋았네용 가격도 국수가 6천원이라 평소에 혼밥하고 싶을때 자주 와서 먹어요 주먹밥도 맛있는데 오늘은 안시켜서 담에 와서 먹어야겠어용 가게안에 식물들이랑 인테리어도 잘돼있어서 예쁜 가정집에서 식사하는 느낌나요 다들 서문한번씩 가보세용 ㅎㅎ,crawl
점심시간이라서 시원한국수먹으니깐 맛있고 시원하고 파전하고 음류수랑 같이 먹으니깐 더 맛있습니다,crawl
웨이팅 2팀 있어서 밖에서 기다리는데 와 벌써 날씨가 찌드라고요! 온국수 먹을랬눈데 비빔국수로 마음이 바뀜! 점심치곤 굉장히 푸짐하게 많이 먹었습니댜! 감태주먹밥은 꼭 드셔야할 메뉴!,crawl
새로나온 콩국수가 구수하니 너무 맛있어요 단돈7천원,crawl
진쨔 너무너무 맛있어요 ㅠㅠㅠ 양도 너무많고 맛도 물론 부모님 모시고 계속 오고싶은곳이에용!,crawl
맛보기 수육 온국수 감태주먹밥 시켰는데 다 넘 맛있어요 수육은 잡내가 하나없고 부들부들하고 맛있어요 겉절이랑 같이 먹으니 굿굿 온국수는 멸치육수가 진해서 좋아요 국수만 시키면 살짝 헛헛할 거 같고 감태주먹밥이랑 같이 먹으면 딱입니다 더운 여름 맥주랑 이 세가지를 같이 먹으니 세상 부러울게 없네요 여름세트로 추천!,crawl
저녁식사라서 온국수하고 부추전하고 음류수랑 같이 먹으면 훨신더 맛있습니다,crawl
"성인 남녀 둘이서 온국수 곱빼기, 부추전, 감태주먹밥 먹었습니다. 양 많다고해서 적당히 시켰는데 양 많진않아요. 수육 하나 더 시키려고했더니 재료 소진이네요ㅜㅜ 깔끔하고, 맛있어요~ 온국수가 육수가 생각보다 특이하고, 감태주먹밥도 고소하니 맛있어요. 부추전은 평범한 것 같아요.",crawl
담백한 온국수 면발 퍼지지 않고 딱 좋아요 감태주먹밥 고소하고 짭쪼름해 넘 맛있어요🧂✨ 부추전은 살짝 기름졌지만 바삭해서 좋아요🤍 점심 웨이팅 10분 정도 ⏰ 일행 다 와야 입장 가능한 건 좀 아쉬웠지만; 전체적으로 만족스러워서 오늘처럼 생각날 때 또 갈집! 🥢,crawl
서문국수 들렸어요~ 맛있고 가격도 착하네요,crawl
국수는 말할것도 없이 맛있고 파전도 레전드입니다. 가격과 맛 다 만족스럽네요. 파전시키면 막걸리가 저절로 생각나서 낮술하게 됩니다ㅎ 김치도 막걸리를 부르는 맛도리입니다. 간장까지 맛있는 뭐 하나 소홀함 없는 맛집입니다. 가게도 화장실도 전체적으로 청결하고 넘 만족스럽습니다. 최고~,crawl
"인테리어도 아기자기하고 깔끔하네요 지인 추천으로 둘레길 걷고 배고픈 상태에서 엄청 주문해서 먹었어요 담백하고 야채들도 완전 신선해요 가게도 영하고, 손님들도 영해서 기받고 가요 ^^",crawl
서문국수 맛잇어요!!,crawl
금정산성에서 영업할때부터 갔던 곳인데 맛이 변하지않아서 넘 좋네요. 새콤한 비빔국수와 파전으로 행복한 시간을 보냈네요.,crawl
부산대 맛집 서문국수!! 간편하게 먹기 좋은데 웨이팅 길었어요~~ 국물맛이 끝내줘요👍🍜,crawl
자주 가는 국수집입니다. 갈때마다 만족하고 나오는데요. 이번에 갔을 때는 국물이 더 깊어진 것 같아 한번더 감탄하며 먹었네요. 깔끔하고 시원한 국물에 쫄깃한 면발. 국물 한방울 남길 수 없는 매력 가득한 맛집입니다. 번창하세요^^ https://youtu.be/3282z11sges?si=IgwlAsdgaMw3XQmj,crawl
저녁식사 해서 온국수하고 부추전이 땡초 넣어서 맵긴하고 맛있었습니다,crawl
너무 친절하고 맛도 깔끔하면서 맛있어요👍👍👍 건강한 한끼에요😍,crawl
매장에 온국수하고 부추전이 아주 훌륭해서 맛있어보입니다,crawl
재로도 신선하고 맛도 좋고. 다음에 또 방문 예정빕니다~^^,crawl
서문국수 매장에 저녁식사하여 여러가지 종류로 골라서 음식이 맛있어보입니다,crawl
다시 맛을 탐방하기 위해 재방문 파전은 바삭 허다 좋다 약간 탄맛이 있지만 좋음 새싹 비빔밥은 상큼하다 채소에 어울림이 좋고 특히 묽은 고추장 맛이 일품이다 초장은 아니다 다만 오늘은 밥이 너무 질어서 식감이 떨어졌다 온국수 최고다 강하지 않은 멸치육수맛이 텁텁함 없이 깔끔하다 면 또한 탱글하니 좋다 오늘은 먹지 않았지만 비빔국수와 수육맛은 일품이다 그리고 본인른 좋아하지 않아 시키지 않았지만 감태 주먹밥도 상당히 인기 메뉴인듯하다 거의 모든테이블에서 시킨다 그외 술안주 거리도 몇가지 있다 외식도 추천 술자리도 추천,crawl
감태주먹밥이 맛좋고 부추전도 아주 맛좋고 배부르게 많이 먹고 음류수랑같이 먹으니깐 훨신더 맛있습니다^^,crawl
막걸리랑 음식 모두 맛있었습니다~! 음식이 정갈하고 하나하나 맛있어요ㅎ 매장과 화장실도 청결해서 좋았습니다!!,crawl
부산대 앞 서문국수~ 국수는 부추 고명이 올라가 있고 안에 양파가 들어가 있어서 맛은 깔끔했어요~~ 계란이나 고기 고명은 없었어요~ 감태 주먹밥은 4개에 3천원 ~ 가성비 갑~ 넘 맛있었어요~ 명란마요가 밥 위에 올려져있어서 감태랑 넘 잘 어울렸어요~~ 부추전은 밀가루가 거의 없어서 더 맛있었어요~~,crawl
덕분에 저녁식사 잘먹었고 맛있었고 금방 먹으니깐 맛이 좋습니다,crawl
메뉴구성 좋고 건강한 맛이네요. 특별하진 않지만 가족끼리 오거나 지인들과 막걸리 한잔하며 식사하기 좋아보여요. 점심때보다 좀 일찍 가서 안기다렸는데 나올때보니 웨이팅 있었어요,crawl
ㅇ,crawl
맛있,crawl
음식도 맛있고 직원분들도 엄청 친절하십니다~~,crawl
지인들과의 연말모임에서 헤어지기전에 한그릇 먹자하고 간곳인데 알고보니 저만 처음간 곳이 더라구요 블루리본에 아주 유명한 국수집 왜 이제 알았는지 ㅋㅋ 양도 많고 채소들도 신선하고 넘 맛있게 싹싹 먹었어요 크리스마스 뒷날이라 뽑기이벤트하고 있었는데 사장님이 아직 좋은거 많이 남았다고 하셔서 뽑았는데 왠걸~ 2등 당첨~~!! 와인을 선물로 받았어요~~♡♡ 너무 기쁜 나머지 와인은 챙기고 제짐은 두고와서 다시 들렀네요~~^^ 직원분들 친절하시고 깔끔하고 맛있고 왜 블루리본 받은 식당인지 알겠더라구요 덕분에 기분좋은 하루였습니다~♡새해복 많이받으세요 (리뷰 꼭 남기고 싶었는데 너무 늦게 남겼네요~),crawl
"매장이 청결하고 음식도 맛있지만, 무엇보다 항상 친절한 서비스가 기분좋은 곳 :)",crawl
근처 맛집이라 갔는데 신선한 재료와 함께 정말 맛있었어요~,crawl
서문국수 매장에서 크리스마스로 꾸며져있어서 멋지고 온국수하고 부추전하고 맛있게 잘먹었어요~^^,crawl
"남편과 함께..^^ 친구랑은 많이 왔는데, 남편과는 처음입니다. 맛있다고 좋아했어요! 막걸리가 함께라 더?ㅎㅎ 잔치국수가 힐링푸드인 제게는 뭐..♡ 모든 메뉴가 깔끔하고 맛있고 직원분들은 더할 나위 없이 친절하시고 아늑하고 예쁘고... 물론, 어느 날은 웨이팅이 길어지지만~^^; 남천동에 살지만.. 여기만 보고도 충분히 부산대까지 올만 합니다~~~ 수고하시고 번창하십시오!^_^",crawl
감태 주먹밥 비주얼 이쁘다. 온국수는 담백하고 부추전은 바삭바삭한 식감이 좋다.,crawl
산성있을적부터 서문국수 시그니처는 비빔국수♡ 파전도 놓칠수없죵. 끝맛이 매콤하고 파전은 고소~ 부산대 서문국수는 다양한메뉴가 생겨서 더 좋아요. 수육이 품절이라 아쉬워서 닭불고기먹었는데 마늘후레이크 엄청 뿌려져있어서 양념된 양배추와 먹으니 계속 손가는맛. 육수까지도 맛있는집입니다~^^웨이팅있는 이유가 있지요~♡,crawl
맛나고 가격 좋은 곳~,crawl
맛집검색으로 가게된 서문국수. 각 테이블 마다 예쁘고 아기자기 하게 잘 꾸며져 있어 갤러리 온듯 구경거리가 많았구요. 온국수 국물맛도 진하게 맛있고 비빔국수는 샐러드와 함께 나와 특이했어요. 수육도 맛있는데 양이 좀 작았네요.ㅎ,crawl
싸고 양 많고 진짜 🐶 맛있어요 부산대생인데 여기 안가본다? 그럼 인생 손해봄,crawl
💕,crawl
매장에 대기해서 온국수부터 먹으면서 부추전이랑 반찬이랑 같이 먹고 음류수도 마시고 시원합니다.,crawl
맛났어요,crawl
깨끗하고 친절하고 건강한 음식 ! 들를 때마다 만족합니다 :),crawl
국수양 엄청난 곳! 비빔 국수는 야채 종류가 다양하고 양이 많아 완전 만족스러웠음!! 늦게 가면 한정수육이 없는 아쉬움 ㅠㅠ,crawl
