text,source
부산대 팥빙수 맛집 서빙고 친절하고 팥빙수 맛있어서 너무 좋아요 팥은 직접 삶아서 달지 않게 팥빙수를 만들어 주셔서 좋았어요 찰떡 팥빙수는 찰떡도 쫀득하니 꿀맛입니다 부드러운 우유빙수라서 어른들도 드시기 좋아하실 팥빙수였어요 견과류빙수도 재료 좋은거 쓰시니 쩐내하나 없이 꼬솜합니다 아이스아메리카노도 맛있었어요 또 먹으러 올께요👍👍,crawl
"친구따라 방문한 수제 팥빙수 전문점 서빙고. 항상 만석이지만 팥빙수 특성상 회전율이 빨라서 운좋게 대기 없이 이용 가능했습니다. 팥도 수제로 만드는 곳이라 깊은 맛이 일품이고, 눈꽃스타일의 빙수는 입에서 사르르 녹습니다! 연령대도 다양하게 오시는데 부모님도 좋아하실만한 맛",crawl
저녁 먹고 후식으로 들렀어요 매장이 좁긴하지만 회전율이 좋은 것 같아요! 담부턴 1인 1빙수 해야겠어요 금방 다 먹네요 떡도 말랑하고 팥도 직접 삶은거라서 퀄리티가 좋아요! 매장안에 모기가 좀 있어서 그 부분이 불편했어요! 집근처에 서빙고 있어서 넘 좋네요 초딩들도 넘 맛있다면서 엄지척을 했답니다^^,crawl
부산대팥빙수맛집 서빙고본점 커피카페이색데이트 즐기기 추억의 맛으로 발길을 끄는 고소하고 달콤한 팥의 옛날빙수맛집 군더더기 없는 수제팥의 위력 이 맛을 찾아 서빙고본점으로 왔어요. 방앗간에서 공수해오는 쫀득한 떡과 직 접 삶은 팥까지 건강한 유기농재료로 직접 만들며 팥은 무한리필로 제공되는 옛날빙수부터 녹차빙수까지 올해는 유난히도 더워 남녀노소 할것없이 빙수가 여름 인기 메뉴 옛날빙수가 좋아 찾아간 부산대팥빙수맛집 서빙고 더운 여름 시원하게 녹이고 왔네요. 부산대빙수핫플 다운 최고의 맛이었어요,crawl
"부산대빙수카페 서빙고🤎 수제단팥이 듬뿍 올라가있고 우유빙수라 너무 맛있었어요 ㅋㅋㅋ 같이 방문했던 엄마께선 흑임자 빙수 주문했는데 정말 고소했습니다. 1인 1빙수해서 양이 많을려나 했는데 각자 주문하길 잘할정도로 순식간에 순삭 ㅋㅋㅋ 팥이 엄청 달지않고 부드러워서 남녀노소 누구나 좋아할 맛이에요👍🏻 재방문 각,,",crawl
부산대빙수로 오랜맛집인 서빙고입니다♥ 팥이 진짜 찐!! 통팥이 씹히면서 건강한 맛이 일품이에요. 집 근처 서빙고만한 빙수집은 여태 못봤네용. 올때마다 만족하는 부산대역카페 ~ 올여름 많이 올꺼 같아요^_^,crawl
"여기도 서울 사람들이나 관광객들이 영원히 몰랐으면 하는 곳인데 설마 여기까지...😑 거의 4년 만에 내방하는 터라 맛이 변했을까 약간의 기우는 있었지만 QC가 잘 되는지👍 여전히 그 맛을 잃지 않고 간직하고 있음. 부산대 상권이 갈수록 죽어가는 곳이라 즉석 취식 가능한 행복을 누릴 수 있지 서울이나 수도권에 있었으면 웨이팅지옥이 펼쳐질지도..😖 개인적으로는 유명 호텔 어윈 빙수 먹을 바에는 생각날 때 여기서 여러 번 먹을 것 같음. 예전에 태국 재래시장에서 Kg당 300원(7THB)에 특급 어윈을 사오니, 현지 사람들이 바가지 크게 당했다고 혀를 끌끌차며 원통함과 안타까움의 하모니를 내게 들려줌. 결론은 소식좌인데 언제 다시 올 지 몰라 장장 15분을 소모한 끝에 2 그릇 다 비움..😅",crawl
더운여름에 시원한 팥빙수가 먹고싶어서 서빙고 방문했어요 ! 저녁시간에도 사람이 많더라구요 ㅎ 빙수종류가 5가지라 고민하다가 찰떡팥빙수 먹었어요 팥이 많이 달지않아 좋았고 우유얼음도 맛있더라구요 찰떡이랑 궁합도 좋았어요 🙂 다음에는 다른 팥빙수 먹어봐야겠네요~ 잘먹고 갑니당 👍,crawl
며칠전에 다녀와서 또 생각나서 들렀어요 여전히 손님이 많아요 떡도 몰랑몰랑하고 쉽게 접할 수 있는 연유듬뿍의 달콤한 맛만 있는 빙수가 아니고 정말 건강하면서도 맛있는 빙수입니다! 추천합니다.,crawl
직접 팥을 삶아 만든 빙수라서 건강함이 느껴지네요. 거기다가 팥은 리필도 가능해서 사장님 인심도 넉넉하셔요. 외부테라스가 있어 답답한 공간보다 밖에서 시원한 바람을 느끼며 팥빙수 한 그릇 하기도 좋네요.,crawl
