text,source
금정구 최고 돼지국밥 맛집 설봉돼지국밥 오랜만에 벙문했습니다. 돼지국밥에 순대 작은 한접시는 늘 정답이네요. 비오는 날 맛나게 먹고 갑니다. ^^,crawl
"최근에 이근처 맛집을 물어보면 무조건 추천하는 설봉 국밥🤭 친절하신 사장님과 직원분들까지 이렇게 바쁜집에서 이렇게 친절하시기까지~역시 대박집으로 소문나는집은 이유가있는것같아요~ 추우나 더우나,날씨가 맑으나 비오나,늘 먹어도 맛있어요~ㅎㅎ 이 국물 한입에 전 국밥을 좋아하는사람이 되었습니다~뱃소과 맘속까지 따뜻해지게만드는 가게 분위기와 음식맛에 이동네 최고 맛집으로 추천합니다~~🫡",crawl
"이미 인근에서는 소문난 맛집인듯? 국밥이 가벼운 맛은 아닌데 그러면서도 담백하다. 같이 넣어주신 다대기가 매운 맛보다는 구수하다고나 할까? 색깔만 그렇지 매운 맛은 아니다. 돼지국밥은 본래 하얗다는 고정관념(?)을 깨주는 집이랄까. 수육은 두툼한데 식감이 부드럽고 고소하다. 기본에 충실한 맛이라고나 할까. 같이 나오는 구성이 충실하다. 쌈채소를 계속 리필해주시는 것도 좋다. 요즘 이렇게 해주는 곳도 많이 없는데. ㅎㅎ 돼지국밥은 진짜 지역마다 식당마다 스타일이 다른데, 또 다른 집을 찾은 것 같다. 집 근처에 이런 곳이 있으면 좋겠다는 생각이 드는 집. 잘 먹고 왔습니다. ^^ p.s) 친절하신 직원분들까지. 기분좋은 식당 ^^",crawl
맛있게 잘 먹었습니다~,crawl
맛있어요. 굿,crawl
부산대 근처 돼지국밥 맛집 추천 깔끔하고 걸쭉한 국물에 빨간 다데기가 일품.. 고기도 비계말고 살코기로 얇게 썰어 맛납니다 온 가족 외식..추천 대기도 하는데 맛집 맞아용.. #부산대맛집 #부산대근처돼지국밥 #돼지국밥맛집 #대학생맛집 #부산여행맛집추천,crawl
항상 좋습니다,crawl
"국밥이 생각나면 들리는 우리 동네 맛집!! 순대국밥에 순대와 돼지고기 모두 맛있고 국물이 시원해 소주가 땡기는 맛이다. 수육과 돼지내장은 부드러운 식감을 가지며, 함께 제공되는 반찬 중 보쌈 김치가 특히 맛이 있다.",crawl
집에서 애들하고 먹으려고 미리 전화로 포장주문을 했어요 밥이랑 반찬 안주시는대신 고기랑 육수 양을 좀더 주시는데 점심시간 지나서 갔더니 딱 김치 담는 타이밍 😁 여기 김치 깍두기 직접 담으시고 정말 맛있다고들 하던데 요즘 식당들 거의 싼중국산 김치 사서 손님상에 주시잖아요 ㅠ 계산하시는분에게 김치 부탁드렸더니 챙겨 주시더라구요 😉 포장해서 푸짐하게 잘먹었습니다 사장님 이신가 일하시는 이모님이신가는 모르겠지만 친절 하셔서 기분도 좋았습니다 담엔 식구들이랑 매장 방문해서 먹을께요,crawl
역시 설봉짱! 돼지국밥 다른데서 못먹어요~^^,crawl
