text,source
'생활의 달인' 찾아서 방문하는데 빵순이는 오늘도 빵을 찾아서^^ 송스베이커리 일반소금빵보다 5배 큰 대왕소금빵이 유명하다해서 방문한 곳. 명장 빵집임에도 빵의 가격들이 나이스하다. 긴~우유식빵도 4천원? 샤르르 녹는 에그타르트 2.800원 겉은 바싹 고소한 소금빵 1.800원 이벤트로 휘낭시에 2개 구매하면 커피도 서비스로^^ 가깝다면 자주 방문하게 될 곳^^,crawl
부산에 대왕소금빵 유명 하다고 해서 와 봤는데 진짜 생각 보다 빵이 너무 커서 놀랐어요..고로케도 몇 개 사고 싶었는데 한개밖에 없어서 아숩..소금빵에 빠진 사람으로써 대왕이 있어서 좋은 거 같아요!! 소금빵 말고도 다른 빵 종류 많으니 한 번 방문 해보는 것도 좋을 거 같아요!,crawl
주차가 편해서 좋아요 더운데 내부가 시원해서 커피마시고 빵 먹고 쉬기 좋네요 다만 포크는 조금 지저분해 보이는 경향이 있어요,crawl
단종됐던 생크림팥빵이 다시 나왔다는 소식에 바로 달려가 구매했어요. 역시 기대를 저버리지 않는 맛! 겉은 쫀득하고 속은 부드러운 생크림과 달콤한 팥이 완벽하게 어우러져 입안 가득 행복이 퍼졌습니다. 특히 아메리카노와의 궁합은 말 그대로 찰떡! 단맛과 쌉싸름함의 조화가 너무 좋아서 더 사올 걸 그랬나 싶더라고요,crawl
이동네 맛집 빵집입니다 빵순이로써 이곳을 그냥지나칠수없어 매일 방문하다시피 식빵류 .단팥빵 . 크림빵.소금빵 최애입니다 아이들은 쿠키도좋아하네요,crawl
드라이브 가는 길에 생활의달인 맛집이 있다고 해서 들렀어요:) 시로모찌 카카오빵 올리브치즈베이글 샀는데 다 맛있네요! 소금빵이랑 도넛이 없어서 아싑지맘 ㅜㅜ 다음엔 좀더 빨리와봐야겠어요!,crawl
처음 와 본 집인데 빵도 맛있고 메뉴도 정갈하니 너무 좋네요👍🏻 앞으로 자주 애용 할 것 같습니다! 생활의 달인에 나왔다고 하는데 역시맛있어요 주차가 편한게 진짜 큰 장점입니다,crawl
초당옥수수크림라떼 먹으려고 들어왔는데 잠봉뵈르 샌드위치 너무 맛있어요!!! 대왕소금빵은 이른 오후에 와야 있음!!,crawl
"장전도 빵맛집, 파디글스연습장 커피맛집 빵이 맛있어서, 자주 이용하고 있어요 연습끝나고 시원한 아메리카노, 피낭시에 맜있어요",crawl
"빵이 맛있어서 자주 이용하는 곳이다. 소금빵이랑 건강빵, 샌드위치를 자주 먹는데 오늘은 휘낭시에 이벤트 한다고 해서 그것도 구매해본다. 차마시는 공간이 넓어서 약속장소로도 좋다. 점심때는 북적북적한데, 아침 이른시간이라서 한가하다. 새로 구워 나오는 빵들도 너무 맛있어 보인다^^",crawl
