text,source
"회사근처~맛집발견~ 불냉면,,불비빔냉면맛집,,1단계먹엇는데,, 너무너무맛나용,,ㅎㅎ 완젼내스타일이네용~~ 적당한맵기가,,아주아주죠아용,,(담엔2단계먹어바야징♡) 넘나잘먹었습니다~ 사장님도엄청친절하시네요~~^^ 대박나세용♡",crawl
늦더위가 심한 요즘 시원하고 매콤한 냉면 맛집인 송주불냉면부산대점. 가격도 저렴하고 양도 많아 대박!!! 안 매운 0단계부터 신라면 맵기 1단계. 불닭 2단계. 유명한 도로시 단계인 3단계까지 매콤함 승부보는 냉면 맛집 ㅎㅎ 한입하면 시원한 물냉면과 매콤하니 스트레스 팍 풀리는 비냉에 야들한 피가 맛잇는 물만두까지!!!너무너무 맛잇고 저렴한 가격이 좋은 냉면 맛집 추천해요,crawl
"열무비빔냉면은 양념이 진하고 매콤한 편인데, 열무가 듬뿍 올라가 있어서 아삭한 식감이 좋고, 매운맛도 깔끔하게 다가와서 자꾸 당기는거 있죠?😘 물냉면은 육수가 시원하고 깔끔해서 열무비빔냉면 사이사이에 먹기에 딱이었어요 둘을 번갈아 먹으니 입 안이 지루할 틈 없이 계속 개운해지는 느낌!!! 냉면에 간장불고기 곁들여 먹으니 진짜 맛있었어요 강추!!",crawl
송주불냉면 좋아해서 밀키트로 많이 사먹었는데 일부러 찾아가서 먹고싶어서 갔어요 물냉 2단계 했는데 맵찔이 저에게는 매웠지만 짝꿍은 매운거 좋아해서 맛있게 잘 먹더라구용🌟 비냉 0단계 색깔은 매워보이는데 1도.안 맵구용 육수도 시원한 살얼음 주셔서 좋았어용 여름에 불맛 불냉면은 한번씩 먹어줘야합니당🌟,crawl
"택배로 시켜먹을 정도로 좋아하는 송주불냉면!😊 부산대점이 있다는 걸 알고 기분 좋게 다녀왔는데요~ 원래도 맛있는데 역시 매장에서 먹는 냉면은 훨씬 맛있더라구요 👍 ㅎㅎ 저희는 물냉면+고기만두 세트, 열무물냉면을 주문했는데 살얼음이 동동 떠 있어 엄청 시원했구요! 그냥 물냉면도 당연히 맛있지만 열무물냉면이 새콤시원하니 진짜 맛있더라구요 😋 고기만두도 고기소가 가득 들어가 있어서 아주 만족스러웠답니다~ 매장 안 에어컨도 빵빵하고 시원한 물냉면 한 입 하니까 천국이 따로 없었어요 😉 다음에 가족들 데리고 재방문 하려구요! 부산대 오시면 꼭 들러보세요 💓",crawl
"날이 너무 더워서 시원한 냉면이 먹고싶어서 방문했어요. 아이들과 함께 먹을 돈까스와 만두가 있어서 좋고, 맵기 단계도 조절 가능해서 좋네요. 아이들 먹을 냉면은 소스도 아예 따로 주셔서 5살 아이도 잘먹었어요. ^^ 사장님도 친절하세요. 바로 옆에 주차장도 있어서 주차하기 편하고 주말에는 매장 앞에 주차하셔도 됩니다^^",crawl
1단계 먹었더니 적당히 매콤하고 맛있어요~ 돈까스와 만두와의 조합도 좋았어요.,crawl
점심 나들이로 부산에 부산대 왔다가 '송주불냉면' 들려 보았습니다. 맵고 쉬원한 맛의 조화가 궁금해져서 말이죠^^.가게는 그리 크진않으나 좌석은 10명정도 앉을수 있어요! 물냉면2단계 열무냉면2단계 갈비만두 주문했어요! 2단계 주문해서 육수가 엄청 매울줄 알았는데 육수의 쉬원함과 어우러져 매운맛이 쉬원하게 느껴졌어요. 육수를 다 먹고 난뒤에 매운맛이 느껴지면서 부담없이 잘 먹을수 있었습니다. 갈비만두도 속이 꽉차고 맛있게 먹었네요! 배달도 많고 맛집인정입니다.,crawl
부산대 맛집 맵기조절이 가능해서 아이랑 오기 좋은것 같아요:) 왕돈까스도 고기도 두툼하고 겉은 바삭하고 안은 촉촉하이 굿굿!! 살얼음동동 냉면 땡길때 송주불냉면 강추입니다요♡,crawl
훌륭한 맛과 가격입니다 사장님도 정말 친절하시고 맛있는 가게입니다:),crawl
너무 더워서 시원한 음식 땡겼는데 부산대 송주불냉면.. 강추 합니다 살얼음 육수냉면이 더위 싹 가십니다 숯불고기 세트는 필수…,crawl
