text,source
"360시간 하이엔드 숙성 생고기 무한리필로 즐길 수 있는 가성비 좋은 맛집...숙성화로(#협찬) 넓은 홀에 넓은 룸도 3개!! 모임장소로 최고😃 셀프바의 신선한 반찬류와 야채들, 된장육수에 라면사리, 음료까지 무한리필이라 푸짐하게 즐길 수 있어요 다양한 종류의 숙성고기와 나만의 된장육수 라면, 볶음밥까지 개인취향에 맞게 만들어 먹을 수 있어 부산대 가성비 고기 맛집 찾는다면 추천드려요~",crawl
숙성고기라 퀄리티도좋고 뷔페처럼 돼지고기 즐길수 있어서 너무좋았어요 그리고 진짜 맛나고 무한리필이라 더욱최고 그리고 된장라면까지 완벽합니다 아이들도 잘먹고 가족외식 단체회식장소로도 왕추전,crawl
"여자친구랑 둘이 다녀왔는데, 룸이 넓고 단체석도 많아서 모임 장소로도 좋아보였어요! 둘이 방문했을 때도 부담 없이 조용하게 먹기 좋았고 직원분들도 친절해서 편하게 식사할 수 있었습니다. 숙성 고기라 그런지 질도 좋고 종류도 다양해서 취향대로 골라 먹는 재미가 있더라구요. 된장육수 라면+ 밥 + 숙성고기+ 음료까지 무제한이라 배부르게 잘 먹고 나왔습니다. 고기 많이 먹고 싶을 때, 만족도 높은 곳이라 추천드려요.",crawl
고기 질도 괜찮고 맛있어요!! 무제한 셀프 바 있어수 너무 좋구 물김치 특히 좋아하는데 잘 익어서 기본 찬들에도 신경 많이 쓴게 보이네요 ㅎㅎ,crawl
가성비 무한리필 고기집입니다 밥이랑 된장라면도 무한! 처음와봤는데 맛있어용,crawl
친구랑 방문했는데 친절하고 맛있어요,crawl
고기 질도 너무 좋고 반찬들 맛있게 먹었습니다!!,crawl
부산대 무한리필 고기집 숙성화로 다녀왔어요 고기양이 미쳤어요. 가게가 커서 부산대 모임 단체 회식하기 좋습니다. 새내기들 학기초라 많이있더라고요,crawl
"부산대 나들이 갔다가 저녁 먹으러 갔어요. 스페셜 세트로 주문해서 먹었는데, 고기 무한리필 집이라 저렴한 고기 아닐까 했는데 숙성 고기라서 그런지 맛있었어요. 기대 이상이었어요. 기본으로 주는 고기 한접시 다먹고, 2번 더 리필해서 먹었어요. 원하는 고기 부위별로 자유롭게 더 먹을 수 있으니 좋았어요. 특히 쯔란가루 최고!! 👍👍👍👍👍👍 배불렀는데 이것 때문에 더 먹은 것 같아요. 중독성있어요. 그리고 고추지 얇게 썰어진거랑 고기 같이 먹으니 느끼함도 잡아주고 맛있었어요. 된장라면 처음 먹어봤는데 맛있어서 2개 끓여먹었어요. ㅜㅜ 고기 많이 먹을랬는데 라면 왤케 맛있는지 별 것 안들은 건 같았는데 맛있더라고요. 우삼겹으로 라면 싸서 배부르게 잘 먹었네요!!",crawl
고기가 진짜 맛있고 된장도 맛잇어요ㅠㅠㅠ 가성비 !!! 좋아용 담에 또 올듯합니당💓,crawl
"사장님 너무 친절하시고, 고기 너무 신선해요!!",crawl
"부산대역 무한리필 고깃집입니다. 돼지갈비는 없구요, 목살/삼겹/대패/항정/우삼겹/큐브삼겹/5가지 맛의 소시지 등 다양한 고기들이 있습니다. 처음 주문시, 모든 고기 SET 하나를 제공해주시고 그 다음부터는 먹고싶은 고기를 정해진 위치에 가서 말하면 맞춰서 제공받을 수 있습니다. 이 곳의 장점은 첫째, 사장님이 굉장히 친절하시다는 점입니다. 두 번째, 2층에서 창문을 거의 통창처럼 크게 열어 연기에 목 매일 필요가 없다는 점입니다. 세 번째, 불판에 고기들이 눌러붙지 않습니다. 불 조절도 쉽고 불판을 교체할 필요가 없어서 너무 편했습니다. 그렇기 때문에 볶음밥도 자체적으로 해먹을 수 있었구요. 네 번째, 공기밥도 무한리필에 포함입니다. 아쉬운 점은 바닥이 미끄럽단 점입니다. 잘 먹고 갑니다~",crawl
"가격에 비해 고기질도 좋고, 맛있어요!! 메뉴 구성도 알차서 다양하고 알차게 먹을 수 있어서 좋아요. 그리고 많이 먹어도 눈치 1도 안 주셔요.",crawl
